ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0051607	defense response to virus	150	-0.5031095769800517	-2.167125088661711	7.530324835903938e-9	4.497486508243627e-5	4.3509424236080754e-5	936	tags=40%, list=15%, signal=35%	RNF135/SENP7/PPM1B/NT5C3A/NCBP3/LYST/MLKL/GBP3/EXOC1/NDUFAF4/STAT2/APOBEC3G/APOBEC3C/TRIM38/ADAR/IRF9/NLRC5/PTPN22/IFI16/MYD88/SETD2/POLR3D/DDX56/TRIM22/CCDC92/IRF2/POLR3K/IFIH1/APOBEC3F/TOMM70/ZMYND11/ISG15/STAT1/DTX3L/TBK1/OASL/TRIM56/TRIM13/ABCF3/IFIT2/SLFN13/IRF3/PLSCR1/APOBEC3D/APOBEC3H/MX2/DDX60L/CGAS/PARP9/TRIM5/TRIM27/FADD/IRF7/EIF2AK2/IFIT5/DDX60/OAS2/IFIT3/HERC5/MX1
BP	GO:0140546	defense response to symbiont	150	-0.5031095769800517	-2.167125088661711	7.530324835903938e-9	4.497486508243627e-5	4.3509424236080754e-5	936	tags=40%, list=15%, signal=35%	RNF135/SENP7/PPM1B/NT5C3A/NCBP3/LYST/MLKL/GBP3/EXOC1/NDUFAF4/STAT2/APOBEC3G/APOBEC3C/TRIM38/ADAR/IRF9/NLRC5/PTPN22/IFI16/MYD88/SETD2/POLR3D/DDX56/TRIM22/CCDC92/IRF2/POLR3K/IFIH1/APOBEC3F/TOMM70/ZMYND11/ISG15/STAT1/DTX3L/TBK1/OASL/TRIM56/TRIM13/ABCF3/IFIT2/SLFN13/IRF3/PLSCR1/APOBEC3D/APOBEC3H/MX2/DDX60L/CGAS/PARP9/TRIM5/TRIM27/FADD/IRF7/EIF2AK2/IFIT5/DDX60/OAS2/IFIT3/HERC5/MX1
BP	GO:0009615	response to virus	204	-0.43143089224686065	-1.929449180314569	4.60743834037471e-7	0.001834528365859197	0.0017747529158117041	936	tags=32%, list=15%, signal=28%	RNF135/CREBZF/SENP7/PPM1B/NT5C3A/NCBP3/LYST/MLKL/SMAD3/GBP3/EXOC1/NDUFAF4/STAT2/APOBEC3G/APOBEC3C/TRIM38/ADAR/IRF9/NLRC5/PTPN22/IFI16/MYD88/SETD2/POLR3D/LGALS8/DDX56/TRIM22/CCDC92/IRF2/NMI/POLR3K/POU2F2/IFIH1/APOBEC3F/TOMM70/GATA3/ZMYND11/ISG15/STAT1/DTX3L/TBK1/OASL/TRIM56/TRIM13/ABCF3/IFIT2/SLFN13/IRF3/PLSCR1/APOBEC3D/APOBEC3H/MX2/DDX60L/CGAS/PARP9/TRIM5/TRIM27/FADD/IRF7/EIF2AK2/IFIT5/DDX60/OAS2/IFIT3/HERC5/MX1
BP	GO:0098542	defense response to other organism	449	-0.3326190014411166	-1.61882295217936	3.507737759299165e-6	0.010474981883707131	0.010133669768838482	1017	tags=27%, list=17%, signal=24%	STX4/BNIP3L/RELB/HK1/PSTPIP1/IFITM3/TRIM44/SRPK1/MR1/CYLD/PIK3CG/RNF135/SENP7/ADAM17/PPM1B/NT5C3A/TIFA/NCBP3/LYST/MLKL/CD96/GBP3/EXOC1/NDUFAF4/XIAP/CEBPG/STAT2/STXBP3/APOBEC3G/APOBEC3C/TRIM38/KLRC2/ADAR/IRF9/NLRC5/PTPN22/IFI16/RAB27A/MYD88/SETD2/POLR3D/GBP4/CRK/SP100/LGALS8/TRIM4/TUSC2/APPL1/MALT1/DDX56/TRIM22/CD2/CCDC92/PLEKHM2/CD6/ERAP1/IRF2/APPL2/PARP1/STAT5B/NMI/CXCL8/POLR3K/TMEM33/TMEM43/TRAFD1/PARP14/CXCL2/ADAM8/IFIH1/IFI35/APOBEC3F/TOMM70/GATA3/ZMYND11/ISG15/SH2D1B/NLRC3/STAT1/FBXO9/N4BP1/TRIM14/CD244/DTX3L/TBK1/N4BP3/OASL/TNFRSF1A/TRIM56/TRIM13/FASLG/CXCL3/ABCF3/IFIT2/SLFN13/IRF3/RBPJ/ZDHHC18/PLSCR1/APOBEC3D/BIRC3/GFI1/APOBEC3H/MX2/DDX60L/CGAS/PARP9/TRIM5/TRIM27/FADD/IRF7/EIF2AK2/IFIT5/DDX60/CCL3L1/PPP1R14B/MIAT/OAS2/IFIT3/HERC5/MX1
BP	GO:0048525	negative regulation of viral process	51	-0.6135713853293328	-2.2051908167806094	4.7081862996145415e-6	0.011247857069779139	0.010881361936245986	807	tags=41%, list=13%, signal=36%	APOBEC3G/APOBEC3C/IFI16/LY6E/IFIH1/APOBEC3F/ISG15/STAT1/N4BP1/TRIM14/OASL/TRIM13/PLSCR1/APOBEC3D/APOBEC3H/TRIM5/TRIM27/EIF2AK2/IFIT5/OAS2/MX1
BP	GO:0150076	neuroinflammatory response	23	0.7251264799730491	2.225599745733919	1.73692762285945e-5	0.01383173363670409	0.013381046627193714	974	tags=61%, list=16%, signal=51%	CX3CR1/IFNG/JUN/ITGB2/LDLR/ITGAM/PSEN1/MT1X/SYT11/BPGM/CST7/IFNGR1/TNF/TNFRSF1B
CC	GO:0098636	protein complex involved in cell adhesion	14	0.8238029741526937	2.2243925317303024	1.294639817403352e-5	0.01383173363670409	0.013381046627193714	521	tags=57%, list=9%, signal=52%	TSPAN32/ITGB7/ITGA6/ITGB2/ITGAX/LGALS1/ITGAM/ITGAL
BP	GO:0061900	glial cell activation	18	0.762512394874735	2.1963844465344984	1.0569131650111368e-5	0.01383173363670409	0.013381046627193714	855	tags=67%, list=14%, signal=57%	CX3CR1/IFNG/JUN/ITGB2/LDLR/ITGAM/PSEN1/MT1X/SYT11/CST7/IFNGR1/TNF
BP	GO:0050832	defense response to fungus	12	0.840305564818088	2.1638250511245154	1.3651827546404043e-5	0.01383173363670409	0.013381046627193714	169	tags=33%, list=3%, signal=32%	CX3CR1/S100A9/SPON2/S100A8
BP	GO:0045069	regulation of viral genome replication	58	-0.5844140748816762	-2.153564112085016	1.2051199366865797e-5	0.01383173363670409	0.013381046627193714	1037	tags=43%, list=17%, signal=36%	PKN2/IFITM3/SRPK1/VAPB/PPIE/APOBEC3G/APOBEC3C/TRIM38/ADAR/IFI16/CXCL8/IFIH1/TMEM39A/APOBEC3F/ISG15/HACD3/N4BP1/OASL/PLSCR1/APOBEC3D/APOBEC3H/EIF2AK2/IFIT5/OAS2/MX1
BP	GO:0019079	viral genome replication	86	-0.5164883653862813	-2.042928596023165	7.196510013073509e-6	0.01383173363670409	0.013381046627193714	1037	tags=34%, list=17%, signal=28%	PKN2/IFITM3/SRPK1/VAPB/SMARCB1/PPIE/APOBEC3G/APOBEC3C/TRIM38/ADAR/IFI16/ATG16L2/DDX56/CXCL8/IFIH1/TMEM39A/APOBEC3F/ISG15/GRK2/HACD3/N4BP1/OASL/PLSCR1/APOBEC3D/APOBEC3H/EIF2AK2/IFIT5/OAS2/MX1
