ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0071753	IgM immunoglobulin complex	5	0.9953633383963546	1.8753913999844332	4.997080882458043e-10	7.549090089129365e-6	7.3199344800301185e-6	63	tags=100%, list=1%, signal=100%	IGLC3/JCHAIN/IGKC/IGHM/IGLC1
MF	GO:0003823	antigen binding	46	0.6898153909588708	2.0605193230032346	6.315293562561574e-8	4.770256992480885e-4	4.6254539587687823e-4	1899	tags=43%, list=15%, signal=37%	IGHA1/JCHAIN/IGKC/TRBV28/IGHM/IGHD/IGLC1/TSPAN4/CD1D/KLRD1/SLAMF1/ITGA4/IGHG1/CD1C/HLA-DQA1/IL7R/HLA-DRB5/HLA-DPA1/HLA-DPB1/SLC7A5
CC	GO:0071738	IgD immunoglobulin complex	4	0.9952837729816147	1.7621245080254657	1.064161305637669e-7	5.358761614756089e-4	5.196094290966246e-4	63	tags=100%, list=1%, signal=100%	IGLC3/IGKC/IGHD/IGLC1
BP	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	113	-0.3888648676440596	-2.006248854521285	1.4843770980668773e-7	5.606121205124079e-4	5.435945183341755e-4	2835	tags=51%, list=23%, signal=40%	LMAN1/STX5/TMED10/COG3/COPB1/MIA3/LMAN2L/SEC16A/ZW10/TBC1D20/ARCN1/MIA2/TRAPPC3/TRAPPC8/TRAPPC10/RAB1B/P4HB/VCP/TFG/YIF1A/TMED2/SEC24B/INSIG1/TRAPPC4/BCAP29/RAB1A/SEC22C/TMED5/TMED9/SCFD1/SEC31A/YIPF6/COPA/SEC23B/GBF1/YKT6/VAPB/TRAPPC11/SEC23A/TEX261/SEC24D/ERGIC1/ARF4/COPG1/TMED7/YIPF4/TRIP11/TRAPPC6B/SEC23IP/SEC22A/SEC24C/GOLGA2/SEC22B/KDELR2/HYOU1/USO1/BET1/COPB2
CC	GO:0071745	IgA immunoglobulin complex	6	0.9728685821486904	1.9255759788778968	2.531116388883676e-7	7.647515057373139e-4	7.415371719516892e-4	63	tags=83%, list=1%, signal=83%	IGLC3/IGHA1/JCHAIN/IGKC/IGLC1
CC	GO:0019814	immunoglobulin complex	15	0.8547273994164224	2.1072233983623176	6.400464835133921e-7	0.0013813117466338308	0.0013393814833943408	1659	tags=87%, list=13%, signal=75%	IGLC3/IGHA1/JCHAIN/IGKC/IGHM/IGHD/IGLC1/CD79A/IGHG1/CD79B/LIME1/IGHG3/IGHG4
CC	GO:0072562	blood microparticle	50	0.6542129417386903	1.9764213827082648	5.800894066586295e-7	0.0013813117466338308	0.0013393814833943408	1659	tags=44%, list=13%, signal=38%	FN1/IGLC3/IGHA1/JCHAIN/IGKC/IGLC2/HBA2/IGHM/IGHD/IGLC1/CLU/SERPING1/IGHG1/HSPA1B/HSPA2/F13A1/ITGA2B/ITIH4/HSPA8/TFRC/IGHG3/IGHG4
BP	GO:0031341	regulation of cell killing	79	0.5747785517674258	1.8238054848825866	2.0600761451607776e-6	0.0035505854012745997	0.003442805980088515	1901	tags=32%, list=15%, signal=27%	FCER2/FCGR2B/XCL1/KLRC1/ULBP2/SERPINB4/CXCL6/KLRK1/KLRB1/RASGRP1/CD1D/KLRD1/IL18RAP/CD1C/HFE/IFNG/KLRC4/KLRC3/CX3CR1/IL7R/CR1/PRF1/CD59/CRTAM/LGALS9
BP	GO:0002250	adaptive immune response	347	0.43732225569515737	1.4877550125726926	2.1152623691978153e-6	0.0035505854012745997	0.003442805980088515	2696	tags=32%, list=22%, signal=26%	FCER2/IGLC3/IGHA1/JCHAIN/C1QA/IGKC/TRBV28/IGHM/FCGR2B/IRF4/IGHD/XCL1/HLA-DOA/KLRC1/IGLC1/ULBP2/TRGC1/RNF125/CARD9/KDM5D/RAP1GAP2/RORA/CD79A/TRAT1/TNFRSF13C/CD28/KLRK1/FUT7/CLU/CAMK4/BACH2/ADGRE1/CD1D/KLRD1/ITK/SLAMF1/MEF2C/SERPING1/FCGR1A/SLA2/PRKCQ/HLA-DQA2/IGHG1/CD8A/CD79B/TNFRSF21/CD1C/HFE/IFNG/SKAP1/TRDC/CD3E/HLA-DMB/CD27/EMP2/CD80/ZAP70/HLA-DQA1/PYCARD/ERAP2/HLA-DMA/CLEC10A/THOC1/CX3CR1/BTK/CLEC6A/IL7R/CR1/HLA-DRB5/CD7/CD3G/OTUD7B/CD40LG/BTN3A1/TNFSF13/LIME1/HLA-DPA1/CD6/TFRC/PRF1/IGHG3/IGHG4/GATA3/HLA-DPB1/TRBC2/CLCF1/C5/ERCC1/IL1B/BATF/JAG1/WAS/CD8B/INPP5D/C1RL/HLA-DQB1/CD84/EIF2AK4/HSPD1/BTN3A2/CD3D/CTSC/LEF1/SHLD1/SH2D1A/PRR7/TRBC1/ATAD5/PRKCB/EXOSC6/IL21R
CC	GO:0071742	IgE immunoglobulin complex	3	0.9952042202861482	1.6396935481441743	5.0490611801146915e-6	0.007190144325406118	0.006971884656631924	63	tags=100%, list=1%, signal=100%	IGLC3/IGKC/IGLC1
BP	GO:0050851	antigen receptor-mediated signaling pathway	169	0.47957339870941296	1.5952119106221334	5.235426463193705e-6	0.007190144325406118	0.006971884656631924	2791	tags=37%, list=22%, signal=29%	IGLC3/IGHA1/IGKC/IGHM/FCGR2B/IGHD/IGLC1/TRGC1/CD79A/TRAT1/FCRL3/CD28/BANK1/CARD11/ITK/MEF2C/TESPA1/FCHO1/PTPN22/SLA2/EIF2B3/MNDA/IGHG1/CD8A/CD79B/TNFRSF21/SKAP1/TRDC/SHB/EZR/CD3E/MS4A1/CD300A/ZAP70/CACNB3/NFATC2/BTK/CD3G/PAWR/BTN3A1/LIME1/IGHG3/IGHG4/GATA3/PRAM1/HLA-DPB1/TRBC2/CD8B/INPP5D/PRKCH/HLA-DQB1/BTN3A2/FOXP1/CD3D/STOML2/SH2D1A/TRBC1/PRKCB/PLCL2/PDE4D/THEMIS/BCL2
BP	GO:0031952	regulation of protein autophosphorylation	33	-0.5743098394741919	-2.3437068456799572	8.235948206085586e-6	0.009757873872389106	0.009461669759795338	975	tags=36%, list=8%, signal=34%	MOB1B/NLRP12/TAOK2/TESK1/VEGFA/PDGFC/PDGFB/ENG/SRC/PRLR/GPNMB/CAV1
BP	GO:0015691	cadmium ion transport	5	-0.9667439443600607	-2.1201877567551324	9.04284333179635e-6	0.009757873872389106	0.009461669759795338	422	tags=100%, list=3%, signal=97%	SLC39A14/SLC11A1/SLC11A2/SLC39A8
BP	GO:0070574	cadmium ion transmembrane transport	5	-0.9667439443600607	-2.1201877567551324	9.04284333179635e-6	0.009757873872389106	0.009461669759795338	422	tags=100%, list=3%, signal=97%	SLC39A14/SLC11A1/SLC11A2/SLC39A8
BP	GO:0032368	regulation of lipid transport	79	-0.39539975872165134	-1.932994783995766	1.8740764950868074e-5	0.018874449074184264	0.01830150772324773	1313	tags=25%, list=10%, signal=23%	GHRL/SIRT1/AKT2/TMF1/P2RX4/TTC39B/ACSL1/ANXA2/ABCA1/PLA2G4A/P2RX7/ACSL5/NMB/CES1/PPARG/EEPD1/PPARA/NTSR1/DAB2/CAV1
