ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0072562	blood microparticle	45	0.7589690273621945	2.1923943157872428	1e-10	1.4645000000000001e-6	1.4502105263157897e-6	970	tags=42%, list=9%, signal=39%	HBA2/JCHAIN/IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/IGKC/FN1/IGHG4/IGLC2/IGHM/IGHD/HSPA2/CLU/SLC2A1/APOL1/ITGA2B/TFRC
CC	GO:0071735	IgG immunoglobulin complex	7	0.9858512519780323	1.9794738412887165	6.064401644981585e-10	4.440658104537765e-6	4.397329550679542e-6	159	tags=100%, list=1%, signal=99%	IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/IGKC/IGHG4
CC	GO:0019814	immunoglobulin complex	14	0.9155013861032222	2.1662245193637695	1.3323131518186708e-9	6.503908702794812e-6	6.440448523721344e-6	778	tags=93%, list=7%, signal=86%	JCHAIN/IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/IGKC/IGHG4/IGHM/IGHD/CD79A/LIME1/CD79B
BP	GO:0050851	antigen receptor-mediated signaling pathway	163	0.5431462500464191	1.7352730807575305	7.448420982979804e-9	2.7270531323934805e-5	2.700444628487178e-5	2182	tags=40%, list=20%, signal=32%	IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/THEMIS/IGKC/IGHG4/SHB/IGHM/PAWR/IGHD/SH2D1A/TRDC/TRAT1/FCRL3/PDE4D/CD28/CD79A/CD8B/ITK/CD3G/MEF2C/TESPA1/RAB29/GATA3/EZR/LIME1/CD79B/SKAP1/PRAM1/CD300A/CD3E/LAX1/BLNK/NCKAP1L/INPP5D/KLHL6/CARD11/LCK/PLCG1/BTN3A2/MALT1/CBLB/TRBC2/CD8A/MS4A1/EIF2B2/TRBC1/ZAP70/CACNB3/PLEKHA1/STAP1/PTPN22/BTN3A1/EIF2B4/CD3D/PRKCB/NFATC2/HLA-DPB1/SLA2/ABL1/DUSP22/TRAC/HLA-DQB1
CC	GO:0101003	ficolin-1-rich granule membrane	51	-0.5631364982622782	-2.520507297714495	9.562414860730512e-8	2.800831312707967e-4	2.7735029376059847e-4	1709	tags=43%, list=16%, signal=36%	PTPRN2/FCAR/ARL8A/MGAM/UBR4/SERPINB10/SLC2A3/CD93/LAMP1/SIRPA/LAMP2/VPS35L/ADAM8/DYNLL1/SIGLEC5/ATP6V0A1/TRPM2/SLC11A1/SIGLEC14/FPR1/CLEC4D/FPR2
CC	GO:0071745	IgA immunoglobulin complex	5	0.9865984178687762	1.8150080603826784	1.478312818608121e-7	3.608315204752655e-4	3.573108017888436e-4	149	tags=100%, list=1%, signal=99%	JCHAIN/IGHA1/IGLC1/IGLC3/IGKC
CC	GO:0071753	IgM immunoglobulin complex	5	0.9798976268031643	1.802680866688918	8.712560459312722e-7	0.0018227921132376403	0.0018050066984654342	221	tags=100%, list=2%, signal=98%	JCHAIN/IGLC1/IGLC3/IGKC/IGHM
CC	GO:0071746	IgA immunoglobulin complex, circulating	2	0.9996278377372534	1.476724590022396	2.1546912260608454e-6	0.002427342538897006	0.002403658382302856	6	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071748	monomeric IgA immunoglobulin complex	2	0.9996278377372534	1.476724590022396	2.1546912260608454e-6	0.002427342538897006	0.002403658382302856	6	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071749	polymeric IgA immunoglobulin complex	2	0.9996278377372534	1.476724590022396	2.1546912260608454e-6	0.002427342538897006	0.002403658382302856	6	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071750	dimeric IgA immunoglobulin complex	2	0.9996278377372534	1.476724590022396	2.1546912260608454e-6	0.002427342538897006	0.002403658382302856	6	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071751	secretory IgA immunoglobulin complex	2	0.9996278377372534	1.476724590022396	2.1546912260608454e-6	0.002427342538897006	0.002403658382302856	6	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
CC	GO:0071752	secretory dimeric IgA immunoglobulin complex	2	0.9996278377372534	1.476724590022396	2.1546912260608454e-6	0.002427342538897006	0.002403658382302856	6	tags=100%, list=0%, signal=100%	JCHAIN/IGHA1
BP	GO:0050853	B cell receptor signaling pathway	59	0.6184327792950846	1.841923007394614	3.69883782459548e-6	0.003869248567228629	0.003831495391688115	2066	tags=46%, list=19%, signal=37%	IGHA1/IGHG3/IGLC1/IGLC3/IGHG1/IGKC/IGHG4/IGHM/IGHD/FCRL3/CD79A/ITK/MEF2C/LIME1/CD79B/CD300A/BLNK/NCKAP1L/KLHL6/LCK/MS4A1/PLEKHA1/STAP1/PTPN22/PRKCB/NFATC2/ABL1
