ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0005125	cytokine activity	66	0.7351258385559097	2.9241581708611717	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	951	tags=45%, list=9%, signal=42%	CCL7/CXCL3/XCL1/CXCL2/AREG/IL1B/XCL2/IFNG/CXCL1/CSF3/CCL3/IL1RN/CSF2/CCL3L1/CXCL5/CXCL16/GREM2/OSM/CXCL8/CCL4/TGFB1/FASLG/TIMP1/IL6/CCL20/TNF/INHBA/TNFSF8/NAMPT/CCL5
BP	GO:1990266	neutrophil migration	74	0.6991807103268577	2.8424001018960614	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	951	tags=41%, list=9%, signal=37%	CCL7/CXCL3/XCL1/CXCL2/IL1B/S100A9/XCL2/CXCL1/VAV3/S100A8/S100A12/CCL3/CCL3L1/IL1R1/CXCL5/CXCL8/TREM1/CCL4/TNFAIP6/ITGB2/C3AR1/MPP1/CSF3R/MCU/JAM3/CCL20/CD99L2/PDE4B/VAV1/CCL5
BP	GO:0097530	granulocyte migration	84	0.679556327152161	2.8338209098253415	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	951	tags=39%, list=9%, signal=36%	CCL7/CXCL3/XCL1/CXCL2/IL1B/S100A9/XCL2/CXCL1/VAV3/S100A8/S100A12/CCL3/CCL3L1/IL1R1/CXCL5/THBS1/CD300A/CXCL8/TREM1/CCL4/TNFAIP6/ITGB2/C3AR1/MPP1/CSF3R/MCU/JAM3/CCL20/CD99L2/PDE4B/VAV1/SLAMF1/CCL5
BP	GO:0030593	neutrophil chemotaxis	61	0.718116652602199	2.8166544281357537	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	951	tags=46%, list=9%, signal=42%	CCL7/CXCL3/XCL1/CXCL2/IL1B/S100A9/XCL2/CXCL1/VAV3/S100A8/S100A12/CCL3/CCL3L1/CXCL5/CXCL8/TREM1/CCL4/TNFAIP6/ITGB2/C3AR1/MPP1/CSF3R/MCU/JAM3/CCL20/PDE4B/VAV1/CCL5
BP	GO:0071621	granulocyte chemotaxis	69	0.6940664941122259	2.782716441623375	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	951	tags=43%, list=9%, signal=40%	CCL7/CXCL3/XCL1/CXCL2/IL1B/S100A9/XCL2/CXCL1/VAV3/S100A8/S100A12/CCL3/CCL3L1/CXCL5/THBS1/CXCL8/TREM1/CCL4/TNFAIP6/ITGB2/C3AR1/MPP1/CSF3R/MCU/JAM3/CCL20/PDE4B/VAV1/SLAMF1/CCL5
MF	GO:0048018	receptor ligand activity	109	0.6278296468059164	2.7359806581245345	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	868	tags=38%, list=8%, signal=35%	CCL7/CXCL3/XCL1/CXCL2/AREG/IL1B/PDGFA/EREG/XCL2/IFNG/CXCL1/METRNL/CSF3/CCL3/NBL1/IL1RN/CSF2/ADM/CCL3L1/ADA2/SEMA6B/CXCL5/CXCL16/GREM2/OSM/CXCL8/CCL4/SEMA4A/TGFB1/FASLG/METRN/NRG2/TIMP1/IL6/CCL20/TYMP/TNF/INHBA/TNFSF8/FGF9/NAMPT
BP	GO:0070098	chemokine-mediated signaling pathway	37	0.7701503816151258	2.711183745991644	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	405	tags=41%, list=4%, signal=39%	CCL7/CXCL3/XCL1/CXCL2/XCL2/CXCL1/GPR35/CCL3/CXCR6/CCL3L1/CXCL5/CXCL8/CXCR3/CCL4/CCR1
BP	GO:1990868	response to chemokine	44	0.7416964495566055	2.705250685858812	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	405	tags=36%, list=4%, signal=35%	CCL7/CXCL3/XCL1/CXCL2/XCL2/CXCL1/GPR35/CCL3/CXCR6/CCL3L1/CXCL5/DUSP1/CXCL8/CXCR3/CCL4/CCR1
BP	GO:1990869	cellular response to chemokine	44	0.7416964495566055	2.705250685858812	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	405	tags=36%, list=4%, signal=35%	CCL7/CXCL3/XCL1/CXCL2/XCL2/CXCL1/GPR35/CCL3/CXCR6/CCL3L1/CXCL5/DUSP1/CXCL8/CXCR3/CCL4/CCR1
BP	GO:0097529	myeloid leukocyte migration	125	0.6071828009063502	2.6935107083718655	1e-10	2.5776785714285716e-8	2.3659774436090227e-8	1347	tags=38%, list=12%, signal=34%	CCL7/CXCL3/XCL1/CXCL2/IL1B/S100A9/XCL2/CXCL1/VAV3/S100A8/S100A12/CCL3/NBL1/AIF1/CCL3L1/IL1R1/CXCL5/THBS1/CD9/DUSP1/CD300A/CXCL8/TREM1/CCL4/TNFAIP6/ITGB2/C3AR1/CCR1/MPP1/CSF3R/SPI1/MCU/B4GALT1/IL6/JAM3/CCL20/CD99L2/PDE4B/VAV1/SLAMF1/CCL5/LGMN/PLCB1/CD74/MMP14/P2RX4/SELENOK/PDGFB
