ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0048018	receptor ligand activity	102	0.6051059023056571	2.525317245572812	1e-10	3.593e-7	3.4605263157894736e-7	1737	tags=44%, list=16%, signal=38%	CCL7/CXCL3/CXCL1/NBL1/IL1RN/IL1B/CXCL2/INHBA/XCL1/SCGB3A1/METRNL/EREG/SEMA6B/CCL3L1/CCL3/XCL2/NRG2/SEMA4A/OSM/CXCL8/TNFSF8/IFNG/TGFB1/ADM/CCL4/AREG/TNF/ADA2/TYMP/CSF3/IL6/FASLG/WNT10A/CCL20/NAMPT/ALKBH1/GFER/CLEC11A/CXCL16/TIMP1/LTA/FGF9/CCL5/FLT3LG/WNT7A
MF	GO:0030546	signaling receptor activator activity	107	0.5840393488127766	2.45131752537042	1e-10	3.593e-7	3.4605263157894736e-7	1737	tags=42%, list=16%, signal=36%	CCL7/CXCL3/CXCL1/NBL1/IL1RN/IL1B/CXCL2/INHBA/XCL1/SCGB3A1/METRNL/EREG/SEMA6B/CCL3L1/CCL3/XCL2/NRG2/SEMA4A/OSM/CXCL8/TNFSF8/IFNG/TGFB1/ADM/CCL4/AREG/TNF/ADA2/TYMP/CSF3/IL6/FASLG/WNT10A/CCL20/NAMPT/ALKBH1/GFER/CLEC11A/CXCL16/TIMP1/LTA/FGF9/CCL5/FLT3LG/WNT7A
MF	GO:0030545	signaling receptor regulator activity	115	0.5724413098674634	2.4393920542597507	1e-10	3.593e-7	3.4605263157894736e-7	1737	tags=42%, list=16%, signal=36%	CCL7/CXCL3/CXCL1/NBL1/IL1RN/IL1B/CXCL2/INHBA/XCL1/SCGB3A1/METRNL/EREG/SEMA6B/CCL3L1/CCL3/XCL2/NRG2/SEMA4A/OSM/CXCL8/TNFSF8/IFNG/TGFB1/ADM/CCL4/AREG/TNF/ADA2/TYMP/CSF3/DKK3/MTRNR2L12/IL18BP/IL6/FASLG/WNT10A/CCL20/NAMPT/ALKBH1/GFER/CLEC11A/CXCL16/TIMP1/LTA/FGF9/CCL5/FLT3LG/WNT7A
BP	GO:0006954	inflammatory response	397	0.3927518448247623	1.9545166537749057	1e-10	3.593e-7	3.4605263157894736e-7	1296	tags=22%, list=12%, signal=20%	CCL7/CXCL3/CXCL1/PTGS2/LYZ/IL1RN/S100A12/IL1B/CXCL2/CXCR6/XCL1/S100A9/METRNL/IGFBP4/KLF4/CLEC7A/CD14/CCL3L1/CCL3/NINJ1/XCL2/CST7/OLR1/S100A8/TNFAIP6/TNIP3/KRT1/JUN/PIK3AP1/CCRL2/OSM/ITGB2/FOS/CXCL8/AIF1/IFNG/PTGER2/CD68/CXCR3/ADGRE5/SPHK1/TGFB1/ABCD1/PER1/PLK2/ADM/SERPINA1/CYBB/FASN/IER3/NLRP3/CCL4/TNFRSF4/FURIN/B4GALT1/DUSP10/DHRS7B/THBS1/LTB4R/JAM3/REL/RHBDF2/TNF/NCR3/HAVCR2/TNFAIP3/KLRG1/NFKB2/PLCG1/ABCC1/NFKB1/IRAK2/ZBP1/UNC13D/IL6/NFKBIA/SIGIRR/SLC39A8/NOD2/GATA3/PTGIR/CXCR4/LGALS1/GBP5/CCL20/IL1RAP/NT5E/ZC3H12A
BP	GO:0097529	myeloid leukocyte migration	126	0.542894379999681	2.347008642615827	2.9865478848666323e-10	8.584533240260648e-7	8.268022039157097e-7	1417	tags=33%, list=13%, signal=29%	CCL7/CXCL3/CXCL1/NBL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CD300A/CCL3L1/CCL3/XCL2/S100A8/TNFAIP6/CD9/DUSP1/ITGB2/CXCL8/CSF3R/AIF1/VAV3/P2RX4/CCL4/B4GALT1/THBS1/PECAM1/JAM3/MCOLN2/FCER1G/IL6/SWAP70/NOD2/MPP1/CD74/LGMN/CCL20/SPI1/SELENOK/RIN3
BP	GO:0097530	granulocyte migration	85	0.6051384852996691	2.439352283013854	3.7712437955224016e-10	9.033385971541326e-7	8.700325598442032e-7	766	tags=29%, list=7%, signal=28%	CCL7/CXCL3/CXCL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CD300A/CCL3L1/CCL3/XCL2/S100A8/TNFAIP6/ITGB2/CXCL8/CSF3R/VAV3/CCL4/THBS1/PECAM1/JAM3/MCOLN2/FCER1G
BP	GO:0060326	cell chemotaxis	149	0.4947952554006727	2.185242092279478	1.0680405870050198e-9	2.192839902348021e-6	2.111990032949776e-6	1417	tags=31%, list=13%, signal=27%	CCL7/CXCL3/CXCL1/NBL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CCL3L1/CCL3/NINJ1/XCL2/NR4A1/S100A8/TNFAIP6/KLRK1/DUSP1/ITGB2/CXCL8/CSF3R/AIF1/VAV3/P2RX4/CCL4/THBS1/JAM3/NEDD9/FCER1G/ABCC1/IL6/SWAP70/NOD2/CXCR4/MPP1/CD74/LGMN/CCL20/GPR183/FGFR1/SPI1/BIN2/RAB13/CXCL16/RIN3
MF	GO:0005125	cytokine activity	63	0.6511261216700566	2.4903434498877424	1.5114073480542307e-9	2.4321245852065957e-6	2.3424523045883616e-6	1737	tags=51%, list=16%, signal=43%	CCL7/CXCL3/CXCL1/IL1RN/IL1B/CXCL2/INHBA/XCL1/SCGB3A1/CCL3L1/CCL3/XCL2/OSM/CXCL8/TNFSF8/IFNG/TGFB1/CCL4/AREG/TNF/CSF3/IL6/FASLG/WNT10A/CCL20/NAMPT/CXCL16/TIMP1/LTA/CCL5/FLT3LG/WNT7A
BP	GO:0071621	granulocyte chemotaxis	69	0.6287852816003774	2.447349517710795	1.5230393311201893e-9	2.4321245852065957e-6	2.3424523045883616e-6	1212	tags=38%, list=11%, signal=34%	CCL7/CXCL3/CXCL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CCL3L1/CCL3/XCL2/S100A8/TNFAIP6/ITGB2/CXCL8/CSF3R/VAV3/CCL4/THBS1/JAM3/FCER1G/NOD2/MPP1/CD74/CCL20
BP	GO:1990266	neutrophil migration	75	0.6151521079611943	2.4341600475045175	2.4735676210997882e-9	3.5550113850446157e-6	3.4239383386802334e-6	1212	tags=36%, list=11%, signal=32%	CCL7/CXCL3/CXCL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CCL3L1/CCL3/XCL2/S100A8/TNFAIP6/ITGB2/CXCL8/CSF3R/VAV3/CCL4/PECAM1/JAM3/MCOLN2/FCER1G/NOD2/MPP1/CD74/CCL20
BP	GO:0030593	neutrophil chemotaxis	61	0.6468976039193378	2.4593106697312743	2.869645610108148e-9	3.7493224280431185e-6	3.6110851457341766e-6	1212	tags=41%, list=11%, signal=37%	CCL7/CXCL3/CXCL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CCL3L1/CCL3/XCL2/S100A8/TNFAIP6/ITGB2/CXCL8/CSF3R/VAV3/CCL4/JAM3/FCER1G/NOD2/MPP1/CD74/CCL20
BP	GO:0030595	leukocyte chemotaxis	124	0.5200858127344362	2.2409933968542095	6.385509991274392e-9	7.647712466216298e-6	7.3657417881805485e-6	1417	tags=32%, list=13%, signal=28%	CCL7/CXCL3/CXCL1/NBL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CCL3L1/CCL3/NINJ1/XCL2/S100A8/TNFAIP6/KLRK1/DUSP1/ITGB2/CXCL8/CSF3R/AIF1/VAV3/CCL4/THBS1/JAM3/NEDD9/FCER1G/IL6/SWAP70/NOD2/CXCR4/MPP1/CD74/LGMN/CCL20/GPR183/SPI1/CXCL16/RIN3
BP	GO:0050900	leukocyte migration	214	0.4367418120930942	2.025146308996373	8.215928028445589e-9	9.083024432678461e-6	8.748133892636395e-6	1219	tags=25%, list=11%, signal=22%	CCL7/CXCL3/CXCL1/NBL1/S100A12/IL1B/CXCL2/XCL1/S100A9/TREM1/CD300A/CCL3L1/EPS8/CCL3/NINJ1/XCL2/S100A8/TNFAIP6/CD9/KLRK1/ICAM1/DUSP1/ITGB2/CXCL8/CSF3R/AIF1/CXCR3/VAV3/P2RX4/TBX21/CCL4/B4GALT1/CRTAM/THBS1/PECAM1/JAM3/NEDD9/TNF/ABL1/MCOLN2/FCER1G/IL6/TNFRSF18/SWAP70/ST3GAL4/NOD2/GATA3/CXCR4/MPP1/CD74/LGMN/CCL20/GPR183
BP	GO:0032496	response to lipopolysaccharide	180	0.458316813214313	2.0724776901554343	1.4736014778907988e-8	1.5127571743033259e-5	1.4569819123506771e-5	1731	tags=32%, list=15%, signal=28%	CXCL3/CXCL1/PTGS2/IL1B/CXCL2/S100A9/CD14/SLC7A5/CCL3/NR4A1/S100A8/TNIP3/KLRK1/FOS/CXCL8/PTGER2/CD68/TGFB1/ADM/IL12RB2/NLRP3/JUND/DUSP10/TNF/HAVCR2/ABL1/TNFAIP3/SOD2/CSF3/NFKB1/IRAK2/MAPKAPK3/IL18BP/IL6/NFKBIA/IRF8/SIGIRR/GCH1/FASLG/NOD2/PLSCR3/PTGIR/PTPN22/ZC3H12A/ADAM9/GFER/AKAP8/SPI1/LITAF/NOCT/TNFRSF1B/XBP1/NFKBIZ/LTA/TNIP1/CCL5/PELI1/UPF1
BP	GO:0002237	response to molecule of bacterial origin	185	0.4515752701382102	2.0486351524802346	1.747954024148877e-8	1.6747730156711772e-5	1.6130242398286132e-5	1731	tags=32%, list=15%, signal=27%	CXCL3/CXCL1/PTGS2/IL1B/CXCL2/S100A9/CD14/SLC7A5/CCL3/NR4A1/S100A8/TNIP3/KLRK1/FOS/CXCL8/PTGER2/CD68/TGFB1/ADM/IL12RB2/NLRP3/JUND/DUSP10/TNF/HAVCR2/ABL1/TNFAIP3/SOD2/CSF3/NFKB1/IRAK2/MAPKAPK3/IL18BP/IL6/NFKBIA/SIRT2/IRF8/SIGIRR/GCH1/FASLG/NOD2/PLSCR3/PTGIR/PTPN22/ZC3H12A/ADAM9/GFER/AKAP8/SPI1/LITAF/NOCT/TNFRSF1B/XBP1/NFKBIZ/LTA/TNIP1/CCL5/PELI1/UPF1
