ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0030595	leukocyte chemotaxis	108	0.5529167619603395	2.4160187073988806	1e-10	6.828e-7	6.459473684210527e-7	697	tags=31%, list=8%, signal=29%	CCL7/CXCL3/JAM3/CXCL1/NBL1/TNFAIP6/AIF1/TNFRSF11A/IL1B/CSF1/CXCL2/S100A12/S100A9/SPI1/S100A8/NINJ1/PTK2/THBS1/CCR7/MPP1/CXCL8/XCL1/NEDD9/GPR183/IL23A/CCL3/VAV1/LGALS3/PDE4B/SWAP70/VEGFA/LGALS9/SLC12A2
BP	GO:0006954	inflammatory response	352	0.42173376299463566	2.140786477917652	1e-10	6.828e-7	6.459473684210527e-7	1086	tags=28%, list=12%, signal=26%	ADORA2A/CCL7/CXCL3/IL1RN/JAM3/IL1R1/CXCL1/IL2RA/PLK2/LYZ/TPST1/IFNG/MMP9/NLRP3/OLR1/TNFAIP6/AIF1/TNFRSF11A/CCRL2/IL1B/PTGS2/CSF1/CXCL2/S100A12/S100A9/S100A8/NINJ1/NFKBIZ/CD14/IER3/THBS1/SPHK1/ITGAM/KDM6B/IL4R/CCR7/CXCL8/FURIN/BPGM/XCL1/ZC3H12A/IRAK2/TRAF3IP2/B4GALT1/IL23A/SERPINA1/ADGRE5/NFKB1/CCL3/SMAD3/NFKB2/CD68/IFNGR2/BIRC2/USP18/SLC39A8/REL/SLC11A1/NFKBIB/NFKBIA/IL1RAP/LXN/JUN/RABGEF1/NCF1/TNFRSF4/IL18RAP/OTULIN/YES1/LGALS9/CLEC7A/SBNO2/MAPK13/GIT1/EZH2/SPATA2/SIGIRR/RELB/LTA/HAVCR2/IFNGR1/HIF1A/TFRC/IL18/NFKBID/POLB/TCIRG1/DUSP10/TNFRSF1B/PSMA6/XCL2/ITGB2/TLR1/NFE2L2/NR1D2/PARK7/LDLR/CD96/IL6
BP	GO:0097529	myeloid leukocyte migration	108	0.5370770034860262	2.346805481417199	2.1394419270649724e-10	7.457865382913896e-7	7.055343465336405e-7	679	tags=30%, list=7%, signal=28%	CCL7/CXCL3/JAM3/IL1R1/CXCL1/NBL1/TNFAIP6/AIF1/TNFRSF11A/IL1B/CSF1/CXCL2/S100A12/S100A9/SPI1/S100A8/PTK2/THBS1/CCR7/MPP1/CXCL8/XCL1/B4GALT1/IL23A/CCL3/VAV1/CNN2/LGALS3/RABGEF1/PDE4B/SWAP70/VEGFA
BP	GO:0034097	response to cytokine	483	0.33834188277888566	1.7697536099516677	2.1844948397521665e-10	7.457865382913896e-7	7.055343465336405e-7	1353	tags=24%, list=15%, signal=22%	CCL7/CXCL3/IL1RN/IL1R1/CXCL1/IL2RA/IFNG/IL12RB2/AIF1/TNFRSF11A/CCRL2/LAMP3/PIGA/IL1B/PTGS2/CSF1/CXCL2/GPR35/SPI1/NFKBIZ/EREG/CD14/IL15RA/IKBKE/TRAF1/CSF2/TRAF4/THBS1/SPHK1/IL4R/RFX2/CCR7/IFITM1/CXCL8/XCL1/ZC3H12A/PCK2/IRAK2/TRAF3IP2/STAT4/IFITM3/ACSL1/BCL2L1/NFKB1/CCL3/SPOCK2/NFKB2/OAS3/IFNGR2/BIRC2/USP18/HSPD1/IRF8/REL/SLC11A1/NFAT5/NFKBIA/FAS/SELL/TNFRSF18/IL1RAP/RABGEF1/TNFRSF4/IL18RAP/EIF5A/OTULIN/LGALS9/SLC12A2/SBNO2/MAPK13/RARA/WDR35/TYMS/GCH1/MUL1/MT2A/IL12RB1/SPATA2/SIGIRR/RELB/NFIL3/IL21R/IFNGR1/HIF1A/TFRC/IL18/TCIRG1/TNFRSF1B/XCL2/STAT6/ACTG1/ARHGEF2/MX2/TNFRSF25/XBP1/CNOT9/NFE2L2/IL6/GBP1/COMMD7/SRSF3/HSPA5/RELA/VAMP3/KYNU/GBP4/HSP90AB1/SPPL2A/CYP1B1/CD44/TNIP2/KDM5B/IFITM2/GBP2/DUSP1/ETV3/PRKACA/NR1H2
BP	GO:0002237	response to molecule of bacterial origin	167	0.46809857603398397	2.186025049827084	3.82075758013219e-10	8.696044252380864e-7	8.226694347537258e-7	1307	tags=37%, list=14%, signal=32%	CXCL3/CXCL1/NR4A1/IL12RB2/NLRP3/TNFRSF11A/IL1B/PTGS2/CSF1/CXCL2/S100A9/SPI1/S100A8/NFKBIZ/CD14/CSF2/CD55/NOCT/CCR7/CXCL8/ZC3H12A/PCK2/IRAK2/JUND/NFKB1/SLC7A5/CCL3/CD68/TAB2/IRF8/PELI1/SLC11A1/NFKBIB/NFKBIA/PDE4B/LGALS9/ABCA1/SBNO2/RARA/GIT1/GCH1/LITAF/SOD2/SIGIRR/LTA/HAVCR2/IL18/DUSP10/TNFRSF1B/XBP1/TLR1/ABL1/CD96/IL6/ARID5A/NFKBIL1/RELA/TGFB1/WDR83/TNIP2/PTGER4
BP	GO:0050900	leukocyte migration	182	0.4575880921270253	2.1677188962308227	3.4326004995193194e-10	8.696044252380864e-7	8.226694347537258e-7	697	tags=24%, list=8%, signal=23%	RIPK3/CCL7/CXCL3/JAM3/IL1R1/CXCL1/NBL1/TNFAIP6/AIF1/TNFRSF11A/ICAM1/CRTAM/IL1B/CSF1/CXCL2/S100A12/S100A9/SPI1/S100A8/NINJ1/PTK2/THBS1/CCR7/MPP1/CXCL8/XCL1/B4GALT1/NEDD9/GPR183/IL23A/CCL3/VAV1/CNN2/LGALS3/ITGA6/SELL/TNFRSF18/RABGEF1/PDE4B/YES1/SWAP70/VEGFA/LGALS9/SLC12A2
BP	GO:0019221	cytokine-mediated signaling pathway	246	0.4107748103446993	2.012184395956202	7.901546470009409e-10	1.5414788370635499e-6	1.458280899645496e-6	960	tags=24%, list=11%, signal=22%	CCL7/CXCL3/IL1RN/IL1R1/CXCL1/IL2RA/IFNG/IL12RB2/TNFRSF11A/CCRL2/IL1B/CSF1/CXCL2/GPR35/SPI1/NFKBIZ/EREG/IL15RA/IKBKE/TRAF1/CSF2/TRAF4/SPHK1/IL4R/CCR7/IFITM1/CXCL8/XCL1/IRAK2/TRAF3IP2/STAT4/IFITM3/ACSL1/CCL3/OAS3/IFNGR2/BIRC2/USP18/NFKBIA/FAS/TNFRSF18/IL1RAP/RABGEF1/TNFRSF4/IL18RAP/EIF5A/OTULIN/MUL1/IL12RB1/SPATA2/SIGIRR/IL21R/IFNGR1/HIF1A/IL18/TNFRSF1B/XCL2/STAT6
BP	GO:0032496	response to lipopolysaccharide	163	0.4699490187687327	2.189876797473583	1.0541610506807218e-9	1.799452913511992e-6	1.7023313914479604e-6	1307	tags=37%, list=14%, signal=32%	CXCL3/CXCL1/NR4A1/IL12RB2/NLRP3/TNFRSF11A/IL1B/PTGS2/CSF1/CXCL2/S100A9/SPI1/S100A8/NFKBIZ/CD14/CSF2/CD55/NOCT/CCR7/CXCL8/ZC3H12A/PCK2/IRAK2/JUND/NFKB1/SLC7A5/CCL3/CD68/TAB2/IRF8/PELI1/SLC11A1/NFKBIB/NFKBIA/PDE4B/LGALS9/ABCA1/SBNO2/RARA/GIT1/GCH1/LITAF/SOD2/SIGIRR/LTA/HAVCR2/IL18/DUSP10/TNFRSF1B/XBP1/ABL1/CD96/IL6/ARID5A/NFKBIL1/RELA/TGFB1/WDR83/TNIP2/PTGER4
MF	GO:0048018	receptor ligand activity	84	0.5754662269892672	2.410690765983824	1.4391232256397637e-9	2.183629641037401e-6	2.0657730231902714e-6	1286	tags=42%, list=14%, signal=36%	CCL7/CXCL3/IL1RN/CXCL1/INHBA/IFNG/NBL1/PDGFA/IL1B/CSF1/CXCL2/SEMA6B/EREG/CSF2/AREG/CXCL8/NAMPT/XCL1/OSGIN2/IL23A/CCL3/LGALS3/VEGFA/LTA/LTB/ADA2/IL18/XCL2/CD320/GMFB/IL6/TGFB1/TYMP/RABEP2/TNFSF14
MF	GO:0005102	signaling receptor binding	518	0.31802775001020356	1.6699683296125167	3.0734636250236753e-9	4.197121926332331e-6	3.970591481043744e-6	1204	tags=22%, list=13%, signal=21%	ADORA2A/ULBP2/CD72/CCL7/CXCL3/RIC3/IL1RN/JAM3/IL1R1/GNA15/CXCL1/INHBA/IFNG/NBL1/CCRL2/PDGFA/ICAM1/CRTAM/IL1B/CSF1/CXCL2/SEMA6B/S100A12/S100A9/PANX1/S100A8/NXPH4/SOCS2/PTK2/EREG/LGR6/TRAF1/CSF2/DAB2/TRAF4/THBS1/ITGAM/FES/AREG/RNF43/CD160/MPP1/CXCL8/NAMPT/GRAP/XCL1/SERPINE2/OSGIN2/TRAF3IP2/ESR2/IL23A/ITGAV/CCL3/SMAD3/BEX5/LGALS3/SIPA1L1/STOML2/ITGA6/IL1RAP/PRNP/YES1/S100B/VEGFA/ABCA1/KCTD10/CLEC7A/RARA/SYTL1/CD8A/IL12RB1/CCDC88A/WIPI1/SLA/LTA/GLA/LTB/ADA2/BID/IL18/CD3E/DNAJB11/ZPR1/S100A4/SLC39A1/XCL2/ITGB2/TMBIM1/TGFBRAP1/CD320/GMFB/SYTL3/S100A13/APBB1/ICAM3/CNOT9/TLR1/SDCBP/ABL1/PARK7/ITGAX/ANXA7/IL6/DNAJA1/DERL1/CLTC/GNA13/PXN/NRIP1/BTN2A2/SQSTM1/FCN1/TGFB1/ITGAE/TNK2/TYMP
