ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0005615	extracellular space	756	0.33682361454961485	1.7558580643809503	2.774295600665303e-10	2.9340950272636245e-6	2.8391265083861133e-6	1040	tags=35%, list=25%, signal=32%	S100B/HBA2/CXCL3/A1BG/KRT86/IL1B/CXCL2/IL32/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/CRELD2/ITGB2/ITGB7/TTC38/CXCL8/RSU1/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/GFER/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/ATXN10/DDX23/PRKCB/TSPO/POMC/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/DIPK2A/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/LTB/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/NUDT1/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/CTSW/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/GNL3/ATP2B1/CAPNS1/PRKRIP1/CTSS/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/LIME1/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/DNAJB11/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TGFB1/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/C1QBP/TSG101/RAB29/PIK3IP1/IL4R/SERPINB2/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/CCL3/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/AREG/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/BLOC1S1/DCXR/XCL2/HEXA/YWHAQ/HPRT1/FGFBP2/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC/DNAJC9/SLC25A3/CD55/HLA-B/CMTM3/WAS/TIMM8B/HNRNPA1
MF	GO:0050786	RAGE receptor binding	6	0.9688170858315811	2.0411954606104366	3.090604644615703e-7	0.0016343117360727837	0.0015814135976291509	96	tags=67%, list=2%, signal=65%	S100B/S100A4/S100A9/S100A8
CC	GO:0043230	extracellular organelle	669	0.31133909337771404	1.6076043709781567	9.263192711215e-7	0.0019593505222761966	0.0018959317797564684	1008	tags=33%, list=24%, signal=30%	HBA2/A1BG/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/ITGB2/ITGB7/TTC38/RSU1/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/DDX23/PRKCB/TSPO/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/ATP2B1/CAPNS1/PRKRIP1/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/TSG101/RAB29/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/DCXR/HEXA/YWHAQ/HPRT1/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC
CC	GO:0065010	extracellular membrane-bounded organelle	669	0.31133909337771404	1.6076043709781567	9.263192711215e-7	0.0019593505222761966	0.0018959317797564684	1008	tags=33%, list=24%, signal=30%	HBA2/A1BG/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/ITGB2/ITGB7/TTC38/RSU1/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/DDX23/PRKCB/TSPO/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/ATP2B1/CAPNS1/PRKRIP1/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/TSG101/RAB29/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/DCXR/HEXA/YWHAQ/HPRT1/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC
CC	GO:1903561	extracellular vesicle	669	0.31133909337771404	1.6076043709781567	9.263192711215e-7	0.0019593505222761966	0.0018959317797564684	1008	tags=33%, list=24%, signal=30%	HBA2/A1BG/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/ITGB2/ITGB7/TTC38/RSU1/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/DDX23/PRKCB/TSPO/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/ATP2B1/CAPNS1/PRKRIP1/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/TSG101/RAB29/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/DCXR/HEXA/YWHAQ/HPRT1/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC
CC	GO:0070062	extracellular exosome	668	0.3116846229349254	1.6096633259989501	1.2534999879223742e-6	0.0022095026453778383	0.0021379871723826885	1008	tags=34%, list=24%, signal=30%	HBA2/A1BG/ANXA2/PRDX1/PRSS23/THBS1/LYZ/SYTL1/S100A4/S100A9/ITGB2/ITGB7/TTC38/RSU1/CEMIP2/ECE1/SOD2/PTGDS/RNASET2/MARCKSL1/TPM4/S100A8/BPGM/CST3/DNAJB1/LGALS3/TUBA1A/DDX23/PRKCB/TSPO/DDX19B/ADGRG1/SRSF7/RHOF/SPON2/NRAS/TXN/ICAM3/SPTBN1/CPD/TOR1A/ITGAM/CAPZB/RAB5A/PHPT1/MYO1G/SERPINB9/PNP/CTNNB1/LGALS1/TIMP1/AKR1C3/GNB2/YES1/SPTAN1/EZR/NUCB1/ACTB/PDXK/PGK1/EXOSC9/OTUB1/CALR/ADGRE5/S100A11/HSPA5/RNH1/DPP7/ARPC4/MAN1A1/GSTK1/RAB4A/PSMB5/PRDX2/SH3BGRL/MGAT4A/IGFBP7/FABP5/FBL/GLUL/ATP2B1/CAPNS1/PRKRIP1/ARHGDIB/CD63/IQGAP2/EHD1/SERPINB6/SDF4/FGR/TAGLN2/COPS8/PSMB3/ANXA4/ITGAL/TUBB4B/WDR1/CD81/TPM3/S100A6/NUCB2/CXCR4/RAB22A/TWF2/CAP1/VAMP8/CUTA/SAMM50/ANXA11/ATP6V0D1/HBS1L/RHOC/CYSTM1/RFTN1/SLC7A5/NAPA/CFL1/ATP1B3/DBI/EIF3H/HSP90B1/ACTG1/EIF4A1/AHNAK/TUBA4A/CACYBP/GNB1/DUT/ASAH1/SYAP1/NUTF2/NT5C/STK24/ANXA7/SEC13/VCL/CIB1/MPST/FLNA/ZNHIT6/LAMTOR1/YWHAZ/PFN1/ALYREF/HNRNPM/PPIB/YWHAB/MIF/SYNGR2/VASP/TSG101/RAB29/LDHA/IST1/HNRNPL/PSMD3/MDH2/CD59/HSPE1/DOCK2/PSMA1/EIF3E/HSP90AB1/GSTO1/ADAM10/MYL12A/RAP1B/GPX4/LCP1/MYL6/B3GAT3/NAPG/BTG2/CDC42/PPIA/TXNDC17/CLIC3/FURIN/PSMA6/PLEC/SEPTIN2/RHOG/FERMT3/B4GALT1/PARK7/S100A10/PDIA3/EIF6/UBB/LMAN2/HLA-E/SSR4/TMBIM1/CCT4/EEF1G/GOLGA7/PRDX5/CTSD/CORO1A/PRNP/PRDX6/CFAP20/RAB11A/GSTP1/EIF3I/PSMD7/ACTN4/SERPINB1/SSBP1/NME2/UBE2N/STK10/TMED9/DCXR/HEXA/YWHAQ/HPRT1/GLOD4/PAFAH1B2/TPP1/UFC1/HLA-A/TXNRD1/UBC
MF	GO:0005509	calcium ion binding	92	0.5354129659868618	2.1735533824973046	2.100254114560648e-6	0.0027765359394491766	0.002686667171284029	787	tags=45%, list=19%, signal=37%	S100B/ANXA2/SPOCK2/THBS1/S100A9/CRELD2/CEMIP2/TPM4/S100A8/CD320/SPTAN1/NUCB1/CALM3/CALR/ADGRE5/CALM2/HSPA5/MGMT/MAN1A1/CAPNS1/SYT11/EHD1/SDF4/CLSTN1/ANXA4/S100A6/NUCB2/GCH1/ANXA11/PRF1/HSP90B1/MICU2/CALM1/ANXA7/CIB1/NCALD/MYL12A/NDUFAB1/LCP1/MYL6/CBL
MF	GO:0005102	signaling receptor binding	295	0.3755018140078788	1.7903848010287724	2.0349535288413455e-6	0.0027765359394491766	0.002686667171284029	789	tags=28%, list=19%, signal=24%	S100B/CXCL3/IL1B/CXCL2/IL32/TOB1/THBS1/CD226/SYTL1/S100A4/CX3CR1/S100A9/FCRL6/ITGB2/ITGB7/PRMT2/CXCL8/CD160/IFNG/EML2/GFER/S100A8/LGALS3/ITGB1BP1/HDGFL3/BID/POMC/CRTAM/ICAM3/CD3E/ITGAM/CD320/PILRB/ITGAE/PIK3AP1/TIMP1/YES1/BTN3A1/SIPA1L1/RNF126/CALM3/LTB/CALR/SH3BP1/FKBP1A/ARRDC3/SCP2/FGR/GALNT11/ITGAL/TUBB4B/CD81/HCST/DOK2/DNAJB11/DBI/HSP90B1/VAV3/TGFB1/ICAM2/DUT/ANXA7/PTPN2/ITGAX/CNPY3/FLNA/MIF/STOML2/C1QBP/STAT3/PIK3IP1/PTPN11/DOCK2/ASXL1/ADAM10/RIPK2/LCP1/ERBIN/CCL3/SLA/CBL/CDC42
MF	GO:0045236	CXCR chemokine receptor binding	4	0.9838069278928274	1.8292862824972957	4.954000072542704e-6	0.005821500529690182	0.0056330747023696105	68	tags=75%, list=2%, signal=74%	CXCL3/CXCL2/CXCL8
MF	GO:0005198	structural molecule activity	78	0.5383649042962624	2.1210452036404512	1.2674318465232103e-5	0.013404359208829472	0.012970497275682792	820	tags=40%, list=19%, signal=33%	MYOM2/KRT86/LMNA/THBS1/TPM4/TUBA1A/TUBA1B/TUBA1C/SPTBN1/ADD3/CLTB/SPTAN1/ACTB/ARPC4/IGFBP7/TUBB4B/DAP3/CTBP2/ACTG1/AHNAK/TUBA4A/NUTF2/SEC13/VCL/DCTN3/NUP214/CCDC6/MYL6/ERBIN/MBP/PLEC
