ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0005615	extracellular space	113	0.6531442573858044	1.933845089668146	1.8837311644745553e-8	4.74700253447588e-6	3.608832336151254e-6	51	tags=33%, list=13%, signal=40%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/GNLY/LYZ/THBS1/CCL3L1/SRGN/TIMP1/CCL5/PTPRC/VIM/S100A9/S100A6/LCP1/S100A11/CXCL3/GAPDH/S100A4/S100A10/LDHA/AGO2/CXCL2/COPA/AHNAK/ITGB1/PPP1CB/LGALS3/ANXA5/CST7/ATP2B1/PSMB9/SPTBN1/TNFAIP3
CC	GO:0005576	extracellular region	124	0.6238258285844529	1.8586090879775534	9.188227605145648e-8	1.1577166782483516e-5	8.801354863876358e-6	51	tags=31%, list=13%, signal=39%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/GNLY/LYZ/THBS1/CCL3L1/SRGN/TIMP1/CCL5/PTPRC/VIM/S100A9/S100A6/LCP1/S100A11/CXCL3/GAPDH/S100A4/S100A10/LDHA/AGO2/CXCL2/COPA/IL7R/AHNAK/ITGB1/PPP1CB/LGALS3/ANXA5/CST7/ATP2B1/PSMB9/SPTBN1/TNFAIP3
BP	GO:0040011	locomotion	51	0.7262523384484173	1.9837981895015533	8.207000851659513e-7	4.136328429236394e-5	3.14457716842533e-5	43	tags=35%, list=11%, signal=36%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/THBS1/CCL3L1/TIMP1/CCL5/PTPRC/S100A9/S100A11/CXCL3/AGO2/CXCL2/ITGB1/LGALS3
BP	GO:0016477	cell migration	62	0.7015132480745252	1.9621369222746046	6.101796044959706e-7	4.136328429236394e-5	3.14457716842533e-5	57	tags=37%, list=14%, signal=38%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/THBS1/CCL3L1/TIMP1/CCL5/ZEB2/PTPRC/S100A9/LCP1/S100A11/CXCL3/AGO2/CXCL2/ITGB1/LGALS3/TNFAIP3/PBXIP1/MIA3
BP	GO:0048870	cell motility	65	0.6916911505557226	1.9461247963756179	7.596759809014134e-7	4.136328429236394e-5	3.14457716842533e-5	43	tags=31%, list=11%, signal=33%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/THBS1/CCL3L1/TIMP1/CCL5/ZEB2/PTPRC/S100A9/LCP1/S100A11/CXCL3/AGO2/CXCL2/ITGB1/LGALS3
BP	GO:0098542	defense response to other organism	63	0.6741953428911314	1.8908995871556113	7.220490005624454e-6	3.0326058023622703e-4	2.3054897912695623e-4	67	tags=40%, list=17%, signal=39%	CXCL8/IL1B/ANXA1/CCL4/CCL3/GNLY/LYZ/CCL3L1/NKG7/CCL5/PTPRC/VIM/S100A9/CXCL3/GAPDH/CXCL2/SAMD9/IL7R/LGALS3/TNFAIP3/NFKBIA/OTULIN/NFKB1/CDC37/FYN
BP	GO:0006952	defense response	85	0.6247434472416828	1.8073168481616981	1.2898556846363491e-5	4.643480464690857e-4	3.530131347425798e-4	69	tags=38%, list=17%, signal=40%	CXCL8/IL1B/ANXA1/CCL4/CCL3/GNLY/LYZ/THBS1/NEAT1/CCL3L1/NKG7/TIMP1/CCL5/PTPRC/VIM/S100A9/CXCL3/GAPDH/CXCL2/SAMD9/IL7R/ITGB1/LGALS3/CST7/TNFAIP3/PBXIP1/NFKBIA/OTULIN/NFKB1/CDC37/FYN/BLNK
BP	GO:0034097	response to cytokine	53	0.6634456579641744	1.821909623855384	7.888000231163918e-5	0.002484720072816634	0.0018889684764103066	37	tags=28%, list=9%, signal=30%	CXCL8/IL1B/ANXA1/CCL4/CCL3/THBS1/CCL3L1/TIMP1/CCL5/PTPRC/VIM/CXCL3/GAPDH/CXCL2/IL7R
BP	GO:0009605	response to external stimulus	121	0.5478595428996765	1.6307243833211476	1.606891240200336e-4	0.00449929547256094	0.003420517025923522	52	tags=24%, list=13%, signal=30%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/GNLY/LYZ/THBS1/NEAT1/CCL3L1/NKG7/CCL5/PTPRC/VIM/S100A9/CXCL3/GAPDH/CXCL2/SAMD9/IL7R/PPP1CB/LGALS3/UPP1/CST7/ATP2B1/XPC/TNFAIP3/IVNS1ABP
BP	GO:0042127	regulation of cell population proliferation	65	0.607443873375274	1.7090887796269945	3.599716359821616e-4	0.008347959622800877	0.00634640205242172	59	tags=31%, list=15%, signal=31%	CXCL8/IL1B/ANXA1/SOD2/THBS1/NEAT1/CCL3L1/TIMP1/CCL5/PTPRC/S100A6/S100A11/PPP2R5C/IL7R/ITGB1/LGALS3/TNFAIP3/PBXIP1/NFKBIA/HP1BP3
