ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	50	-0.5821834783365823	-2.0790266090491754	1.0525083674501969e-5	0.0034016586964474775	0.002318434552671511	99	tags=36%, list=16%, signal=33%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	50	-0.5709650239711215	-2.038964556438481	2.4472364722643724e-5	0.0034016586964474775	0.002318434552671511	121	tags=38%, list=19%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0003700	DNA-binding transcription factor activity	50	-0.5709650239711215	-2.038964556438481	2.4472364722643724e-5	0.0034016586964474775	0.002318434552671511	121	tags=38%, list=19%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0003690	double-stranded DNA binding	59	-0.5437958542075052	-2.004494483136869	4.526899061990406e-5	0.0037754338176999988	0.002573184729973494	99	tags=32%, list=16%, signal=30%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS/MNDA
MF	GO:0003677	DNA binding	85	-0.47946252589280763	-1.8843168764111122	3.8952327285997825e-5	0.0037754338176999988	0.002573184729973494	99	tags=29%, list=16%, signal=29%	EGR1/CEBPB/JMJD1C/TNFAIP3/NR4A2/SAMHD1/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/ZFP36/FOSB/FOS/MNDA
CC	GO:0005694	chromosome	74	-0.49432344450563204	-1.9057597664772612	5.661427554249404e-5	0.003934692150203336	0.0026817288414865592	99	tags=31%, list=16%, signal=30%	EGR1/CEBPB/JMJD1C/NR4A2/SAMHD1/POU2F2/STAT1/KLF10/CEBPD/ATF3/CHMP1B/TUBA1A/ACTB/KLF2/ID2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
CC	GO:0000785	chromatin	60	-0.5259830075084151	-1.9441022808341633	7.25842998096882e-5	0.004323950431519998	0.0029470317215963635	99	tags=33%, list=16%, signal=31%	EGR1/CEBPB/JMJD1C/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/ACTB/KLF2/ID2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
BP	GO:0051254	positive regulation of RNA metabolic process	86	-0.467529531509115	-1.8418104082962568	9.971188588209076e-5	0.0051974820516039804	0.003542395945811119	99	tags=28%, list=16%, signal=27%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/ID2/NCF1/ZFP36L2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/ZFP36/FOSB/FOS
MF	GO:0000976	transcription cis-regulatory region binding	56	-0.5153791520244027	-1.8783800181911943	1.3420008390084952e-4	0.005596143498665425	0.0038141076477083546	99	tags=36%, list=16%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0001067	transcription regulatory region nucleic acid binding	56	-0.5153791520244027	-1.8783800181911943	1.3420008390084952e-4	0.005596143498665425	0.0038141076477083546	99	tags=36%, list=16%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
