ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0002696	positive regulation of leukocyte activation	52	0.5997035335695333	2.2294565909892823	5.124224972015092e-7	2.0630542791174602e-4	1.711946693389825e-4	127	tags=50%, list=20%, signal=43%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/MAP3K8/CD74/CORO1A/CTSC/JUND/THBS1/IL7R/MEF2C/HLA-DRA/VSIR/HLA-DMB/HLA-DRB1/CCL3/PELI1
BP	GO:0050867	positive regulation of cell activation	53	0.5986714948537616	2.2284495265628763	1.0039193572347739e-6	2.0630542791174602e-4	1.711946693389825e-4	127	tags=49%, list=20%, signal=43%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/MAP3K8/CD74/CORO1A/CTSC/JUND/THBS1/IL7R/MEF2C/HLA-DRA/VSIR/HLA-DMB/HLA-DRB1/CCL3/PELI1
BP	GO:0002694	regulation of leukocyte activation	75	0.5241045682183563	2.076101399499705	2.6070032818669587e-6	2.6786958721183e-4	2.2228133245391965e-4	104	tags=39%, list=17%, signal=37%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/ID2/MNDA/LST1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/MAP3K8/CD74/CORO1A/FGL2/CTSC/JUND/ZFP36L2/THBS1/IL7R/MEF2C/RIPOR2/HLA-DRA/VSIR/HLA-DMB
BP	GO:0050865	regulation of cell activation	80	0.5057295407247886	2.027053657894694	2.4113772985910273e-6	2.6786958721183e-4	2.2228133245391965e-4	104	tags=36%, list=17%, signal=35%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/ID2/MNDA/LST1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/MAP3K8/CD74/CORO1A/FGL2/CTSC/JUND/ZFP36L2/THBS1/IL7R/MEF2C/RIPOR2/HLA-DRA/VSIR/HLA-DMB
BP	GO:0051249	regulation of lymphocyte activation	61	0.5429605985073016	2.0782186779744145	3.721396711310388e-6	3.058988096697139e-4	2.5383842830832966e-4	104	tags=41%, list=17%, signal=38%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/ID2/MNDA/LST1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/ANXA1/MAP3K8/CD74/CORO1A/FGL2/ZFP36L2/IL7R/MEF2C/RIPOR2/HLA-DRA/VSIR/HLA-DMB
CC	GO:0005739	mitochondrion	61	-0.5530253231544292	-2.0039739681926245	7.099711186069063e-6	4.8633021624573084e-4	4.035625305765573e-4	82	tags=28%, list=13%, signal=27%	ACSL1/NFKB1/VRK2/G0S2/DYNLL1/GK/SOD2/PPIF/RALA/SGK1/KYNU/SH3BP5/SDCBP/SQSTM1/LGALS3/SLC25A37/C15orf48
BP	GO:0051234	establishment of localization	194	-0.41000337334419024	-1.7545478955411702	9.917812988423163e-6	5.718163192971403e-4	4.7449990383473804e-4	161	tags=39%, list=26%, signal=42%	SERINC5/ATP6V1A/HSPA5/SLC4A7/CXCL8/CXCR4/MDM2/TNF/SOAT1/HK2/ITGAV/RIN2/SPHK1/CD9/HYOU1/CALR/LILRB1/IL2RG/GOLGA4/HPSE/HSP90B1/RBP7/SLC16A6/SLC44A1/SEC62/PID1/COPB2/HDLBP/DAB2/ADA/ATP13A3/CYB561A3/ITGB1/ARFGAP3/OLR1/CD81/PPP1R12A/OSBPL8/ACSL1/NFKB1/MYOF/ATP2B1/ARL4C/CCL4/ATP6V1B2/PIM1/SLC2A3/CD63/HIF1A/ENG/DYNLL1/RDX/VEGFA/RHOQ/ABCA1/CD93/PPIF/CXCL16/CCR1/RALA/SGK1/SLC39A8/PRKAG2/CEBPB/CCL2/SLC11A1/AQP9/SDCBP/SLC7A11/ZFYVE16/SQSTM1/LIMS1/LGALS3/SLC25A37/XIST
CC	GO:0016020	membrane	344	-0.36961023400759474	-1.6485589159703327	1.113024465785188e-5	5.718163192971403e-4	4.7449990383473804e-4	130	tags=28%, list=21%, signal=49%	PDIA6/CD9/HYOU1/CALR/LILRB1/IL2RG/B4GALT5/GOLGA4/HPSE/FPR1/HSP90B1/SLC16A6/SLC44A1/ASPH/SEC62/COPB2/HDLBP/DAB2/SDF2L1/FNIP2/ADA/PPFIA1/IGSF6/WTAP/ATP13A3/CYB561A3/ITGB1/EVA1B/SWAP70/ARFGAP3/OLR1/RNF13/CD81/PPP1R12A/GAPT/DNAJC3/OSBPL8/MPEG1/DOCK4/ACSL1/MGAT1/ANXA5/SLAMF7/MYOF/MARCKS/CCRL2/VRK2/ATP2B1/CLEC5A/ARL4C/EPB41L3/ATP6V1B2/PIM1/SLC2A3/C5AR1/IL1R1/CD63/FCAR/ENG/CDC42EP3/DYNLL1/RDX/VEGFA/RHOQ/ABCA1/CD93/GK/PPIF/SERPINB2/CXCL16/CCR1/LHFPL2/DSE/RALA/SGK1/ALCAM/SLC39A8/CTSB/NINJ1/DMXL2/CD300E/SH3BP5/FNDC3B/BASP1/SLC11A1/PLAUR/AQP9/SDCBP/SLC7A11/ZFYVE16/LIMS1/ANPEP/LGALS3/SLC25A37/C15orf48
BP	GO:0046649	lymphocyte activation	82	0.4738731446958568	1.9075111834879068	4.071844919615995e-5	0.0018594758466246376	0.001543014916907114	91	tags=34%, list=15%, signal=34%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/ID2/MNDA/LST1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/ANXA1/PRDX1/MAP3K8/CD74/CORO1A/FGL2/NKG7/ZFP36L2/ITGA4/EGR1/IL7R/MEF2C/JAML/RIPOR2/HLA-DRA
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	51	0.5401867067049497	1.999347379692459	4.811778025791577e-5	0.0019776407686003384	0.0016410695582699693	104	tags=43%, list=17%, signal=39%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/KLF4/ANXA1/MAP3K8/CD74/CORO1A/FGL2/ITGA4/IL7R/RIPOR2/HLA-DRA/VSIR/HLA-DMB
BP	GO:0045321	leukocyte activation	103	0.439541735146586	1.8273743224983297	6.205409577843043e-5	0.0022443855944451674	0.0018624175505192319	128	tags=39%, list=20%, signal=37%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/ID2/MNDA/LST1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/PRDX1/MAP3K8/CD74/CORO1A/FGL2/NKG7/CTSC/JUND/ZFP36L2/ITGA4/THBS1/EGR1/IL7R/MEF2C/JAML/RIPOR2/HLA-DRA/JUN/VSIR/HLA-DMB/S100A12/HLA-DRB1/CCL3/PELI1/CLEC4E
BP	GO:0001775	cell activation	114	0.40680336272622264	1.7166784089594203	6.552950640715817e-5	0.0022443855944451674	0.0018624175505192319	104	tags=32%, list=17%, signal=32%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/ID2/MNDA/LST1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/PRDX1/MAP3K8/CD74/CORO1A/FGL2/NKG7/HBB/CTSC/JUND/ZFP36L2/ITGA4/THBS1/EGR1/IL7R/MEF2C/JAML/RIPOR2/HLA-DRA/JUN/VSIR/HLA-DMB
BP	GO:0007159	leukocyte cell-cell adhesion	58	0.5102057442287513	1.927735208816644	1.1393519625539136e-4	0.003344811832926132	0.0027755641794546464	104	tags=41%, list=17%, signal=38%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/S100A9/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/KLF4/ANXA1/MAP3K8/CD74/CORO1A/FGL2/ITGA4/IL7R/RIPOR2/HLA-DRA/S100A8/VSIR/HLA-DMB
