ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	50	-0.5821834783365823	-2.085618345450621	1.080893468214473e-5	0.0036431410304852874	0.002501411991144764	99	tags=36%, list=16%, signal=33%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	50	-0.5709650239711215	-2.0454292725846974	2.6209647701333003e-5	0.0036431410304852874	0.002501411991144764	121	tags=38%, list=19%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0003700	DNA-binding transcription factor activity	50	-0.5709650239711215	-2.0454292725846974	2.6209647701333003e-5	0.0036431410304852874	0.002501411991144764	121	tags=38%, list=19%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
CC	GO:0000785	chromatin	60	-0.5259830075084151	-1.9508300755730104	3.621546202519731e-5	0.0037754619161268193	0.0025922646502246497	99	tags=33%, list=16%, signal=31%	EGR1/CEBPB/JMJD1C/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/ACTB/KLF2/ID2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0003677	DNA binding	85	-0.47946252589280763	-1.890317044171473	4.9001208978435746e-5	0.004086700828801542	0.0028059639667651634	99	tags=29%, list=16%, signal=29%	EGR1/CEBPB/JMJD1C/TNFAIP3/NR4A2/SAMHD1/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/ZFP36/FOSB/FOS/MNDA
MF	GO:0003690	double-stranded DNA binding	59	-0.5437958542075052	-2.0109212472604563	7.725593616179381e-5	0.004602246482781146	0.003159942050527507	99	tags=32%, list=16%, signal=30%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS/MNDA
BP	GO:0051254	positive regulation of RNA metabolic process	86	-0.467529531509115	-1.8484940288305223	7.23088650790343e-5	0.004602246482781146	0.003159942050527507	99	tags=28%, list=16%, signal=27%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/ID2/NCF1/ZFP36L2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/ZFP36/FOSB/FOS
CC	GO:0005694	chromosome	74	-0.49432344450563204	-1.9046764150361972	1.0852923932687907e-4	0.0056570865999135715	0.003884204354856725	99	tags=31%, list=16%, signal=30%	EGR1/CEBPB/JMJD1C/NR4A2/SAMHD1/POU2F2/STAT1/KLF10/CEBPD/ATF3/CHMP1B/TUBA1A/ACTB/KLF2/ID2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:1990837	sequence-specific double-stranded DNA binding	57	-0.5144522940936445	-1.8904522503186783	3.256854916135312e-4	0.007533216650500522	0.005172371397036835	99	tags=35%, list=16%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0000976	transcription cis-regulatory region binding	56	-0.5153791520244027	-1.888839391424353	1.935374231152177e-4	0.007533216650500522	0.005172371397036835	99	tags=36%, list=16%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0001067	transcription regulatory region nucleic acid binding	56	-0.5153791520244027	-1.888839391424353	1.935374231152177e-4	0.007533216650500522	0.005172371397036835	99	tags=36%, list=16%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0140110	transcription regulator activity	75	-0.4658738391249453	-1.7985125742285855	4.6969696142209485e-4	0.007533216650500522	0.005172371397036835	99	tags=27%, list=16%, signal=26%	EGR1/CEBPB/JMJD1C/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/ID2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
BP	GO:0045893	positive regulation of DNA-templated transcription	79	-0.45340134374403424	-1.7667238904814206	4.21170775238204e-4	0.007533216650500522	0.005172371397036835	99	tags=28%, list=16%, signal=27%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/ID2/NCF1/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
BP	GO:1902680	positive regulation of RNA biosynthetic process	79	-0.45340134374403424	-1.7667238904814206	4.21170775238204e-4	0.007533216650500522	0.005172371397036835	99	tags=28%, list=16%, signal=27%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/ID2/NCF1/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
BP	GO:1903508	positive regulation of nucleic acid-templated transcription	79	-0.45340134374403424	-1.7667238904814206	4.21170775238204e-4	0.007533216650500522	0.005172371397036835	99	tags=28%, list=16%, signal=27%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/ID2/NCF1/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
BP	GO:0009890	negative regulation of biosynthetic process	84	-0.4423056086851209	-1.7402615471447984	2.5633126904893986e-4	0.007533216650500522	0.005172371397036835	66	tags=23%, list=10%, signal=23%	STAT1/KLF10/CEBPD/ATF3/ITM2B/KLF2/CD36/ID2/GSTP1/ZFP36L2/JUN/IRF1/TXNIP/JUND/RGS2/KLF4/ZFP36/TSPO/FOSB
BP	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	91	-0.43595549671511297	-1.736015839901375	2.922742039953203e-4	0.007533216650500522	0.005172371397036835	102	tags=27%, list=16%, signal=27%	TNFSF13/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/ID2/NCF1/ZFP36L2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/ZFP36/FOSB/FOS
BP	GO:0006357	regulation of transcription by RNA polymerase II	110	-0.4193384645869712	-1.7168791295541819	3.621252622583227e-4	0.007533216650500522	0.005172371397036835	99	tags=25%, list=16%, signal=25%	EGR1/CEBPB/JMJD1C/NR4A2/POU2F2/TSC22D3/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/CD36/ID2/JUNB/JUN/IRF1/KLF6/TXNIP/JUND/KLF4/ZFP36/CCNL1/FOSB/FOS
BP	GO:0006366	transcription by RNA polymerase II	113	-0.41429350179554886	-1.7014935166378164	3.1189528422879715e-4	0.007533216650500522	0.005172371397036835	99	tags=24%, list=16%, signal=25%	EGR1/CEBPB/JMJD1C/NR4A2/POU2F2/TSC22D3/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/CD36/ID2/JUNB/JUN/IRF1/KLF6/TXNIP/JUND/KLF4/ZFP36/CCNL1/FOSB/FOS
CC	GO:0043228	non-membrane-bounded organelle	182	-0.37053023652187767	-1.6205552950049211	4.673587646806467e-4	0.007533216650500522	0.005172371397036835	101	tags=24%, list=16%, signal=28%	YPEL5/EGR1/BIN2/CEBPB/VPS13C/JMJD1C/STK17B/SCO2/NR4A2/SAMHD1/POU2F2/RNF213/STAT1/KLF10/CEBPD/ATF3/VMP1/CHMP1B/TUBA1A/GNAI2/ACTB/TMSB10/KLF2/NFKBIZ/ID2/JUNB/LSP1/JUN/IRF1/CORO1A/KLF6/FYB1/JUND/RGS2/AIF1/S100A9/PYCARD/KLF4/ZFP36/FOSB/S100A8/FOS/MNDA
CC	GO:0043232	intracellular non-membrane-bounded organelle	182	-0.37053023652187767	-1.6205552950049211	4.673587646806467e-4	0.007533216650500522	0.005172371397036835	101	tags=24%, list=16%, signal=28%	YPEL5/EGR1/BIN2/CEBPB/VPS13C/JMJD1C/STK17B/SCO2/NR4A2/SAMHD1/POU2F2/RNF213/STAT1/KLF10/CEBPD/ATF3/VMP1/CHMP1B/TUBA1A/GNAI2/ACTB/TMSB10/KLF2/NFKBIZ/ID2/JUNB/LSP1/JUN/IRF1/CORO1A/KLF6/FYB1/JUND/RGS2/AIF1/S100A9/PYCARD/KLF4/ZFP36/FOSB/S100A8/FOS/MNDA
BP	GO:0006351	DNA-templated transcription	149	-0.3770488948231181	-1.612409044825866	2.606072767168466e-4	0.007533216650500522	0.005172371397036835	99	tags=23%, list=16%, signal=25%	EGR1/CEBPB/JMJD1C/TNFAIP3/NR4A2/POU2F2/TRIB1/SGK1/TSC22D3/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/CD36/ID2/NCF1/JUNB/JUN/IRF1/KLF6/TXNIP/JUND/S100A9/PYCARD/KLF4/ZFP36/CCNL1/FOSB/S100A8/FOS
BP	GO:0097659	nucleic acid-templated transcription	149	-0.3770488948231181	-1.612409044825866	2.606072767168466e-4	0.007533216650500522	0.005172371397036835	99	tags=23%, list=16%, signal=25%	EGR1/CEBPB/JMJD1C/TNFAIP3/NR4A2/POU2F2/TRIB1/SGK1/TSC22D3/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/CD36/ID2/NCF1/JUNB/JUN/IRF1/KLF6/TXNIP/JUND/S100A9/PYCARD/KLF4/ZFP36/CCNL1/FOSB/S100A8/FOS
CC	GO:0005615	extracellular space	172	0.3695837625229083	1.6100987408808436	3.0678771422946885e-4	0.007533216650500522	0.005172371397036835	131	tags=35%, list=21%, signal=38%	THBS1/CCL4/CXCL3/CTSL/HLA-DRB5/SOD2/SERPINB2/BASP1/TIMP1/VIM/HSPA5/IL1B/ATP2B1/SERPINB9/CCL3/CXCL8/IL1RN/SMS/CXCL2/GNLY/EREG/TNFAIP6/PRDX1/ANXA5/CD63/SERPINB1/FABP5/LGALS3/TXNRD1/CXCL1/TXN/CSTB/MARCKSL1/ITGB8/ARL8B/SNX9/PSMA6/CD59/RALA/EHD1/MANF/RHOQ/GSTO1/SLC7A5/ITGAV/CD109/DNAJC3/CCL5/CREG1/NEDD4L/CD47/STK26/NIBAN1/ALCAM/RAB13/HLA-DRA/CCL2/CCL7/MARCKS/SLC3A2
BP	GO:2001141	regulation of RNA biosynthetic process	149	-0.3715368188522625	-1.5888372447935535	3.5578350857869574e-4	0.007533216650500522	0.005172371397036835	99	tags=23%, list=16%, signal=25%	EGR1/CEBPB/JMJD1C/TNFAIP3/NR4A2/POU2F2/TRIB1/SGK1/TSC22D3/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/CD36/ID2/NCF1/JUNB/JUN/IRF1/KLF6/TXNIP/JUND/S100A9/PYCARD/KLF4/ZFP36/CCNL1/FOSB/S100A8/FOS
CC	GO:0005576	extracellular region	205	0.35540632319268817	1.5802815513066428	4.423143907941886e-4	0.007533216650500522	0.005172371397036835	131	tags=33%, list=21%, signal=39%	THBS1/CCL4/CXCL3/CTSL/HLA-DRB5/SOD2/OLR1/SERPINB2/BASP1/TIMP1/VIM/HSPA5/IL1B/ATP2B1/SERPINB9/CCL3/CXCL8/IL1RN/SMS/NINJ1/NFKB1/CXCL2/GNLY/EREG/TNFAIP6/PRDX1/ANXA5/CD63/SERPINB1/FABP5/IL7R/LGALS3/TXNRD1/CXCL1/TXN/CSTB/MARCKSL1/ITGB8/ARL8B/SNX9/PSMA6/CD59/ANTXR2/RALA/EHD1/MANF/RHOQ/GSTO1/SLC7A5/ITGAV/CD109/DNAAF1/DNAJC3/CCL5/CREG1/NEDD4L/AMPD3/CD47/STK26/NIBAN1/ALCAM/RAB13/HLA-DRA/CCL2/CCL7/MARCKS/IL1R1/SLC3A2
BP	GO:0000122	negative regulation of transcription by RNA polymerase II	52	-0.5138575475448808	-1.8585978496771558	5.075993053525958e-4	0.007836732940635013	0.005380768294466047	121	tags=33%, list=19%, signal=29%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/STAT1/KLF10/ATF3/KLF2/CD36/ID2/JUN/TXNIP/JUND/KLF4/ZFP36/FOSB
BP	GO:0010558	negative regulation of macromolecule biosynthetic process	79	-0.44774782296118387	-1.7446943787249805	5.262074876205765e-4	0.007836732940635013	0.005380768294466047	66	tags=27%, list=10%, signal=27%	EGR1/CEBPB/NR4A2/STAT1/KLF10/CEBPD/ATF3/ITM2B/KLF2/CD36/ID2/GSTP1/ZFP36L2/JUN/IRF1/TXNIP/JUND/RGS2/KLF4/ZFP36/FOSB
MF	GO:0043565	sequence-specific DNA binding	59	-0.49803452147073013	-1.8416988532474596	5.906217989984293e-4	0.008492734144218793	0.0058311843676069975	99	tags=34%, list=16%, signal=32%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
CC	GO:0005634	nucleus	263	-0.33001762082368735	-1.4983723119681787	7.463062996856226e-4	0.010373657565630155	0.007122642579455768	150	tags=30%, list=24%, signal=39%	TRMT1/HMGB2/CCNH/RBP7/MT2A/ZFP36L1/LAP3/CELF2/LTA4H/NLRP3/UTRN/XAF1/S100A12/UBE2L6/MEF2C/ARL4A/BCL6/NAA38/DUSP6/GADD45B/SKAP2/IFRD1/C12orf57/TNFSF13/YPEL5/EGR1/CEBPB/JMJD1C/GLRX/STK17B/TNFAIP3/NR4A2/PSMB10/SAMHD1/PSME2/POU2F2/TRIB1/IFITM2/SGK1/TSC22D3/RNF213/JAML/STAT1/BLVRB/KLF10/CEBPD/ATF3/IER2/VMP1/CHMP1B/TUBA1A/GNAI2/PSMB9/ACTB/KLF2/NFKBIZ/ID2/GSTP1/ZFP36L2/JUNB/JUN/IRF1/MCL1/KLF6/TXNIP/FYB1/JUND/DUSP1/RGS2/AIF1/S100A9/PYCARD/KLF4/ZFP36/CCNL1/FOSB/S100A8/FOS/MNDA
BP	GO:0031324	negative regulation of cellular metabolic process	127	-0.3880563523564791	-1.621387165191295	8.267045604450577e-4	0.010529659609227858	0.00722975492543223	123	tags=29%, list=19%, signal=29%	LRRK2/LDLR/MEF2C/MYADM/BCL6/DUSP6/GADD45B/EGR1/CEBPB/TNFAIP3/NR4A2/CST3/TRIB1/STAT1/KLF10/CEBPD/ATF3/CDA/ITM2B/GNAI2/KLF2/CD36/ID2/GSTP1/ZFP36L2/JUN/IRF1/MCL1/TXNIP/JUND/DUSP1/RGS2/PYCARD/KLF4/ZFP36/TSPO/FOSB
