ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0051234	establishment of localization	198	-0.40746953935086594	-1.7881426631750728	6.685559747511185e-6	0.0020074225617100383	0.0016254433698056992	143	tags=35%, list=23%, signal=40%	SOAT1/TANC2/SLC4A7/MDM2/CD9/RIN2/ADA/HYOU1/HPSE/SLC16A6/MACF1/CXCL8/OLR1/PID1/CYB561A3/SLC44A1/DAB2/COPB2/IL2RG/HDLBP/ACSL1/CXCR4/SEC62/CCL5/CD81/ARFGAP3/ATP13A3/MYOF/CEBPB/GOLGA4/SLC2A3/PPIF/PPP1R12A/CD93/MET/ATP6V1B2/HSPA5/OSBPL8/RHOQ/CD63/PIM1/NFKB1/VEGFA/ENG/DYNLL1/ATP2B1/CALR/SGK1/HSP90B1/RDX/HIF1A/ABCA1/ITGB1/CCR1/CXCL16/PRKAG2/ARL4C/SLC39A8/RALA/CCL4/SLC11A1/AQP9/LIMS1/CCL2/SQSTM1/SLC7A11/ZFYVE16/SLC25A37/LGALS3/XIST
CC	GO:0110165	cellular anatomical entity	575	-0.41888418227494667	-1.7355593647916796	9.651070008221338e-6	0.0020074225617100383	0.0016254433698056992	245	tags=41%, list=39%, signal=269%	MTURN/HIVEP1/NBN/PDE7A/SNX9/GBP2/ABL2/TNFAIP3/CEP135/CYP27A1/AK4/PLIN2/MXD1/TRPS1/KDM5B/ITGB8/GCLC/PHACTR4/NTAN1/SMAD7/WDFY1/P2RX7/SOS1/HIVEP2/NDUFA12/DYNLT3/LYPD3/NEAT1/ARMCX3/NUCB2/NPC1/VIM/NR3C1/NRP2/RUNX3/DDIT4/FDX1/CCL20/SAMSN1/ATF5/LACC1/PCNX4/UBTD2/RGS1/CES1/APOL6/MTHFD2/PDIA4/SLC3A2/STAT1/TNFSF14/CCDC82/CD109/RAPGEF2/PPP3CA/PRRC1/ZNRF2/PFKFB3/MMP14/GMPPB/DENND1B/TRIP11/ALOX5AP/FPR1/ERO1B/DNAAF1/DUSP10/THBS1/KANK1/ATRX/GPR183/TNFSF8/SLC5A3/TDP2/RBP7/TNF/NIBAN1/IGSF6/MPHOSPH8/MCFD2/ZC3H12C/SERINC5/GNLY/CYP1B1/ATP6V1A/TUT4/TRIM25/PARP14/TNS1/GCC2/RNF213/TFEC/TXNRD1/PRDM1/ITGAV/BCAT1/STK38L/HK2/FNDC3A/NOTCH2NLC/SOAT1/TANC2/SLC4A7/SERPINB9/MDM2/CD9/RIN2/POU2F2/CALU/B4GALT5/ADA/HIPK2/IQGAP2/HYOU1/HPSE/TRIM33/SLC16A6/PDIA3/MACF1/CXCL8/GAPT/OLR1/GOLGB1/IER2/PID1/RESF1/CYB561A3/PDIA6/SLC44A1/DAB2/COPB2/IL2RG/ASPH/EVA1B/C5AR1/HDLBP/SDF2L1/PPFIA1/ACSL1/CXCR4/G0S2/FNIP2/SEC62/RNF13/SWAP70/CCL5/CD81/MARCKS/ARFGAP3/PLA2G7/DOCK4/CEP170/ATP13A3/MANF/MYOF/CEBPB/GOLGA4/WTAP/CREBRF/SLC2A3/EPB41L3/PPIF/MAP4K4/PPP1R12A/CD93/DNAJC3/MET/CDC42EP3/CCRL2/FCAR/CLEC5A/ATP6V1B2/NINJ1/RBM47/VRK2/HSPA5/OSBPL8/DDX60L/RHOQ/CCL3L1/CD63/PIM1/NFKB1/SLAMF7/VEGFA/ENG/ANXA5/IVNS1ABP/DYNLL1/ATP2B1/NBPF19/NAMPT/CSTB/CALR/JARID2/SGK1/HSP90B1/IL1R1/RDX/HIF1A/ABCA1/ITGB1/CCR1/CXCL16/GK/LHFPL2/DMXL2/CTSB/KYNU/SOD2/TIMP1/ALCAM/PDE4DIP/PRKAG2/ARL4C/SGK3/PLAUR/SLC39A8/RALA/CD300E/CCL4/FNDC3B/SLC11A1/IFI30/SH3BP5/AQP9/BASP1/LIMS1/CCL2/SQSTM1/SLC7A11/ZFYVE16/SLC25A37/ANPEP/LGALS3/SERPINB2/XIST/C15orf48
BP	GO:0002696	positive regulation of leukocyte activation	51	0.5723965949064099	2.0420814232358784	2.614635211420964e-5	0.0020672159845001783	0.0016738590967612782	97	tags=39%, list=15%, signal=36%	HLA-DRB5/AIF1/IL1B/PYCARD/HLA-DPA1/HLA-DQB1/HLA-DQA2/HLA-DPB1/HLA-DMA/HLA-DQA1/MAP3K8/VAMP8/CORO1A/JUND/CTSC/ANXA1/CD74/VSIR/HLA-DMB/MEF2C
BP	GO:0050867	positive regulation of cell activation	52	0.5699629695911369	2.03954778965782	2.0058925940391276e-5	0.0020672159845001783	0.0016738590967612782	97	tags=38%, list=15%, signal=35%	HLA-DRB5/AIF1/IL1B/PYCARD/HLA-DPA1/HLA-DQB1/HLA-DQA2/HLA-DPB1/HLA-DMA/HLA-DQA1/MAP3K8/VAMP8/CORO1A/JUND/CTSC/ANXA1/CD74/VSIR/HLA-DMB/MEF2C
BP	GO:0002694	regulation of leukocyte activation	71	0.5168078317663481	1.9579653069758218	2.8078460074164812e-5	0.0020672159845001783	0.0016738590967612782	80	tags=31%, list=13%, signal=30%	HLA-DRB5/AIF1/IL1B/MNDA/ID2/PYCARD/HLA-DPA1/HLA-DQB1/HLA-DQA2/HLA-DPB1/HLA-DMA/HLA-DQA1/MAP3K8/FGL2/VAMP8/CORO1A/JUND/CTSC/ANXA1/CD74/ZFP36L2/VSIR
BP	GO:0050865	regulation of cell activation	75	0.5000234448932114	1.913327148540552	4.4723422741590396e-5	0.0020672159845001783	0.0016738590967612782	80	tags=29%, list=13%, signal=29%	HLA-DRB5/AIF1/IL1B/MNDA/ID2/PYCARD/HLA-DPA1/HLA-DQB1/HLA-DQA2/HLA-DPB1/HLA-DMA/HLA-DQA1/MAP3K8/FGL2/VAMP8/CORO1A/JUND/CTSC/ANXA1/CD74/ZFP36L2/VSIR
BP	GO:0006810	transport	193	-0.38759466590638675	-1.6958545296866125	3.728592677631256e-5	0.0020672159845001783	0.0016738590967612782	143	tags=35%, list=23%, signal=39%	SOAT1/TANC2/SLC4A7/CD9/RIN2/ADA/HYOU1/HPSE/SLC16A6/MACF1/CXCL8/OLR1/PID1/CYB561A3/SLC44A1/DAB2/COPB2/IL2RG/HDLBP/ACSL1/CXCR4/SEC62/CCL5/CD81/ARFGAP3/ATP13A3/MYOF/CEBPB/GOLGA4/SLC2A3/PPIF/PPP1R12A/CD93/MET/ATP6V1B2/HSPA5/OSBPL8/RHOQ/CD63/PIM1/NFKB1/VEGFA/ENG/DYNLL1/ATP2B1/CALR/SGK1/HSP90B1/RDX/HIF1A/ABCA1/ITGB1/CCR1/CXCL16/PRKAG2/ARL4C/SLC39A8/RALA/CCL4/SLC11A1/AQP9/CCL2/SQSTM1/SLC7A11/ZFYVE16/SLC25A37/LGALS3
CC	GO:0005575	cellular_component	579	-0.408225907928803	-1.68035978029866	4.0838583846164724e-5	0.0020672159845001783	0.0016738590967612782	245	tags=41%, list=39%, signal=286%	MTURN/HIVEP1/NBN/PDE7A/SNX9/GBP2/ABL2/TNFAIP3/CEP135/CYP27A1/AK4/PLIN2/MXD1/TRPS1/KDM5B/ITGB8/GCLC/PHACTR4/NTAN1/SMAD7/WDFY1/P2RX7/SOS1/HIVEP2/NDUFA12/DYNLT3/LYPD3/NEAT1/ARMCX3/NUCB2/NPC1/VIM/NR3C1/NRP2/RUNX3/DDIT4/FDX1/CCL20/SAMSN1/ATF5/LACC1/PCNX4/UBTD2/RGS1/CES1/APOL6/MTHFD2/PDIA4/SLC3A2/STAT1/TNFSF14/CCDC82/CD109/RAPGEF2/PPP3CA/PRRC1/ZNRF2/PFKFB3/MMP14/GMPPB/DENND1B/TRIP11/ALOX5AP/FPR1/ERO1B/DNAAF1/DUSP10/THBS1/KANK1/ATRX/GPR183/TNFSF8/SLC5A3/TDP2/RBP7/TNF/NIBAN1/IGSF6/MPHOSPH8/MCFD2/ZC3H12C/SERINC5/GNLY/CYP1B1/ATP6V1A/TUT4/TRIM25/PARP14/TNS1/GCC2/RNF213/TFEC/TXNRD1/PRDM1/ITGAV/BCAT1/STK38L/HK2/FNDC3A/NOTCH2NLC/SOAT1/TANC2/SLC4A7/SERPINB9/MDM2/CD9/RIN2/POU2F2/CALU/B4GALT5/ADA/HIPK2/IQGAP2/HYOU1/HPSE/TRIM33/SLC16A6/PDIA3/MACF1/CXCL8/GAPT/OLR1/GOLGB1/IER2/PID1/RESF1/CYB561A3/PDIA6/SLC44A1/DAB2/COPB2/IL2RG/ASPH/EVA1B/C5AR1/HDLBP/SDF2L1/PPFIA1/ACSL1/CXCR4/G0S2/FNIP2/SEC62/RNF13/SWAP70/CCL5/CD81/MARCKS/ARFGAP3/PLA2G7/DOCK4/CEP170/ATP13A3/MANF/MYOF/CEBPB/GOLGA4/WTAP/CREBRF/SLC2A3/EPB41L3/PPIF/MAP4K4/PPP1R12A/CD93/DNAJC3/MET/CDC42EP3/CCRL2/FCAR/CLEC5A/ATP6V1B2/NINJ1/RBM47/VRK2/HSPA5/OSBPL8/DDX60L/RHOQ/CCL3L1/CD63/PIM1/NFKB1/SLAMF7/VEGFA/ENG/ANXA5/IVNS1ABP/DYNLL1/ATP2B1/NBPF19/NAMPT/CSTB/CALR/JARID2/SGK1/HSP90B1/IL1R1/RDX/HIF1A/ABCA1/ITGB1/CCR1/CXCL16/GK/LHFPL2/DMXL2/CTSB/KYNU/SOD2/TIMP1/ALCAM/PDE4DIP/PRKAG2/ARL4C/SGK3/PLAUR/SLC39A8/RALA/CD300E/CCL4/FNDC3B/SLC11A1/IFI30/SH3BP5/AQP9/BASP1/LIMS1/CCL2/SQSTM1/SLC7A11/ZFYVE16/SLC25A37/ANPEP/LGALS3/SERPINB2/XIST/C15orf48
CC	GO:0016020	membrane	345	-0.33949481078023	-1.559064846375502	3.4729450542312685e-5	0.0020672159845001783	0.0016738590967612782	147	tags=30%, list=23%, signal=50%	STK38L/HK2/FNDC3A/SOAT1/SLC4A7/SERPINB9/MDM2/CD9/CALU/B4GALT5/ADA/IQGAP2/HYOU1/HPSE/SLC16A6/PDIA3/MACF1/GAPT/OLR1/GOLGB1/CYB561A3/PDIA6/SLC44A1/DAB2/COPB2/IL2RG/ASPH/EVA1B/C5AR1/HDLBP/SDF2L1/PPFIA1/ACSL1/CXCR4/FNIP2/SEC62/RNF13/SWAP70/CD81/MARCKS/ARFGAP3/DOCK4/ATP13A3/MYOF/GOLGA4/WTAP/SLC2A3/EPB41L3/PPIF/PPP1R12A/CD93/DNAJC3/MET/CDC42EP3/CCRL2/FCAR/CLEC5A/ATP6V1B2/NINJ1/VRK2/HSPA5/OSBPL8/RHOQ/CD63/PIM1/SLAMF7/VEGFA/ENG/ANXA5/DYNLL1/ATP2B1/CALR/SGK1/HSP90B1/IL1R1/RDX/ABCA1/ITGB1/CCR1/CXCL16/GK/LHFPL2/DMXL2/CTSB/ALCAM/ARL4C/PLAUR/SLC39A8/RALA/CD300E/FNDC3B/SLC11A1/SH3BP5/AQP9/BASP1/LIMS1/SLC7A11/ZFYVE16/SLC25A37/ANPEP/LGALS3/SERPINB2/C15orf48
BP	GO:0051179	localization	229	-0.3699540122922217	-1.6463752402457072	5.5506334027033836e-5	0.0023090634955246075	0.0018696870409106135	143	tags=33%, list=23%, signal=40%	SOAT1/TANC2/SLC4A7/MDM2/CD9/RIN2/ADA/HYOU1/HPSE/SLC16A6/MACF1/CXCL8/OLR1/GOLGB1/PID1/CYB561A3/SLC44A1/DAB2/COPB2/IL2RG/HDLBP/PPFIA1/ACSL1/CXCR4/SEC62/RNF13/SWAP70/CCL5/CD81/ARFGAP3/ATP13A3/MYOF/CEBPB/GOLGA4/SLC2A3/EPB41L3/PPIF/PPP1R12A/CD93/MET/ATP6V1B2/HSPA5/OSBPL8/RHOQ/CD63/PIM1/NFKB1/VEGFA/ENG/DYNLL1/ATP2B1/CALR/JARID2/SGK1/HSP90B1/RDX/HIF1A/ABCA1/ITGB1/CCR1/CXCL16/PRKAG2/ARL4C/SLC39A8/RALA/CCL4/SLC11A1/AQP9/LIMS1/CCL2/SQSTM1/SLC7A11/ZFYVE16/SLC25A37/LGALS3/XIST
