ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0043547	positive regulation of GTPase activity	160	0.6705231155228464	1.9608421821991602	2.508819074246698e-7	2.91775658334891e-4	2.3767759650758193e-4	953	tags=18%, list=9%, signal=17%	CCL4/CCL3/CCL3L1/CCL2/S100A10/CCL5/ITGB1/CCL7/LIMS1/CCL20/RAPGEF1/MAP4K4/DOCK10/CCR7/SNX9/BIN1/RASGRP1/TBC1D15/DENND1B/S1PR1/AGAP3/EZH2/CORO1C/RGS10/ASAP1/SEMA4D/BCAR3/SOS1/XCL2
BP	GO:0009060	aerobic respiration	155	-0.7210221604725101	-1.9306039779083783	2.208850952471161e-7	2.91775658334891e-4	2.3767759650758193e-4	1105	tags=41%, list=10%, signal=38%	NDUFA10/UQCRC2/ATP5F1A/MDH2/UQCRC1/TNF/UQCC3/PPIF/CYC1/ANTKMT/SURF1/ATP5F1B/IDH3G/NDUFS5/NDUFS8/DNAJC15/ATP5PB/NDUFB5/COX6C/COX7A2/CHCHD10/NDUFB3/UQCR10/COX6A1/NDUFA7/CAT/COX5A/COX7A2L/NDUFC2/NDUFB8/UQCRH/ATP5F1C/ATP5PO/NDUFS7/NDUFB11/COX7C/NDUFS6/ATP5PD/ATP5PF/PARK7/COX7B/NDUFA3/NDUFB10/NDUFA11/RHOA/NDUFA4/NDUFB2/ATP5MF/NDUFB7/UQCRB/ATP5MG/UQCRQ/COX8A/NDUFA1/NDUFA2/ATP5ME/COX5B/ATP5F1D/NDUFB1/BLOC1S1/NDUFA13/COX6B1/UQCR11/ATP5F1E
BP	GO:0006119	oxidative phosphorylation	114	-0.7503783254480524	-1.9388554413579506	6.400682944823606e-7	4.962662843219903e-4	4.042536596730699e-4	1302	tags=56%, list=12%, signal=50%	NDUFS4/NDUFV1/DGUOK/SDHC/NDUFAB1/NDUFA10/UQCRC2/ATP5F1A/UQCRC1/TNF/UQCC3/PPIF/CYC1/ANTKMT/ATP5F1B/NDUFS5/NDUFS8/DNAJC15/ATP5PB/NDUFB5/COX6C/COX7A2/CHCHD10/NDUFB3/UQCR10/COX6A1/NDUFA7/COX5A/COX7A2L/NDUFC2/NDUFB8/UQCRH/ATP5F1C/ATP5PO/NDUFS7/NDUFB11/COX7C/NDUFS6/ATP5PD/ATP5PF/PARK7/COX7B/NDUFA3/NDUFB10/NDUFA11/RHOA/NDUFA4/NDUFB2/ATP5MF/NDUFB7/UQCRB/ATP5MG/UQCRQ/COX8A/NDUFA1/NDUFA2/ATP5ME/COX5B/ATP5F1D/NDUFB1/NDUFA13/COX6B1/UQCR11/ATP5F1E
BP	GO:1990868	response to chemokine	50	0.8139569866817317	2.0189976118631305	1.7228351415983629e-6	5.724735056225417e-4	4.663313165228651e-4	274	tags=28%, list=3%, signal=27%	CCL4/CXCL3/CXCL8/CCL3/CCL3L1/CCL2/CCL5/CXCL2/CCL7/CCL20/PPBP/CXCL1/CCR7/OXSR1
BP	GO:1990869	cellular response to chemokine	50	0.8139569866817317	2.0189976118631305	1.7228351415983629e-6	5.724735056225417e-4	4.663313165228651e-4	274	tags=28%, list=3%, signal=27%	CCL4/CXCL3/CXCL8/CCL3/CCL3L1/CCL2/CCL5/CXCL2/CCL7/CCL20/PPBP/CXCL1/CCR7/OXSR1
BP	GO:1902600	proton transmembrane transport	90	-0.7725866114673814	-1.938539108034686	1.2053005700528103e-6	5.724735056225417e-4	4.663313165228651e-4	1091	tags=50%, list=10%, signal=45%	ATP5F1A/UQCRC1/PPIF/CYC1/ANTKMT/ATP6V0A1/SURF1/ATP5F1B/ATP5MC1/CHP1/TCIRG1/ATP5PB/ATP6V0D1/UQCR10/UCP2/TESC/SLC25A5/COX5A/COX7A2L/ATP6AP2/UQCRH/ATP5F1C/ATP5PO/NDUFS7/ATP5PD/ATP5MC3/ATP5PF/PARK7/COX7B/ATP6V0E1/NDUFA4/ATP5MF/TMSB4X/ATP6V0B/ATP5MG/COX8A/ATP6V0C/ATP5ME/COX5B/ATP5F1D/SLC11A1/RNASEK/COX6B1/ATP5MC2/ATP5F1E
MF	GO:0050839	cell adhesion molecule binding	316	0.5485729900188099	1.7296075383096257	1.6800346739435522e-6	5.724735056225417e-4	4.663313165228651e-4	707	tags=22%, list=7%, signal=21%	HSPA5/THBS1/CALR/ITGB1/EZR/SEPTIN7/BZW1/IL1B/YWHAZ/CHMP4B/ANXA1/TES/PRDX1/HSP90AB1/NINJ1/HMGB1/ANXA2/MYH9/LDHA/MSN/TAGLN2/YWHAE/SLC3A2/KTN1/CD47/SERBP1/RDX/ITGB8/STK24/PLEC/RAN/ITGAV/ANXA7/EHD1/AHNAK/SPTBN1/PTPRJ/EIF4G2/EFHD2/S100A11/SNX9/SH3GLB1/ABI1/EIF5/ITGAX/PPIA/CD226/PTPN1/SDCBP/CAST/NUMB/ACTN1/EHD4/TMOD3/DDX6/P2RX4/SLK/TJP2/KIF5B/HNRNPK/CAPZA1/SWAP70/SRC/MACF1/PKM/PDLIM5/FLNB/CD81/EMD
CC	GO:0098798	mitochondrial protein-containing complex	267	-0.6224084117624845	-1.7632134491170077	2.0287482991873456e-6	5.898585679887207e-4	4.804930182285818e-4	1105	tags=33%, list=10%, signal=30%	SDHC/TIMM17B/MPC1/NDUFAB1/NDUFA10/MRPL55/UQCRC2/ATP5F1A/MRPL34/HADHB/UQCRC1/MICU1/MRPL57/MRPL52/HSD17B10/PPIF/CYC1/HADHA/MICOS13/MRPL51/MRPS34/BCKDHA/ATP5F1B/MRPL54/ATP5MC1/IDH3G/NDUFS5/NDUFS8/SMDT1/DNAJC15/ATP5PB/TIMM8B/NDUFB5/MRPS21/COX6C/COX7A2/CHCHD10/NDUFB3/UQCR10/COX6A1/NDUFA7/ROMO1/SLC25A5/COX5A/MICOS10/COX7A2L/NDUFC2/TOMM6/TOMM7/NDUFB8/UQCRH/ATP5F1C/BAX/AURKAIP1/ATP5PO/NDUFS7/NDUFB11/COX7C/NDUFS6/ATP5PD/ATP5MC3/ATP5PF/MRPL33/COX7B/NDUFA3/NDUFB10/NDUFA11/NDUFA4/NDUFB2/ATP5MF/NDUFB7/UQCRB/ATP5MG/UQCRQ/COX8A/NDUFA1/NDUFA2/ATP5ME/SLC25A6/COX5B/ATP5F1D/NDUFB1/NDUFA13/COX6B1/ATP5MC2/UQCR11/ATP5F1E
MF	GO:0043177	organic acid binding	88	-0.7538720621783657	-1.886317956748115	3.634177761542817e-6	8.453097473348592e-4	6.885810495554812e-4	553	tags=12%, list=5%, signal=12%	PYGL/SCP2/GLUL/RXRA/SELL/RBP7/PSAP/GSTP1/FCN1/S100A9/S100A8
CC	GO:0099503	secretory vesicle	629	-0.5304792259215784	-1.6064675823900652	3.444057508541932e-6	8.453097473348592e-4	6.885810495554812e-4	1000	tags=26%, list=9%, signal=25%	SNX10/A1BG/VAPA/SYNGR1/IQSEC1/CLEC4D/DBNL/CD33/IFT20/FLOT2/STX16/HEXA/ATP6V0A1/DYNLT1/SNAP23/SRGN/MIF/DPP7/ITGAL/STX7/RCBTB2/SLIRP/CALM3/RAB27A/ROGDI/NFAM1/SYNGR2/S100P/CTSA/ANXA11/DMXL2/BSG/RAB3D/PRKACA/PLCB2/CSNK2B/VEGFA/PTAFR/ALDH3B1/CMTM6/TMEM230/TMEM179B/ACAA1/ATP11A/QPCT/TCIRG1/MCEMP1/PPT1/MAN2B1/GNAI3/GAA/NCKAP1L/CNN2/ATP6V0D1/RNASE2/ARHGAP45/GM2A/OSCAR/ITGAM/SIRPB1/PGAM1/HEXB/OSTF1/EEF2/PYGL/PTPN6/HEBP2/CTSC/CAT/DOCK2/LILRB2/STX10/NAPRT/ALOX5/ACTR2/NDUFC2/ADGRE5/SERPINB6/NPC2/FCAR/CD46/RHOG/ADA2/ATP6AP2/PICALM/LTA4H/RAB31/PECAM1/CTSB/DDX3X/BIN2/BST1/GDI2/NME2/TRAPPC1/TIMP2/VPS13C/SELL/CDA/CAP1/RHOA/FGR/CD55/DYNLL1/TMSB4X/APRT/GCA/LAMTOR2/GLIPR1/BST2/STXBP2/CTSZ/PTPRC/RETN/CTSH/BRI3/CPPED1/ATP6V0C/FPR1/FCGR2A/LILRB3/STX11/LRRK2/LAMTOR1/RNASET2/FCER1G/CLEC12A/CFP/YPEL5/ITGB2/SLC11A1/CYBB/PDE4B/C5AR1/SERPINA1/PSAP/CD36/VAMP8/CTSD/CYBA/GRN/SLC2A3/ASAH1/S100A12/PYCARD/CFD/GNAI2/GMFG/COTL1/TYROBP/FTL/PLAUR/GSTP1/FGL2/CST3/CD14/FCN1/CTSS/MNDA/LYZ/S100A9/S100A8
CC	GO:0030141	secretory granule	552	-0.5401151504265165	-1.6221779713365903	4.145097663552459e-6	8.764997423111835e-4	7.139881142961172e-4	1127	tags=30%, list=10%, signal=28%	IMPDH1/NCF2/MAPK14/HSPA8/ADAM15/PRDX6/MGST1/COMMD3/COMMD9/LAMP1/TMEM30A/VDAC2/IQGAP2/PSMA5/SNX10/A1BG/VAPA/SYNGR1/CLEC4D/DBNL/CD33/IFT20/FLOT2/HEXA/ATP6V0A1/DYNLT1/SNAP23/SRGN/MIF/DPP7/ITGAL/STX7/RCBTB2/SLIRP/RAB27A/NFAM1/S100P/CTSA/ANXA11/DMXL2/BSG/RAB3D/PRKACA/PLCB2/CSNK2B/VEGFA/PTAFR/ALDH3B1/CMTM6/TMEM179B/ACAA1/ATP11A/QPCT/TCIRG1/MCEMP1/MAN2B1/GNAI3/GAA/NCKAP1L/CNN2/RNASE2/ARHGAP45/GM2A/OSCAR/ITGAM/SIRPB1/PGAM1/HEXB/OSTF1/EEF2/PYGL/PTPN6/HEBP2/CTSC/CAT/DOCK2/LILRB2/NAPRT/ALOX5/ACTR2/NDUFC2/ADGRE5/SERPINB6/NPC2/FCAR/CD46/RHOG/ADA2/ATP6AP2/LTA4H/RAB31/PECAM1/CTSB/DDX3X/BIN2/BST1/GDI2/NME2/TRAPPC1/TIMP2/VPS13C/SELL/CDA/CAP1/RHOA/FGR/CD55/DYNLL1/TMSB4X/APRT/GCA/LAMTOR2/GLIPR1/BST2/STXBP2/CTSZ/PTPRC/RETN/CTSH/BRI3/CPPED1/ATP6V0C/FPR1/FCGR2A/LILRB3/LAMTOR1/RNASET2/FCER1G/CLEC12A/CFP/YPEL5/ITGB2/SLC11A1/CYBB/C5AR1/SERPINA1/PSAP/CD36/VAMP8/CTSD/CYBA/GRN/SLC2A3/ASAH1/S100A12/PYCARD/CFD/GNAI2/GMFG/COTL1/TYROBP/FTL/PLAUR/GSTP1/FGL2/CST3/CD14/FCN1/CTSS/MNDA/LYZ/S100A9/S100A8
