ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0005615	extracellular space	113	0.6531442573858044	1.9398126961983682	1.5046395262113973e-8	5.9643910819019786e-5	5.340678402510349e-5	51	tags=33%, list=13%, signal=40%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/GNLY/LYZ/THBS1/CCL3L1/SRGN/TIMP1/CCL5/PTPRC/VIM/S100A9/S100A6/LCP1/S100A11/CXCL3/GAPDH/S100A4/S100A10/LDHA/AGO2/CXCL2/COPA/AHNAK/ITGB1/PPP1CB/LGALS3/ANXA5/CST7/ATP2B1/PSMB9/SPTBN1/TNFAIP3
BP	GO:0030595	leukocyte chemotaxis	24	0.8515404255128162	2.0712280330087482	2.0353307190054176e-7	1.344675161689579e-4	1.2040588042958366e-4	43	tags=50%, list=11%, signal=47%	CXCL8/IL1B/ANXA1/CCL4/CCL3/THBS1/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/LGALS3
BP	GO:0060326	cell chemotaxis	24	0.8515404255128162	2.0712280330087482	2.0353307190054176e-7	1.344675161689579e-4	1.2040588042958366e-4	43	tags=50%, list=11%, signal=47%	CXCL8/IL1B/ANXA1/CCL4/CCL3/THBS1/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/LGALS3
BP	GO:0071621	granulocyte chemotaxis	18	0.8955614473561	2.0629067033794506	1.5888950660998646e-7	1.344675161689579e-4	1.2040588042958366e-4	43	tags=67%, list=11%, signal=62%	CXCL8/IL1B/ANXA1/CCL4/CCL3/THBS1/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/LGALS3
BP	GO:0097530	granulocyte migration	18	0.8955614473561	2.0629067033794506	1.5888950660998646e-7	1.344675161689579e-4	1.2040588042958366e-4	43	tags=67%, list=11%, signal=62%	CXCL8/IL1B/ANXA1/CCL4/CCL3/THBS1/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/LGALS3
BP	GO:0006954	inflammatory response	39	0.7840061371440701	2.061045825531356	1.646610377390233e-7	1.344675161689579e-4	1.2040588042958366e-4	72	tags=67%, list=18%, signal=61%	CXCL8/IL1B/ANXA1/CCL4/CCL3/LYZ/THBS1/NEAT1/CCL3L1/NKG7/TIMP1/CCL5/PTPRC/S100A9/CXCL3/CXCL2/ITGB1/CST7/TNFAIP3/PBXIP1/NFKBIA/OTULIN/NFKB1/FYN/BLNK/ATM
BP	GO:0050900	leukocyte migration	28	0.8240546022987068	2.055140161494323	3.2138374434734334e-7	1.6021230896702443e-4	1.434584698700957e-4	43	tags=46%, list=11%, signal=45%	CXCL8/IL1B/ANXA1/CCL4/CCL3/THBS1/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/ITGB1/LGALS3
BP	GO:0097529	myeloid leukocyte migration	20	0.8671215513464768	2.0418550271974034	3.637514583005095e-7	1.6021230896702443e-4	1.434584698700957e-4	43	tags=60%, list=11%, signal=56%	CXCL8/IL1B/ANXA1/CCL4/CCL3/THBS1/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/LGALS3
CC	GO:0005576	extracellular region	124	0.6238258285844529	1.8632464418011219	3.3712832624223334e-7	1.6021230896702443e-4	1.434584698700957e-4	51	tags=31%, list=13%, signal=39%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/GNLY/LYZ/THBS1/CCL3L1/SRGN/TIMP1/CCL5/PTPRC/VIM/S100A9/S100A6/LCP1/S100A11/CXCL3/GAPDH/S100A4/S100A10/LDHA/AGO2/CXCL2/COPA/IL7R/AHNAK/ITGB1/PPP1CB/LGALS3/ANXA5/CST7/ATP2B1/PSMB9/SPTBN1/TNFAIP3
BP	GO:0006935	chemotaxis	26	0.8294004714015004	2.043696268955036	8.796639113790987e-7	3.0139774012060154e-4	2.698797545506051e-4	43	tags=46%, list=11%, signal=44%	CXCL8/IL1B/ANXA1/CCL4/CCL3/THBS1/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/LGALS3
BP	GO:0042330	taxis	26	0.8294004714015004	2.043696268955036	8.796639113790987e-7	3.0139774012060154e-4	2.698797545506051e-4	43	tags=46%, list=11%, signal=44%	CXCL8/IL1B/ANXA1/CCL4/CCL3/THBS1/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/LGALS3
BP	GO:0048870	cell motility	65	0.6916911505557226	1.9571744035509526	9.124048641390562e-7	3.0139774012060154e-4	2.698797545506051e-4	43	tags=31%, list=11%, signal=33%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/THBS1/CCL3L1/TIMP1/CCL5/ZEB2/PTPRC/S100A9/LCP1/S100A11/CXCL3/AGO2/CXCL2/ITGB1/LGALS3
BP	GO:0040011	locomotion	51	0.7262523384484173	1.9946431314867257	1.2488601796968437e-6	3.5360583945130637e-4	3.1662831022088403e-4	43	tags=35%, list=11%, signal=36%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/THBS1/CCL3L1/TIMP1/CCL5/PTPRC/S100A9/S100A11/CXCL3/AGO2/CXCL2/ITGB1/LGALS3
BP	GO:0016477	cell migration	62	0.7015132480745252	1.970896766030137	1.196193713584103e-6	3.5360583945130637e-4	3.1662831022088403e-4	57	tags=37%, list=14%, signal=38%	CXCL8/IL1B/ANXA1/CCL4/SOD2/CCL3/THBS1/CCL3L1/TIMP1/CCL5/ZEB2/PTPRC/S100A9/LCP1/S100A11/CXCL3/AGO2/CXCL2/ITGB1/LGALS3/TNFAIP3/PBXIP1/MIA3
BP	GO:0030593	neutrophil chemotaxis	15	0.8902753241807615	1.9752525096610436	2.512359531344985e-6	6.2243707389072e-4	5.573471276115323e-4	43	tags=67%, list=11%, signal=62%	CXCL8/IL1B/CCL4/CCL3/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/LGALS3
BP	GO:1990266	neutrophil migration	15	0.8902753241807615	1.9752525096610436	2.512359531344985e-6	6.2243707389072e-4	5.573471276115323e-4	43	tags=67%, list=11%, signal=62%	CXCL8/IL1B/CCL4/CCL3/CCL3L1/CCL5/S100A9/CXCL3/CXCL2/LGALS3
