ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0030667	secretory granule membrane	31	-0.7333645480959	-2.212793025656667	1.288863851834719e-6	0.004702547029230492	0.004567228539438876	79	tags=45%, list=13%, signal=41%	PECAM1/CLEC12A/DYNLL1/OLR1/SLC2A3/LGALS3/CD36/ANPEP/FPR1/MGST1/SLC11A1/C5AR1/PLAUR/CD14
MF	GO:0048020	CCR chemokine receptor binding	9	0.9315449843653224	2.049491303202318	1.7442681859163544e-6	0.004702547029230492	0.004567228539438876	30	tags=78%, list=5%, signal=75%	CCL5/CCL20/CCL2/CCL4/CCL3/CCL3L1/CCL7
BP	GO:0043547	positive regulation of GTPase activity	17	0.8268580232247923	2.1426565320061455	3.2853286161469756e-6	0.005904830632754831	0.005734915742221475	73	tags=59%, list=12%, signal=53%	CCL5/CCL20/CCL2/CCL4/CCL3/CCL3L1/CCL7/ITGB1/MAP4K4/CCR7
BP	GO:0070098	chemokine-mediated signaling pathway	16	0.8409155339509344	2.1569327297786844	7.05888439721572e-6	0.006343584111631193	0.0061610438379207395	88	tags=81%, list=14%, signal=71%	CXCL3/CCL5/PPBP/CCL20/CCL2/CCL4/CCL3/CCL3L1/CCL7/CXCL2/CCR7/CXCL1/CXCR4
MF	GO:0042379	chemokine receptor binding	14	0.8612022645976499	2.13240919429049	6.136333629677186e-6	0.006343584111631193	0.0061610438379207395	44	tags=71%, list=7%, signal=68%	CXCL3/CCL5/PPBP/CCL20/CCL2/CCL4/CCL3/CCL3L1/CCL7/CXCL2
MF	GO:0008009	chemokine activity	12	0.8788441727289736	2.094704772107264	5.146893446588167e-6	0.006343584111631193	0.0061610438379207395	44	tags=83%, list=7%, signal=79%	CXCL3/CCL5/PPBP/CCL20/CCL2/CCL4/CCL3/CCL3L1/CCL7/CXCL2
BP	GO:0048247	lymphocyte chemotaxis	11	0.8962847755351934	2.084308063807546	8.308569301572238e-6	0.00639997223915393	0.006215809364710058	30	tags=64%, list=5%, signal=62%	CCL5/CCL20/CCL2/CCL4/CCL3/CCL3L1/CCL7
MF	GO:0001664	G protein-coupled receptor binding	21	0.7673115350784642	2.0965707100599698	2.6573479974235898e-5	0.017910525502634996	0.01739513985155574	79	tags=57%, list=13%, signal=52%	CXCL3/CCL5/PPBP/CCL20/CCL2/CCL4/CCL3/CCL3L1/CCL7/CXCL2/RALA/CXCL1
CC	GO:0030141	secretory granule	69	-0.5349301824617841	-1.898125692203828	4.7604388685499985e-5	0.0285203181991351	0.027699629673726602	79	tags=36%, list=13%, signal=36%	PECAM1/CLEC12A/DYNLL1/OLR1/SLC2A3/DMXL2/CTSB/LGALS3/CD36/PYCARD/VEGFA/FGL2/ANPEP/FPR1/MGST1/SLC11A1/C5AR1/PLAUR/MNDA/CD14/CST3/S100A12/S100A9/LYZ/S100A8
BP	GO:1901623	regulation of lymphocyte chemotaxis	7	0.9328532613687146	1.910386003592937	5.387188132583036e-5	0.029047718410887734	0.02821185364168485	30	tags=71%, list=5%, signal=69%	CCL5/CCL2/CCL4/CCL3/CCL7
CC	GO:0099503	secretory vesicle	74	-0.51959294891001	-1.8657197339016636	9.743472103763234e-5	0.04239487663165936	0.041174939724056184	79	tags=34%, list=13%, signal=33%	PECAM1/CLEC12A/DYNLL1/OLR1/SLC2A3/DMXL2/CTSB/LGALS3/CD36/PYCARD/VEGFA/FGL2/ANPEP/FPR1/MGST1/SLC11A1/C5AR1/PLAUR/MNDA/CD14/CST3/S100A12/S100A9/LYZ/S100A8
BP	GO:0035747	natural killer cell chemotaxis	5	0.9588138385502472	1.7824784933453623	1.0221316695318467e-4	0.04239487663165936	0.041174939724056184	30	tags=100%, list=5%, signal=96%	CCL5/CCL2/CCL4/CCL3/CCL7
BP	GO:2000501	regulation of natural killer cell chemotaxis	5	0.9588138385502472	1.7824784933453623	1.0221316695318467e-4	0.04239487663165936	0.041174939724056184	30	tags=100%, list=5%, signal=96%	CCL5/CCL2/CCL4/CCL3/CCL7
