ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0050867	positive regulation of cell activation	53	0.5986714948537616	2.218292779108049	5.791732634656532e-7	0.0031165313307086797	0.0029671960771445625	127	tags=49%, list=20%, signal=43%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/MAP3K8/CD74/CORO1A/CTSC/JUND/THBS1/IL7R/MEF2C/HLA-DRA/VSIR/HLA-DMB/HLA-DRB1/CCL3/PELI1
BP	GO:0002696	positive regulation of leukocyte activation	52	0.5997035335695333	2.216662234823753	1.5352826424807565e-6	0.004130677949594475	0.003932747695238864	127	tags=50%, list=20%, signal=43%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/MAP3K8/CD74/CORO1A/CTSC/JUND/THBS1/IL7R/MEF2C/HLA-DRA/VSIR/HLA-DMB/HLA-DRB1/CCL3/PELI1
BP	GO:0050870	positive regulation of T cell activation	37	0.6300648617631479	2.1594124420623326	1.1514407235610961e-5	0.006699523247155669	0.006378501285009955	104	tags=49%, list=17%, signal=43%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/ANXA1/MAP3K8/CD74/CORO1A/IL7R/HLA-DRA/VSIR/HLA-DMB
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	42	0.6070083833458386	2.1391484041644615	6.67480854529979e-6	0.006699523247155669	0.006378501285009955	104	tags=45%, list=17%, signal=40%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/ANXA1/MAP3K8/CD74/CORO1A/ITGA4/IL7R/HLA-DRA/VSIR/HLA-DMB
CC	GO:0005743	mitochondrial inner membrane	11	-0.850221495531623	-2.0727307350045616	1.239833482530553e-5	0.006699523247155669	0.006378501285009955	5	tags=27%, list=1%, signal=28%	LGALS3/SLC25A37/C15orf48
BP	GO:0051249	regulation of lymphocyte activation	61	0.5429605985073016	2.0686307429412847	1.1249110826960688e-5	0.006699523247155669	0.006378501285009955	104	tags=41%, list=17%, signal=38%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/ID2/MNDA/LST1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/ANXA1/MAP3K8/CD74/CORO1A/FGL2/ZFP36L2/IL7R/MEF2C/RIPOR2/HLA-DRA/VSIR/HLA-DMB
BP	GO:0002694	regulation of leukocyte activation	75	0.5241045682183563	2.066456146952192	3.869221957605761e-6	0.006699523247155669	0.006378501285009955	104	tags=39%, list=17%, signal=37%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/ID2/MNDA/LST1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/MAP3K8/CD74/CORO1A/FGL2/CTSC/JUND/ZFP36L2/THBS1/IL7R/MEF2C/RIPOR2/HLA-DRA/VSIR/HLA-DMB
BP	GO:0050865	regulation of cell activation	80	0.5057295407247886	2.020116542140197	6.5235758926585816e-6	0.006699523247155669	0.006378501285009955	104	tags=36%, list=17%, signal=35%	HLA-DRB5/IL1B/AIF1/HLA-DPA1/HLA-DPB1/HLA-DQB1/ID2/MNDA/LST1/HLA-DQA1/HLA-DMA/PYCARD/HLA-DQA2/VAMP8/ANXA1/MAP3K8/CD74/CORO1A/FGL2/CTSC/JUND/ZFP36L2/THBS1/IL7R/MEF2C/RIPOR2/HLA-DRA/VSIR/HLA-DMB
BP	GO:0051234	establishment of localization	194	-0.41000337334419024	-1.7490052393691475	1.2450331252844581e-5	0.006699523247155669	0.006378501285009955	161	tags=39%, list=26%, signal=42%	SERINC5/ATP6V1A/HSPA5/SLC4A7/CXCL8/CXCR4/MDM2/TNF/SOAT1/HK2/ITGAV/RIN2/SPHK1/CD9/HYOU1/CALR/LILRB1/IL2RG/GOLGA4/HPSE/HSP90B1/RBP7/SLC16A6/SLC44A1/SEC62/PID1/COPB2/HDLBP/DAB2/ADA/ATP13A3/CYB561A3/ITGB1/ARFGAP3/OLR1/CD81/PPP1R12A/OSBPL8/ACSL1/NFKB1/MYOF/ATP2B1/ARL4C/CCL4/ATP6V1B2/PIM1/SLC2A3/CD63/HIF1A/ENG/DYNLL1/RDX/VEGFA/RHOQ/ABCA1/CD93/PPIF/CXCL16/CCR1/RALA/SGK1/SLC39A8/PRKAG2/CEBPB/CCL2/SLC11A1/AQP9/SDCBP/SLC7A11/ZFYVE16/SQSTM1/LIMS1/LGALS3/SLC25A37/XIST
CC	GO:0016020	membrane	344	-0.36961023400759474	-1.6449693758654484	8.269770880242591e-6	0.006699523247155669	0.006378501285009955	130	tags=28%, list=21%, signal=49%	PDIA6/CD9/HYOU1/CALR/LILRB1/IL2RG/B4GALT5/GOLGA4/HPSE/FPR1/HSP90B1/SLC16A6/SLC44A1/ASPH/SEC62/COPB2/HDLBP/DAB2/SDF2L1/FNIP2/ADA/PPFIA1/IGSF6/WTAP/ATP13A3/CYB561A3/ITGB1/EVA1B/SWAP70/ARFGAP3/OLR1/RNF13/CD81/PPP1R12A/GAPT/DNAJC3/OSBPL8/MPEG1/DOCK4/ACSL1/MGAT1/ANXA5/SLAMF7/MYOF/MARCKS/CCRL2/VRK2/ATP2B1/CLEC5A/ARL4C/EPB41L3/ATP6V1B2/PIM1/SLC2A3/C5AR1/IL1R1/CD63/FCAR/ENG/CDC42EP3/DYNLL1/RDX/VEGFA/RHOQ/ABCA1/CD93/GK/PPIF/SERPINB2/CXCL16/CCR1/LHFPL2/DSE/RALA/SGK1/ALCAM/SLC39A8/CTSB/NINJ1/DMXL2/CD300E/SH3BP5/FNDC3B/BASP1/SLC11A1/PLAUR/AQP9/SDCBP/SLC7A11/ZFYVE16/LIMS1/ANPEP/LGALS3/SLC25A37/C15orf48
