ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process	6	-0.9582736188641976	-1.9772469749556856	2.9525396436493922e-6	0.015946666615350366	0.014781345837048956	12	tags=50%, list=2%, signal=50%	S100A9/PYCARD/S100A8
MF	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	47	-0.5951041165888188	-2.11155009653454	7.923668770707636e-6	0.02139786751529597	0.019834194038676586	99	tags=38%, list=16%, signal=35%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	50	-0.5821834783365823	-2.090796687365733	2.1681268982485934e-5	0.027816479769551723	0.02578375891092059	99	tags=36%, list=16%, signal=33%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0000987	cis-regulatory region sequence-specific DNA binding	49	-0.5752650007940503	-2.0587628883280864	3.688603798864208e-5	0.027816479769551723	0.02578375891092059	99	tags=37%, list=16%, signal=34%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	50	-0.5709650239711215	-2.050507829819163	4.63522158722395e-5	0.027816479769551723	0.02578375891092059	121	tags=38%, list=19%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0003700	DNA-binding transcription factor activity	50	-0.5709650239711215	-2.050507829819163	4.63522158722395e-5	0.027816479769551723	0.02578375891092059	121	tags=38%, list=19%, signal=33%	MEF2C/BCL6/EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0003690	double-stranded DNA binding	59	-0.5437958542075052	-2.009461966815447	2.0168443282502963e-5	0.027816479769551723	0.02578375891092059	99	tags=32%, list=16%, signal=30%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS/MNDA
CC	GO:0000785	chromatin	60	-0.5259830075084151	-1.9511739419838505	4.429024004407944e-5	0.027816479769551723	0.02578375891092059	99	tags=33%, list=16%, signal=31%	EGR1/CEBPB/JMJD1C/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/ACTB/KLF2/ID2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0003677	DNA binding	85	-0.47946252589280763	-1.8895943333622598	3.7987827164426134e-5	0.027816479769551723	0.02578375891092059	99	tags=29%, list=16%, signal=29%	EGR1/CEBPB/JMJD1C/TNFAIP3/NR4A2/SAMHD1/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/JUNB/JUN/IRF1/KLF6/JUND/KLF4/ZFP36/FOSB/FOS/MNDA
MF	GO:0001216	DNA-binding transcription activator activity	28	-0.6648008038732818	-2.0914151103270964	5.8059995453977956e-5	0.028507457767903175	0.026424242907092745	99	tags=50%, list=16%, signal=44%	EGR1/CEBPB/NR4A2/KLF10/CEBPD/ATF3/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
MF	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	28	-0.6648008038732818	-2.0914151103270964	5.8059995453977956e-5	0.028507457767903175	0.026424242907092745	99	tags=50%, list=16%, signal=44%	EGR1/CEBPB/NR4A2/KLF10/CEBPD/ATF3/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
CC	GO:0005694	chromosome	74	-0.49432344450563204	-1.9038339766113788	6.495985786169894e-5	0.029237349359252998	0.027100796841249136	99	tags=31%, list=16%, signal=30%	EGR1/CEBPB/JMJD1C/NR4A2/SAMHD1/POU2F2/STAT1/KLF10/CEBPD/ATF3/CHMP1B/TUBA1A/ACTB/KLF2/ID2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/FOSB/FOS
BP	GO:0050850	positive regulation of calcium-mediated signaling	4	0.9664407037154428	1.7626149283797292	8.080919866234888e-5	0.03357311399810356	0.03111972055369484	23	tags=75%, list=4%, signal=73%	CCL4/ADA/CCL3
BP	GO:0051254	positive regulation of RNA metabolic process	86	-0.467529531509115	-1.8469618733544284	1.2445688818745143e-4	0.048013689507173225	0.04450503460297135	99	tags=28%, list=16%, signal=27%	EGR1/CEBPB/NR4A2/POU2F2/STAT1/KLF10/CEBPD/ATF3/IER2/ACTB/KLF2/NFKBIZ/ID2/NCF1/ZFP36L2/JUNB/JUN/IRF1/KLF6/JUND/KLF4/ZFP36/FOSB/FOS
