p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,7.6441702904815685,0.832,0.142,0,0,THBS1
0,7.350363248066878,0.961,0.143,0,0,CCL3
0,6.229675271809249,0.846,0.151,0,0,CXCL3
0,5.046678662809111,0.67,0.125,0,0,SERPINB2
0,4.727665184751347,0.738,0.147,0,0,C15orf48
0,4.400676395041011,0.789,0.145,0,0,CCL4L2
0,4.308755654548829,0.947,0.324,0,0,FTH1
0,3.929724990358539,0.803,0.159,0,0,S100A9
0,3.88292510741796,0.846,0.192,0,0,LYZ
0,3.566340611039272,0.832,0.156,0,0,CXCL2
0,2.323650699191301,0.548,0.362,0,1,FTH1
0,1.457867348819806,0.89,0.426,0,1,RPS12
0,1.4035702408306108,0.93,0.422,0,1,RPL13
0,1.3171783199315232,0.913,0.43,0,1,RPS18
0,1.259687829185098,0.799,0.311,0,1,LTB
0,1.2589949037929928,0.714,0.315,0,1,IL7R
0,1.248632771203099,0.869,0.456,0,1,RPL10
0,1.2091135710636098,0.826,0.446,0,1,RPLP1
0,1.0855580598677834,0.62,0.311,0,1,CREM
0,1.0512453602906915,0.86,0.445,0,1,TPT1
0,3.576180970805627,0.971,0.265,0,2,NKG7
0,2.8071263583377006,0.87,0.197,0,2,GZMB
0,2.594178815625664,0.582,0.074,0,2,PTGDS
0,2.384563922461139,0.88,0.223,0,2,KLRD1
0,2.190611855577089,0.686,0.193,0,2,FGFBP2
0,2.1231094727624096,0.635,0.299,0,2,CCL5
0,2.0983764995475163,0.829,0.203,0,2,KLRB1
0,2.0585569491177433,0.788,0.217,0,2,GZMA
0,1.9836725460258637,0.75,0.141,0,2,CLIC3
0,1.9749336962353163,0.81,0.216,0,2,CTSW
0,1.6773645674425461,0.924,0.426,0,3,RPS12
0,1.570822954168101,0.93,0.425,0,3,RPL13
0,1.5219487211768459,0.846,0.31,0,3,LTB
0,1.4809207054691689,0.926,0.465,0,3,RPS27
0,1.4180481319189766,0.919,0.432,0,3,RPS18
0,1.368284418211857,0.875,0.427,0,3,RPS8
0,1.3577346720327619,0.9,0.431,0,3,RPL34
0,1.3512145511807325,0.886,0.457,0,3,RPL10
0,1.3439796964194024,0.921,0.439,0,3,RPL30
0,1.2763833548277133,0.888,0.435,0,3,RPL32
0,4.4822735745703675,0.935,0.198,0,4,LYZ
0,3.854224712945152,0.947,0.336,0,4,FTH1
0,3.8301232981312836,0.823,0.209,0,4,SOD2
0,3.826555704605874,0.832,0.194,0,4,CXCL8
0,3.7875336496097276,0.942,0.252,0,4,FTL
0,3.7676780714924276,0.654,0.167,0,4,THBS1
0,3.5292680692407923,0.522,0.161,0,4,CCL2
0,3.5108283711045476,0.677,0.163,0,4,C15orf48
0,3.41844537620114,0.783,0.173,0,4,S100A9
0,3.3757284756055697,0.827,0.169,0,4,CYP1B1
0,6.490300432209834,0.934,0.203,0,5,GNLY
0,2.9827796757669023,0.865,0.291,0,5,CCL5
0,2.3007539306146487,0.861,0.285,0,5,NKG7
0,1.9887984969426782,0.709,0.219,0,5,GZMB
