p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.496549769271386	0.771	0.238	0	0	GZMH
0	1.3195542357628138	0.991	0.526	0	0	CCL5
0	1.3138802051854517	0.587	0.186	0	0	CD8A
0	1.1784458000643738	0.986	0.463	0	0	NKG7
0	1.1202798633403859	0.838	0.454	0	0	CD3D
0	1.0879817796112867	0.698	0.349	0	0	CD3G
0	1.0075092016557083	0.793	0.353	0	0	CST7
0	0.9998549561919886	0.357	0.108	0	0	CD8B
0	0.9457430452931119	0.723	0.357	0	0	APOBEC3G
0	0.9187709917707794	0.532	0.229	0	0	C12orf75
0	0.9072669318526552	0.587	0.222	0	0	FGFBP2
0	0.89856885631309	0.275	0.076	0	0	TRGC2
0	0.7090551980615771	0.887	0.737	0	0	SEPTIN7
0	0.5739096854679948	0.998	0.989	0	0	HLA-B
0	0.5468905764422045	0.996	0.976	0	0	HLA-A
0	0.5420354729884966	0.987	0.957	0	0	HLA-C
0	0.46638578020754284	1	0.998	0	0	B2M
8.037845002088133e-304	0.5266687333918214	0.575	0.257	2.941931649214277e-299	0	GZMB
3.7635973036358645e-300	0.8203172224719328	0.427	0.181	1.3775142491037627e-295	0	SAMD3
9.85340334212817e-298	0.8072888754562024	0.515	0.247	3.6064441572523316e-293	0	GZMM
2.8054010209176734e-290	0.7638793509395905	0.822	0.648	1.0268048276660775e-285	0	LDHA
2.3268429348606387e-277	0.4325689516029696	0.995	0.975	8.516477825883424e-273	0	RPS3
5.6346062883959614e-275	0.7943973433959243	0.357	0.143	2.062322247615806e-270	0	MXRA7
1.4362815605276918e-270	0.8731588067801865	0.42	0.187	5.256934139687405e-266	0	CMC1
2.1968323854247935e-270	0.6432747483281291	0.723	0.428	8.040626213893286e-266	0	GNLY
1.0359252483755865e-260	0.7719837783431838	0.748	0.503	3.791590001579484e-256	0	TRBC2
2.3948526767550874e-258	0.6153828471998768	0.923	0.817	8.765400282191296e-254	0	PTPRC
7.974361716784275e-248	0.827624652469755	0.59	0.333	2.9186961319602126e-243	0	IL32
3.34768224381282e-247	0.7622177095382543	0.432	0.204	1.2252851780579303e-242	0	C1orf21
1.8260645102222728e-245	0.3935612478978605	0.997	0.983	6.68357871386454e-241	0	RPS19
8.624481705077135e-226	0.5243612708253087	0.943	0.887	3.156646548875282e-221	0	HMGB1
5.5081396204528245e-223	0.5932155492304083	0.536	0.272	2.0160341824819383e-218	0	KLRD1
7.677580410278996e-222	0.7052588425999176	0.624	0.401	2.8100712059662154e-217	0	PLAAT4
7.544841217696008e-210	0.3516875227474161	0.998	0.99	2.761487334088916e-205	0	TMSB4X
1.0333556967851376e-208	0.7700106475695263	0.422	0.218	3.782185185803282e-204	0	LYAR
5.594064793848997e-208	0.5986466337785741	0.938	0.875	2.0474836551966712e-203	0	GAPDH
1.5324917343353232e-206	0.3915040107572594	0.996	0.983	5.609072996840717e-202	0	PTMA
6.260620093072049e-196	0.6908906688377692	0.503	0.295	2.2914495602653007e-191	0	ABHD17A
8.0212173703466545e-193	0.6738895073431873	0.27	0.11	2.935845769720579e-188	0	LINC01871
2.233340933254824e-185	0.3246188977907618	0.999	0.999	8.17425114980598e-181	0	MT-ATP6
5.664456084971245e-181	0.6354158772820506	0.695	0.47	2.0732475716603253e-176	0	CD2
3.3156028171129426e-180	0.5817585790659496	0.697	0.493	1.2135437870915081e-175	0	CLEC2B
8.17453245388213e-179	0.7224393991652633	0.51	0.308	2.991960623445398e-174	0	TRAC
2.7037468801567857e-171	0.6689755755745332	0.489	0.293	9.895983956061852e-167	0	CD3E
3.1281208050823544e-169	0.3325251982485238	0.996	0.974	1.1449234958681926e-164	0	RPL3
1.1692034052257675e-154	0.29712504562710595	0.999	0.997	4.2794013834668315e-150	0	MT-CYB
3.123203654572622e-153	0.6104223415034591	0.28	0.128	1.1431237696101254e-148	0	CXCR3
1.6950008082791726e-148	0.4934937264994139	0.434	0.235	6.203872458382599e-144	0	CTSW
2.5210307472076283e-145	0.589517516128683	0.603	0.419	9.22722463785464e-141	0	PCED1B-AS1
8.489575230946761e-134	0.2519184078118002	0.998	0.991	3.107269430278824e-129	0	RPS27
2.576169162237505e-133	0.2958970056520762	0.987	0.966	9.429036750705492e-129	0	RPL23A
5.904678035282558e-127	0.5701939876849618	0.635	0.489	2.161171207693769e-122	0	PPP2R5C
3.130070273713034e-124	0.604925915760719	0.616	0.494	1.1456370208817076e-119	0	RABAC1
2.55083954824933e-119	0.4209209144870374	0.863	0.793	9.336327830547373e-115	0	ARPC2
7.450035417502266e-118	0.4973895331704914	0.283	0.143	2.726787463160004e-113	0	CHST12
2.8389539304005253e-108	0.5508429199710203	0.29	0.158	1.0390855280658963e-103	0	GGA2
1.86706455972198e-107	0.5354134733733761	0.296	0.161	6.833642995038418e-103	0	PTPN22
3.325214028397653e-107	0.5474882338244988	0.897	0.811	1.2170615865338248e-102	0	CRIP1
8.352265128575291e-106	0.25067699388680076	0.992	0.972	3.057012559709842e-101	0	RPL14
4.023456836853146e-103	0.47698874735381325	0.328	0.182	1.47262543685662e-98	0	KLRK1
1.138280292958574e-102	0.5396320291424748	0.438	0.295	4.166219700257676e-98	0	ARPC5L
1.4244365662757086e-102	0.5267954471782019	0.295	0.162	5.213580276225721e-98	0	SYNE1
4.003760678776858e-102	0.4185984210846634	0.796	0.698	1.4654164460391176e-97	0	ARHGDIB
1.925019110258148e-101	0.5394239519146384	0.507	0.37	7.045762445455848e-97	0	PSMB9
1.248217705031053e-99	0.5016987369502386	0.263	0.139	4.568601622184157e-95	0	SH2D2A
8.994501546052946e-99	0.3563890120928468	0.883	0.842	3.292077510870839e-94	0	SRP14
2.0644395450315667e-98	0.3884472824133627	0.831	0.783	7.556055178770038e-94	0	MYL12B
4.1359906960090554e-97	0.4247015618045973	0.695	0.569	1.5138139546462744e-92	0	EFHD2
6.805718638707135e-97	0.44640294076319254	0.258	0.134	2.4909610789531985e-92	0	PYHIN1
4.321883731529436e-94	0.48568888440229174	0.347	0.2	1.5818526645770888e-89	0	GZMA
3.9139158762419646e-91	0.293093419400662	0.93	0.897	1.4325323498633214e-86	0	HLA-E
4.935124510455037e-91	0.5017356936529755	0.399	0.259	1.8063049220716482e-86	0	CD96
1.303943100997317e-90	0.30904648128163403	0.884	0.838	4.77256214396028e-86	0	UBB
6.705662568732933e-86	0.49765623125629876	0.317	0.194	2.454339556781941e-81	0	AKNA
8.736209546289082e-86	0.41676848926470567	0.548	0.4	3.197540056037267e-81	0	CLEC2D
3.7810878478661137e-84	0.45228311965918744	0.657	0.555	1.3839159631974763e-79	0	TGFB1
2.9770852313406684e-83	0.5279801028168891	0.521	0.373	1.089642965522998e-78	0	TRBC1
2.4724680399436242e-79	0.39148590029762564	0.722	0.617	9.049480272997658e-75	0	CXCR4
8.334353316806371e-79	0.48865137146711013	0.256	0.147	3.0504566574843e-74	0	ZBTB38
4.566838671744224e-75	0.36792760586249185	0.375	0.252	1.6715086222451033e-70	0	TUBA4A
4.177571535780187e-71	0.4110995719958227	0.275	0.163	1.529032957810906e-66	0	SYTL3
9.906863498970038e-71	0.46708388739671736	0.26	0.154	3.6260111092580236e-66	0	GCHFR
2.8071184645223512e-70	0.4185759475633344	0.621	0.551	1.0274334291998257e-65	0	GUK1
1.5674867714150197e-69	0.47403311908282086	0.399	0.289	5.737158332056114e-65	0	CD81
3.6601274176854235e-69	0.43606279085878863	0.46	0.344	1.339643236147042e-64	0	RNF19A
6.39030627090594e-67	0.4259318316477039	0.411	0.289	2.3389159982142835e-62	0	RORA
8.979545235622675e-66	0.43958125983366636	0.575	0.49	3.2866033516902554e-61	0	ARL6IP5
1.434876406950564e-65	0.4096715864008522	0.685	0.621	5.251791137079759e-61	0	CD99
1.5012400894554411e-65	0.25849595048872587	0.942	0.916	5.49468885141586e-61	0	RPL36AL
8.098651653910432e-65	0.30785850199975284	0.829	0.79	2.964187491847757e-60	0	TMA7
1.5414285982695172e-64	0.446962114203592	0.578	0.501	5.64178281252626e-60	0	CIB1
1.9568655690971616e-64	0.4263233186311154	0.253	0.152	7.162323669452521e-60	0	APMAP
1.0509185059169083e-62	0.4327312533065941	0.312	0.206	3.846466823506476e-58	0	PAXX
1.0815994047969246e-62	0.4134516230978216	0.527	0.43	3.9587619814972235e-58	0	CDC42SE2
3.768856396092164e-58	0.4329413360868255	0.347	0.248	1.379439129533693e-53	0	MXD4
4.396322553669476e-58	0.4283838839726881	0.395	0.291	1.609098017868565e-53	0	RUNX3
7.441643932065941e-57	0.46311786939425614	0.429	0.339	2.723716095575455e-52	0	YWHAQ
9.875690313426337e-52	0.42602161721116194	0.464	0.379	3.614601411617174e-47	0	ISCU
1.0501980448832222e-51	0.33872228632862944	0.631	0.568	3.8438298640770815e-47	0	NDUFS5
1.0741239012870558e-51	0.42827902659244876	0.429	0.339	3.9314008911007533e-47	0	CCSER2
2.1156334038611714e-51	0.31982503644498594	0.693	0.624	7.743429821472273e-47	0	DDX24
1.654197387393742e-50	0.4620658405813849	0.419	0.329	6.054527857599835e-46	0	METRNL
4.835150451482065e-50	0.5305872964900633	0.649	0.578	1.7697134167469508e-45	0	CD52
4.630602480202317e-48	0.41193829134527404	0.29	0.198	1.69484681377885e-43	0	HIST1H1E
6.022613682642636e-48	0.34475315343724544	0.4	0.3	2.2043368339840314e-43	0	OASL
4.778729453474224e-47	0.39173769485657717	0.31	0.218	1.749062767266101e-42	0	ITM2A
8.499887928061014e-47	0.4024941152111905	0.441	0.368	3.111043980549612e-42	0	TRMT112
1.741564389522157e-46	0.3734965130162047	0.345	0.25	6.374299822090046e-42	0	ITGA4
1.7728310968959753e-45	0.3482933298531513	0.301	0.211	6.488739097748959e-41	0	SLA
7.090654069180462e-45	0.34383930960258446	0.529	0.445	2.5952502958607406e-40	0	FYN
1.8536666555945147e-44	0.28528892660238325	0.901	0.871	6.784605326141483e-40	0	CALM1
8.639744761039913e-44	0.3753862731297939	0.289	0.206	3.162232979988218e-39	0	ARHGEF1
1.6033958007245695e-42	0.3971208957095663	0.317	0.232	5.868588970231997e-38	0	CTSC
1.7184989715329136e-42	0.3495511811466048	0.422	0.329	6.289878085707617e-38	0	SPOCK2
3.1303705816148455e-42	0.2997749376952512	0.483	0.395	1.1457469365768496e-37	0	GNG2
2.3734785815233943e-41	0.38174820903527085	0.257	0.18	8.687168956233776e-37	0	ORAI1
1.4843807382895375e-40	0.35603555008580345	0.42	0.33	5.432981940213536e-36	0	SLFN5
5.16920533021955e-40	0.4398255899128124	0.271	0.198	1.8919808429136574e-35	0	FDX1
1.0926039320939483e-39	0.3738581990542241	0.281	0.202	3.9990396518570603e-35	0	LIME1
1.6783280741333298e-38	0.3762059534366007	0.464	0.398	6.1428485841354e-34	0	C9orf78
2.2293182652455556e-38	0.32106126287983905	0.313	0.227	8.159527782625259e-34	0	LBH
4.4604975014276325e-38	0.37177604535768494	0.304	0.228	1.632586690497528e-33	0	S1PR4
2.458902439165354e-37	0.38824894155086764	0.255	0.183	8.999828817589111e-33	0	SLBP
3.279573194994944e-37	0.317500234584692	0.645	0.605	1.2003565851000994e-32	0	PSME1
1.720533837273614e-36	0.28868247836216643	0.644	0.61	6.297325897805154e-32	0	COX6C
1.6314678894174704e-35	0.2675436568906622	0.576	0.51	5.971335622056883e-31	0	STK4
3.4553025436327243e-35	0.3334350650279685	0.487	0.432	1.2646752839950135e-30	0	PPDPF
3.8058521190170534e-34	0.27180179386208336	0.401	0.312	1.3929799340814318e-29	0	BCL11B
9.362972549600699e-34	0.3516232245133377	0.571	0.512	3.426941582879352e-29	0	HCST
1.0567961407603508e-33	0.37544881376961525	0.285	0.213	3.86797955479696e-29	0	LBR
1.4747165042541707e-33	0.3166452769034951	0.503	0.433	5.39760987722069e-29	0	IL2RG
1.7988202629262858e-33	0.36350319088530114	0.304	0.237	6.583862044336498e-29	0	TMEM160
2.1144388968377074e-33	0.3224943632328654	0.42	0.35	7.739057806315693e-29	0	DSTN
4.28392773473946e-33	0.2850765677001108	0.542	0.475	1.5679603901919898e-28	0	STK17A
5.885258874457856e-33	0.31564848332344986	0.503	0.458	2.15406360064032e-28	0	SPCS1
3.198337194363632e-32	0.32038220870237266	0.4	0.334	1.170623396509033e-27	0	DHRS7
5.975670801585501e-32	0.2793931249595891	0.414	0.33	2.187155270088309e-27	0	SYNE2
6.018512697305157e-32	0.3051026313211498	0.566	0.531	2.2028358323406604e-27	0	PTP4A2
7.62934189575601e-32	0.28995857202537056	0.695	0.678	2.7924154272656574e-27	0	PSMA7
9.680626952418633e-32	0.335790730217991	0.412	0.35	3.543206270854744e-27	0	ATP5IF1
