gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
HLA-DRA	122.5072146137805	0.6252747529947934	0.04696115565007957	5.329200139541428e-41	4.2974669925262076e-37
HMGB1	49.10015765235264	-0.7478210326130329	0.061828958923005384	1.820148965719445e-34	7.338840629780802e-31
SAT1	33.04325149707552	1.0921300956602027	0.09730944245065022	4.384554576744581e-30	1.1785682702289435e-26
HLA-DPB1	45.968451921869644	0.7757484946573012	0.07228329070671911	1.5517074993145378e-27	3.128242318618108e-24
UBC	49.70582020180727	0.5671573249211689	0.05527951147048058	2.8103750558407353e-25	4.532572890059938e-22
HLA-DRB1	40.720118957700166	-1.386558643131841	0.1377336894189944	4.67799369882296e-25	6.2872235312180575e-22
LYSMD2	4.54025681566232	-1.6149273255744245	0.1636258947347371	6.001582573296972e-24	6.913823124438112e-21
LITAF	4.348211056995268	1.3338147346952878	0.13682123060468207	1.7142085748387114e-23	1.727922243437421e-20
OAZ1	25.256005535308134	-0.9190726377331406	0.09407053055067673	2.4792522167053501e-23	2.2214099861679937e-20
DRAP1	4.424218430905301	-1.7506122341746964	0.18557248693908437	4.9973176932630525e-22	4.0298369878473254e-19
TUBA1B	4.317208395588549	1.0386749734377894	0.11049967561041675	7.270278443347031e-22	5.329775033377315e-19
TUBA1A	2.202470829816669	1.4407866429712792	0.1558118123687288	2.2424978598711825e-21	1.5069585618334345e-18
HLA-DPA1	30.240811779780756	0.7208687754726504	0.07826221204231905	6.194166499619331e-21	3.567839903780734e-18
GNG7	3.949902060250117	1.2733017686544823	0.13980291753120455	5.878387498445784e-21	3.567839903780734e-18
CCND2	1.8855920431730668	1.8814260874541178	0.20894715000169609	1.54583623485089e-20	8.310415598558386e-18
TGFB1	6.9317516585627565	0.9392831065666271	0.10548303590537689	6.555052235859063e-20	3.303746326872968e-17
IGHD	9.080168615018037	-1.4477096202190696	0.17071585986685411	1.5988435576220057e-18	7.162819138146585e-16
JUND	37.675255158397725	0.5324922622351992	0.06143265051738578	1.5503711762367894e-18	7.162819138146585e-16
ITM2B	11.766792703951472	-0.820073649730531	0.09813875690507565	1.0857721929298884e-17	4.608245770414011e-15
ZFP36L2	6.118211196269382	-1.5600977900163642	0.19042178613318908	1.654982627341584e-17	6.672889953441267e-15
GPR183	10.025128110229302	0.8375052748576103	0.10223950958395937	3.398278882607094e-17	1.304939090921124e-14
SP100	12.812563947079537	-0.9226084386954301	0.11284316981446255	3.881063296594424e-17	1.4225861101698834e-14
YBX3	7.755897783889497	-1.2492617064651523	0.15502956035463455	6.450942560070124e-17	2.261756556713282e-14
RNF213	3.3697133900898764	-1.8574885427823684	0.23002685265773887	9.644321954930496e-17	3.2404921768566465e-14
GSTP1	9.270111912027076	-1.0074749236283331	0.12584857348295006	1.2681890547907235e-16	4.090670615132958e-14
SP110	5.527522363856537	-1.3458815620064108	0.17295642200192188	6.86735210175972e-16	2.0548546381740314e-13
BTG1	50.452585373621645	-0.49125022745204944	0.06180299230517389	6.880093654600551e-16	2.0548546381740314e-13
CLECL1	2.3752866043337146	1.2462300105180046	0.1600308078137289	7.344408192236671e-16	2.1151895593641612e-13
HLA-C	47.14966752268952	0.39418538505014067	0.04959824971513368	9.676692888957225e-16	2.6907879812603814e-13
PARP14	15.20059724940001	-0.9571765477692934	0.12452618435267622	1.8869653510677962e-15	5.072162863670237e-13
ANKRD44	2.501214892666502	-1.618207190557606	0.21296016809033128	3.6654848751633436e-15	9.534990333328129e-13
GUK1	7.387070975224686	0.6757523869301748	0.08829475297380747	4.104734781748979e-15	1.0343931650007427e-12
ADAM28	4.468883049302751	-1.6112943636922554	0.21343186003651984	4.283712150272983e-15	1.046783478175798e-12
ELL2	1.4781655292531979	1.4044108428491107	0.18986244349982773	1.199472942088361e-14	2.8448675897060422e-12
EIF1AY	1.394153046487877	-8.536207252855807	2.7736811808511224	1.7120015063870556e-14	3.944451470715776e-12
CALR	9.097422848819585	0.7199068201258351	0.0967757289408036	1.8079359565599394e-14	4.049776542694264e-12
STX7	2.4690956979067558	-1.585440899908208	0.21723726743161303	3.0012393678736763e-14	6.541079530414412e-12
IL2RG	6.033944015476356	-0.9874413343626841	0.13533749518455948	3.3882289147817654e-14	7.1901784128421465e-12
HLA-DRB5	4.426655191776543	-2.590914110500301	0.3658430477242598	6.280129678471426e-14	1.2985375827485535e-11
TCL1A	1.3121786608270187	-3.082458617717302	0.4878366239846274	1.143698896288665e-13	2.3056969749179485e-11
IFI16	13.61460404849969	-0.8160987744188376	0.11435715426347315	1.548460347578509e-13	3.0455571324080724e-11
ISG20	20.41379698639464	-1.0831118121330205	0.15425073960649763	1.9501806548454838e-13	3.7443468573033286e-11
IGHM	22.779494030077007	-0.9136902264926965	0.12994831274816465	2.2221327115986426e-13	4.167273996821268e-11
RCSD1	3.5954260276363277	-1.2418562545418816	0.1783622643063878	3.151062564982511e-13	5.646704116448659e-11
GTF3A	5.643054762039184	-0.8441958677798798	0.119656104969352	3.106392939997937e-13	5.646704116448659e-11
EZR	34.53486438588259	0.6344132599791817	0.09006719855342712	4.443137854761611e-13	7.789013839303834e-11
CD83	22.693387561728926	0.6915514748888343	0.09831191739943579	4.767448074845975e-13	8.179723675650626e-11
SORL1	1.5639633904232333	-2.1343918920868203	0.3109369509635772	6.961754193720107e-13	1.169574704544978e-10
RBM3	16.47141827387677	0.6024844545473262	0.08715671912487541	1.0724111914559563e-12	1.7648824179389454e-10
TWISTNB	1.9836125234452355	1.14904807293343	0.16891991013491714	1.1770094157136743e-12	1.8982807856630139e-10
TRIM22	5.438332351731989	-1.3096893077988512	0.19478209057859594	1.4123617142633696e-12	2.1902470891961175e-10
SYAP1	2.896454445800652	0.9964958903710063	0.14711922011239661	1.3896992899771557e-12	2.1902470891961175e-10
EVI2B	12.017834629347774	-0.6683201228057021	0.09751289383082049	1.5529302432364352e-12	2.3627980153695496e-10
BST2	2.22147885579153	-2.1300743073957333	0.3190688073484982	1.7094767341792596e-12	2.5528185897076944e-10
KMT2A	3.5155774169395815	-1.1861179682081215	0.17576301208694503	2.0020761959217477e-12	2.8906923185686713e-10
ATRX	4.92225785379301	-0.9911334343721647	0.14701565212936	2.007425221228244e-12	2.8906923185686713e-10
HNRNPA2B1	20.035720273583046	-0.5430981451308935	0.07936127883959557	2.433318290004417e-12	3.4425050334378284e-10
CXCR4	24.1438603870355	-0.6598561709405603	0.09757916959400832	2.8182472296927976e-12	3.9183354586625384e-10
SNRPB	11.101936450754915	0.4962171151606081	0.07274525314121257	2.98999757332436e-12	4.0866678697097696e-10
SYNE2	2.399030975072179	-1.5991172495753982	0.24200155310895144	3.139186794876862e-12	4.1499020186700025e-10
SNU13	9.27366403785301	0.60275411188803	0.08896778633409311	3.113476551859176e-12	4.1499020186700025e-10
OIP5-AS1	2.0507832484084387	-1.447808232438778	0.21784043231839392	3.3297548431485058e-12	4.330829525024121e-10
PCMTD1	2.050601830827528	-1.5784801928017294	0.24018770617994156	4.744107859250005e-12	6.072458059840007e-10
SAMD9L	3.897238296841786	-1.7670271364599741	0.273009884304356	4.892976053034909e-12	6.165149826823985e-10
LUC7L3	3.6196484385127117	-1.0036572327340636	0.15201288202000285	5.990273303689029e-12	7.431625218607435e-10
IRF4	2.5468729107400674	1.0481306993582837	0.1596899495781436	6.238525710777546e-12	7.622344141168202e-10
POU2F2	4.890618604746586	-0.9790924514478158	0.148454127280309	6.523781331204088e-12	7.851906366392503e-10
SNX2	6.587444062186448	-0.7460720509071472	0.11274941777043657	7.393389550183959e-12	8.671667662277305e-10
DEK	7.660456071324308	-0.7535424364666764	0.11435902070835383	7.41995372888311e-12	8.671667662277305e-10
BTG2	6.487607965606427	-0.9457297061322744	0.14453491498105236	7.589149592820147e-12	8.742700330928809e-10
BASP1	9.66725031681917	0.6966535717668304	0.10542147979637093	8.700519122893859e-12	9.8818290432417e-10
BCL2A1	8.789572771808604	1.0315607638257978	0.1580488894995213	9.186496399828311e-12	1.0288875967807709e-9
LINC01857	1.0329509661223284	1.4677782165145339	0.2299393464469729	1.2067914302576582e-11	1.3330912456983227e-9
PHACTR1	4.5212309047187755	1.0322934202011924	0.15994656219322462	1.2503816870208134e-11	1.3625780978561944e-9
CD58	5.221013887025421	0.7692049174421886	0.11844410490893499	1.5855455567210975e-11	1.704778582586524e-9
ATP1B3	5.84130322855823	1.1194384933230115	0.17442766433722479	1.6106896990224527e-11	1.709026543804876e-9
RERE	2.613190079552738	-1.3081626840407115	0.20617314733175301	2.236268117666246e-11	2.3293263011861744e-9
SERPINB9	4.166431470871491	0.8682942845391199	0.1355647432039422	2.2530685948973413e-11	2.3293263011861744e-9
PSME1	9.383199018799061	-0.6214992494756486	0.09642335861792903	2.8090623565051236e-11	2.867377068716116e-9
POLR2J3	1.895426165658608	-1.651628293709697	0.26158090606186485	3.0364290544116965e-11	3.06072048684699e-9
GBP4	4.1090496002814065	-1.5921597777142533	0.2571612158132667	4.2872319941444025e-11	4.268177629725983e-9
SQSTM1	16.090972184904558	0.5599809820364079	0.08770488815220154	5.0372418409296376e-11	4.953697342104463e-9
EPSTI1	3.193561648834412	-1.8060825184807874	0.29419190014047136	5.736205557072881e-11	5.5067573347899655e-9
MYL12A	11.114800597068186	-0.5694631519505146	0.08934126338725466	5.707014988701772e-11	5.5067573347899655e-9
MBNL1	7.17672211685361	-0.7285851452397426	0.11623925697657372	6.829782758951664e-11	6.479455078610143e-9
SNN	0.9908751978221256	1.383556329337004	0.22659880213753436	7.498457002325396e-11	7.03111131008744e-9
HERC5	2.783763680655069	-2.141587564666721	0.3533951940846099	8.67802613007221e-11	8.006622361218629e-9
DDX21	14.818354920005252	0.5739657604429128	0.09129275864664375	8.737385513234613e-11	8.006622361218629e-9
TMPO	2.5843255253303363	-1.1848761271492343	0.1921348993999858	8.94669442572226e-11	8.10630829764318e-9
CALM1	21.28779047976542	0.4906926970607542	0.07761902358343933	9.058346901230937e-11	8.116278823502919e-9
SELENOH	5.292768769215485	-0.7408813094875267	0.11893294528161286	9.78873805481483e-11	8.67432787626668e-9
NINJ1	1.6888642380160104	1.1432024011720128	0.1877086975165338	1.0071812641194661e-10	8.750223235520852e-9
FTX	1.7599236831864646	-1.4352028196458522	0.2336999803585909	1.0091403285012888e-10	8.750223235520852e-9
LIMD2	10.578492530858476	-0.561756328060801	0.08943150862585356	1.0733467144896879e-10	9.207944580473238e-9
SMCHD1	7.7040001337302675	-1.1819009866590298	0.19574888213332997	1.2335810286435093e-10	1.0471155173664483e-8
ARPC1B	7.268603126192712	-0.6825355052073636	0.11019361211009691	1.3137555659995416e-10	1.103554675439615e-8
KLK1	1.0071739090997556	2.0953049453522845	0.3494436817608329	1.6927887560390845e-10	1.407283353474142e-8
TRBC2	9.400247969737038	-0.5915173359691357	0.09633268436635452	2.244622036979189e-10	1.8470032761428756e-8
