gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
HLA-DPA1	36.02213965261887	0.929236631530352	0.06272102566181785	4.1028093129337965e-51	3.1345463150814205e-47
LYSMD2	4.4986920363465215	-1.9124043185548876	0.15394062743858936	2.855694255229065e-36	1.0908752054975028e-32
EIF1AY	1.7970058236701292	-4.163330816269617	0.4364163179953626	1.384558255506661e-33	3.526008357356963e-30
HLA-DPB1	55.879760397772664	0.6807009659173012	0.05912151251397134	4.4787899381110964e-31	8.554488781792194e-28
HLA-DRA	138.673767659491	0.637811922016689	0.05664307550966529	4.114105591350558e-30	6.286353343583653e-27
HMGB1	51.26569934590169	-0.6071375435195924	0.054139007693828255	7.1931264629639207e-30	9.159247696174058e-27
ANKRD12	20.224047115826995	-0.8469594239009728	0.07900217098640241	2.6827520812376597e-27	2.9280322715222454e-24
IFI16	10.033802956650632	-1.0155652739052812	0.1004644842763302	7.039031286260106e-25	6.722274878378401e-22
JUND	46.71792727071741	0.7641003182498384	0.07791123810863829	7.001537737238281e-24	5.9435275902778295e-21
DRAP1	3.7580914210562755	-1.465212250870434	0.15355018008795532	1.1505501826643002e-22	8.790203395555254e-20
PARP14	13.270160146141091	-1.0204449839227583	0.10795987611558691	4.37934642309897e-22	3.041655152043284e-19
TUBA1A	4.530320559149207	1.6627463132047495	0.18065830189429188	5.928722910546381e-22	3.774620253047862e-19
GSTP1	9.955160714763286	-1.011238480691327	0.10870025325175654	1.6731480858208223e-21	9.832962596670063e-19
USP9Y	1.0485870516846205	-4.138076524242884	0.5708410113772233	2.628843647277884e-21	1.434597533228788e-18
IL2RG	6.867559924880469	-1.1381286064429552	0.12562468989819486	8.46239549082518e-21	4.310180103326958e-18
RSBN1L	3.7163974454712396	-1.2536395987012603	0.1386932306261947	2.0103862318807364e-20	9.599594257230517e-18
XAF1	2.2275567431798584	-2.7785214627178756	0.3305879389120223	9.396498718417017e-20	4.222897071100354e-17
RNASET2	4.931742758019085	1.0903331515917114	0.12401318554507353	1.221766794737458e-19	4.912788585154831e-17
DDX3X	6.951330983558066	1.0860336479368562	0.12468461715884811	1.16181645946581e-19	4.912788585154831e-17
RESF1	9.48533290209485	-1.0368573749471237	0.11681704493970638	1.5248213694570109e-19	5.824817631325781e-17
SP100	13.854122887257661	-0.8661182524419591	0.10207744421607365	1.874922258120867e-18	6.821145739068296e-16
