gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
HLA-DRB5	3.3874846428650276	-4.02714011677489	0.4807760803345336	2.7351795348868163e-22	1.3254680026061513e-18
XIST	1.645287824640252	-8.646954073083716	2.771483124775794	3.710399514508333e-15	8.99029802365369e-12
MS4A1	13.792769522029824	-0.8728005637602951	0.12339322336485675	6.921383294639365e-14	1.1180341148607453e-10
GABPB1-AS1	2.6814994564675905	-1.5069014950163535	0.22264294256482645	7.957124032986718e-13	9.640055765963408e-10
HLA-DPB1	37.315809853837784	0.46338867441439335	0.07358073201244313	3.4896567998726685e-11	3.3821753704365905e-8
CD74	111.5623673500932	0.3286563456145592	0.055423926409045685	5.078357003352587e-10	3.634204798551531e-7
HLA-DQB1	23.042704054295683	0.5427416951681963	0.09425365691139055	6.571710698384004e-10	3.634204798551531e-7
MALAT1	1756.9208477451848	-0.3269267151870435	0.055760180116873496	6.749451751333837e-10	3.634204798551531e-7
UBC	41.280517370851356	0.3556154422259682	0.06062942780736788	6.623710532050659e-10	3.634204798551531e-7
PDCD4	6.183978867110601	-0.7140790166018622	0.12466338358044585	8.009569113526946e-10	3.8814371924151585e-7
RESF1	7.569602786748444	-0.7403269679917717	0.13542935207644288	2.9174827966051844e-9	1.2852837847589748e-6
HLA-DPA1	24.67607255418773	0.43018629025255767	0.07913420254268469	6.155372485834798e-9	2.4857445888629527e-6
OSBPL8	5.9319418356075	-0.7503308974669815	0.14296175029940197	9.185448117735983e-9	3.424052429119121e-6
AC009950.1	1.0074681220591986	-1.7901964455377055	0.3598443861885469	1.3410854245491592e-8	4.6420714052608755e-6
SARAF	15.160922684012307	-0.44355589061018164	0.0846939677282737	1.582905194018769e-8	5.11383904680997e-6
GABARAPL1	1.9612703089622128	0.9756070133519411	0.19870196359361755	4.336077640170559e-8	1.313289515266658e-5
FCRL3	1.5079722504143196	-1.3612107247769782	0.27666179528081314	4.640373546189283e-8	1.3227794238137215e-5
IL16	1.4664390420318314	-1.290399206630595	0.2653865994310973	7.055977621649904e-8	1.8996259752508574e-5
RIPOR2	3.540060130842227	-0.947759509644429	0.19679428014286685	7.684201677202532e-8	1.9598758593538668e-5
SET	11.675393519127354	-0.4165981064135164	0.08403425634518388	8.983758448306802e-8	2.1767646720247383e-5
SNHG8	11.487752658320183	0.42299112436744674	0.08621794588345362	1.0496732083907843e-7	2.4222458894579718e-5
PKN2	1.6130359729258563	-1.1821146508698108	0.2457787564838836	1.1444805783538193e-7	2.5209785830466402e-5
ARGLU1	5.948711911841027	-0.5719688931974564	0.11839499139448618	1.2083541178358009e-7	2.5459495891444743e-5
GSTP1	8.107694064892634	-0.5736409135280819	0.12014675041279609	1.403477845328196e-7	2.8338556826918493e-5
POMP	6.479383337540263	0.506839022571372	0.10646094921609332	1.6468546270744176e-7	3.1922630091210514e-5
PRDM2	5.962171771084485	-0.5997154495035592	0.12759172004099772	2.0049661061752965e-7	3.7369483655867256e-5
HMGB1	50.726654352503104	0.3285489490670463	0.06808595694908533	2.165245484006753e-7	3.8862146724061945e-5
PRPF4B	5.260728726467246	-0.655135723011298	0.1406792767392316	2.438356680839841e-7	4.220098741196383e-5
LUC7L3	3.028533408311782	-0.7941095279823752	0.1709020540265312	2.696232900495247e-7	4.505498150275851e-5
BCL2A1	7.369808021635363	0.8068588825169773	0.17590302826801407	3.2479125787691033e-7	5.246461452238358e-5
TUT4	6.416438833294268	-0.5623574790040282	0.12309846012503875	3.9691886043678496e-7	6.204738057021484e-5
SP100	11.159160847045257	-0.5270549641669003	0.11540945703549901	4.398352858244226e-7	6.6607556097036e-5
PNRC1	14.785384533887314	-0.3896003451404315	0.08402101868404405	4.584368341890507e-7	6.732075449939817e-5
GTF2I	2.7812348443829418	-0.7878809293108555	0.17559400552083002	5.305088708146996e-7	7.561311729317749e-5
SNX2	5.591432451674787	-0.5573218991518083	0.12512623888482638	7.527579877334762e-7	9.951001090619339e-5
ATM	2.3684135689591725	-0.8509211031386166	0.19277674708303544	7.301517619033596e-7	9.951001090619339e-5
TGFB1	5.664937275194052	0.5840582885861778	0.1330023434548585	7.597751554950795e-7	9.951001090619339e-5
SNHG29	15.036234925557396	0.35486595161407875	0.07906649841103393	1.1243359389169927e-6	1.433824199997828e-4
LNPEP	2.246713026843696	-0.9068734717099292	0.20948781565036367	1.175131948405396e-6	1.460176774864756e-4
ATRX	4.234031553889184	-0.6682308404491388	0.1573237417472836	1.508990774316546e-6	1.8281423230844955e-4
TMPO	2.2238453458651333	-0.8410449557824099	0.20117451493768965	1.9939431230759767e-6	2.3567435059576055e-4
ANKRD44	2.2123322033265693	-0.869911400611069	0.20960108030652694	2.2116731355662754e-6	2.551849527370041e-4
AKAP13	5.431489956610709	-0.558842194468961	0.1342485532937726	2.753727326505882e-6	3.103386656801745e-4
CTSH	3.3180915226954357	-0.6989824458391962	0.1701487595281605	3.0983028077671516e-6	3.4123580469180945e-4
