gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
HLA-DPA1	27.05268247172114	0.626684430551947	0.07322843869993531	4.160834971566903e-19	2.40870736504008e-15
GSTP1	8.289965896174833	-0.7385509325186701	0.10479513939737503	1.0803055436793482e-13	3.126944396179873e-10
SESN3	6.27759611381706	-7.009217777444594e-5	0.0014434210635830863	4.599791308740194e-13	6.657047971574245e-10
FOS	14.351925546468832	3.1378807752256304	0.4638919742680415	3.557602488286111e-13	6.657047971574245e-10
RCSD1	3.4514174339861627	-1.0492256488618288	0.15731323854035717	1.4226130531227309e-12	1.6471013929054978e-9
YPEL5	8.394493189707173	1.2384601594930398	0.18992411280844287	1.7995278116125613e-12	1.7362444169041862e-9
LYZ	1.1811048613514366	2.209301228610148	0.35344669742780715	2.957863264609686e-12	2.4461529198322106e-9
PDCD4	6.6399143162846945	-0.6506288631486266	0.09953280609598297	3.4746208499411774e-12	2.5143225125386846e-9
TMSB10	60.31205127145599	0.5740984621352914	0.08921180410879524	4.852236021949632e-12	3.1210660367851576e-9
JUN	15.09116670646765	1.2251439866782543	0.19466460749520972	1.0278444572151221e-11	5.950191562818342e-9
S100A9	0.9578512100675364	2.72639453099529	0.44413525180657354	1.175214354037334e-11	6.184832632292842e-9
ANKRD12	17.599052253294552	-0.5225659809210108	0.08271802059251135	1.5248276346449557e-11	7.356022647466374e-9
KLF2	8.753144276848548	1.6453996465098064	0.26439047260021	2.1805708973232595e-11	9.710249942003346e-9
TSC22D3	7.803959585580802	1.4388245692596717	0.23647756237759787	3.99859833922739e-11	1.6534204132705257e-8
TXNIP	13.305307974208443	1.1812771828917357	0.19499193390436817	5.1005289308762465e-11	1.968464132056173e-8
AC103591.3	2.6098655453055493	2.135396405990704	0.3568662563549508	6.066941111203388e-11	2.195095130797276e-8
AC253572.2	4.068877929156297	2.9879119531694913	0.48943291388535054	6.805602573320654e-11	2.317507840997251e-8
HIST1H4C	3.512274855008805	-4.575597178253282e-5	0.0014429906574085435	9.37942631769195e-11	2.9572463601294654e-8
CD69	9.722043531981237	1.0916797303313923	0.1852061478716668	9.705938995069933e-11	2.9572463601294654e-8
RESF1	8.199769346084954	-0.700202715436266	0.11840459287930392	1.9907753008597057e-10	5.762299108338418e-8
RSBN1L	3.2517633098955456	-5.4026525338354e-5	0.00144310252320915	2.652962956178279e-10	7.313334549198124e-8
ATP2B1-AS1	1.7602974024847236	1.7564685507275	0.31011362633959305	3.0145827543262423e-10	7.932463438543007e-8
STK4	11.661869284924812	-0.4420906468668464	0.07784140796680732	6.681024927868877e-10	1.6815849264101272e-7
DUSP1	3.1419528023194663	2.1313979926379454	0.39269838546441793	8.968705859109261e-10	2.1633265924326465e-7
EEF1A1	270.6914410945933	-0.15388346882027137	0.027797763057724842	1.3477803651211856e-9	3.000884820648671e-7
FOSB	3.7417936609463087	2.5568860732063223	0.47332810474113524	1.3244933946023842e-9	3.000884820648671e-7
OSBPL8	5.734481570197639	-0.6808346559493988	0.12306829667084125	1.632712093208275e-9	3.500655669475076e-7
GRHPR	0.8356178600275209	-1.7076948203527211	0.3246763132327537	2.425433086013408e-9	5.014582905332721e-7
TUT4	7.031650202915479	-0.6043830323170354	0.11266812471769774	3.8630714063293685e-9	7.711489783186453e-7
RNASEK	10.698526045555065	-0.41378794909749794	0.07768137291481102	4.4629870515542095e-9	8.612077347149106e-7
STK17A	10.309425740477081	-0.49336057740173367	0.09264114997449001	5.076440131919892e-9	9.376329442116996e-7
SARAF	15.364860139253139	-0.3675260483900399	0.06951714350596337	5.182977062493416e-9	9.376329442116996e-7
