gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
SLC7A11	35.65271665155985	-1.4788838099044594	0.07624681347200968	1.0869718102036372e-84	8.449031880712872e-81
HLA-C	69.82399841879966	0.7522066471239442	0.047564958562622286	1.5923257132526424e-57	6.188573884556395e-54
NEU4	2.2063971417627406	-3.711962654291502	0.2762045912811365	3.1700086882195095e-53	8.213492511176749e-50
HLA-A	100.34187962898835	0.4206338804037494	0.027746259600053873	2.383181559639205e-52	4.6311175657688855e-49
SGPP2	5.48326155918585	-2.0555179457042505	0.14522130930748803	2.977182892315476e-46	4.628328524393639e-43
HLA-DRB5	3.5039399045188193	-3.3869916146928154	0.24305035333060826	8.26249344973774e-46	1.0704060264135244e-42
ALCAM	10.173093347420508	-1.1395014585714227	0.08522171459307656	9.79290376719642e-42	1.0874320140345395e-38
TNFAIP6	97.74823902857001	-1.7770762493841197	0.13458363174574867	5.542419656814791e-41	5.385153499052671e-38
IER3	105.83034195018263	-0.7073702413616657	0.05538827654287378	4.33684783916733e-38	3.745590917094184e-35
SEC61G	24.595701612810768	-0.7587503441925555	0.06007132520041348	2.5503742973351503e-37	1.9824059413186124e-34
ADA	22.57683171543906	-0.9452615718499028	0.0754975665996016	8.10240128631975e-37	5.725451381687583e-34
TMSB10	101.087124776421	0.547831473571489	0.04387552674759157	1.5114463032412716e-36	9.790393429245336e-34
SAMD9	4.849773032000976	1.5206219293009628	0.12335826564442791	2.1578283472870205e-36	1.290215364881693e-33
PSME1	11.93443531789117	0.8575034998700156	0.0711865641371887	1.8372452568029292e-34	1.0200648129377978e-31
TXNRD1	11.189885922848388	-0.9820734155249026	0.08253839564508855	9.140549457215913e-34	4.736632728729286e-31
CXCL5	13.802107173101462	-5.849826996911266	0.4970965609224372	2.6748031449208297e-33	1.2994528028418505e-30
SEC61B	43.848842510663445	-0.5368034734610416	0.04514942689815074	3.2881033293002675e-33	1.5034368928618223e-30
NIBAN1	18.475075235124077	-0.9280958544636188	0.07866474358569757	6.96676012552433e-33	3.0084792475389232e-30
