gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
PID1	6.295706647932474	-1.6218351573808516	0.0954799006043737	3.417395363995056e-65	3.389030982473897e-61
IFI30	118.5970213620335	-0.5874626679358468	0.034695697984576564	1.2738512446928617e-64	6.316391396809555e-61
RNASEK	61.217303056373055	-0.3317942385459185	0.020714092669191147	7.910605215326126e-58	2.6149823973463063e-54
YBX3	20.21146645513348	0.6729755188967417	0.0437059156500461	9.42850903111139e-55	2.3375631015382913e-51
SEC22B	9.446200629323748	-1.0387511317858773	0.06753660893693764	9.606506123639676e-54	1.9053544245626933e-50
SLC44A1	4.559443001058704	-1.9623766002107905	0.12895117960416735	7.526128239881407e-53	1.2439435625817318e-49
ATP6V1G1	21.36268291760464	-0.5707075910676254	0.03749090913579232	9.077097679529927e-53	1.2859653955414041e-49
CALU	3.699096128782751	-1.5631240481878348	0.10362508631072499	2.544242920065669e-51	3.153907129786405e-48
SGK3	6.946049729363568	-1.188295994050653	0.0805990254015959	2.8905400063680277e-49	3.185053915905748e-46
RBM47	9.018908574717338	-0.989304642948705	0.06797378619414612	2.116037561067082e-48	2.0984744493102256e-45
ITGB2	20.895783648519984	0.903841077037982	0.06686732122074208	8.67082979449804e-44	7.817147188367005e-41
PPIF	17.959024720034524	-0.6700604988793933	0.048578020773388686	1.1021086252509216e-43	9.10800936384449e-41
JAKMIP2	2.4384660452422793	-3.5005300662698766	0.2512058674155936	2.0308224325561317e-43	1.5492050818199353e-40
SLC38A2	16.330373216684876	-0.8130178272609703	0.05953649185616267	3.462078048585736e-43	2.4523877148446247e-40
IFITM2	15.502094470988899	1.1613630466854035	0.08777096565641596	5.3734180854621256e-42	3.5525458102351934e-39
VEGFA	10.418004700222875	-0.9107892798433386	0.06806329306057714	8.328552651789423e-42	5.1621410404872314e-39
SEC61G	17.98141824140094	-0.707739787166258	0.05244398230220697	1.2530821412952947e-41	7.309891526603198e-39
KDELR2	7.150998960554019	-1.0852255680611689	0.08084178018552217	4.0570022828405284e-41	2.235182868829418e-38
