gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
XIST	7.547872936567084	-11.415410233803671	1.3385216742266144	6.670645964319591e-105	5.483938047267136e-101
UBC	95.88186144025593	0.4788952133525899	0.028577542956377325	7.708639277694613e-64	3.1686361750963705e-60
EMP1	8.050249667825165	1.5491291693547764	0.09433270305800576	1.9357800112370928e-61	5.30468249079338e-58
HBB	11.793901544220496	8.840589914065605	0.6049348653730899	7.2018021643096595e-59	1.4801503898197428e-55
SAMD9	6.198589321572992	1.6210804943273738	0.10807451809853609	2.337854415383584e-52	3.843900229773689e-49
ZFY	2.1828500154062507	2.880800881027179	0.2087926126814483	3.414993420702071e-50	4.679110151931955e-47
MIR4435-2HG	8.86898924776577	1.7058321345069458	0.11736256198628868	1.950207692073468e-49	2.2903796337908545e-46
PRDX1	27.664840594209597	0.9284780985868929	0.06391395179372149	5.311257776467448e-49	5.4579812725423616e-46
EEF1G	36.88926612797739	0.7465363674472397	0.05153201829695891	1.043195239909723e-48	9.529008963664258e-46
FTH1	1897.2226487455039	-0.46085602716408364	0.03486517111974461	2.0509899899282888e-40	1.6861188707200462e-37
NRG1	2.1496868533912457	2.5032535286156308	0.19273525721593357	2.453347510584454e-40	1.8335427167740726e-37
ADIRF	4.359566575359405	5.080602535918357	0.4290904784265809	2.520554899109234e-39	1.726790152131418e-36
HBA2	3.802307318019299	10.067525781611867	1.3322284479461886	3.5629765572046685e-39	2.253171559752275e-36
MARCKS	143.07117683421976	-0.6586714423246086	0.05141185932004145	2.7345244598464255e-38	1.6057518274569615e-35
PLD1	6.05665164862832	-1.5986217889919454	0.13064759337357865	6.224146049004315e-37	3.4112469779242986e-34
ITGAX	11.620747654865275	0.734447744005614	0.05937820031541099	5.949954155186203e-36	3.0571608193616112e-33
FXYD5	19.82385495339646	0.8028394873661816	0.06597965506358237	3.852448529857784e-35	1.8629987861153435e-32
LMNA	22.355119226999225	1.4457965809861326	0.1196725596749449	6.20350101043619e-35	2.833276767044218e-32
KCNJ2	5.068963305360466	-1.8651086072491905	0.15747287089689	1.48007660874392e-34	6.404057789728298e-32
SLC25A6	36.47823994240914	0.6902621935651364	0.05708013322004828	1.7624569634760218e-34	7.244579348368188e-32
NEAT1	194.3506525324495	0.4463907837558076	0.0373635115400369	2.4554304971959052e-33	9.612425770213113e-31
PRDM8	5.772392690984872	1.2673935336866804	0.1057001549926652	2.7298766036870743e-33	1.0201052526777926e-30
CYTOR	40.516963846986506	1.18085087004177	0.10023762936891478	3.0078713684301926e-33	1.0751178486897658e-30
SLC2A6	18.4336717400506	-0.6410636072752827	0.05447835550711556	4.271338893363739e-33	1.4631115434309707e-30
EIF1AY	2.193889980839195	2.288053407569847	0.2036376189656578	1.0562207329394418e-32	3.47327625819806e-30
SMS	17.085682949267362	1.0744301800553728	0.09240277359484732	1.5236267855508617e-32	4.817590693851397e-30
SLC39A8	28.89140248456655	-1.5499683397133732	0.13332275788443787	1.6888805608828543e-32	5.142328552228868e-30
LGALS3	128.71258249898435	-0.4620652663019158	0.039658565600590674	4.982277751634173e-32	1.462832335578019e-29
SNHG5	27.357308424085257	0.6439350598187102	0.055338633660973836	6.714501397740229e-32	1.9034453789938765e-29
