gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
HBB	28.89632676695162	2.98801226333586	0.29224688126319875	1.0079555543503948e-55	1.12326566976808e-51
UBA52	220.42920295084494	0.26253710315942685	0.01694487668353009	2.5431151888958055e-54	1.4170237832527427e-50
RNASEK	75.23953697933354	-0.3505437826311888	0.023185070249501977	6.873247836750542e-52	2.5531824630916014e-48
HBA1	11.376105390048695	3.0198299289586257	0.29914430033535105	1.166903567997618e-51	3.2509933404413637e-48
UBC	123.25355036374354	0.29909114555400923	0.02038382682655088	5.042146332954065e-49	1.1237935746888022e-45
S100A6	421.76758540589475	-0.2835223392373353	0.01949660709306687	2.5307382009842326e-48	4.7004244186280475e-45
TOMM7	50.84183909939953	0.3914259176080441	0.027407065514472514	8.02815970543772e-47	1.2780830251056852e-43
CFD	40.57970763339924	0.8319824116570925	0.05936466704363839	6.495853194544043e-46	9.048723499999852e-43
YBX3	23.307530793887132	0.5897516273889916	0.04305902674690122	1.340384856593406e-43	1.6596943157641017e-40
SGK3	9.069338277754682	-1.1270843196046083	0.0830021646447812	5.464667127906001e-43	6.0898250473384475e-40
SNHG6	29.57874409885185	0.6095670510651031	0.04474793348263018	8.801929945311078e-43	8.917155210049696e-40
CAPG	15.712185898891533	-0.5671273040402104	0.04292657563293548	7.960211083799782e-41	7.392382693155398e-38
HBA2	14.598262222171106	2.800735945459835	0.28427741632415104	1.0325762381997451e-39	8.851561229613816e-37
EEF1G	55.684124018128394	0.3921920135989019	0.029843720118545136	1.1307736910785012e-39	9.00095858098487e-37
SLC25A37	17.76642965609875	-1.0340733271287421	0.08226907094328874	7.001110665573509e-38	5.201358483810079e-35
ADAM8	4.694525383302708	-1.115556604591845	0.08938308138231146	1.7332741343513879e-37	1.2072254345757416e-34
ARL4C	21.963803687521217	-0.9849219473992739	0.07806962656285016	2.6929529560248015e-37	1.765309867172964e-34
PLA2G7	6.056984666213641	-1.3717325554332467	0.11012873140709137	7.180353035643778e-37	4.445436346067459e-34
DAPK1	3.4052023001451937	-1.017694979573257	0.08182470449886356	2.4342801334173263e-36	1.4277693582527728e-33
SMDT1	10.535966897565759	0.6242884909757844	0.05015677658852489	2.8590399379078258e-36	1.5930570534022407e-33
NRG1	4.260790673601968	1.3849129457930802	0.11330986997612674	1.6611988823602466e-35	8.815428735725042e-33
CYB561A3	4.322885660414715	-1.1003959875470488	0.09369324937330675	5.3056603110914735e-34	2.6875581139456083e-31
RBM47	11.769513503541356	-0.9140935606191999	0.07803211022353707	6.545472407568143e-33	3.171423674345191e-30
DSC2	1.4152314069794438	1.9542296041294005	0.17551223229986976	1.1493630037779851e-32	5.336875547542444e-30
BRI3	51.4281246212795	-0.3435832841191206	0.02913177763656819	1.456113585974557e-32	6.490771920840185e-30
IGSF6	26.295102928317178	-0.7050557293817749	0.06034406683733079	1.5920658823610647e-32	6.823839305012195e-30
NDUFS5	13.452049779909244	0.6110922003330611	0.052189901349719334	1.738271361567434e-32	6.987054103232302e-30
IFI30	150.2642009939447	-0.543325823866528	0.04634096394740754	1.755541231967915e-32	6.987054103232302e-30
TUBA1B	9.372811678179568	0.6397974379362792	0.05548315076248198	8.658712833494614e-32	3.3273343384987577e-29
CPVL	19.983843854407677	0.7871706544266538	0.06966496796824721	4.813181907742915e-31	1.7879366393295681e-28
RAC1	47.36465785743007	-0.3509186397256658	0.030568323177151937	7.645181634022137e-31	2.7483194880497642e-28
PRKAG2	14.615816462965633	-0.8765294634784875	0.07809769456790178	1.1723422142806215e-30	4.082681761232264e-28
C12orf57	18.614648228567614	1.2193517904875326	0.1111296930211501	4.875696153840654e-30	1.646507816315159e-27
S100P	0.9946662932902156	-2.2023476441674683	0.2046434340171597	7.639439887129898e-30	2.5039387677110466e-27
DAPK1-IT1	0.7145046899117655	-1.83386044035778	0.16291955133812225	2.6398515254154354e-29	8.405287256922746e-27
ACTG1	88.5339678168444	0.3278750654862537	0.029623218546383272	6.517287720531755e-29	2.0174626210446076e-26
AKAP13	18.815258114371648	0.4673753634334114	0.042842945186255615	1.0697875718646546e-28	3.2220845137458676e-26
GPNMB	1.5338136205113047	-2.547315639860739	0.23072498825915375	1.6173847080069202e-28	4.6215731246228507e-26
SLC43A2	15.576663491934113	-0.6937585477168501	0.06393795123885027	1.600288055557434e-28	4.6215731246228507e-26
RAP1A	11.217567718559431	-0.4385993169587177	0.04044533153377024	4.4779964815067025e-28	1.2475698197477673e-25
FN1	1.4333408907168934	3.2149720912675686	0.29440104149165763	6.2858771914785835e-28	1.7085320834594471e-25
CAVIN3	1.6979311777511477	1.8999232521330192	0.17741365908580248	6.560957516971028e-28	1.7408407278363128e-25
CD81	4.829542384568054	-1.0659376618244858	0.10258591002080186	3.132147518517315e-27	8.117360917757432e-25
CAMKK2	3.3565027221760015	-0.9527242246190023	0.09293580158051344	2.237884080408779e-26	5.667950043653508e-24
CTSB	20.447263618282943	-0.8071028884682301	0.0779581942923517	2.5693957533921023e-26	6.362965839067019e-24
HLA-DQA1	15.224123611708512	0.7506422587082456	0.07163085714417404	4.024472927987834e-26	9.542282193509877e-24
ATP6V1G1	28.69615517309228	-0.37248580470355985	0.03561128703899538	3.974797449953854e-26	9.542282193509877e-24
TFDP1	3.488100393453334	-0.9425782495565096	0.09248609372059802	4.824207599199491e-26	1.1200201976141484e-23
ATP6V0B	38.25669873322556	-0.36385829916518453	0.03489703654625003	7.100423692390995e-26	1.6148392168980662e-23
TMEM138	2.2663872725680974	-1.0771143267561445	0.1059109841410654	7.602507307882675e-26	1.6944468287808906e-23
LGALS3	153.37615694440254	-0.9322262596863543	0.0907161108311383	8.655570359792132e-26	1.89132698214752e-23
HSP90AB1	28.763149182059504	0.6072277344125634	0.05888659543477541	8.905222578528754e-26	1.9084577002908546e-23
METTL9	20.165275891502873	-0.42240315841102427	0.040720274021719585	9.181783860910803e-26	1.9305999876601884e-23
SRSF3	21.33036132673512	0.4091925913789137	0.03973709760856628	1.0639875959480734e-25	2.195755142452839e-23
DDX3Y	7.292108862189448	1.5572298201695611	0.1504855189875597	1.17521056677182e-25	2.3811902829282114e-23
HDGF	7.244903313865218	-0.5865644434153756	0.05720775928285129	1.4140284713431329e-25	2.8139166579728346e-23
CYP27A1	3.0802502057628427	-0.87105726814355	0.08474024258230485	2.0549211536730951e-25	4.017551111672451e-23
GAS5	21.308204972940462	0.6158398330512642	0.059814856645022556	2.093087775523527e-25	4.0216155466265835e-23
PDLIM5	6.581828697517303	-0.7488527115233536	0.07351706041571268	2.390505957394488e-25	4.515220065966809e-23
AC093583.1	1.2454630049726336	-1.5503379961107928	0.15820322271373843	4.89810572024075e-25	9.015960613977067e-23
EIF3F	20.276103015243535	0.40330663004695705	0.039421493801044614	4.935154320285365e-25	9.015960613977067e-23
SDCBP	53.14931944464738	-0.6676966627749589	0.06574301238880614	5.263594431293294e-25	9.460886506827818e-23
TMEM50A	14.935293204084616	-0.3986453443385522	0.03988857777880892	3.7735856242467905e-24	6.67505368200099e-22
FCGR1A	4.811807543623119	0.9576438061897325	0.09854164957347346	4.573776267584847e-24	7.964087925932115e-22
FCER1G	101.30261268758464	-0.31171048151792846	0.0313859796723481	1.2394908739914804e-23	2.1250594307324705e-21
TFEC	5.852497455354579	-0.9142915541929348	0.0945577321943033	1.372344266857506e-23	2.3171825014939462e-21
IGFBP7	2.7719769777966654	0.9620584437455144	0.09929508572200604	1.9898080476665424e-23	3.309615057193425e-21
SNHG32	6.030713903597189	0.691624564752677	0.07155490427378088	5.774832719985938e-23	9.463931739929895e-21
BACH1	24.24407205039735	-0.5367575147716284	0.05546092651335837	7.190421095171912e-23	1.1613051113709535e-20
LINC01588	6.243157553707909	0.8202637359946278	0.08664290783912718	7.93393294142066e-23	1.263082124274169e-20
SNHG25	9.943204894236256	0.5279163523984117	0.05486855948634729	8.31601025201361e-23	1.305262228851263e-20
LEPROT	8.449977431029644	-0.5388231369859774	0.05620299818793732	1.0114304339526962e-22	1.5654695494401176e-20
GPR108	3.2588367437664507	-0.7596477771504687	0.08024101258772619	2.3024558919637035e-22	3.5148723917867824e-20
PPIA	44.876352397666714	0.29643186471966426	0.030653340101476724	2.472773475628437e-22	3.723863190865311e-20
FLOT1	7.511903840255143	-0.5623702709431836	0.05934187672011248	2.769952040710659e-22	4.115779405557278e-20
SLC23A2	1.1419540145857923	-1.314018319869834	0.13961087656526652	3.9282007976646247e-22	5.75998285383876e-20
CCNDBP1	4.0788499588171385	-0.7078752719719306	0.07496642175239368	4.415910176698616e-22	6.391026364821997e-20
LDHB	8.413730915020487	0.7017223847437061	0.0744212551026391	5.199127312482214e-22	7.428086509013049e-20
SNHG29	40.118064304111684	0.46029459563990205	0.04847320981502412	8.037466651190391e-22	1.1337914982388064e-19
GAPT	8.88176009932449	-0.9350316264306744	0.09872632201991542	8.532969288170582e-22	1.1886426218421622e-19
CYFIP1	4.143895730005695	-0.7927847956084284	0.08478072597413401	8.728008113452414e-22	1.200801511312515e-19
HK2	4.991680288768297	-0.9143572699607558	0.0984327797192916	1.211913447180911e-21	1.645315745516539e-19
HM13	11.956607999000994	-0.5277641892487509	0.05611932570831895	1.2254236080211121e-21	1.645315745516539e-19
FCAR	9.924897101147712	-0.57017774208624	0.06096113686083653	1.9542970276076387e-21	2.5927007232928003e-19
RHOQ	16.49044953413146	-0.6139308141906316	0.06578974681755567	2.169233928839789e-21	2.8439932827047774e-19
NFXL1	1.6756481308937619	-1.6211321642432381	0.1779517783884107	2.345334755612008e-21	3.0391175019232815e-19
HCK	8.879962179433097	-0.46931762717207237	0.050546141762656455	2.6105302337748735e-21	3.3438791868031255e-19
TBC1D2	1.4549990626894669	-1.1818587846291004	0.12962052365415896	4.0623962076677724e-21	5.144470833892006e-19
DYNC1I2	7.144893580562462	-0.5935422911165315	0.06423981284557628	5.820607614508793e-21	7.288185534391684e-19
PPP1R12A	9.933007720518255	-0.6397686456267945	0.07062820337650516	1.3035851507304266e-20	1.6141281021933193e-18
M6PR	9.286697820942814	-0.5051835454668482	0.055376217779125714	1.41665286032117e-20	1.7348548874086944e-18
MTMR11	1.9492389709892122	-0.9087734111626875	0.10109623438475905	1.4840498094263765e-20	1.7976359865486456e-18
TSPAN4	1.6579682166110368	1.3304442678112192	0.15092992853492115	1.5930013844906394e-20	1.9088610138455574e-18
FXYD5	32.670099250306215	0.3068983837136173	0.033330963970633114	1.6345374632705638e-20	1.9377963287965068e-18
HLA-DPB1	48.16269962546149	0.49832833322354353	0.05493742082838856	1.9240952844307892e-20	2.2570650368101806e-18
DMXL2	21.084242220917965	-0.5898373829470582	0.065869391704265	3.256091309523384e-20	3.779779328471728e-18
PHLDA2	6.616549166688577	0.6150532272244659	0.06923020157299065	6.569654758687328e-20	7.547652848537277e-18
PSENEN	4.509488995942279	-0.6073210447528643	0.06849526227774737	8.675271831381315e-20	9.865023396827894e-18
CLIP1	10.585011713798256	-0.5374478556444664	0.06049660157755556	9.108736938440886e-20	1.0253309539594468e-17
Z93241.1	8.556608781331175	1.0588825102164072	0.12364858278382114	1.0325301910460334e-19	1.1506516449016995e-17
CERT1	7.930273182487446	-0.5559131089456626	0.06275591030591433	1.1126232330840365e-19	1.2276310207414361e-17
HSPA8	11.034035612141981	0.59591187939103	0.0676929562769727	1.1618941541673936e-19	1.26942631902367e-17
CDC42EP3	28.79168504347693	-0.5580508300176471	0.06336564527753553	2.4397284635049233e-19	2.6396440774076568e-17
ELL2	8.210489059309497	0.7624212157877334	0.08772093103917666	3.842447846031029e-19	4.078117980587599e-17
GABARAPL2	9.524270600558097	-0.43711981968707736	0.049680882582763354	3.8245459598992533e-19	4.078117980587599e-17
HLA-DPA1	53.34681513129274	0.5092186812149804	0.05839913257985166	5.4288446509269355e-19	5.707457055653752e-17
RNASE2	3.785787896007066	1.5243720485848684	0.18470246712564536	5.655619657738443e-19	5.890301445405347e-17
COMMD6	30.832548467198876	0.3430148661258874	0.03910480219961994	6.564826792213716e-19	6.773928682632375e-17
AL360012.1	5.544455088005112	0.8399762877540872	0.09976910336564132	7.064316257589642e-19	7.222453245374217e-17
EIF3H	26.579414701235176	0.3300444455078168	0.037634226101000104	9.24482431292956e-19	9.365847467571547e-17
NSA2	27.194423244754354	0.381947643369137	0.04391855729379074	1.0622414703027107e-18	1.0664521572120187e-16
PID1	9.533329110956458	-0.8657057073243547	0.10042588485379819	1.0823576697853317e-18	1.076945881436405e-16
IRAK3	14.223708584270382	-0.56776688242464	0.06677003304367997	1.3974140720151526e-18	1.378122337923616e-16
ABHD12	1.8680890619186532	-0.9712597687541611	0.11354051053599472	1.5758850190990987e-18	1.5404967239333643e-16
UQCRB	56.69447955053687	0.28888215290844815	0.033234994338051285	1.6975472196385727e-18	1.6449970622306308e-16
HLA-DMA	14.927566847168569	0.6540935122603363	0.07741449899770143	1.7946737031459384e-18	1.7241244610222705e-16
ENC1	1.271594614493706	1.4284683624524275	0.17188548425084493	1.835649243194765e-18	1.7484166808685864e-16
PFDN5	125.39776715365342	0.21915026949474034	0.025156287346801132	1.95441186039515e-18	1.8405570159052343e-16
AC127502.2	1.0990703170987635	-1.2900712621821526	0.15321143032949913	1.9654189240194085e-18	1.8405570159052343e-16
CREBRF	11.848885527298766	-0.6620374179857688	0.07801787518362967	2.1255034096223375e-18	1.9738841664026105e-16
OTOA	0.765163982722919	-1.5162439705670745	0.17130164249415025	2.266202377343405e-18	2.0871536605880089e-16
LGALS1	145.2876081895156	-0.21837917208719113	0.025192663082547858	2.5770020083054404e-18	2.353943473816051e-16
THBD	5.208385969590135	1.0829581537956983	0.12912436219466908	3.7908555165127875e-18	3.4345767378876836e-16
TMEM38B	2.106329727195962	-0.9948879666893126	0.11834917282017374	4.493386767042797e-18	4.03825017192943e-16
GADD45A	4.912430812368898	0.9391850437746672	0.11204122631634153	5.017882271711767e-18	4.473542402876475e-16
KDM1A	2.4058167547587983	-0.796769457843111	0.09486737192512484	6.314324822189652e-18	5.584669509403292e-16
ZEB2	103.52659189771572	-0.4199482481329575	0.04969177954081903	7.668579086446429e-18	6.729027192075512e-16
DAB2	3.497966219693436	-1.2414000815429553	0.15120973014741998	8.772396956901806e-18	7.637468100602635e-16
HOTAIRM1	5.503543173203385	0.6795312354041122	0.08263745606372523	9.890581363210568e-18	8.544235559040198e-16
RNASE6	6.4520195848911595	0.8732686994119767	0.10722194446558236	1.1505772685733901e-17	9.863102369986045e-16
KDM7A-DT	2.4313054324763197	0.9316493898091464	0.1137667598694382	1.1995729228148385e-17	1.020461118461722e-15
SLC9A3R2	0.43887218056248695	-2.2733830225818807	0.253154395837112	1.233483698924962e-17	1.0413592682439224e-15
DUSP10	2.8559520581369138	-0.8327820363012659	0.10152124573653536	1.2707438621382762e-17	1.0647495939600714e-15
CARD16	39.65641337150389	-0.4122396862814906	0.04895791259539755	1.2828431556423131e-17	1.0668659795879058e-15
USP6NL	1.3682222717339247	-0.9237173019682549	0.11198121474713657	1.6195208926639007e-17	1.3304720866276207e-15
ZNF516	2.7173935156035363	-0.7220997769851674	0.08704888776174739	1.6236917065807288e-17	1.3304720866276207e-15
SLC11A1	15.116402090905343	-0.6139271653835092	0.07496477152504381	1.6725110887678055e-17	1.3604717936663084e-15
PPFIA1	6.593639210798795	-0.762579161503566	0.09241668952862714	1.7626845525548063e-17	1.423431641570345e-15
LILRB1	6.254541741114052	-0.5680628131414	0.06844095738828822	2.5149917625050938e-17	2.0163358418242277e-15
TM4SF19	0.8894966433374105	-2.078680456194457	0.2896536963597664	2.675884454861665e-17	2.130004026069885e-15
IGFLR1	2.91040388057896	0.9291328082227318	0.11546789229546789	2.8026016307253896e-17	2.215049118638563e-15
QSOX1	6.391415035597534	-0.6012219562571003	0.07324971527262797	2.945820410886147e-17	2.3118466661207904e-15
CANX	25.401059044238224	-0.4520595189414402	0.05436467419841356	3.046227621963954e-17	2.3739273160256154e-15
SLC25A13	2.759949395932074	-0.7486149322943255	0.0910303189490044	3.7500771265608114e-17	2.9021430207217834e-15
PCNX1	3.3207388944537177	-0.7910861158785943	0.09847117877790637	4.208823365859498e-17	3.234698454423327e-15
AC007952.4	21.36583339683452	0.8029067189437651	0.10057827068972311	4.546611924038039e-17	3.470372827498624e-15
SOAT1	6.64318170943108	-0.7102471471907774	0.08737603739615166	5.1890786978453466e-17	3.933815850937996e-15
HEIH	4.018080358753018	-0.72361257894842	0.0891958110772822	5.372417055226105e-17	4.045284842124305e-15
EEF1B2	75.49142295152541	0.3526734988020151	0.042658584983526704	5.574863833377669e-17	4.169549165044345e-15
CYB5R4	5.351008999631872	-0.5979504588128011	0.07393122423563508	5.665908682708187e-17	4.2093924240066694e-15
FPR2	0.930665096659125	-1.438539958456	0.18020652454907496	6.365868615531328e-17	4.698095354402724e-15
AC058791.1	2.6040182806440333	1.0336404237176302	0.1287410053375332	6.807935119504733e-17	4.991291379721101e-15
OTULINL	2.1378749572231617	0.830657213754095	0.10306565555849335	6.868340837798003e-17	5.002666032445813e-15
HIF1A	32.51438101120159	-0.6123899597690361	0.0756573143704245	6.988755577013911e-17	5.057317672093703e-15
SLC9A9	1.2967249433047683	1.3275706823611586	0.16810203210885047	7.384792778229984e-17	5.30942778842548e-15
