gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
GABARAPL1	11.1836003717378	1.1601672520838961	0.059687454052428285	3.3700380536001185e-84	3.265566873938515e-80
ITM2B	45.18193605775011	-0.543244368787362	0.03142099271273092	1.543181071706986e-67	7.476712292420347e-64
SYAP1	11.806908649202018	1.214807445136982	0.07627546987928885	5.7171875502275636e-58	1.846651578723503e-54
UBC	124.29931970617817	0.5335123556541849	0.033568435252881036	2.0545404662824172e-57	4.9771242795691556e-54
EZR	60.8119475718813	0.9225413903439005	0.059688075363467576	2.3725165886684666e-55	4.5979371488394884e-52
SET	27.99064450773416	-0.6671627978409256	0.04316265374343974	1.8619091737264782e-54	3.0069833155682625e-51
FYB1	23.647152812091655	-0.908855285300245	0.061118669291329204	8.540950424427624e-51	1.1823115658957668e-47
PRDX1	28.64906738022325	0.8445337209182261	0.05780257815855116	2.03539733834786e-50	2.4653750260738455e-47
H3F3B	126.21572237271685	0.4766265764388612	0.03252310573839195	3.0613165389505564e-49	3.2960174736034326e-46
EPB41	12.807055115672398	-1.125217865265913	0.07755726368025438	7.233390143249686e-49	6.8409680309638595e-46
LCK	6.454707849759992	-1.393793206420413	0.09636090932868306	7.765804782311915e-49	6.8409680309638595e-46
SAT1	37.77457777854928	0.9374710964243015	0.06531749243127383	1.3908997485626616e-47	1.1231515469643492e-44
TGFB1	22.44057287353801	1.0236466180719133	0.07174348451594306	2.1702168882986118e-47	1.6176462805856576e-44
PPP1R14B	12.10986234312586	-1.1302247011897784	0.07943550342547996	3.261188100940789e-47	2.257208049865446e-44
PDCD5	8.96973538182508	-1.0951183509596747	0.07741587979759003	3.4543857203967144e-46	2.2315331753762776e-43
G3BP2	12.865014723576115	0.7667285115126418	0.05424117707239894	7.874262950977056e-46	4.768850499685479e-43
PTPRC	84.18652322139332	-0.4838612744526998	0.034391541972326974	1.2220381104975244e-45	6.965617229835889e-43
ABCG1	5.596951441794814	1.0227027041479415	0.0733909086552973	6.011325198762377e-45	3.236096732000413e-42
EHD4	4.055822892450583	1.124712767925477	0.08179675701290139	5.241643042887688e-44	2.6732379518727213e-41
FAM177A1	19.352432434221846	1.0081961816873344	0.07375734575956067	2.0759657775820717e-43	1.0058054192385137e-40
ELL2	2.924061364901848	1.5387442708837054	0.11279722788566325	6.143168357237285e-43	2.8346333991252044e-40
RIPOR2	11.727284895173108	-1.0705061566921625	0.07953932986935766	2.105748644529042e-42	9.274865620675643e-40
SLC2A3	8.279127969199939	0.9995984514149715	0.07358104758326987	5.014705043408302e-42	2.1127170378533238e-39
UBB	54.397028123321874	0.6545491305744539	0.04974868229251655	1.8544745886409422e-40	7.487441151637805e-38
MRPS6	13.120045765250293	-0.9079665755073871	0.07007325691994103	1.8159507913622003e-39	7.038625267319889e-37
ICOS	5.0767075956631595	1.134501639454045	0.0877850899512147	3.2647663701084965e-39	1.2167533125519743e-36
TLN1	8.7223993755675	-0.9771267415476746	0.07738246380378824	8.80261255736622e-38	3.159159840032544e-35
TSHZ2	13.450292056797984	-1.1963309724928486	0.09523086967956455	1.2409759479302325e-37	4.294663191229983e-35
ARHGDIB	45.14969474338589	0.4605450506536284	0.036297771790880215	2.0744330978679325e-37	6.931467833910436e-35
SYNE2	20.881448498945304	-1.219410167456153	0.09733796077192966	5.3256348730068135e-37	1.7201800639812007e-34
CALM1	105.07737751124391	0.4056870153370705	0.03219028328133172	8.270578139667954e-37	2.5852226507542733e-34
KRTCAP2	17.530683651518967	-0.6141834866613384	0.049204906325206625	1.6036405486547185e-36	4.856024036395069e-34
CSTB	12.727250071088562	-0.8750107663892551	0.07165954552181668	6.068143721625708e-36	1.7818276564410034e-33
DAD1	10.87101163430038	-0.7284552091983116	0.059131467865412894	1.198777543335895e-35	3.416515998507301e-33
LINC00623	7.4177483652807394	-0.93494156036742	0.0759427680151521	1.2364893792979292e-35	3.423309167256266e-33
ENO1	23.25693216573057	-0.7108543942216694	0.05871173123842741	1.0741149710124722e-34	2.8911594636419044e-32
DEK	20.199378495810844	-0.6768597268167256	0.05691998766235797	1.517819279096906e-33	3.975045625526762e-31
CD55	10.767233578347733	0.7750029567833909	0.06436486909960705	1.939999962607175e-33	4.946999904648296e-31
CBX3	11.96898898330085	-0.6908539262722644	0.05854116335077572	5.627638736448739e-33	1.3982517783638021e-30
OST4	40.3141175608091	-0.3798729375487303	0.03208048822679267	8.532794004678759e-33	2.0670693476334292e-30
OAZ1	39.33502259286207	-0.4846380593075148	0.04107640502794209	8.976574868267563e-33	2.1215368408173825e-30
VIM	591.3631117870442	0.40845526947504807	0.034539135517953824	9.250334073707442e-33	2.1341842184339315e-30
KMT2A	11.592440226818173	-0.7636071175754192	0.06500651173196123	1.0954838156738715e-32	2.468660040437166e-30
ADK	4.942738168089201	-1.3776649811511716	0.11829400555093567	2.516229075942377e-32	5.5414226695185526e-30
VPS28	9.295260962452042	-0.7495157863634638	0.0651260436425185	1.6883118175725973e-31	3.6354981138396596e-29
SMAP2	19.780081834491238	0.490652355085798	0.042491469022826016	2.20784185480312e-31	4.650866863704833e-29
MALAT1	5154.261238983009	-0.3711950498527227	0.03208359754816419	2.330165724007861e-31	4.8041076309864197e-29
DRAP1	11.583714194026673	-0.8224842909351597	0.07149078994723732	2.5903420510947176e-31	5.229253015647461e-29
MYL12A	18.22728450141519	-0.6558574216850546	0.057903565713327144	6.816529613343041e-31	1.3480035092508992e-28
ELOB	18.841244233200282	-0.5053460034953927	0.04447167475682215	1.5205495427457095e-30	2.9468250138411853e-28
YPEL3	6.534344555633819	-0.9762715659380319	0.08692292580479681	1.6905101037694827e-30	3.211969197162017e-28
MRPS34	5.855223212056171	-1.0188329741675193	0.09069274345806176	2.075750377895833e-30	3.868080992655889e-28
GTF2I	6.738545454374578	-0.8574868687468535	0.07588100480315789	2.31148536480757e-30	4.226093053770821e-28
HTATIP2	3.774462263210577	-1.406245071344727	0.12597195293171606	3.34998833517074e-30	6.011367957000828e-28
