gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
HBB	436.2909746665042	5.413448561213023	0.48932359143133675	6.621087008222906e-121	6.323800201553698e-117
UBC	121.84369661555513	0.5447453979353484	0.02533743015175933	4.0581069207907157e-104	1.9379489600236062e-100
HBA2	129.57231359997397	4.660015281263676	0.5022194057248673	5.732245164258716e-92	1.8249557854611665e-88
HBA1	84.6991456325421	4.599973741445188	0.5351411930958284	4.825450310101586e-82	1.1521968977945062e-78
FYB1	20.303872118557504	-0.97489261180428	0.053281849730981205	1.55032573788283e-75	2.9614322245037815e-72
IL1B	13.261465396367962	1.70305092134577	0.10925318835532788	5.515113522840597e-57	8.779141542775091e-54
SAT1	37.284132833399205	0.9128339418319699	0.05826222338129824	4.547383268752693e-56	6.204579657122424e-53
CXCL3	5.05317218536118	1.9798914196619561	0.1293657380742223	1.5910793259646354e-55	1.899549830286029e-52
ITM2B	41.29685509029311	-0.4329205278073417	0.028064687655821777	3.141708666701704e-54	3.334051052851997e-51
CXCL8	28.883333635539074	1.2164667686748347	0.08282952611851965	1.0734127090540243e-50	1.0252164784174987e-47
TGFB1	21.322427415698268	0.8443373806711518	0.058239542166636446	1.1828783822673169e-49	1.027061039003195e-46
TXNIP	17.734034021943003	-0.7042988960080147	0.048574897998670465	9.119250255015328e-49	7.25816326547095e-46
EPB41	11.221767320818797	-0.919008569231952	0.0667336218582069	1.2390052727248815e-43	9.102876430611802e-41
ARHGDIB	42.78265316413265	0.3966269730121504	0.02946118268015418	2.906916350258055e-42	1.983139861522477e-39
JUND	51.42220314465584	0.6144532835479983	0.04647894422430531	9.754228347006173e-41	6.21084232948373e-38
GABARAPL1	9.838976156935722	0.6687996803888178	0.051434424423717526	7.726344782195966e-40	4.612144938422104e-37
SRGN	101.27647742844428	0.5263487764303876	0.04029342612205232	1.2785974547779558e-39	7.183461347402504e-37
RIPOR2	10.433183139314908	-0.8437113313078262	0.06697021981123422	8.140815170687254e-37	4.319606983068553e-34
SRSF2	20.767899468238458	0.5564314111787044	0.04498409302499132	3.448362767643345e-36	1.7334375154611363e-33
SLC7A5	2.0072103850245027	1.3770671276245716	0.11220284864457022	3.688528318862538e-36	1.761456698672805e-33
CXCL2	3.1364934165643366	1.685312619740725	0.13932969785490418	7.901181895926028e-36	3.593532775618547e-33
H3F3B	116.08739746718886	0.33730044860678354	0.027771236812247635	1.1906128653266246e-34	5.168883398515723e-32
IFITM1	7.166467252864334	1.072770106709835	0.08812795609427837	1.6898667643572183e-34	7.017355420163387e-32
TSHZ2	11.79791417919597	-0.9640944301601763	0.08171617110706458	1.1817633058648336e-32	4.702925555964594e-30
CCL3	13.618698529221625	1.1730411984967863	0.10197926979354964	1.50035694733651e-32	5.7319636816044034e-30
TCF7	13.894069092012982	-0.5849616507514769	0.050403138649538964	2.4041335929259363e-32	8.831492286936777e-30
GABPB1-AS1	4.321268957980155	-1.1632908504716388	0.09999330856466741	2.715490945931037e-32	9.605797786884198e-30
CD3G	19.726974864218516	-0.47710183460850214	0.04111876436249825	5.118689767134882e-32	1.7460216416394734e-29
STK4	20.634635445103807	-0.4408202941375781	0.03840964284673668	3.768957111382605e-31	1.2412865300281126e-28
THEM4	3.8559258337572446	-0.9643974626727357	0.08501313248430031	6.9645070802166735e-31	2.2172669041049817e-28
ARL6IP5	17.027366984987687	-0.4968906905375234	0.04383204013595014	1.1749587932459424e-30	3.6200101400941924e-28
SET	25.61043054457688	-0.44426163061175944	0.03907513892728045	3.258824283583659e-30	9.726572103908603e-28
LDHA	35.06091026994223	0.5878887486616554	0.053043433115633344	1.5143594662549178e-29	4.3829234127880974e-27
SYNE2	18.776745260725704	-0.8957058514551456	0.08068736225468576	2.371299072252079e-29	6.661258070317532e-27
KMT2A	10.466060262766746	-0.6126308378677051	0.056154355658002655	1.6401308343055104e-28	4.4756827424148373e-26
LAT	12.58311854267025	-0.5537350564703787	0.05264453587589848	7.141180670802575e-27	1.894594905189872e-24
PRDX1	25.01619395456524	0.5040042398428767	0.04844280331770895	1.0280926359877196e-26	2.6538683152212734e-24
STAT4	6.165893958363035	0.7687668629650201	0.07425665047898283	1.8596308388816272e-26	4.674035300568006e-24
XIST	2.346680370970528	-6.942802233039109	0.7006286657390561	2.2185529018118613e-26	5.4331791705654065e-24
DUSP2	8.849648221388989	0.8700592628996329	0.08268672022083794	2.587615717985305e-26	6.178579430619412e-24
DDIT4	17.70309176272482	1.0005781575270314	0.09644332761285514	2.87294552991382e-26	6.69256164785534e-24
NAP1L1	47.53268834966301	-0.3105392296454872	0.029744358168256147	3.058834314236471e-26	6.955934889350603e-24
ELL2	2.694390834862119	1.1260594370539736	0.10979810532169658	5.397569834795098e-26	1.1988881277239065e-23
