gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
HBB	90.91776415773423	1.794961678131935	0.4088809755165208	6.828000448421415e-41	5.938994790036947e-37
HBA2	32.30115578837282	1.2385004567049729	0.400577299383783	1.7192291030767283e-35	7.476927369280691e-32
HBA1	24.766652003871457	1.181291978729857	0.49432680974214616	3.945402240214651e-31	1.1439036228462346e-27
SRSF2	14.283314965505497	0.527875372692707	0.048666147565837654	3.910451716439677e-29	8.503277257398077e-26
GIMAP1	5.326839767171756	-0.7859440275177846	0.07294613172606088	1.3993994149119964e-27	2.4343952221809087e-24
SYTL3	2.368389672375591	0.7808301950698122	0.07662280546204323	1.496553585027103e-25	2.1695038470942903e-22
SAT1	19.703600669277044	0.5678083756039365	0.05882490513537964	1.2557223993730302e-23	1.5603247756780882e-20
EPB41	9.35108642696755	-0.544208525265151	0.056043517130061817	3.0931914491838246e-23	3.3630724031251135e-20
TXNIP	41.825626617423275	0.9173809888136141	0.0999430117109603	1.820038673548973e-21	1.7589662647254408e-18
PRKCQ-AS1	9.112229752826673	-0.6414020775395133	0.0699718001750046	2.534297587971381e-21	2.204332042017507e-18
STAT4	3.974785112378204	0.6351481825133408	0.06964286601544444	3.3708315958665893e-21	2.6654084746225086e-18
TRAC	18.525048947673103	-0.33621433997276085	0.036434711394159686	5.2968155220017176e-21	3.839308450864245e-18
GNLY	9.108587531842439	1.1991771076076465	0.13516900306936333	2.2142159112491205e-20	1.481480768926527e-17
IKZF3	5.544322892788782	-0.6557886182559309	0.07271595037290321	2.729064062668906e-20	1.6955285155067245e-17
HIST1H1C	2.910607806510767	0.7920102075076436	0.09057620860957152	3.3297278219794146e-20	1.9307981730384632e-17
UBC	76.36280538052237	0.35566227066000544	0.04000495886759811	6.282334276166186e-20	3.415233970880843e-17
CXCL2	1.472146398770308	1.2350906741028713	0.14327825348350395	2.500547709186943e-19	1.2793978808534135e-16
IL1B	6.548154542014507	1.0948141191590668	0.1282488271081149	4.3001723693418164e-19	2.0779388482519511e-16
PKIA	3.5147455574111985	-0.9030231634742963	0.10329609554770879	5.733861619254849e-19	2.624901492856772e-16
CXCL3	2.377020254147566	1.5699195850633145	0.18459017794975818	7.10113672241044e-19	3.0882843605763e-16
