gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
SAT1	18.18295403752638	0.7607216994915643	0.0568247244282618	1.475124813883384e-42	1.3085832223959498e-38
CCL3L1	3.154731356804443	-2.0737400495421863	0.16890052264076738	1.9721478579831363e-35	8.747461824084202e-32
RNASEK	16.494672212886538	-0.5075502594497284	0.04149927958589171	6.885541268624348e-35	2.03605455313222e-31
FGFBP2	21.89092995603209	0.7621529230574009	0.06451789064254604	2.169236820339077e-33	4.810824958306988e-30
SPON2	2.8232116685027346	1.82505812654553	0.1626004194531031	7.426701553693821e-33	1.3176453896563577e-29
MRPS6	3.987225182360664	-1.0342738465289518	0.08950272179669938	3.5266891319475183e-31	5.2142098815844055e-28
TIGIT	3.397643625648405	-1.2416538576682359	0.11041661364976264	2.608318499628151e-30	3.305484772885904e-27
JUND	50.20899389717845	0.7067903941769069	0.06585135174157718	3.0009405187861647e-28	3.3276679177690086e-25
ODC1	4.926937244280813	0.8127311687305746	0.07572910059992088	4.033447342916701e-28	3.975634597668228e-25
LINC00623	4.42132695111122	-0.7676428825479517	0.0725847811799168	7.72028087736082e-27	6.848661166306784e-24
PPP1R14B	7.041801054795519	-1.496221401434099	0.14187007251379713	3.364856940328015e-26	2.7136041743318017e-23
LYSMD2	3.388667642904203	-1.0702823691766028	0.1018196834765516	5.697014863961275e-26	4.211518238183373e-23
HLA-A	125.94768262899207	-0.5070854873170256	0.04916121531342286	1.4538796749136962e-25	9.921051227814922e-23
GIMAP5	3.3898929925880608	-1.2411920039157818	0.12144784204896827	1.415024199014593e-24	8.966199763898896e-22
CDK2AP2	3.2199973344860213	-0.8504985877994562	0.08652049894188041	9.071950622173121e-24	5.3651515979531836e-21
ANKRD12	17.01292069139651	-0.44500004337373367	0.044783330713276975	1.0321548736342502e-23	5.722653677505896e-21
DDX3Y	3.6515754029006	1.6826208221188426	0.17008398642664374	1.100962715944073e-23	5.745082501846984e-21
SLC5A3	1.807000088455744	-1.2421256677849377	0.12611376623062168	1.790381310912929e-23	8.823595893949218e-21
PMAIP1	9.570880713873644	0.9589320438373651	0.10111172625245925	3.510495280837789e-23	1.6390317703322118e-20
CD226	2.0550413280834694	1.414904986312551	0.15265901828143685	8.523538181314434e-23	3.780615360322017e-20
PPP1R2	6.116397378895011	-0.7107601498836584	0.0734614697497177	1.5158400516293966e-22	6.40334147524018e-20
CARD19	2.1201129337638616	-0.9754276286940691	0.10202289710096168	1.7815853955347167e-22	7.183838201722034e-20
ARL6IP5	14.632519137463323	-0.3919387472419291	0.04085734163547169	2.578426499714339e-22	9.944878903898219e-20
TXNIP	22.975691773993056	0.7866991718474479	0.0846760285360208	5.279918673804463e-22	1.9515899398049748e-19
ATP5MD	10.364143458575382	-0.3993585597776403	0.04254757157333527	1.754819980116365e-21	6.226803217444909e-19
HNRNPF	5.530473724365756	-0.6024062949175866	0.06451920189973755	2.1116975662409048e-21	7.204949657739641e-19
PKM	4.4049060186770035	-0.7506558071104763	0.08050070430384501	2.6293090557091254e-21	8.638740975257648e-19
CBX3	6.845801943097297	-0.5052842370547944	0.05452885734675853	3.557948540603417e-21	1.1272343394176038e-18
OAZ1	26.06773028574946	-0.44805146602696605	0.04841143534932625	6.90563923525519e-21	2.1124112295154755e-18
CD52	46.49153479103641	0.9023036383820812	0.09998323870404438	7.458022342578516e-21	2.2053372067004673e-18
