gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
DRAP1	7.001920559138721	-1.1466747366989725	0.09689479684421648	2.7399629061870625e-33	2.0357924392969874e-29
UBB	49.45554315160179	0.6405371154826542	0.05565441600788351	1.0513315703567894e-31	3.905696783875473e-28
UBC	65.39003425490543	0.39126564761871535	0.03401676523914427	4.546389911798632e-31	1.1259892348221278e-27
ITM2B	19.81404559010447	-0.569149844146165	0.05240388027204226	2.7544233411745584e-28	5.116341356231742e-25
LRRFIP1	13.821884172672348	0.6956495200204529	0.06732054627188336	4.368997125299512e-26	6.492329728195075e-23
PSMB9	9.55616828466505	-0.8220335225770241	0.0829630036355053	4.862768897951766e-24	6.02172881863027e-21
ZFP36L2	8.130076498107233	-0.896941541887925	0.09334552802732635	8.86218475693413e-23	9.406576106288654e-20
TRBC2	10.91692604203701	-0.766488573091125	0.08015153347415091	1.4578326377598186e-22	1.3539620623194316e-19
TRIM22	5.192015882362736	-1.188433470454052	0.12545046162208878	2.3891878941532833e-22	1.9724073392843217e-19
RNASEK	16.846241831744383	-0.4824863514825712	0.050998123764660376	6.0844246578692025e-22	4.520727520796817e-19
LDHA	34.05657602809006	0.4555394418606508	0.048472966450564335	1.1785058197636923e-21	7.960271128040213e-19
CD55	3.5543955607473303	1.1497724921202566	0.12617181734991575	2.4185737989095095e-21	1.4975002771581379e-18
VIM	227.76783228828816	0.5587212616628561	0.06125078004109799	1.2292773259637246e-20	7.025792716854211e-18
TGFB1	19.892812825951886	0.5237512781662521	0.05755174459269567	1.5574688519684914e-20	8.265709692947063e-18
CALM1	32.01369558681594	0.37237466227351984	0.040841275419191074	2.1283505718836536e-20	1.0542429832730365e-17
EZR	15.191506379504483	0.5619026890464487	0.0625630393726221	3.528677243796244e-20	1.6386294950878807e-17
ACTG1	35.058118290390475	0.6362807477400766	0.07143512124967026	6.17492379710769e-20	2.698804930147655e-17
EIF2AK2	5.018227054974035	-1.1545763084797902	0.13092568592531795	8.854375264782613e-20	3.65488934540749e-17
TUBA4A	5.023302597398615	1.0409442432574585	0.11839507721695543	1.272413961764422e-19	4.975808282057713e-17
TAGLN2	17.444270121993497	0.619696768243312	0.07052630264757874	1.622739882091641e-19	6.028478661970446e-17
CDK2AP2	3.147972230373872	-1.140465706959762	0.13049822552340318	2.0218525689074086e-19	7.153506946181926e-17
LY6E	6.050747029664966	-1.136292978387086	0.13012882797092176	2.1268945960723856e-19	7.183103113099011e-17
HERC5	3.7670879140866256	-1.8433178314040348	0.21296665399323797	2.9335545418559515e-19	9.351892944117282e-17
C5orf56	3.6339038678695292	-1.0654356174434838	0.12203728642211854	3.020799874277453e-19	9.351892944117282e-17
IFI6	2.4455515069528824	-1.9890369897427713	0.22869523518414359	4.2990873999504126e-19	1.228546899293522e-16
SP100	10.487938091375565	-0.744146936092861	0.08555289670130521	4.29221670278089e-19	1.228546899293522e-16
KRTCAP2	6.790036757192504	-0.6868849886257641	0.07938060743910935	7.001159970106916e-19	1.9266155028849772e-16
BST2	2.8523179062314994	-1.6620491310767835	0.1952154307917146	1.3002085659195633e-18	3.331224015442191e-16
MRPS6	4.612108857230456	-0.8436774098962527	0.09857542634717889	1.2618724686371316e-18	3.331224015442191e-16
IL2RG	11.632545532708443	-0.7017286370581357	0.08224036373068375	1.7485611616420856e-18	4.3306031436668987e-16
ISG15	10.540224522402168	-1.4336327211255346	0.17138910068324933	2.3104788435787167e-18	5.537696067028988e-16
LMNA	10.133003535468156	0.8662554288585604	0.10294872984528322	2.40639951806137e-18	5.587358880998743e-16
XAF1	5.604801348645158	-1.1323202991647368	0.13582537055440327	6.002150144896016e-18	1.3513931992902242e-15
CLEC2D	7.748135306205016	-1.1858082054915255	0.14361766473247192	1.2014675097907146e-17	2.6255598816897085e-15
AC245297.3	5.009736010443027	-0.8297044146942518	0.10021611618794302	1.3388866400558277e-17	2.8422650673185143e-15
DYNLL1	4.228098001724757	-1.0168266245464432	0.12537524853476226	4.8330821487096645e-17	9.974944545809114e-15
GIMAP7	10.34008453195297	-0.680246263759565	0.08525360699062604	1.5290644999087145e-16	3.070526820086959e-14
FAM107B	15.88627593457703	0.5064751785718068	0.06323564324578053	1.972320531377286e-16	3.8564056705613774e-14
MYL12A	13.186317707935642	-0.6053266863899831	0.07690660880750277	3.8668471968171744e-16	7.366839659577335e-14
IRF2	3.3724308590681735	-0.9607037511798383	0.12283164792404257	5.021204045431655e-16	9.3268865143893e-14
LARS	1.2603652013773237	-1.696292137450252	0.2214036212643299	5.542324602301802e-16	1.0043773608561558e-13
S100A10	40.90234047859688	0.5282306698944156	0.06720236935692507	5.737589186583686e-16	1.0150068489599234e-13
IFI16	13.918750789486309	-0.5975751833276123	0.07675035218183848	8.547676776252532e-16	1.4769590336641002e-13
PDCD4	8.836285075468739	-0.6690922768040478	0.0858263378072399	9.252122062867405e-16	1.5466254484533155e-13
BCL2A1	4.567868727313274	1.2839933139281363	0.16628027849185525	9.367179701265032e-16	1.5466254484533155e-13
PSMA5	2.995587328446278	-0.9823671051183728	0.12712959220805314	1.1178155022722424e-15	1.8055150395397306e-13
REL	9.145192903820046	0.7341735843277217	0.0954114250980249	1.580861636976892e-15	2.499106800582619e-13
RABAC1	10.417793097171474	-0.5924646296767877	0.07670550422620159	1.9498313802948373e-15	3.01817649074805e-13
TTC39C	3.671970215582064	-0.9023904616054288	0.11767000633954046	1.991639770518249e-15	3.0199762234593044e-13
EPSTI1	3.1718346155054715	-1.4903722206552663	0.19787106029220256	2.593729833242893e-15	3.854282532198939e-13
CKLF	3.9289670467524522	-0.8687152884031195	0.11588654092453406	6.658045075345452e-15	9.699857825454256e-13
PTPRC	35.556128436000826	-0.5564265378449191	0.07366599382837534	7.126775980618071e-15	1.0183066449229282e-12
SEPTIN7	36.991691610236536	-0.2978387246003651	0.03905552549346444	1.0204890911992188e-14	1.4306101787943766e-12
LINC00623	2.9191079579750965	-1.009170962491949	0.13628216168334992	1.0458560785363384e-14	1.4390204932453693e-12
WDR1	3.3675276888793477	0.7516166005474069	0.10161887069295834	1.2163640428178813e-14	1.6431972432976107e-12
GIMAP4	4.096436812181738	-0.942506919845398	0.1277206427070996	1.3919178997049056e-14	1.8467767847870444e-12
PPM1K	2.394793402270121	-1.196961569559164	0.16267647024508736	1.7107252409657937e-14	2.229945357960675e-12
ARPC1B	7.298348169366794	-0.5485686457526908	0.07394906705702284	2.015216268483571e-14	2.5815615301436092e-12
TMSB4X	273.0810317350334	-0.5008387931787325	0.06754921199243165	2.1227376258979596e-14	2.6732102644782778e-12
MX1	4.260842110438324	-1.3784965198156989	0.190053541449153	2.2622525053020435e-14	2.801422685732364e-12
RNF213	6.340174035597421	-0.9862521654054046	0.13528734583830035	2.3060302547203856e-14	2.8088204577987646e-12
PPP1R14B	5.35896135441771	-0.9413858237620785	0.12865518359417635	2.899284349437764e-14	3.474464954245578e-12
BAX	1.7528211730356091	-1.3904954329367478	0.19345571723411703	3.6954408148616155e-14	4.358273849908223e-12
MIAT	1.7188210368805459	-1.302929620016225	0.18043563423353434	4.127041139875488e-14	4.7912368233241994e-12
UBE2L6	2.4671126491639974	-1.055742519709268	0.14669308131550818	5.734582023666916e-14	6.5550683747454135e-12
TRBC1	12.357812896084049	-0.4925602850617199	0.06767061588474915	6.632441320969524e-14	7.466521062849026e-12
PRSS23	1.4998727924818231	1.1558842450425821	0.1629111250818193	8.353028056431516e-14	9.26313409840092e-12
OAS2	2.0266072739219605	-1.3392098684987903	0.18901318706428272	1.1792720667072233e-13	1.2885281552403924e-11
IRF3	1.733297083879009	-1.24979397235112	0.17619049572824935	1.305504088226836e-13	1.405781938481941e-11
IFIT1	2.7413692717351434	-1.5169668732623016	0.21689646058758552	1.5992498539265388e-13	1.6974894878105976e-11
HERC6	0.869794841033719	-2.042585148795833	0.3048307960351564	2.065043665930313e-13	2.1610245687129897e-11
ITGAX	1.0614331121809557	1.4952936866557194	0.2173832004405251	2.263008183499455e-13	2.3352987226945765e-11
