gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
TUBA1A	5.506459781016626	1.6560774499685202	0.13565670788227457	8.112119835535207e-36	6.564327370915089e-32
CLEC2D	5.111910268380022	-1.3389642608627266	0.11117038462746082	3.277409279140748e-34	1.3260397943403466e-30
PTMA	148.90534541828987	-0.3101955806845166	0.0270390651065975	5.979577147434457e-31	1.2096684569259906e-27
DDX3Y	2.5568607359348414	2.1184314653166685	0.18419408620583155	5.498590899445985e-31	1.2096684569259906e-27
STK17A	9.883590806562626	-0.7092610762767364	0.06258499872791934	1.897242384963773e-30	3.0704970758253702e-27
PDCD4	6.27931767045497	-0.8306788894834529	0.07433452468771931	1.2896013737503331e-29	1.739242386064616e-26
RNASEK	13.824881851437292	-0.5061595415900877	0.04616909638674405	8.304852630990111e-29	9.600409641424568e-26
GIMAP7	8.803023959138516	-1.1000989713391849	0.10384956326850929	3.97809746426621e-27	4.023845585105272e-24
TRBC2	8.836178258978954	-0.6854097034190626	0.06489916632931426	6.497069270839981e-27	5.8415871710707915e-24
HMGB1	41.84012815044269	-0.40990563255842344	0.03878190084553169	1.1915605591677902e-26	9.642108044785758e-24
PPP1R14B	3.8559588922161443	-1.359430325389236	0.13068660403450919	5.250648024463379e-26	3.862567619450696e-23
S100A4	26.86865748872811	1.0881721442883767	0.10745022767617106	2.492047107573814e-25	1.551203476499023e-22
CCL3L1	2.9826802374442036	-1.7032338224646915	0.16999608517169112	2.3997694088132325e-25	1.551203476499023e-22
SLC5A3	1.6532785847787754	-1.2738046793950073	0.1284523167594184	4.60721348161446e-24	2.662969392373158e-21
MRPS6	3.7324711448805012	-0.9369409082851974	0.0949401564155855	8.949585262693178e-24	4.8280029297142134e-21
SCAF11	7.113104779297925	-0.6526926776705269	0.06760371455518323	9.241344603684165e-23	4.6738100333132664e-20
KMT2E-AS1	1.853998713377268	1.7275471676523175	0.18627966927692216	1.0583198541071881e-22	5.037602505550215e-20
CALM1	44.72162911326945	0.5901115022037059	0.06207884077030425	2.15403674512544e-22	9.173929127134243e-20
S100B	2.761618307320533	4.7452577071299435	0.5214549892041236	2.151882698256972e-22	9.173929127134243e-20
ACTB	38.51614874337723	0.8399389568735387	0.08933143786357627	3.3707417576308166e-22	1.3638021151374286e-19
MIAT	1.5238825343800673	-1.5351338229999647	0.1634441824802941	9.353493930146688e-22	3.6042129944165237e-19
FAM102A	0.8972779365310042	-1.8025465511633327	0.1933498767527629	1.1829901036011808e-21	4.351252690154888e-19
GTF2I	3.106698066923945	-0.8558607554265947	0.09194882340269343	1.6572159712898269e-21	5.830518104207512e-19
TTC39C	2.503390630121497	-1.017267158409663	0.11026831549272766	4.8866051391648135e-21	1.647600366088403e-18
GIMAP5	2.4386210121131526	-1.2980175902186908	0.14164425576229936	1.0442878205123549e-20	3.3801508174343902e-18
SEPTIN7	30.219775094331467	-0.39959068166163725	0.043724653874719306	1.8578866476283438e-20	5.782314904849445e-18
ARL4A	3.0523767224032556	1.4932133437750597	0.1699919344978124	3.173586211608516e-20	9.276601800756419e-18
TSC22D3	11.591994510042703	1.504556610833237	0.1694403006515824	3.209896816870733e-20	9.276601800756419e-18
GZMA	23.95183232891353	0.932451979593014	0.105061203557408	3.846277981832947e-20	1.037469380966407e-17
RABAC1	8.250050024424768	-0.5787934899423368	0.06412584951786568	3.7961509279677644e-20	1.037469380966407e-17
GZMM	10.852336957844457	0.6690875903963931	0.07632407449012943	7.8130393376252445e-20	2.0394553006472093e-17
LYSMD2	2.100084970306213	-1.15650345743666	0.13033338729251978	1.0046478111576742e-19	2.5405031524649687e-17
PRSS23	2.190078016057949	1.1123733295643894	0.1283916202270214	1.2891562851498197e-19	3.161167472555255e-17
DIP2A	1.702907436576449	1.2817489931848436	0.14863408803036127	1.9793249567828913e-19	4.710793397143281e-17
C1orf21	6.763799012480642	-0.6307130003352118	0.07119450595207531	2.2135170735528104e-19	5.117651474054097e-17
IFI16	8.077185053806831	-0.7398743857540152	0.08445078729684914	3.2749166323850746e-19	7.361284830350006e-17
FTH1	140.97921347992744	-0.763144119731755	0.08833166320094665	3.8899075750859977e-19	8.507332999350241e-17
PPP1R2	4.070548260734559	-0.9423814594613287	0.10761620783123027	5.011513251019976e-19	1.0671885586119379e-16
STK4	11.901709448493815	-0.44025585992555405	0.05046578021372854	6.952217853251078e-19	1.44249607355148e-16
EIF1	84.3072202497059	0.4667373479695181	0.05447717759917612	1.890520135134496e-18	3.824522233377086e-16
HERC5	1.2216193830406243	-1.60861625045874	0.18871854360721207	3.1025655613707113e-18	6.123405005515073e-16
LBH	5.409832163495712	-0.6460329315087147	0.07604302374072552	3.654598530537019e-18	7.041193168834656e-16
HSP90AB1	19.820413547588746	0.48330947604524627	0.05721012299556915	3.882566021373203e-18	7.306447498826037e-16
HLA-A	94.17796021101533	-0.46813715066651795	0.05527801444567142	5.171725883726957e-18	9.511274057072394e-16
ANKRD12	10.288891259951749	-0.5157994195782456	0.060969039037837354	7.34967196030304e-18	1.321634344506049e-15
CXCL8	5.640328737735683	-0.8873110548997788	0.10720097892763118	7.859556214920042e-18	1.3825984541550648e-15
SAT1	12.927237081869265	0.5619025048483391	0.06805745807678261	1.1111825667274502e-17	1.913125389352878e-15
IRF3	1.7477264646115778	-1.051048391641589	0.12647931745247157	1.3289006369557666e-17	2.24030499046793e-15
LINC00623	3.0898187616246977	-0.7961135186060281	0.09673175692923847	2.8391561480184583e-17	4.688663581584768e-15
EIF2AK2	2.0826618039435267	-1.1661293222951146	0.14066254006006662	3.0663581701095414e-17	4.962594062505282e-15
NKG7	122.52200921199429	0.26045732985319553	0.03129422060238526	3.9557822173001057e-17	6.155805711998549e-15
ITGB2	6.869939875633333	0.7908856170890588	0.0984841256178094	3.929671577470585e-17	6.155805711998549e-15
KLF2	20.08729244211928	1.4076492641714218	0.17458788930864763	4.1485929454969705e-17	6.334040399049337e-15
MX1	1.0319530047394518	-1.8163302061575513	0.22336350850733724	5.986187205752445e-17	8.970412383138663e-15
TUT4	3.92742465743526	-0.7042970370013578	0.08667878230861237	6.706399631455927e-17	9.866942875952976e-15
CD3D	5.172324336805366	-1.4391517932968305	0.1803142748571037	9.541032927024954e-17	1.3786792579551058e-14
SP100	7.066610260559317	-0.6114547897814792	0.07489364996498334	9.835681225832023e-17	1.3963216224461882e-14
CD247	19.417087368474075	-0.308792891342254	0.0380640537282887	2.0915261497514029e-16	2.909785139347252e-14
YPEL5	14.909981739477821	0.9685471947018058	0.12288373615386865	2.1215685024899638e-16	2.909785139347252e-14
GCHFR	3.9549677734852784	-0.8613799777586518	0.10894770861157717	2.222447459603767e-16	2.997340807185614e-14
ZBTB38	3.4144341291987446	-0.8728530627549682	0.10842335933569869	2.471810019947613e-16	3.278997816625588e-14
DRAP1	6.089807872753481	-0.5617849862264034	0.07022952434644247	2.5197518984788847e-16	3.288682639111474e-14
OAZ1	15.182057436730535	-0.4364021949493752	0.05440452412198245	2.7967170002477507e-16	3.5922276136515554e-14
ISCU	5.084747042236	-0.6551917576939894	0.08267873168771601	2.9961654571710055e-16	3.7882766999105904e-14
SLF1	0.8326958980724801	-1.350928186139536	0.1741129535428778	4.820904223358179e-16	6.001654919294521e-14
GZMB	34.37985856832512	0.49040597879487524	0.06236821329068613	5.134111289858229e-16	6.29473159962618e-14
AKAP5	0.8050619151568833	-1.495520965478832	0.19172705460939787	6.062368996973288e-16	7.321894018434007e-14
RESF1	5.494070967953153	-0.6451823159230071	0.08176066206283887	6.278785688189859e-16	7.471754968945932e-14
KMT2A	3.912932105692894	-0.6635179092850616	0.08437995304078617	6.827174020722612e-16	8.0065930689402e-14
CX3CR1	1.4396366886798169	1.3017699166602634	0.17179402426830592	7.943467506656146e-16	9.182648437694504e-14
SLC6A6	1.4250652759489335	-1.1146004174918342	0.14384294961982652	1.2458005871945607e-15	1.4198617396589274e-13
HCST	20.115488635034435	0.7165501724840744	0.09309672326410723	1.3050597152945942e-15	1.4667421133560912e-13
C12orf65	1.2820705771526952	-1.155420969014956	0.14959991786272736	1.4036321169144119e-15	1.5559165876810166e-13
XIST	2.68947663864217	-2.207988437745135	0.2958124000390429	2.618428989950089e-15	2.8632874846859625e-13
TPM3	18.54881075682276	0.364522407829271	0.047218699102499095	2.7369160274710273e-15	2.9529499325727405e-13
ID2	8.44693296989837	0.8218980034579831	0.10966363778910238	3.872692005850537e-15	4.123397856755598e-13
PRR5L	2.135594736591435	-0.9243617950412175	0.12160631305354654	4.6987239872540715e-15	4.937931753877915e-13
OCIAD2	2.92318064628318	-0.7211279514107468	0.0953209836712629	4.792280962340721e-15	4.971684300930912e-13
PTPN22	4.157711511023596	-0.6454693837770902	0.08510665620589408	5.795625939739716e-15	5.936481658781491e-13
RAB27A	3.085874247971445	-0.7306171741013329	0.09647651249503791	6.336223202070645e-15	6.409089768894458e-13
DEK	8.447842658389515	-0.4676396487371728	0.06136302345944112	6.529135339779009e-15	6.522686811048363e-13
XAF1	2.434787436312025	-1.0687263255731385	0.1420957108724018	7.104089233736119e-15	7.010523180413742e-13
PFN1	35.10263393861529	0.48936081930883935	0.06502838993341119	7.417546152264026e-15	7.231660658327771e-13
CARD19	1.680250953552964	-1.0254784984264171	0.13614015590647724	9.542350127915987e-15	9.192463956559066e-13
BIRC3	3.558258417902452	-1.0068966465947897	0.13439377048056056	9.793951339445346e-15	9.32384167515197e-13
OSTF1	5.765556805096713	-0.4554560238077993	0.06054396790619682	1.1901939651856437e-14	1.119889484451422e-12
JUND	41.39694820415416	0.7982782806975005	0.1081592299575608	1.228193648179751e-14	1.1423612644908673e-12
CFL1	24.32803189889133	0.40635765357769293	0.05425696909435223	1.3537981334320193e-14	1.244878919969534e-12
EPSTI1	1.3412567256092482	-1.3267038744910764	0.17862871987080906	1.401382021496306e-14	1.2741554289829335e-12
KTN1	6.488419503788557	-0.541553612223953	0.07240203890164434	1.594422575904519e-14	1.433563053802152e-12
