gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
BCL2A1	6.394624117030557	1.6341635715101714	0.1174441670710855	3.7112378509091166e-45	2.98791759376693e-41
LDHA	37.91007925188902	0.5200258131027035	0.03773449933662677	6.327058949388259e-44	2.5469575800762434e-40
SEPTIN7	36.971518200871046	-0.47167378208207567	0.0370695187701516	4.4493194949425123e-38	1.1940490417927388e-34
XIST	1.6543791612800007	-5.63854651075613	0.5306232541307597	1.9445939806291747e-36	3.913981534511371e-33
MALAT1	1863.6157869083936	-0.3502025227871439	0.029654297075886876	9.335736992380943e-33	1.5032403705131794e-29
NINJ1	4.471336964918748	1.0733594442654961	0.09350129888516874	1.1457658851983348e-31	1.5374268569552987e-28
CD247	19.407232682649965	-0.4967054900110277	0.044754155642611426	1.8946986471105176e-29	2.1791741154123966e-26
NFKB1	17.15870154883238	0.674368146540206	0.06415731555166616	6.230949636363487e-27	6.270671940295305e-24
JUND	35.19727734341905	0.7235181730084074	0.068791226801936	9.304918785498242e-27	8.323766793560704e-24
VIM	252.18059878110768	0.5519985582112793	0.052558218230460405	1.0406236601658555e-26	8.378061087995303e-24
PRDX1	9.033988039390175	1.0532448759907482	0.10355832360191565	1.8326274807932712e-25	1.3413167134424206e-22
UBC	70.29118322822971	0.3424746676829268	0.03377164859552715	1.1821388236735228e-24	7.931166391162943e-22
ACTG1	38.23115653183115	0.5789000021159728	0.05787086415460815	1.3629506814471437e-24	8.440858412562272e-22
FEZ1	10.787370683284182	0.7285342446341214	0.07318828056596079	1.788150153355542e-24	1.0283140631903904e-21
CXCL3	2.315709116440185	1.4464688977933584	0.14820830347718109	1.33536306873318e-23	7.167338710913888e-21
PTPRC	35.55587604067451	-0.6368666690921382	0.06741291295882451	4.343166321822131e-22	2.1854270035618735e-19
IL1B	5.733393370835661	1.1448938394153982	0.12465607263148244	1.9987179664929157e-21	9.465693146020272e-19
ZFP36L2	8.419276685386611	-0.720881863700481	0.07797320241936767	3.0863112644168507e-21	1.3804384438788924e-18
SAT1	17.71024556427097	0.6825279121703207	0.07425009261107016	5.741415068381912e-21	2.4328490902917252e-18
IFNG	4.473084038478802	2.0007992181165597	0.22070517671765433	9.258478958116472e-21	3.727000704589786e-18
LMNA	12.059750916773945	0.9636038801100789	0.11013304881744362	9.611940852003475e-20	3.6850350380704756e-17
HOPX	5.126238735431066	-0.8598651179085484	0.09933637081560244	3.9082531403532645e-19	1.4302430014992787e-16
PRKACB	3.256226944029745	-0.8799556368827516	0.10180360449501194	4.167069655183325e-19	1.4586555562556934e-16
IFITM1	6.863298193816715	0.8745765014946555	0.10037652036636721	4.401872743659723e-19	1.4766448941335178e-16
GRASP	2.395446287822991	1.5680199678866305	0.18280421419914986	4.907260348855601e-19	1.580334122745458e-16
GIMAP7	10.649477868654113	-0.6015164509365221	0.06988546292396058	7.592852526226042e-19	2.3511559880248407e-16
STAT4	6.5148838649345935	0.6201891005127615	0.07253863950648834	1.3255584436533823e-18	3.952618899945696e-16
FCGR3A	6.205616599562795	-0.9405220455402211	0.11195556014751945	1.8357042882051007e-18	5.278305437264024e-16
DEK	9.485024217148187	-0.56798972617268	0.06718868577177275	3.729264726430972e-18	1.0353210452584745e-15
ZFP36L1	3.964264963071604	-0.8475009751344716	0.10111189150001518	3.982364161995016e-18	1.0687337956073959e-15
F2R	2.8880738618807342	-0.9542237499771543	0.11462384479938416	6.393061771506883e-18	1.6603400104000616e-15
ZBTB38	3.375008582946775	-1.0322871742422968	0.12410893189245259	7.040487668269083e-18	1.7713426942885745e-15
UBB	51.29307090884537	0.4352878470482534	0.05231610281033755	1.2206444658370993e-17	2.9780026043801476e-15
HLA-C	93.50500836227894	0.2612700505676622	0.03083987418446265	1.2599354890582573e-17	2.9834531242376557e-15
CREM	20.20173434716134	0.8085744745304924	0.09749417223981457	1.3007119130478673e-17	2.9920090319852514e-15
CXCL8	13.435915997738347	0.7142562297940076	0.08698165996496741	1.678924406704767e-17	3.754727888438911e-15
ARL4C	14.542103760802345	-0.5681417879433647	0.0692579968941656	1.848060082647148e-17	4.021278844700591e-15
TNFRSF18	9.354240644792617	0.6529873400863638	0.0799512971471818	2.852449066279569e-17	6.043438798057056e-15
CKLF	4.061420055969851	-0.7905397551407987	0.09765941432589756	3.7975329679434026e-17	7.839471262798035e-15
AKAP5	1.138879997361425	-1.7572038367426859	0.21898345589583967	4.760021774422907e-17	9.580733826469706e-15
TRG-AS1	2.528212961341398	-1.22214706314878	0.1515531343904563	6.608008884447326e-17	1.2975873055776933e-14
IL2RA	0.9666907343631522	1.5846894697209826	0.20274714288714718	7.136631953372523e-17	1.3647283058635216e-14
TPT1	209.06124764434807	0.24248119840783955	0.029346531096768304	7.288947603047004e-17	1.3647283058635216e-14
DDX18	6.38291017733422	-0.566624607347534	0.07006885260980225	7.811895765037844e-17	1.4293993819163563e-14
FAM177A1	9.228334254158533	0.634974968476403	0.07917384840602958	1.1335025244808079e-16	2.0279619610211074e-14
ITM2B	21.16878341554289	-0.36776774472361484	0.0454472056877861	1.5403296795022066e-16	2.6959117934070143e-14
CCL5	112.67473786584263	-0.5326643249919891	0.06775211789674858	5.64521271915512e-16	9.670129277003802e-14
ATRX	4.649460338878469	-0.7450457482589142	0.09552601317854857	5.834328235247008e-16	9.785870129577846e-14
EIF1AY	1.7314788955161287	1.2053177424402834	0.15696140712063983	1.046325538244744e-15	1.719176920083354e-13
EVI2B	7.452441836452071	-0.5348824790152535	0.0690718872365397	1.1718870839066458e-15	1.8869725825064812e-13
ITGB1	9.951227546843644	-0.6359000827460207	0.08242346005651538	1.471548516825688e-15	2.323026884110513e-13
NBL1	1.4155493411699047	1.3211223356265556	0.17742025462070005	4.234806867000469e-15	6.556621170427072e-13
CD55	3.492072426516766	0.829745813120221	0.11142356735633371	6.073592899236328e-15	9.055277116991051e-13
DDX3Y	1.9128170728902634	1.1566526168742457	0.1550952753121359	5.99140455839469e-15	9.055277116991051e-13
HMGB1	55.03023297286281	-0.23396948074844498	0.030307139311466846	6.297511007681592e-15	9.218411113244454e-13
RUNX3	7.028456722752482	-0.5461490095993362	0.07277933483369527	8.541953299126195e-15	1.2280583216297321e-12
SYNE2	8.35520965557859	-0.6585235539655292	0.08838083551907351	1.113162204796752e-14	1.572292791371693e-12
TNFRSF9	4.300090930781511	1.0947614217574657	0.14808355789366737	1.2041921599414166e-14	1.671543289601439e-12
SLC4A7	1.6745198283166418	-1.19655769069233	0.16407933567893196	2.4663293201580492e-14	3.36549446721906e-12
PRPF38B	6.974636558243839	-0.5163172353927828	0.0712578905351603	5.630327762682187e-14	7.554961469559048e-12
