gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
S100B	2.318258651980243	4.566345202111577	0.3916228364361806	2.1756318456584556e-40	1.60300554388115e-36
HBA1	2.0650465784845693	4.101137715575028	0.40119008968951814	1.1785850532740483e-22	4.341907336261594e-19
ZBTB38	3.402015505993593	-0.9411619472711872	0.09853994487771456	2.9538441442316445e-22	5.440980913674689e-19
DIP2A	1.9974066630325487	1.4159676334680882	0.15228664704192654	2.222098863656534e-22	5.440980913674689e-19
GZMM	11.378062768519541	0.700642908358136	0.07635497394917629	1.3821263485695583e-21	2.036701387252101e-18
RNASEK	14.19007290753659	-0.3976482925809455	0.045479403775342625	3.3360041529853897e-19	4.096613099866059e-16
PRMT2	6.978349621844287	0.5325975896597566	0.06302567105104445	2.0470069201883488e-18	2.154620998278251e-15
TIGIT	2.0166595153713245	-1.1304778531480317	0.13295776979309334	3.634672688157275e-18	3.34753354579285e-15
CD247	19.704058033947472	-0.3034530673928892	0.03811182095287574	4.055125613048537e-16	3.3197961685490685e-13
STK17A	10.461588690088714	-0.4751073257047493	0.060072434585965874	4.94461069849724e-16	3.6431891626527666e-13
CCNI	8.757369421976511	-0.3942643684589417	0.049946716635180896	5.911933998375135e-16	3.959920881820727e-13
ACTB	37.70120452721682	0.695277281016528	0.09038900921384849	9.090385161408044e-16	5.581496489104539e-13
EVI2B	6.7737361185908735	-0.6069067330150579	0.07814814121340241	9.941167906640446e-16	5.634348087394369e-13
SEPTIN7	31.08913375497985	-0.30656826001026644	0.039108290584537526	1.2603164794240124e-15	6.190674546930749e-13
ANKRD12	10.833636347783756	-0.40605624046392425	0.05205807662945111	1.2296543726482005e-15	6.190674546930749e-13
HBA2	1.5614921418224619	3.75020748111766	0.3098292566251235	1.90614913539852e-15	8.777816768510185e-13
S100A4	25.11823852854214	0.8314781732222684	0.11098384940519469	3.747228484236198e-15	1.6240929101089594e-12
PTPRC	31.26636677660396	-0.38557715328134023	0.05061657845340638	4.458418272877964e-15	1.82497921303138e-12
TBCD	0.79783782300818	-1.201811027722334	0.16040261985452675	5.847268149853347e-15	2.267509038322077e-12
STK4	12.266322556071605	-0.34116120566951047	0.044893894847311676	6.576380766767561e-15	2.4227386744771692e-12
NCOR1	4.1099885772775195	-0.6125698021691003	0.08262093782544912	1.901303474428386e-14	6.6708590474230226e-12
DEK	8.716908937538497	-0.4145303357220987	0.056836510859533396	4.89307151563166e-14	1.6387341330533667e-11
LUC7L3	3.11652952615371	-0.6167210519242653	0.08534150009378458	5.650776259453774e-14	1.8102138904198e-11
CKLF	4.69164105016201	-0.5058160959056728	0.07077724080056605	1.210638977554907e-13	3.716661661093564e-11
HBB	1.2624807529043665	4.210024658438756	0.28431688569033087	1.3440493512365259e-13	3.961182247964289e-11
SCAF11	7.650784643588411	-0.4118265567480752	0.05742742385187815	1.4289710151124216e-13	4.04948401513397e-11
SLF1	0.8607840250164134	-1.0548970714092352	0.1509904197441766	2.282476360789012e-13	6.172868793515696e-11
MYOM2	2.3098020545354716	3.367261289046533	0.4733995588749423	2.4296036239407596e-13	6.172868793515696e-11
BIRC3	3.670756023562898	-0.8218115972138661	0.11676700179253378	2.357442421052496e-13	6.172868793515696e-11
IRF3	1.8383974202690605	-0.8168142249265107	0.11820371974694811	5.328102155530033e-13	1.308581889398176e-10
PDCD4	6.826393247100644	-0.4843937999438353	0.06969252025221608	7.618068918533414e-13	1.810642961024329e-10
ASF1A	0.8427360738310272	-1.1416665985983117	0.16734959146831635	1.4203660342968375e-12	3.270392793968468e-10
C1orf21	7.036068780692187	-0.4731882148487758	0.06916472848839539	1.5792494674613195e-12	3.52603335644091e-10
RAB9A	1.596595448614903	-0.7411142781289652	0.11018707579151858	1.6317764528056126e-12	3.5361555600799275e-10
LINC00623	3.239029351149641	-0.5898466541542682	0.08774349053603614	2.5418075866813403e-12	5.27973503369006e-10
ITGB2	7.279092770581489	0.781491854076009	0.11961470789964072	2.5796750978941664e-12	5.27973503369006e-10
RHOH	1.697695346598344	-0.7760560344862111	0.11655288856520381	2.7833649855004395e-12	5.542657625180335e-10
OSTF1	5.899615210837276	-0.3829443747159286	0.05710202097963365	3.2930316949775568e-12	6.385015139103852e-10
HP1BP3	6.593659552617646	-0.3617341752076217	0.054323896178355334	4.769954084084676e-12	8.786255422883973e-10
SET	11.860330798058776	-0.30585468760921813	0.04562573064870075	4.756505250255627e-12	8.786255422883973e-10
PTPN22	4.3192382145510555	-0.5271801375819275	0.08025747508424602	6.152710735361727e-12	1.1056871389791514e-9
YY1	5.22843534355435	-0.41824269180459084	0.06358163882496345	8.022096943223726e-12	1.4073050066112477e-9
WIPF1	6.086643841066986	-0.3976380220729156	0.06060015529726488	9.587553989942433e-12	1.642816227858043e-9
BCL11B	3.5504475965287217	-0.5733412514485718	0.08947090170105698	1.7354327400410867e-11	2.9060610065051656e-9
TRG-AS1	2.4862107707888668	-0.8641861911774815	0.13483717339107748	1.9764444348033985e-11	3.2360983545847643e-9
YPEL3	5.3985749577479245	-0.40795735691254015	0.06329337676038474	2.1957320962226916e-11	3.383335523279832e-9
TTC3	2.698186441114715	-0.5617469316191421	0.08820973620250003	2.204127376729532e-11	3.383335523279832e-9
GAB3	1.285945784896785	-0.7920879549948743	0.12500026316834287	2.1976364316376424e-11	3.383335523279832e-9
GTF2I	3.351586856317522	-0.5186680183709423	0.08125646582780391	2.2919594354655783e-11	3.446358596022527e-9
NEAT1	33.53304457132106	-0.3059160379626576	0.04754549819655151	2.6601073905032493e-11	3.919934250645588e-9
EVI2A	3.4430903101015593	-0.5574108907379505	0.08889054492290192	2.948897248341617e-11	4.2305445862025285e-9
MIAT	1.7714004680250561	-0.8365438740627863	0.13193229544893778	2.985726363769429e-11	4.2305445862025285e-9
UBXN4	4.969689807968941	-0.4537832856453086	0.07125156088920254	3.228582231937433e-11	4.4883384688518884e-9
HNRNPF	3.967995777254641	-0.4584301135818406	0.07282278172748942	4.341757674180955e-11	5.924087137660237e-9
LYST	3.600771138827024	-0.5456366620825451	0.0872906255017868	5.0424678225109466e-11	6.755073257501938e-9
STAG2	5.379678871448144	-0.41233055260248386	0.06571242378471194	5.492109305673856e-11	7.22604667217946e-9
TXNIP	19.25161889956972	0.575789400704788	0.093717515111507	6.29003437630217e-11	8.1306970674727e-9
PCID2	1.6757919133875396	-0.6903957264308752	0.11324391478889657	7.438315226678051e-11	9.449225274166186e-9
GPR68	0.7075246660418012	-1.1466728741956735	0.18464104773711004	7.951665387454333e-11	9.77377193856239e-9
DDX17	4.65353268317372	-0.45732051766384035	0.07341208255440074	7.95909766983908e-11	9.77377193856239e-9
KMT2A	4.216829195748034	-0.4694798040289288	0.07581018907361978	8.816126618419357e-11	1.0525037939658965e-8
ITM2B	20.349122613861535	-0.2331534999610157	0.03668703501003894	8.856573727726056e-11	1.0525037939658965e-8
HMGB1	44.38833301560981	-0.22960342874865086	0.03621611508130283	9.351879209504e-11	1.093724539930563e-8
CLEC2D	5.916041799962392	-0.6915317668172127	0.11349649110071856	9.818202807062282e-11	1.1303205981630453e-8
FAM102A	1.0400081616458747	-0.9872953817712432	0.16075093677863364	1.1462205218170694e-10	1.2992850468843334e-8
LAIR2	2.0365618181615543	1.2788597764492784	0.21931870961803956	1.362227737508271e-10	1.5207415106001427e-8
ID2	8.928982585452648	0.8024315491711733	0.1357344830649679	1.6515735505899688e-10	1.8162378986189388e-8
NDUFB4	5.446112788281434	-0.3669969937192676	0.06009453862994398	1.816960484891651e-10	1.9687301253943653e-8
TBL1XR1	2.3162927779274987	-0.6761279826252313	0.11213838583507314	1.8879111314125982e-10	2.0159607559779743e-8
CXCL3	1.5346307825791545	1.2033148603273998	0.20473796156689547	2.028755043957489e-10	2.1354095948398255e-8
NIPBL	3.3749974353757404	-0.47952193704049034	0.0796802109617658	2.0875871786480744e-10	2.1663862439829594e-8
MLLT3	0.8644629050430359	-0.954711754974002	0.1595598924959203	2.4097585736925907e-10	2.4659862737454177e-8
ITGB1	8.662721321956193	-0.42536122143984234	0.07071961719646286	2.9506845434390907e-10	2.978170372062907e-8
KLRC2	2.840869045324751	-1.259927776858315	0.2144004944880373	3.1553688149141625e-10	3.1417239767956144e-8
BPTF	5.216454299204734	-0.4286644240463742	0.07154790562283966	3.5247587078531236e-10	3.4627229545949084e-8
ORMDL1	3.8853113019751215	-0.41328959813654054	0.06950000336004532	3.771444056866784e-10	3.608831144284995e-8
SLFN12L	2.1833207064534994	-0.5847513079128663	0.09860853415451777	3.756601184527193e-10	3.608831144284995e-8
TSC22D3	9.806635428972239	1.0351527606053386	0.17995239448555816	3.910874389894026e-10	3.694272115992203e-8
IFI16	8.681642327658066	-0.47023261237625297	0.07932687309770424	4.461750667135583e-10	4.1092723644318717e-8
GIMAP6	0.8589448892521813	-0.8970783834476946	0.15299106609840762	4.454168487405545e-10	4.1092723644318717e-8
DNMT1	2.2717010206879773	-0.5907469169530514	0.10095376833577531	4.607343607745874e-10	4.190976259490321e-8
AC009950.1	0.46435152120989337	-1.3601643724464343	0.22187650773468398	4.956097503171233e-10	4.453234927239713e-8
KLRB1	19.575960767359092	0.458763137572279	0.07906602204894245	5.228958114564118e-10	4.6418028178443877e-8
JUNB	12.232558753296466	0.9561622091016772	0.16749675586470533	5.56054635464394e-10	4.877393516787684e-8
MLEC	2.0444626945215614	-0.5989915622217591	0.10281901699472598	5.926290072490776e-10	5.1370476769543576e-8
GADD45A	1.1697109031613755	1.0281453355115444	0.182728069705926	7.186500320525972e-10	6.156992367632019e-8
DYNLL1	4.770321266068721	-0.44090215430173196	0.07582144792859821	8.018910645036627e-10	6.791187773865503e-8
HOXB2	0.964455770444835	-0.8534011965662557	0.14879732840066118	8.45754514566004e-10	7.081271890138997e-8
SPART	1.237483056071362	-0.7313212213337433	0.12865084535582336	1.070634097255663e-9	8.863406773685084e-8
SLC4A7	1.4800575110184082	-0.8160149395150679	0.14211916913896236	1.0924565562337707e-9	8.943577673700469e-8
MTPN	5.924132980771243	-0.34704277788779464	0.059454353043018965	1.1367887435418012e-9	9.2042411674901e-8
AKAP5	0.9343962670147858	-0.9164033982509083	0.16025328885928186	1.1779898190794086e-9	9.434161942366393e-8
FCGR3B	0.6101679546220282	-4.91290138404043	0.639579063619696	1.2445007474222482e-9	9.859657534416263e-8
PPP1R2	4.562751569548109	-0.5373200871035313	0.09281115989142555	1.3547172153423777e-9	1.0618677066641104e-7
DUSP6	0.613621233077226	1.8418005142479992	0.30430832133051705	1.4061688998878595e-9	1.0905949951972366e-7
PHF3	3.8216550914921807	-0.45442970574753067	0.07930193660641495	1.5109543795684244e-9	1.1596574863187658e-7
ARAP2	4.155407521631315	-0.43247508918752864	0.07539674395524269	1.628268086110262e-9	1.23681229468664e-7
IFITM1	4.080562721028706	0.573767696088468	0.10128187591241214	1.6494132957198484e-9	1.2400895064146778e-7
CALM1	42.674714985002105	0.3872676556872999	0.0683491510009432	2.0245428852014793e-9	1.5067507048651008e-7
TPR	5.23132644589933	-0.39946003722812673	0.06984925770050185	2.046578858733052e-9	1.507919303114513e-7
RGS10	1.896201032732615	-0.706947720583087	0.1254472944760929	2.3429854029727467e-9	1.7092194504062572e-7
EIF3G	8.813629276571913	-0.2945031294380809	0.05137902258055693	2.6081568081960778e-9	1.8840097414498727e-7
FRG1	4.057724651991727	-0.39296340975895094	0.06976154512776064	2.8906028109683665e-9	2.0283772867823739e-7
THAP5	0.7041795757500684	-0.9558221008094101	0.1731312099259042	2.8787532619301675e-9	2.0283772867823739e-7
GNPTAB	6.435489335949878	-0.3669816700005727	0.0648717861138018	2.8515781864089085e-9	2.0283772867823739e-7
ZFP36L1	4.334018936650933	-0.47287519798164096	0.08468538020323196	2.9549954984000946e-9	2.0540006445482924e-7
CCDC82	2.4269796056794064	-0.515709140405722	0.09285030058158177	2.9936157077952944e-9	2.0613981808444605e-7
TCAF1	0.5432546753565953	-1.0912375425676368	0.19589417190478542	3.31895932959243e-9	2.2642678092997247e-7
RNF19A	7.247109600684031	-0.39990015471731727	0.07120823892119403	3.3571307377045522e-9	2.269297181230013e-7
ZMYND11	1.4803348084291335	-0.6252584096388727	0.11381456736552434	3.4536547751749618e-9	2.3133207621353744e-7
AC245297.3	5.394605284316712	-0.3646653436293121	0.0648926578594753	3.5832144326100486e-9	2.3784796341865617e-7
KLF13	4.3936894404950335	-0.39197037992512324	0.07027457948815385	4.1776993425814004e-9	2.7240078545256427e-7
SERF2	27.11151845016882	0.2295584946850455	0.04034315425020471	4.161900153849003e-9	2.7240078545256427e-7
CARD19	1.8067415910793052	-0.6776811222329144	0.12284474138138986	4.999729959100608e-9	3.2314044156713407e-7
ABCB1	1.5793967067285448	-0.7019184425120454	0.12776111955444613	5.76446244221186e-9	3.661427523639395e-7
AASDHPPT	1.236279458260746	-0.7083183791502846	0.13078862356421617	5.73176899939252e-9	3.661427523639395e-7
EOMES	1.6154212647629607	-0.7489457091573913	0.13646647581853058	5.9185518634896815e-9	3.7271700965976044e-7
RAB10	1.4322832053949601	-0.679351242675917	0.12511564245593798	6.2857826015388655e-9	3.9248852718761324e-7
TCEA1	5.9040889872853075	-0.3406432912708721	0.06162464657135797	6.391432164121368e-9	3.9573169903568267e-7
PARP1	1.7633620625413686	-0.5633658184722462	0.10418386286595538	6.675925868329595e-9	4.0990184831543715e-7
STAT5B	1.4787562258525582	-0.6775532374850368	0.1268380438748692	7.141267518336056e-9	4.3485007500082693e-7
LMNA	6.824690287193872	0.6735550716632855	0.12769641325841402	8.691816602112254e-9	5.249287272488778e-7
OAZ1	15.688246182629827	-0.3200562047464841	0.058354697483026914	9.501993818160664e-9	5.691926053025022e-7
TBC1D2B	1.4663176371167563	-0.7125907852006318	0.13281142709092475	1.01313449726134e-8	6.019979819210931e-7
TRIM56	1.368944943031356	-0.6845440525061854	0.12900502481424742	1.09875689454511e-8	6.425111745244739e-7
PRKAR1A	3.1049256418053077	-0.4328312695532868	0.08093268167438399	1.0948106783526335e-8	6.425111745244739e-7
EPB41	3.9006384595843446	-0.398421475666682	0.07465587174687419	1.4649549912661526e-8	8.499045965077963e-7
GAPDH	43.110778231290944	-0.44879800434645545	0.08484633396689449	1.544972488116269e-8	8.893247884719274e-7
TMPO	1.952595122483922	-0.5515364763843132	0.1048271924069147	1.6000310111845245e-8	9.13878177550975e-7
PTP4A2	9.043018191571461	-0.26533063513054445	0.04881055664618897	1.6619213803013317e-8	9.419259023123239e-7
TERF2IP	4.861057634734867	-0.34096955376610716	0.06361010501185144	1.7290302712371843e-8	9.724805372882117e-7
DTHD1	1.529708575849601	-0.6875488173330074	0.13135119606197285	1.7578704679310507e-8	9.812113339178775e-7
