gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SNHG6	107.14102214994192	0.883410277405948	0.05790185255414144	15.257029584328247	1.4782611414114247e-52	1.8847829552995664e-49
EEF1G	181.0373928146911	0.5458996705776862	0.03847085495001441	14.189954220850547	1.0572772977931117e-45	6.7401427734310875e-43
UBC	377.2555784066408	0.37206338824652313	0.026538749372063613	14.01962779143545	1.1823311987995057e-44	5.024907594897899e-42
GAS5	79.46687331421249	0.9568968864887126	0.06890312884173196	13.887567989643415	7.535060947506295e-44	2.4018006770176313e-41
SLC25A37	39.964664767931986	-1.4635184693113665	0.10996150431863921	-13.309371114735562	2.041932199847506e-40	5.20692710961114e-38
SMDT1	34.236759999024095	0.7659021846073129	0.06319954831109896	12.118792065366817	8.398785885817271e-34	1.7847420007361702e-31
PRKAG2	33.42641899560035	-1.016976318192272	0.08541139811111864	-11.90679863206553	1.090855132318724e-32	1.9869147052948185e-30
SNHG32	21.757891205814925	0.9496042192076437	0.08069789640654937	11.767397435288967	5.74702259911794e-32	9.159317267344218e-30
EEF1B2	266.20221568547385	0.6218342576612993	0.0541271924290914	11.488389287434867	1.5089922221993094e-30	2.1377389814490215e-28
SNHG29	142.13527888942974	0.7515642558220974	0.06605656672878069	11.377585803208914	5.407601210556161e-30	6.894691543459105e-28
TOMM7	164.09496843749938	0.55521607592113	0.0491691079241243	11.291969681002065	1.437780204496163e-29	1.666517964302371e-27
LDHB	32.15105725838989	1.029055044466007	0.09401507667334029	10.94563851754869	6.97247004474567e-28	7.408249422542274e-26
NDUFS5	46.7055455710125	0.8180999072443284	0.07677224618334487	10.65619345421482	1.631385951804836e-26	1.6000131450393586e-24
ACTR3	71.02408400302815	-0.5970764747555386	0.05777051627389115	-10.335314850308544	4.878075321822994e-25	4.442532882374512e-23
NPM1	117.36640262283733	0.6627910434068679	0.06442490582051172	10.287807719167008	7.997650163256809e-25	6.798002638768288e-23
UBA52	682.8668700734293	0.38342061319476795	0.037965291815368236	10.099240513135221	5.567166355577151e-24	4.436335689600542e-22
EEF2	146.18103726776488	0.3486198339219174	0.036109010225553254	9.654649400365168	4.697633814617685e-22	3.523225360963264e-20
HSP90AB1	102.60609669686116	0.8832680870563394	0.09160291406080541	9.642357954573715	5.295730426268983e-22	3.7105850835107285e-20
SDCBP	139.52250636351758	-0.8333801813796484	0.08646884930676511	-9.63792380794926	5.529499340133635e-22	3.7105850835107285e-20
SLC43A2	39.17423954807953	-0.899322214953475	0.09336742943432139	-9.63207641467838	5.8534508734430185e-22	3.731574931819924e-20
PPIA	142.89467687824182	0.4264917925600295	0.04470422495474158	9.540301682711387	1.424174106521469e-21	8.646771361023204e-20
CAPG	39.211533901915345	-0.581888735524273	0.06103855746369125	-9.533133804323754	1.5260550796893885e-21	8.844182848199865e-20
