gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SMDT1	47.56504404310794	0.7596531831331116	0.08557444714825464	8.877103019047729	6.86242374605666e-19	9.669155058193835e-16
RESF1	63.93608349910546	-0.8531738817255704	0.1066414446971457	-8.000396882736585	1.2401881563839962e-15	8.737125561725253e-13
HLA-DPA1	259.2169729045092	0.936325536051332	0.12185776079017384	7.6837579320334415	1.5448845475283457e-14	7.255807758224797e-12
GSTP1	62.24154498014879	-0.9295197451884747	0.12914184708154736	-7.1976649412604745	6.125243283360706e-13	2.1576169465638087e-10
OAZ1	178.72462908770737	-0.5117351033515899	0.07598630897804223	-6.734569822301357	1.6441563641969175e-11	4.633232634306914e-9
ANKRD12	131.44977463247042	-0.7122289695956887	0.10678949097128958	-6.669466846575492	2.5673436720366305e-11	6.028978723166021e-9
SRSF3	58.633337496592134	0.6922704076087614	0.10440296412179655	6.630754341429984	3.339756620103959e-11	6.722452968180683e-9
GNG7	30.69658516080013	1.1237416074619686	0.1726167748528616	6.510037094713681	7.513224934480625e-11	1.3232667415854e-8
NSA2	96.65157013270812	0.5424228442559158	0.08532898004610645	6.356842000957053	2.0594362336979383e-10	3.224161836978216e-8
IFI16	65.55701028325608	-0.800053184543848	0.1318270082978681	-6.068962611486242	1.2873910990999898e-9	1.8139340586318857e-7
TUBA1A	43.529303140942055	1.673211386630401	0.2780046718857044	6.018644849674706	1.7588328433121305e-9	2.2529049783879926e-7
ADAM28	33.28742695681434	-1.1077904803873952	0.18485544669767576	-5.9927391925818965	2.06335623392328e-9	2.4227241113315847e-7
DEK	53.325108414331254	-0.6376207519004246	0.10693314900073136	-5.96279785883855	2.479550928125689e-9	2.687451736714689e-7
CLEC2D	65.55169152736045	-0.8409508540951556	0.14189071271661785	-5.9267505109703045	3.089878715090852e-9	3.109742221116436e-7
HLA-DRA	938.3624227194352	0.6435988003723924	0.11163404413931349	5.765255620133357	8.153416741843898e-9	7.180102618286283e-7
JUND	378.2252570501313	0.9209331145585151	0.1594566189049595	5.775446142548755	7.674944741666766e-9	7.180102618286283e-7
IRF9	17.329960990576126	-0.8697556366120602	0.152343578446496	-5.7091716334963465	1.1352736142725613e-8	9.409414838294346e-7
TUT4	56.3196073213132	-0.6312571554758173	0.11086715315603415	-5.693815864356033	1.2423106264888935e-8	9.724531515126949e-7
H3F3B	379.09717594924524	0.5049320667349702	0.08897253775196183	5.675145157066586	1.385711018804532e-8	1.0276141186818872e-6
CYCS	43.764309967482916	0.8784990465430584	0.15559409662163362	5.646094971580772	1.6413319914241523e-8	1.1118691345455461e-6
ISG20	95.20315327412054	-0.561211398483414	0.09942720856584093	-5.6444448816219	1.657150590876967e-8	1.1118691345455461e-6
YWHAZ	164.1283811378972	0.45450113030546535	0.08077553952685196	5.626717357355155	1.8367130897586256e-8	1.1763312470317743e-6
EIF1	650.6314347769405	0.5272097747313986	0.09426431546966992	5.5928881688111485	2.2332314256373006e-8	1.3680969907491115e-6
TALDO1	24.273341333170087	-0.8966750613587781	0.16095189119057723	-5.5710750257482715	2.5317226756867898e-8	1.4863321875177862e-6
RNASET2	39.3860686861682	1.0330618253542831	0.19251325680102352	5.3661853865057605	8.041928525044946e-8	4.532430916715331e-6
CCDC82	18.403729539570563	-0.7158649789177218	0.13416751817597183	-5.335605731178582	9.522611943610235e-8	5.160523164825701e-6
KANSL1	17.360409419020385	-0.7327221930120624	0.13816862241651606	-5.303101241056277	1.1385173759732059e-7	5.941374010171285e-6
NDUFV2	49.15293582990469	-0.7598570085125882	0.14351621997717856	-5.294572339164298	1.192952593276326e-7	6.0031078711655115e-6
TPM3	111.78016173212919	0.3879270545891059	0.07360038674866182	5.270720328058046	1.358893942120578e-7	6.602350222234119e-6
CYTIP	65.2051173989974	-0.6918501433999824	0.1318255789066345	-5.2482238207350145	1.535726496607468e-7	7.212795445733076e-6
CDC42	137.48384335245348	0.2730776550896203	0.05262913705728744	5.188716181919761	2.1174884040707215e-7	9.041033822229231e-6
RSBN1L	25.318233290016448	-0.7746102127764384	0.149148897194278	-5.193536307328163	2.0633667958001434e-7	9.041033822229231e-6
RNMT	51.21124773669203	0.5556256017760898	0.10814927235342014	5.1375805836248745	2.78298142525673e-7	1.153300243584333e-5
HMGN2	67.52300465123022	0.49245105097383873	0.09630568030963643	5.11341646090385	3.1638370918480246e-7	1.2736704178325334e-5
PHF11	18.39507596540812	-0.7570807876081662	0.1483383790677949	-5.103741812239694	3.33002526215526e-7	1.303334887326878e-5
PHACTR1	43.74627825790401	1.0636694257394004	0.21058483530458671	5.0510257502679385	4.394438192270878e-7	1.6734495710566666e-5
YPEL5	94.90582618716726	1.390738704312888	0.276490986351983	5.029960371085759	4.905812214076873e-7	1.7723818999062345e-5
PPP1R15A	72.0110927284481	1.0679852404301393	0.21220799072797147	5.0327286770232185	4.835472697065436e-7	1.7723818999062345e-5
PARP14	85.32596339623217	-0.7168785412186054	0.14323801892638358	-5.004806311842677	5.591822760431761e-7	1.969719567362088e-5
IER5	25.930979847335035	0.6928501811486203	0.13903650364056355	4.983225002117235	6.253316351438321e-7	2.0745265992182695e-5
H3F3A	325.2550272251355	0.3564820115538421	0.07154399212349392	4.9826966733769815	6.270420459040274e-7	2.0745265992182695e-5
ZFP36	42.4618262741175	0.9474622281151297	0.19023948029842563	4.980365939966093	6.346415310640852e-7	2.0745265992182695e-5
DDX3X	53.29261499031319	0.9646883168476581	0.1938532567438263	4.976384369556798	6.478294561079053e-7	2.0745265992182695e-5
GNG5	43.73268891114037	-0.5529270264985099	0.1120753201367503	-4.93353064549669	8.075636456455117e-7	2.5285715038100577e-5
