gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SAT1	81.98345866527285	0.9786903268325429	0.0675214015494897	14.494520320571448	1.3121581197702081e-47	3.541514765259792e-44
CALM1	318.80128968769765	0.8049823774873636	0.07404298151216568	10.87182554034646	1.57027012309539e-27	1.4127196874114858e-24
GIMAP5	20.57921937824267	-1.3286500025013734	0.12795926770530197	-10.383382355401844	2.9512989030444233e-25	1.9913889348292247e-22
ODC1	22.447185232903802	0.9135779780550687	0.08880858151924252	10.287046166333823	8.061139135515992e-25	4.351402905351532e-22
CCL3L1	17.80900331725354	-1.9715927073635895	0.19547555869155558	-10.086134146697088	6.3626115952278056e-24	2.862114782586641e-21
TPM3	122.32531506276783	0.4942837651500965	0.049257549358102407	10.034680401102646	1.0730633991741482e-23	4.137425877672894e-21
H1FX	27.73914924526379	1.2864301604236839	0.12916261987564207	9.959771346092705	2.2858783684886762e-23	7.711982145688672e-21
SLC5A3	10.083208127804054	-1.2816008764235807	0.12979752929064584	-9.873846470172698	5.405125562664344e-23	1.6209370992923407e-20
RNASEK	83.99553630294218	-0.4017329916931424	0.041143699225413506	-9.764143702591557	1.6046177187653674e-22	4.330863222947726e-20
YWHAZ	139.95284930885433	0.5564495419198866	0.05707548804233438	9.749361083117737	1.8563287431939345e-22	4.554755707164027e-20
HIST1H1C	17.4880683789709	0.8732691768360995	0.0915980915457445	9.533704928775563	1.5176796174104398e-21	3.284654646159182e-19
CARD19	11.56470604480009	-0.9316414022824454	0.09776505184824255	-9.529390970186375	1.5820863430926034e-21	3.284654646159182e-19
GIMAP1	14.459202239663874	-0.9639740703155077	0.10156256066950922	-9.491431330215653	2.278833913649495e-21	4.393266237814277e-19
PPP1R2	33.316669824581595	-0.6928764016634965	0.073213444741183	-9.463786386679185	2.9698964983608133e-21	5.343833766050557e-19
LCP1	94.57891481365182	0.5477792180741544	0.058069038433600416	9.433240722601557	3.976103849400572e-21	6.70719018095759e-19
SRSF2	63.97311201454804	0.5773110322585008	0.061522790224419366	9.383693914931657	6.370101227692014e-21	1.011347247855338e-18
HNRNPF	28.132186368584538	-0.5311623384399132	0.05669485544984088	-9.368792533739567	7.336701466356134e-21	1.1000976254275116e-18
CLEC2D	63.981139010639566	-0.5986596583599416	0.06404673972669511	-9.347230802295098	8.997246016099826e-21	1.2780824735501805e-18
SPON2	12.253199878479029	2.0564212369430415	0.22084618762262545	9.31155415939072	1.2597530973934784e-20	1.6190826713642849e-18
HLA-C	493.19762038951967	0.2868877288260964	0.030806647039799327	9.3125268860147	1.248266138989643e-20	1.6190826713642849e-18
LINC00623	22.852849811292206	-0.693343463576479	0.07547988583152268	-9.18580434957306	4.0846307461806154e-20	4.967172247746683e-18
EOMES	12.059737979698927	-1.1585698335561205	0.12617882331324579	-9.181967331236779	4.2328626046007306e-20	4.967172247746683e-18
TUBA1A	32.12261312763652	1.4905645506985818	0.1630661772987836	9.140856647221478	6.19595544917781e-20	6.967868232221211e-18
SYTL3	22.29048788591016	0.8304172754166911	0.0910097930410257	9.124482626197741	7.207971330695509e-20	7.781725848618871e-18
TIGIT	17.434518474467804	-1.141185744779098	0.12558766473296717	-9.086766182057472	1.0202849593333018e-19	1.0591342712463775e-17
BZW1	66.34944168708026	0.5563349186784928	0.061259332513061024	9.081635333846927	1.069555882737871e-19	1.0691597509294495e-17
OAZ1	133.1069745081869	-0.37217931622660994	0.04110323597681981	-9.054744897372574	1.368873802015275e-19	1.319496568442581e-17
ARHGDIB	127.6471488401229	0.3767576060576146	0.04169459957688345	9.036124819064066	1.6232431271831614e-19	1.5107355862990872e-17
PNRC1	155.499000353583	0.42716570812129045	0.04729449362444822	9.032038941219854	1.6850244055990055e-19	1.5159602902372387e-17
LYSMD2	19.308775941531522	-1.0406759361575733	0.11567707542933285	-8.996388716564004	2.3326427379957964e-19	2.0309041128550498e-17
JUND	211.06825020318598	1.1773338234319228	0.13135986633178046	8.962660029344788	3.1693855333826957e-19	2.6731786108124673e-17
UBC	323.2550762542839	0.4027841315756288	0.04518336722061309	8.91443370320295	4.903155779695127e-19	4.010187105877923e-17
H3F3B	372.3284637819237	0.5814459006635985	0.06565338759309883	8.856297016495724	8.271630059844427e-19	6.566214568094149e-17
FNBP1	52.70920403786152	0.41141313642415517	0.04649637946134031	8.848283268296772	8.887583037173129e-19	6.853596176380079e-17
RBM3	79.30515779634725	0.48835344152576293	0.05549872598168641	8.799363100459475	1.375948108141225e-18	1.0315788732981018e-16
HLA-A	645.0597168051769	-0.4003384763241987	0.045873296769740425	-8.727048294211013	2.6140547484416877e-18	1.906846963795707e-16
SRSF3	59.447333301428294	0.7937861587347652	0.09107574007393736	8.715670694417103	2.890423471960363e-18	2.0529613028476368e-16
PPP2R5C	98.50057657992107	0.51881598021014	0.06007539734137414	8.63608071141012	5.817441798828739e-18	4.0259680551381455e-16
TUBA1B	32.38908374115979	0.93045710179101	0.10840284061794275	8.583327673767633	9.216733444049952e-18	6.218990891372704e-16
YPEL5	87.8945496392427	1.2848408401778153	0.14974532257242815	8.580173444525249	9.473019256291846e-18	6.236019261641876e-16
RAP1B	79.8710590747279	0.4164915021838988	0.048646161889120576	8.561651855149638	1.1126174548338687e-17	7.149891691896694e-16
JUN	160.27017214756327	1.7610434529081764	0.20646104537301005	8.52966451722903	1.4677273048577208e-17	9.212548827467415e-16
HSPA5	78.04270660868036	0.5460647241300075	0.06410170232199562	8.518724220255736	1.6132046991543664e-17	9.895544279585535e-16
EIF1	535.8526871515186	0.6907118882609073	0.08168544721467898	8.455752056368562	2.7729426908381162e-17	1.6631494050160168e-15
CDC42	117.9474864975104	0.34566936557271133	0.041208167132659033	8.388370306786959	4.929274539660963e-17	2.892198257074987e-15
IFITM1	13.754761181729181	0.8657198115696713	0.10390605302490218	8.331755334428808	7.965242793837236e-17	4.5740830426737665e-15
HSP90AB1	153.7239737220901	0.674065056469	0.0809897852029924	8.32284040239799	8.588004698626076e-17	4.828963475331621e-15
CLDND1	19.45415479043893	-0.9309671684949874	0.11210153596602564	-8.304678080210547	1.0009044556031844e-16	5.5131451544346835e-15
GIMAP7	66.33403986961675	-0.855784960318456	0.10308117555038432	-8.302048902228156	1.0233106692348747e-16	5.5238309925298535e-15
NCL	133.6929214704651	0.2932633327759117	0.03550990216689791	8.25863533494299	1.4734733689719707e-16	7.797852201677155e-15
GZMA	99.52689660050987	1.5175516025901703	0.18444725382123994	8.227564092989589	1.9105890499986697e-16	9.916692011435403e-15
DSTN	48.275262312692846	0.6233290190558659	0.07599282030765789	8.202472503748519	2.354926137406228e-16	1.1992350273319641e-14
RSBN1L	20.70468314765045	-0.6018974019064952	0.07379045945859114	-8.156845835121285	3.4388686885284555e-16	1.718797516729315e-14
CDK2AP2	16.335318570351404	-0.7540435627058076	0.09268263166544431	-8.135759086207997	4.093651587469467e-16	2.008866479014562e-14
NDUFV2	31.55511027973933	-0.6249067738496019	0.07710954974857558	-8.10414242966249	5.311884906877738e-16	2.560138814939824e-14
SRRM1	94.07577245000941	0.3839268199489956	0.04744920077738721	8.091323218492713	5.902000660523807e-16	2.7946490846936414e-14
C12orf65	11.01577175995268	-1.0195946785281744	0.126533434503442	-8.057907244274153	7.761167301982173e-16	3.6116190600086004e-14
IER2	115.96776443951688	1.25005338825323	0.15523800955268247	8.052495595990006	8.112265816273792e-16	3.7110178708682994e-14
GIMAP4	33.00194891032931	-0.6172208308043484	0.07697840380043557	-8.018103784075294	1.073900547360062e-15	4.830762628874679e-14
SRSF5	121.5398473960268	0.7288067303310342	0.09159373704847408	7.9569493921328744	1.7633279258327006e-15	7.80200339643026e-14
FUS	59.54519982798608	0.7578027212557052	0.0955608200000513	7.930056703733794	2.1904584660272834e-15	9.535560322270384e-14
CCNH	17.486884656902625	0.8599562730167234	0.10919437535645721	7.875463092393338	3.3948307990418518e-15	1.454388623272057e-13
TSC22D3	82.55451162417118	1.6300372708651483	0.20715692170362532	7.868611183541361	3.585997768817574e-15	1.5122824965685364e-13
ID2	48.89022484401663	1.5717267456362498	0.19980362866650897	7.866357363607292	3.6511658671026966e-15	1.5160764115861813e-13
IL32	133.1040716989426	1.0338232347821423	0.1315509305185403	7.858729928454889	3.880478850821087e-15	1.5868806694494112e-13
PARP1	14.073744419156252	-0.6272157876745644	0.08048820204754863	-7.792642545351367	6.562207275025169e-15	2.604617269896019e-13
FAM102A	17.29723695483412	-1.3523368849145332	0.17353592676106566	-7.792835236800903	6.552203821899216e-15	2.604617269896019e-13
TXNIP	95.60358227012458	0.9242252650130371	0.11932301211581794	7.745574375175516	9.515073715590096e-15	3.721910718605459e-13
SBDS	37.67918083335102	1.0174915854440334	0.13143143659600282	7.741615033636314	9.816182562231716e-15	3.770370135460423e-13
YME1L1	27.130449894743254	0.813364890957494	0.10508184766305144	7.740298719961382	9.918350486020379e-15	3.770370135460423e-13
PMAIP1	40.77119319514763	1.3671640579837596	0.17694735250843802	7.7263888868784525	1.1064028484819553e-14	4.147474011184441e-13
ACTB	209.2707419935832	0.9339541706748342	0.12142037121818938	7.6919067311739795	1.4495827860602783e-14	5.359484848735193e-13
S100A4	216.15078592401497	1.3143583626676592	0.1709856471824243	7.686951415666909	1.5068232192737783e-14	5.495832255162065e-13
SLC2A3	21.854026947647725	0.9637606283688074	0.12541058792351908	7.684842598429976	1.5318521290442918e-14	5.512625195054058e-13
PPP1R14B	44.570475110760206	-1.4484310476926399	0.1898085022983296	-7.631012468641067	2.329171485920235e-14	8.271623474340413e-13
MYBL1	10.67772674462077	1.715566851625747	0.22493489063237765	7.626948610785259	2.403753546690338e-14	8.425624444827562e-13
TAF7	24.906930950836205	0.5172225587911674	0.06785660844247411	7.622287212153349	2.492197412576094e-14	8.623642072490869e-13
MARCKSL1	8.453150227324043	0.8849945386390119	0.11646350005631459	7.598900412670776	2.9865749236794326e-14	1.0203500910140238e-12
PKM	23.210724816563637	-0.6742269129727649	0.0889740352743397	-7.5777940260197845	3.5147981112067225e-14	1.185805012768368e-12
CDV3	55.395576777690366	0.33004650043804384	0.0438219050839016	7.531541584194832	5.014473627146339e-14	1.6504956487399961e-12
TOB1	21.164321233890732	1.300277663877467	0.17371891766856246	7.484951445289688	7.157359268259892e-14	2.3274352608474035e-12
SP100	48.093569267023426	-0.38597100144224716	0.05162496753818124	-7.476440564476624	7.636265540175552e-14	2.453604844396883e-12
