gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GTF2I	21.005598872556327	-0.7692199064638227	0.08737602392567628	-8.803558137620634	1.32545463545506e-18	1.746949209529769e-15
PPP1R2	30.240934194055473	-1.006010013344648	0.12467965049088961	-8.068758689840548	7.101646678353762e-16	3.552608462311425e-13
SAT1	82.72378671760937	0.7617773636430728	0.0945968039889762	8.052886900194284	8.086362205564701e-16	3.552608462311425e-13
STK17A	67.18304077364361	-0.6342625662803768	0.08068663771962999	-7.860812945066729	3.816483550506759e-15	1.0931649004048223e-12
CLEC2D	32.05962580811914	-1.1430573484381943	0.14560494538451715	-7.850401958666858	4.147059561475046e-15	1.0931649004048223e-12
TUT4	26.749751431536804	-0.6229510972115894	0.08103862792201276	-7.687088406914838	1.5052113022035776e-14	3.078172820406176e-12
SP100	52.40793758901661	-0.5892756675847197	0.07676350823961242	-7.676507771704924	1.6348414068925064e-14	3.078172820406176e-12
KMT2A	26.8765622850634	-0.6036979433188516	0.07928432293606448	-7.614341914802988	2.6503834521274065e-14	4.366506737379902e-12
TUBA1A	37.346437232128054	1.5935442313818067	0.2157782745821838	7.385100443811692	1.5233834111416385e-13	2.2309103732051996e-11
PDCD4	42.63976185841898	-0.7708878029236221	0.10499614189418002	-7.342058374873989	2.103336135465509e-13	2.772197026543541e-11
RNASEK	89.12125083855909	-0.35903698605861156	0.049974409740297855	-7.184416742977456	6.74946963736462e-13	7.966678471880549e-11
PRMT2	41.788686579895256	0.5255065288202428	0.07324570706780198	7.1745710411914345	7.25342501233434e-13	7.966678471880549e-11
TPM3	123.65987138840588	0.48232762680181396	0.06832891765416378	7.058909219710467	1.6781465412228105e-12	1.7013824164089724e-10
NCOR1	28.641680584904474	-0.5805284649209356	0.08310269448703675	-6.985675596974688	2.834884396951738e-12	2.668841167987422e-10
LINC00623	21.193613058680334	-0.7272749304536644	0.10570751379958845	-6.880068448421837	5.9823808730650205e-12	5.256518660466464e-10
GZMM	70.99757232981663	0.7516916672976262	0.11097375319087896	6.77359867251393	1.2561783046558728e-11	9.749314831378468e-10
BPTF	35.3594552240109	-0.4713706985913148	0.06982630997391032	-6.75061733560654	1.4721740710432646e-11	1.077958569797235e-9
ANKRD12	69.26453387635794	-0.4842857590716572	0.0722704652919771	-6.701018972482232	2.069711643253003e-11	1.4357262872670831e-9
TRIM22	22.83261105523725	-0.6875664221056151	0.10289440425130139	-6.682252811594649	2.3529664304752846e-11	1.5506048776832127e-9
SCAF11	47.964543563417735	-0.541826786658217	0.08245055496444366	-6.571535957421715	4.979885668556169e-11	2.983404232344105e-9
KTN1	43.447313066849865	-0.4841921148721192	0.07361831136984053	-6.577060867909012	4.798383862237684e-11	2.983404232344105e-9
HSP90AB1	129.87590119682727	0.5977558592028607	0.09205315814048118	6.493594258772012	8.381228575858302e-11	4.802808375209235e-9
RESF1	38.58906822416247	-0.573999593361301	0.08883330662784611	-6.461535826488895	1.0364560968580433e-10	5.691871398578754e-9
ARHGDIB	114.3453417455096	0.30481897999917484	0.04746031200286416	6.422608009420155	1.3395913473485e-10	7.062325583221292e-9
LBH	38.63912706582002	-0.5776771075858431	0.09089105782692301	-6.355708926678685	2.074675529439844e-10	1.0517009030006594e-8
PARP14	23.251210841524394	-0.7942139987069884	0.12680909002694202	-6.263068353682285	3.7747505338079356e-10	1.7155590357099515e-8
TUBA1B	31.457083721190923	0.7297591673723062	0.11651449328845494	6.263248002681017	3.770402454942733e-10	1.7155590357099515e-8
TMX4	20.10085362256133	0.5353753634735383	0.08543198403366242	6.266685358291416	3.688143100747538e-10	1.7155590357099515e-8
SERPINB1	28.604295956934973	0.5924937928668677	0.0948599276188038	6.24598613703158	4.211345286161909e-10	1.8501843623871316e-8
DBI	64.23661608714441	0.41941530672650384	0.06732333858021818	6.229864940918749	4.668374584655736e-10	1.9848121621213744e-8
HNRNPDL	109.12852871116976	0.291775285152701	0.04697780361292371	6.210917980687222	5.2675964113524e-10	2.16959127192577e-8
CALM1	301.5695463434286	0.7259540410003882	0.11746862096387424	6.179982662975543	6.410864148068341e-10	2.5604602870163857e-8
OCIAD2	19.022566693497893	-0.6321315436540058	0.10385822830417886	-6.086484951414978	1.154165003482831e-9	4.47408668997168e-8
ITGB2	47.186578245344506	0.9449525410269191	0.1559211197002358	6.06045250857373	1.3573912637245718e-9	5.111547673111388e-8
GZMB	227.13621331922045	0.8005162316883704	0.13286296782617063	6.025126826428523	1.6897706664643872e-9	6.186438162222395e-8
GIMAP7	59.643224885694984	-0.9508255732527454	0.15885476842166737	-5.985502246485006	2.1572314476861434e-9	7.684408237973884e-8
CFL1	163.75155282672824	0.554553220716919	0.09325601161983652	5.946568066599149	2.7382270089900084e-9	9.497324204865344e-8
UBB	268.43860450719774	0.4223821994590215	0.07130667091151975	5.9234598118194395	3.1523779513237227e-9	1.0653420871396581e-7
LYST	24.505103577270646	-0.5095769118872192	0.08667972316332616	-5.878847939177765	4.131316602151099e-9	1.3612688204087872e-7
C1orf21	46.867490331609915	-0.534508092424039	0.09115592547668631	-5.863668100882182	4.5275203433146305e-9	1.4554321493874838e-7
EIF4A1	82.10932934227208	0.3644937495198558	0.06233400678685582	5.847430131777049	4.992254113404515e-9	1.5301839352249187e-7
RBM3	80.59542985602178	0.43049844930542136	0.07359565192872505	5.849509285172782	4.930253623344682e-9	1.5301839352249187e-7
RAB27A	20.827370535944464	-0.652713855041957	0.1117820316049475	-5.839166149249587	5.2462730540798935e-9	1.5714972466539317e-7
STK4	79.26221432303439	-0.33629516330801823	0.05766013833531697	-5.832368305332987	5.464613179756486e-9	1.6005244824264552e-7
HNRNPAB	30.835401262999554	-0.5474576862203333	0.09438663053092475	-5.800161348496965	6.625114190329509e-9	1.8982392397509332e-7
RAP1A	26.75572402476807	-0.5013241350329968	0.08653214159642056	-5.793501995722411	6.8933665851082016e-9	1.9330759913133212e-7
YWHAZ	146.68656040466044	0.5176607645964229	0.08955141304054542	5.7805985078319875	7.443533776782983e-9	2.0438703162083274e-7
NKG7	828.6880661989185	0.3689246093846674	0.06416840347851493	5.749318814020235	8.960371723575524e-9	2.410157128912763e-7
HSPA5	88.19804895318808	0.3908856138901825	0.06868144155683364	5.691284356149194	1.2608732422456913e-8	3.323661866559642e-7
DOCK8	16.687626491365506	-0.6088573588598029	0.10707831073117775	-5.686094174462197	1.2997773762040876e-8	3.359032513405858e-7
DRAP1	41.99588052384121	-0.4716077968610104	0.08330830965393457	-5.660993468959874	1.5049915551174833e-8	3.814574749317006e-7
YPEL3	36.25539651022635	-0.42186439838653916	0.07495755469134442	-5.628043765884123	1.8226484956632753e-8	4.53254852317773e-7
CDK2AP2	18.57199795311841	-0.6001094880189173	0.10801326401798948	-5.5558869873515695	2.76205541912991e-8	6.741461189654113e-7
CST7	204.5286996020698	0.5438805612851128	0.09809641251531834	5.544347110554961	2.9505301064852735e-8	7.070543055177437e-7
IFI16	55.58917376379375	-0.6349693953680793	0.11498994484086007	-5.52195582184897	3.3524679251215484e-8	7.877014280925097e-7
RSBN1L	20.27008647051536	-0.5884674727140757	0.10662301019871265	-5.51914142751506	3.406599499337865e-8	7.877014280925097e-7
ID2	57.533022986408845	0.9629100945452008	0.17556139282379427	5.484748548968536	4.1405794868585834e-8	9.327449990711554e-7
DEK	56.180630402632545	-0.3882080167605727	0.07079866718448256	-5.483267301473423	4.1754138805157943e-8	9.327449990711554e-7
TRBC2	58.105341195194136	-0.47817410625804724	0.08740680336217733	-5.470673767540648	4.4832788839901446e-8	9.848269281831683e-7
ZBTB38	24.163713156487848	-0.8607660367229821	0.15875675846989865	-5.421917435320961	5.896311677107592e-8	1.2739899656439027e-6
ISG15	22.05002471432142	-0.7093801408433066	0.13188088431658407	-5.378945891357674	7.492322061147627e-8	1.5903136905736225e-6
TSPO	24.247472757827985	0.7130945009492958	0.13263575543074713	5.376336860550567	7.601651176490001e-8	1.5903136905736225e-6
ACTB	263.7943001900512	0.9356047296918503	0.17448439828915202	5.3621111048644305	8.225491876478974e-8	1.6939372333123888e-6
CNPY2	17.36156296815389	-0.45143291083857623	0.08451482103460267	-5.341464435613575	9.219870598158938e-8	1.8695060689805353e-6
CALR	59.575266389811475	0.3532445108562949	0.06632710925089294	5.325793854818711	1.0051307495245206e-7	2.007215648292906e-6
