gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PRMT2	44.45053675318936	0.6350869656267071	0.07295644584657725	8.705015139611577	3.175323677456635e-18	4.220005167339868e-15
NCOR1	28.230158912851838	-0.5654940045519405	0.07498228100339978	-7.541701812542891	4.6387749037593e-14	3.082465923548055e-11
HLA-C	523.3906034662289	0.31170122799472433	0.04435596532889945	7.027267373925017	2.106175388948136e-12	9.330356973040242e-10
GZMM	74.5558290813489	0.8124125607285375	0.11725710036076921	6.9284722053415795	4.25409728623769e-12	1.4134238233524726e-9
ARHGDIB	116.49129756780839	0.33125887289034434	0.048813731955685336	6.786182076614665	1.1513982549106008e-11	3.060416561552377e-9
ZBTB38	23.308763226447404	-0.891678484458459	0.13920971227924614	-6.405289328303521	1.5008449240591802e-10	3.324371506791084e-8
TTC3	18.215281572406877	-0.5105600717971398	0.08511399882631052	-5.9985440566483526	1.9909450686618606e-9	3.77995142321659e-7
IFITM1	28.48041193623309	0.665965612819388	0.11332242679589682	5.876732714335953	4.184430163639316e-9	6.951384609345814e-7
H3F3A	226.7998114264731	0.2505751134595276	0.04312472134640315	5.810474958128095	6.22958510202614e-9	7.627338600256242e-7
KMT2A	28.142027082290895	-0.4099614400692872	0.07058265802075493	-5.808245985136143	6.313071828654526e-9	7.627338600256242e-7
SAP18	57.48538292883211	0.2761339011279905	0.047440579886095686	5.820626598388658	5.862741619735563e-9	7.627338600256242e-7
ANKRD12	71.12550420908718	-0.35760130715698707	0.06216717179366236	-5.752253107860422	8.806182090189462e-9	9.75284666488483e-7
LINC00623	21.532154256496025	-0.5759673485380561	0.10170573719100248	-5.663076286998387	1.4868301757151806e-8	1.4114266453753393e-6
LUC7L3	21.182232670438744	-0.5201654530832587	0.0917569592097495	-5.668948247229942	1.4367675322996588e-8	1.4114266453753393e-6
DEK	56.318800053121436	-0.3411663718400736	0.060631703553186055	-5.626864360504119	1.8351491619812036e-8	1.6259421575153462e-6
CHCHD2	100.56120370907347	0.26052653238716666	0.046439788538490116	5.6099853290942026	2.023437679170028e-8	1.6807179222606046e-6
PHF3	26.117729506142123	-0.4099357372241675	0.07360432263822016	-5.569451936119064	2.5554186832164288e-8	1.997736135290961e-6
SP100	54.017489269273824	-0.41856510372292466	0.07536015800382308	-5.554196206723592	2.788920832413927e-8	2.0591532145989493e-6
COX6C	83.04145148707005	0.2424369058991259	0.044290569866341514	5.4737815889644965	4.405319721434398e-8	3.081405215677008e-6
HLA-E	255.4389586733795	0.23028371345701262	0.0422082963953856	5.455887423169922	4.872885991722678e-8	3.165266032046557e-6
CALR	60.5016324967231	0.36415973506392874	0.06680291253832907	5.45125536038548	5.0015490348365466e-8	3.165266032046557e-6
ICAM3	23.37029993838097	0.4608268970281951	0.08512402693912267	5.41359371259257	6.177224141540049e-8	3.7316049473212383e-6
GTF2I	22.539390795200063	-0.44126439502634524	0.08232513231963925	-5.360020477259269	8.321251922871817e-8	4.808236437172454e-6
PPIA	122.40304643435964	0.2574296601124235	0.04852717488168113	5.304855696629529	1.1276216284972678e-7	6.24420476780362e-6
CCND2	23.565774213047057	0.521106561486429	0.09860595285990723	5.284737344679205	1.2588524160633386e-7	6.6096053486581214e-6
CKLF	30.865454583889203	-0.4076545440628284	0.07720986373077761	-5.279824679969329	1.293075538488421e-7	6.6096053486581214e-6
SAT1	73.90611613683146	0.47790159465585935	0.09088778574059471	5.258149824662373	1.455119491822224e-7	7.1624214986360575e-6
PPP1R2	32.855432266805906	-0.609175050172954	0.11641438768185469	-5.232815825460937	1.669470639352537e-7	7.924023141784005e-6
CCNI	58.636627492275366	-0.2767020030970738	0.053220045290753595	-5.199206456615846	2.001411269620022e-7	8.312111179140654e-6
PAXX	40.796605948399964	0.41550411084726946	0.07978808663543963	5.2075958751304885	1.913029994252759e-7	8.312111179140654e-6
DDX17	32.35351057225735	-0.40166037262152593	0.07706106807389275	-5.212234694649957	1.8657929216616345e-7	8.312111179140654e-6
RBM3	79.63404479119494	0.3777551027693425	0.07262391885905774	5.201524631333337	1.9766026948388987e-7	8.312111179140654e-6
ARAP2	28.206543868939317	-0.39832511974763274	0.07768180957164705	-5.12764985707821	2.9338143218092624e-7	1.1533618007096523e-5
UBA52	327.3560880554785	0.17442630469205436	0.03402396882677481	5.126571376199692	2.9506622441029484e-7	1.1533618007096523e-5
SCAF11	50.679088512567894	-0.3174651887806066	0.06218680703957118	-5.1050247454993904	3.307512310941746e-7	1.2559096746404514e-5
RESF1	39.02496409094094	-0.46638486228256093	0.09174173336605512	-5.083671794401974	3.7020742329321046e-7	1.3666824043241018e-5
DBI	63.19591620847236	0.3607343306746117	0.07158932945380252	5.038939928993162	4.681173682465022e-7	1.6814269794583825e-5
PTPN22	27.837289405959236	-0.4495317421520265	0.09085720477607512	-4.94767303550592	7.510592926140272e-7	2.560247219022502e-5
ATP5PO	29.69674555828389	0.3357365883941578	0.06785837857205565	4.947606993551354	7.513140823316596e-7	2.560247219022502e-5
HSPA5	87.26444526240452	0.34246911850800066	0.06930914359172813	4.9411823716268435	7.765023401337187e-7	2.5799290250942802e-5
LYST	24.382493846820225	-0.47364541275146965	0.09600768700508332	-4.933411349930673	8.080572603874286e-7	2.5922596385808475e-5
PPIB	89.05424400731009	0.25383935884205683	0.051481079050306584	4.930731125390914	8.192242650142634e-7	2.5922596385808475e-5
STAT4	27.27977376242598	0.5197452077776773	0.10589721459894733	4.908015850521188	9.200242064543866e-7	2.843516675297395e-5
STK17A	70.56380358401172	-0.41420810609922154	0.08487318269666551	-4.880317821703356	1.059150139526358e-6	3.199114853251204e-5
RNF19A	47.807765339756614	-0.4068492190914746	0.08363677217188857	-4.864477771276568	1.1475940308429415e-6	3.389227704422821e-5
EIF5A	42.540161190753516	0.40359120739166005	0.08310918708746519	4.85615635930737	1.1968620630563405e-6	3.457890612612775e-5
CAPZB	29.908660932676042	0.4048086642730578	0.08359497846251872	4.842499773530785	1.2821578190641788e-6	3.6255058330559435e-5
ANXA2	24.895771554542623	0.5989869127890546	0.12403006466543795	4.829368705118215	1.3696658965571666e-6	3.792262451092655e-5
ITGB1	57.37372102896375	-0.42027033689818943	0.08774397693119389	-4.7897343110827135	1.6700228753504207e-6	4.438920802681418e-5
BPTF	35.72233174771966	-0.39001875137406716	0.08141418065866643	-4.790550592276337	1.663242780595188e-6	4.438920802681418e-5
YY1	34.58036887929874	-0.3416155009179047	0.0722772158409872	-4.726461817088702	2.284657280827869e-6	5.839056781192765e-5
WIPF1	40.81215857942908	-0.3127739671877374	0.06673985550693674	-4.686464554230697	2.779649338319491e-6	6.962103196763212e-5
CANX	27.79497650391504	-0.34596511320743734	0.07387884767633683	-4.682870998788587	2.828845542702885e-6	6.962103196763212e-5
C1orf21	47.807027451351296	-0.41756869013159864	0.09092140813267369	-4.592633338039343	4.376876791173445e-6	1.057612591903547e-4
BTN3A2	22.608338917356107	-0.5278349095076166	0.11579352513502261	-4.558414720444235	5.154118489160252e-6	1.223182762873924e-4
EPB41	25.999811448166994	-0.33280259423205305	0.07352615574019439	-4.526315715566788	6.00208914431007e-6	1.39943446891019e-4
YPEL3	36.732317392220516	-0.3220490277972832	0.07132813916680063	-4.515034761304688	6.3306380816758615e-6	1.450589312163314e-4
NIPBL	21.521327535031897	-0.4046132593243643	0.08984085166182103	-4.503666782316465	6.679090490533637e-6	1.5044934342235938e-4
OSTF1	39.073218310288546	-0.2776969445152429	0.06181870881577371	-4.492118160261308	7.051827781205055e-6	1.5619798535369196e-4
FRG1	27.287054310945592	-0.3340933895930319	0.07453741167804599	-4.482224188788604	7.386908114744788e-6	1.6093771941796432e-4
B2M	2454.5717122040114	0.26044493341567343	0.05906469903657719	4.409485490722417	1.036165000439038e-5	2.2210698154572278e-4
HNRNPF	26.15579557487966	-0.3478794863618737	0.07896988739083954	-4.405216948583714	1.0567806002754275e-5	2.2293038377238782e-4
HP1BP3	42.958296601825246	-0.2503533732796108	0.05707672693150226	-4.386260157840861	1.1531618757650874e-5	2.2700765798281116e-4
UBB	260.8606937423876	0.33570180806540895	0.07656227820116605	4.384689379061557	1.161513976134775e-5	2.2700765798281116e-4
CIRBP	84.51786328317442	0.2813537029713696	0.06409657312689045	4.389528008219417	1.1359694764735542e-5	2.2700765798281116e-4
ATP5F1E	221.5185083047601	0.2243287716741778	0.05114866521639692	4.385818686081057	1.1555034469011696e-5	2.2700765798281116e-4
ITGB2	47.1944907238294	0.8866896028357009	0.20193090538530098	4.391054460652386	1.1280228007215922e-5	2.2700765798281116e-4
SMDT1	22.612324950989652	0.3722242118936842	0.08500245313908748	4.378981995785729	1.1923498105073265e-5	2.2965694176293287e-4
GOLGA4	34.84883061879224	-0.3453277121407376	0.07961635986390386	-4.3373963935432425	1.4418046054631047e-5	2.7373690295149516e-4
BOD1L1	36.9820512095741	-0.27076336881395346	0.06250346019042935	-4.331974069739794	1.4777834943413976e-5	2.7661609351827004e-4
HSP90B1	78.94947123707794	0.22968417244005926	0.05349068758004317	4.293909516424913	1.7555404482604857e-5	3.2404350774141466e-4
UBXN4	33.19619020010485	-0.37449494323273896	0.08758213100318349	-4.275928650550037	1.903421814994121e-5	3.4652706741468317e-4
TPR	35.621825308019744	-0.35307238640419014	0.08277309576227734	-4.26554526144832	1.9941458038473162e-5	3.581378072044707e-4
SMCHD1	23.424638540737607	-0.3743494176364541	0.0882846131017056	-4.240256648179408	2.2326436615461118e-5	3.95624456825971e-4
STK4	81.24180398872528	-0.23056847545668213	0.05444077173644011	-4.235216880703224	2.2833122196438667e-5	3.9927920261930246e-4
CALM2	76.6311788238312	0.23899162711132843	0.056602590849404416	4.222273636681829	2.418502419617673e-5	4.124591889423463e-4
UPF2	18.945282257133854	-0.3513725352798088	0.0832229300752274	-4.222063978787984	2.4207537048534994e-5	4.124591889423463e-4
EVI2A	21.073467491529616	-0.438467365859537	0.10530291355943748	-4.163867371172472	3.129019174621075e-5	5.263881624141023e-4
BCL11B	23.533507381096218	-0.4825869687949186	0.11632668876458716	-4.1485490038450274	3.345892311133688e-5	5.558363601870839e-4
KLF13	29.463515039789502	-0.31064776890473383	0.07495497392924037	-4.144458367739467	3.4061782855288236e-5	5.588655483293589e-4
PIM1	23.326400879991695	-0.4595066261659739	0.11165007708051188	-4.1155961391286775	3.8617998561522586e-5	6.258941474178478e-4
RNASEK	91.48579921570648	-0.2479256319006631	0.06029041682781292	-4.112189713478496	3.919240254056812e-5	6.275506382700606e-4
NAP1L4	19.960410981043506	-0.3538800987998346	0.08626764570344063	-4.102118423590187	4.093846374379499e-5	6.477049799464708e-4
TSPO	22.224231192784806	0.4935768173607301	0.1204237277201366	4.098667486093746	4.155354955722443e-5	6.497019689594266e-4
CCDC186	23.821355628642905	-0.3183741099692632	0.07803241931660349	-4.080023569146479	4.503113470033424e-5	6.856651627755772e-4
SERF2	177.06793182252926	0.332388850820363	0.08142871584700748	4.081961103806089	4.465727193229754e-5	6.856651627755772e-4
EIF4A1	80.19585446734854	0.2882079077228145	0.070671768375492	4.07811937280971	4.5401455473476895e-5	6.856651627755772e-4
PDCD4	46.515804427612935	-0.41641628167034983	0.1025506088487365	-4.060592973022416	4.894824038686228e-5	7.309237244285389e-4
PRKAR1A	20.064903921068435	-0.32839529149712965	0.08094543538897579	-4.0569958011721905	4.9707975281230745e-5	7.340211016528407e-4
CDKN1B	17.40631200930292	-0.370667041728514	0.09187376864021134	-4.0345252754362395	5.471280073243764e-5	7.965700952523905e-4
UBC	326.15401973855074	0.2767817998394597	0.06863457411865354	4.032687656238196	5.5142549859458185e-5	7.965700952523905e-4
