gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NDUFS5	47.01204545322982	0.8115562383234575	0.07255959916819267	11.18468469543603	4.846249336217398e-29	7.603765208525098e-26
SEC61G	72.61485545889533	-0.8156468856441242	0.07480190236330098	-10.904092808798588	1.1018685180934652e-27	8.129122567132884e-25
YBX3	77.15535361329202	0.79215031299377	0.07285643826451955	10.872756503930557	1.554325538648735e-27	8.129122567132884e-25
SMDT1	32.904540146821276	0.6155125102842414	0.05875931914156839	10.475147079245279	1.1236280447180263e-25	4.4074310054064584e-23
KDELR2	29.2648885890791	-1.2348355754568727	0.12002667062474902	-10.288009898378824	7.980878319152485e-25	2.5043996165500497e-22
SEC22B	37.6408823465713	-0.9214694800706997	0.09041219751064934	-10.1918712899569	2.1557411370762897e-24	5.637263073454498e-22
RBM47	34.550456276836144	-0.9322185988204976	0.09553596189021954	-9.757776866178528	1.7085947263775462e-22	3.829693036694814e-20
IFITM2	60.629349212351634	1.396421819997677	0.146355398519964	9.541307215990358	1.4104309272339633e-21	2.76620765603761e-19
LRRFIP1	158.65412149333773	0.690278315311095	0.07319727366377946	9.430382864828866	4.085947828889443e-21	7.12316904836393e-19
CANX	76.29246153322323	-0.634280098328621	0.06747003607977882	-9.400915357131677	5.409042836477696e-21	8.486788210433505e-19
ZFYVE16	64.18747653610339	-1.3161503329438589	0.14198824066940147	-9.269431938440025	1.871399261000792e-20	2.6692958550093113e-18
ARF4	35.35651176373761	-0.9924404697485674	0.10723698348987566	-9.25464739356702	2.1493865958728312e-20	2.7003993354061853e-18
ANPEP	43.73919905286144	-1.4326535751389007	0.15487547703799545	-9.250357787678867	2.237424560884666e-20	2.7003993354061853e-18
SDCBP	160.6302424002725	-0.8960929038862747	0.09697131785154682	-9.240803608115355	2.4465280495714914e-20	2.7418589355554786e-18
UBC	381.3163862799129	0.2912972583109976	0.031615138868366255	9.213853512516636	3.1462242249483464e-20	3.29095053929597e-18
H1FX	50.31816303314349	0.8861858010205393	0.09687394238591084	9.147824267234782	5.809170005260899e-20	5.696617336408969e-18
NFE2L2	51.27968706412467	-0.6884881840786197	0.07564689912951218	-9.10134046472791	8.922371139333537e-20	8.234823716243718e-18
ATP6V1G1	81.11575163964636	-0.4686618312455876	0.05233173284331042	-8.95559550165931	3.3790673541179917e-19	2.945420377006183e-17
SEC31A	26.662398638398564	-0.6375437474022099	0.07132226998978707	-8.938915537790685	3.930080808472893e-19	3.0831483942469844e-17
ARHGDIB	87.94342223801735	1.1685772960859024	0.13064917519796068	8.944390918008205	3.740065520389061e-19	3.0831483942469844e-17
CARD16	114.34886021299802	-0.6927414308053216	0.0780615167894285	-8.874301439389097	7.037371825552858e-19	5.2579220925202066e-17
AKAP13	61.82879883099411	0.6421866551737959	0.07382009478668812	8.699347474823353	3.3379797137974907e-18	2.3805864413401193e-16
SLC38A2	61.75153620678601	-0.6789848900377251	0.07820576778158603	-8.682030869308795	3.887638704920891e-18	2.6520457078351644e-16
HMGN2	52.07513494694861	0.7712475196277578	0.08902238637579542	8.663523311676295	4.5740295760749854e-18	2.990271835359022e-16
SEC62	69.49134128557431	-0.8488628834434092	0.09955460770962224	-8.526605678758193	1.5070449862674665e-17	9.45821433381462e-16
TMX4	20.390992354051097	0.8785894152775864	0.10328623816124648	8.506355066451027	1.794867265859527e-17	1.0831333615898453e-15
MBNL1	107.5883654115034	0.6330055700843285	0.0753223039416742	8.40395921206149	4.316726769766753e-17	2.5084978895422355e-15
CAMTA1	21.891990118103607	-0.5396953886222506	0.0643783116766457	-8.383186426711374	5.1513788776792157e-17	2.8866119496709604e-15
LACTB	44.4008128955932	-0.745722759437648	0.08974270271465633	-8.309564308629412	9.605409019305823e-17	5.1968575004451166e-15
PRDX5	30.892176618982322	0.86088405907294	0.10381709135450916	8.292315338841831	1.1106501342230344e-16	5.80870020198647e-15
ITGB2	77.2643829207468	1.0718271976689355	0.13058754942050999	8.207728856427986	2.254115358740856e-16	1.1408732251175494e-14
SQSTM1	130.158101633344	-1.0886654851836035	0.13280361859744003	-8.197558896972623	2.4531762382677174e-16	1.2028229743256402e-14
NBPF19	48.72714375447161	-1.4763718396021293	0.18034956781862932	-8.18616788195944	2.696754794358961e-16	1.282184324954306e-14
CD37	93.84958919434492	0.5436424332748281	0.06733650805490832	8.073516862970157	6.83017388141429e-16	3.1519243588055944e-14
TPM3	195.44234204538543	0.37040239053593965	0.04604801769996869	8.043829225165354	8.707384419100934e-16	3.9033960438769616e-14
PKM	92.44250015987582	-0.5849155315000528	0.07290476574359159	-8.023008174214832	1.0318648096553292e-15	4.497210795414477e-14
DDX5	289.78753410515185	0.35709811677046277	0.04458373559371624	8.009605117539616	1.150773415362812e-15	4.879901320822303e-14
FTH1	6974.659339146838	-0.8620443706293451	0.10796779163265126	-7.984273435566395	1.413523814117436e-15	5.836365432500677e-14
RHOQ	51.139308215651376	-0.7537394712294088	0.09450164968526588	-7.975939824751305	1.5122561329602344e-15	6.083922750293866e-14
PPIF	68.07598193588308	-0.6957520780519556	0.08728798604104375	-7.970765618590461	1.5769433727179123e-15	6.185560379486011e-14
ADGRE5	35.83343961695438	0.8537001486249312	0.10731846000400741	7.954830404695081	1.7937705278686657e-15	6.864453556648625e-14
SEC61B	129.5564465034369	-0.7321217560132494	0.0921139362501245	-7.948002070232449	1.895434870074002e-15	7.08080312177645e-14
UBE2D1	39.65291946951906	0.7615600824674568	0.09585516956131197	7.944903607732279	1.9434184832991573e-15	7.091217675107855e-14
RAD23A	22.205400080997237	-0.6057636081508178	0.0762836275093118	-7.940938677527801	2.0065686712842e-15	7.155241466465704e-14
SRSF3	66.48823649724277	0.49198499091822717	0.062237782200831246	7.90492484662566	2.6809529527386913e-15	9.347589295215571e-14
ELOC	32.489014887616456	-0.5080390713966594	0.06429232704088814	-7.902017157872675	2.7442563043491184e-15	9.360300307660363e-14
YPEL5	71.21939739230892	0.7553122162272082	0.09583612744140425	7.8812889918681055	3.2402092861999888e-15	1.0816783766059112e-13
RNF13	32.93324255566399	-0.7236776200988019	0.09194512604075392	-7.870755648081202	3.5250554347123598e-15	1.1522524952216026e-13
AHNAK	156.0320788489392	0.392127267632976	0.04992966321407371	7.853593282849278	4.0428385872049004e-15	1.294533417004998e-13
TMBIM6	122.64818182963032	-0.5291442936338185	0.06743941852524236	-7.846216726138608	4.287757000868056e-15	1.345498146872396e-13
CALM2	121.97016659679514	0.7741708090483747	0.09874503704612358	7.840098421217475	4.501934295072207e-15	1.3850068448957437e-13
ADSS	36.95145214016109	-1.0498215391386465	0.13441740645420028	-7.810160654277686	5.7115136567335066e-15	1.7233394091182446e-13
SRSF7	36.290156619658056	0.766519422816452	0.09844330695383581	7.786404647864025	6.894290643690391e-15	2.0409701924434384e-13
PSME1	94.84605497264805	0.5691013352586106	0.07317106794046108	7.777682508634225	7.386516286563824e-15	2.1461933432627113e-13
PRELID1	73.16381290477169	0.804410777976385	0.10346068263583905	7.775038376730516	7.542453634117632e-15	2.15165631853283e-13
LYST	39.99162100166831	0.6791623145887543	0.0875772360059852	7.7550096984373775	8.833672529042249e-15	2.475005749654873e-13
TRAM1	54.6075842769131	-0.6055904381118389	0.07815724970360892	-7.748359114584807	9.308757186704185e-15	2.5623578992875204e-13
SLC3A2	53.56050063875767	-0.8711406114059883	0.11358647927773786	-7.669404113458825	1.727972218402319e-14	4.674462777022825e-13
ANXA5	339.22407917527994	-1.1949183132476813	0.15639779940716023	-7.640250168334372	2.1680008304288643e-14	5.765412377869302e-13
DYNC1I2	22.423309524474824	-0.6195531954732982	0.08120432994848871	-7.629558619180857	2.3555880459340755e-14	6.159862740117608e-13
RAB2A	45.965277057329125	-0.4179319596587689	0.0551491532080876	-7.578211728507181	3.5035032179085095e-14	9.011469752292544e-13
