gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SNHG6	129.73102859653213	1.0225158534315497	0.05296277345888461	19.306312465402446	4.7532263885291595e-83	8.432223613250729e-80
GAS5	99.33225601788344	1.1604388988832832	0.06042856536071997	19.203482524468413	3.4609064934460716e-82	3.0698240596866654e-79
SLC25A37	50.22658002546157	-1.8532538495776645	0.1008913619529287	-18.368805948345788	2.3349224042367993e-75	1.3807174483720273e-72
EEF1G	219.16059247350094	0.6461585067854523	0.0360608060155555	17.91858192262036	8.445361605214481e-72	3.745517871912622e-69
SLC25A6	244.85417497846797	0.7067665652821642	0.04068626725470526	17.37113313584766	1.3650348192820197e-67	4.843143538812606e-65
RACK1	604.7471202740439	0.7502032509092966	0.04344581835924881	17.267559439344577	8.256078166911732e-67	2.4410471113502357e-64
EIF3H	111.44928522330193	0.7164472582995416	0.04223723071493164	16.962458148238973	1.5569253981481748e-64	3.945693794735517e-62
SMDT1	43.160838951324834	0.936486360255317	0.0571784219963476	16.378317686261735	2.7319536819363873e-60	6.058107289693939e-58
CFD	181.9046236303479	1.4175505204597347	0.08981708178512732	15.78263836105244	4.096985540738874e-56	8.075613721411959e-54
FXYD5	132.77980308950217	0.619773183764742	0.039902321086576445	15.532258948546232	2.0985520442565964e-54	3.722831326511202e-52
SNHG29	183.5301674451689	0.9900545906127337	0.06402534607340483	15.463478939694284	6.120189105424573e-54	9.87019588456654e-52
SNHG32	26.535216860238855	1.116572530004115	0.07404753583881095	15.07913149783547	2.2217222297720422e-51	3.2844460296796692e-49
EEF2	181.90979334497325	0.4696781106761965	0.031662625543884784	14.833833347939416	8.852967629406025e-50	1.208089582658945e-47
PRKAG2	41.91075850193987	-1.1846443880179294	0.0843162188212511	-14.050017951224245	7.701451150962629e-45	9.75883881557693e-43
EEF1A1	2497.7012914621687	0.4592907398419911	0.03277112575885012	14.01510412616679	1.260133247866058e-44	1.4903175878095914e-42
BTF3	290.4657305712192	0.672935325657317	0.048218954253472814	13.955825796633716	2.8992403909917867e-44	3.214532783512143e-42
TPT1	2704.0020461732483	0.4296483191251172	0.031218608311473866	13.762571183136544	4.280288972574242e-43	4.466607433733356e-41
UBA52	849.3883696330205	0.5115541475581431	0.037609147373418014	13.601854423312648	3.9040739099208966e-42	3.847681731222039e-40
EEF1B2	322.39850830726493	0.7300346884265895	0.054196690414204496	13.470097211604891	2.3455699027783327e-41	2.1900215829098747e-39
RBM3	193.48575996476464	0.5841488394821299	0.04413217945255769	13.23634696333302	5.411773209375836e-40	4.800242836716366e-38
EEF1D	243.2036364104422	0.4217949503229899	0.03203090505092822	13.168374407540094	1.3343989772900987e-39	1.1272494217679215e-37
NACA	805.6028343042817	0.5686238413312557	0.043288619612553196	13.135642725977831	2.0573712741971583e-39	1.6589893820117085e-37
EIF3E	131.9588038186905	0.8112098306045566	0.06179295409123957	13.127869391173231	2.2798095271535318e-39	1.7584270005088548e-37
EIF3F	84.25558414587697	0.7023334261323547	0.054110836859666285	12.979533618262472	1.598509611379362e-38	1.1815650210779119e-36
NPM1	138.99664183890124	0.7416312686637994	0.057249753261424514	12.954313798999694	2.221133463049833e-38	1.5761163053801613e-36
IRAK3	40.90174449082515	-1.0498974661795692	0.0819391309448259	-12.813138900466527	1.3841978468905038e-37	9.44448838609136e-36
NOP53	70.42475469508355	0.5433999058596163	0.04387632592793376	12.384808763435272	3.158368561116166e-35	2.0751651212666957e-33
LDHB	35.932822133560954	1.0633888602730983	0.0859767762605154	12.368326733383892	3.8781624438887197e-35	2.4570929198066388e-33
YBX3	93.99578457073228	0.941382438008633	0.07716150215841866	12.200156965268775	3.102253630578675e-34	1.8977234278091616e-32
PFDN5	503.7659729092328	0.5879367167126432	0.04865130589749239	12.084705762090282	1.2722479549074985e-33	7.523226240019674e-32
TOMM20	71.95309577159398	0.5257109070049666	0.043978335316745845	11.953860991295619	6.197750146653107e-33	3.546712503278262e-31
TKT	205.0346797068911	0.9343371234361684	0.07828255569595147	11.935444814360977	7.734432307290187e-33	4.287775910353998e-31
NME2	152.9931468857188	0.680060295702029	0.05699168950519274	11.932622135023141	8.001278578899457e-33	4.301293393626557e-31
PPIA	176.11370484409278	0.5426958941924205	0.046126742280930146	11.765320231964083	5.890242134632786e-32	3.0733204549525185e-30
PPP1R12A	30.05958775951517	-0.89815957003099	0.07672906184683284	-11.705598223316	1.1931476361993515e-31	6.04755401890757e-30
RBM47	37.188417407424	-1.032773468450947	0.09044950116054806	-11.418232883537653	3.39057854319135e-30	1.6708017598948486e-28
EIF3L	59.3363549409402	0.4873679080762802	0.04303950134892463	11.3237350062481	1.0011366098979067e-29	4.8000441782672605e-28
UBC	445.59986753001186	0.39337997455972934	0.03483486053151056	11.292709904892249	1.4257200421989212e-29	6.655861460160227e-28
FAU	1019.5529083028645	0.3508000046852844	0.0315549451631654	11.117116599992668	1.0356515902830975e-28	4.7108869773390125e-27
SGK3	29.950741760469025	-1.2492655042943568	0.11359300961782892	-10.99773224159983	3.9186271136402675e-28	1.7379111248994588e-26
IVNS1ABP	24.61437469108558	-1.4522137372990869	0.13307940798960335	-10.912385013108407	1.0058230272440767e-27	4.3520245130024194e-26
ALKBH7	41.851327676765116	0.5165695782404952	0.047432211232369736	10.890691469344073	1.2766723012769215e-27	5.392420624917283e-26
UQCRB	224.51799970999247	0.5978003795389425	0.055234537339255506	10.82294535875622	2.6802296444208106e-27	1.1057505556284925e-25
TMOD3	26.500138696280455	-0.7791050066209516	0.07282523064889138	-10.698284093011821	1.0368034160967555e-26	4.180202863990101e-25
ACTR3	88.25109353740957	-0.644253117857218	0.06038569841456736	-10.668968559976102	1.421960298022802e-26	5.605683485983225e-25
SEC11A	105.43559635716345	0.5772861304904243	0.05418349371574587	10.654280314941438	1.665276873613989e-26	6.422176464763515e-25
EIF3K	162.79541527982732	0.5518482454965244	0.05215644990801758	10.580632816646007	3.664746108327726e-26	1.383246722590082e-24
ACTG1	334.7860548824513	0.54955932834217	0.0520262099323461	10.56312441472878	4.417100551092333e-26	1.6324867453412082e-24
