gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SNHG5	115.97973225050121	0.6331988890653589	0.033684869894981415	18.79772405354301	7.882697160669344e-79	1.0420925646404874e-75
DEK	62.42043048663255	-0.6221601961402716	0.048615262300440804	-12.797631169720756	1.6902897361692691e-37	1.080087774587585e-34
CALM1	312.3642417078121	0.5259852574592053	0.041193213437512845	12.768735759279554	2.4510312585194813e-37	1.080087774587585e-34
RBM3	88.05886857313568	0.4864829320496153	0.04021732077308193	12.09635357846179	1.1040734510208605e-33	3.6489627556239437e-31
H1FX	29.91579943405117	1.0691928310479117	0.09019800031912954	11.853841850872533	2.055464641664042e-32	5.434648512559727e-30
GIMAP1	31.573935241118818	-1.0797941820942067	0.0939955746476447	-11.487712970977233	1.5208503127304107e-30	3.3509401890493383e-28
H3F3B	345.92124100176505	0.619714870176198	0.05428101035284476	11.416789520825859	3.447346228762706e-30	6.51055959203471e-28
UBB	132.13541040155255	0.7120139645496124	0.06253812677935831	11.385278089023666	4.9510048640457344e-30	8.181535537835577e-28
IKZF3	29.03961511996887	-0.9723221451074695	0.08700355941382056	-11.175659382885152	5.365043329546354e-29	7.880652535178088e-27
CDC42	125.65108675539246	0.4849497353617522	0.043589661696197275	11.125338359853773	9.444683859548145e-29	1.2485872062322646e-26
ARHGDIB	129.28046982851328	0.41906999461471994	0.037864822082692894	11.067528422542539	1.8030496191479949e-28	2.1669378150124085e-26
LINC00623	25.13015212760928	-0.8539461280472224	0.07821540254839487	-10.917876789278852	9.468331975642261e-28	1.0188518662223412e-25
YWHAZ	128.28306823944078	0.5892454619322223	0.05399610320821939	10.912740492771823	1.0018966914440572e-27	1.0188518662223412e-25
UBC	293.25054866318123	0.600206121175061	0.05513023227444824	10.887059539076974	1.3286092346555838e-27	1.2545867201533443e-25
TUBA1B	25.669214507128405	0.866919568711111	0.08086800380568791	10.720180144351918	8.184377342973948e-27	6.762341779632225e-25
SMDT1	53.462139728823175	0.494085519499215	0.04608474439531418	10.721238144687481	8.091285194910897e-27	6.762341779632225e-25
SAT1	72.78462642221542	1.1293822980253698	0.10605568494112695	10.648955769342363	1.7633190562932384e-26	1.3712398778939184e-24
RSBN1L	20.9454373175844	-0.7582901667346293	0.0728303267656064	-10.411736434673344	2.1918664115008244e-25	1.609804108891161e-23
CLEC2D	75.13383738717205	-0.6472873039175723	0.06272791380516247	-10.318967500307668	5.784180554276288e-25	4.0245719435543436e-23
TPM3	108.00998212427086	0.4288927929993275	0.04160337500895598	10.309086532210415	6.410774344954157e-25	4.237521842014697e-23
H3F3A	189.48724773138125	0.3028267666157051	0.02944500014191995	10.284488543254577	8.278039443881631e-25	5.211222926100722e-23
IFI16	50.1244459244445	-0.8927965577585162	0.08775501645734082	-10.173738138292293	2.597446596329759e-24	1.560829272885428e-22
SF3B5	40.437299109375786	0.44784550834742115	0.044610802075755	10.038947687757792	1.0276457144712498e-23	5.906728845786923e-22
BZW1	49.20675052840679	0.5973625851406075	0.06206402672215103	9.624940834324002	6.274302216375861e-22	3.4560948041870366e-20
ENO1	50.465833058554686	-0.5186004861105479	0.0543557257061118	-9.54086215156973	1.416497608002749e-21	7.490439351118537e-20
GIMAP5	39.19543437680583	-1.0815698739560509	0.113786133830368	-9.50528713426938	1.9949687533304927e-21	1.0143648815011198e-19
ODC1	20.759676813199153	0.8503985819197003	0.08996130196244634	9.452937689526689	3.2945206761260305e-21	1.6130949384587452e-19
UCP2	20.532500215541535	0.8210505963324056	0.08707757173844381	9.428956043912288	4.141906806678608e-21	1.9555717137246857e-19
EXOSC6	17.096927192523175	0.6094102832682806	0.06482654575070106	9.400628650057145	5.423803186557581e-21	2.472506142285904e-19
SYAP1	24.09779952540479	0.9824367930660851	0.10468165603059629	9.384994757619607	6.291957116286316e-21	2.7726557692435037e-19
EIF5A	38.89341285164387	0.5438164718452235	0.05807510478273194	9.364020502067557	7.675892850703608e-21	3.2733968866548937e-19
EPB41	48.49213499115385	-0.6492485445170645	0.07042349673424635	-9.219203456583553	2.993153806280088e-20	1.2365466662194613e-18
GTF2I	21.30215638769317	-0.7069976103049751	0.07749156451086808	-9.12354286260177	7.270773042102965e-20	2.8270476357823882e-18
HSPA5	65.04857875973039	0.4657557714421433	0.05138949335638168	9.063248944918904	1.2662161897686143e-19	4.782679436783166e-18
FNBP1	51.48918805728789	0.44571643695169283	0.049398448603685356	9.022883299991738	1.8320269095798716e-19	6.727609929068306e-18
