gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CXCL8	68.31801875953082	2.017862683846208	0.14239221845500408	14.17115840837786	1.3820179188361667e-45	1.9210049071822718e-42
UBC	290.97314453344444	0.8679573213577048	0.06229243742146441	13.933590613659764	3.9593918433197725e-44	2.7517773311072416e-41
FAM177A1	33.793131859841154	1.3913026106978055	0.10535129232293579	13.206317454872911	8.067574919506535e-40	3.737976379371361e-37
SOD2	53.970563452881876	1.2687640245285212	0.09648715423151502	13.149564153215666	1.711581770256976e-39	5.9477466516429914e-37
CCL3	30.52116669276565	2.1812909914547065	0.16932489271681386	12.882281845604297	5.663595460916869e-38	1.5744795381348896e-35
CIB1	67.20873044798022	0.6941156858090728	0.056043064189268174	12.385398547533216	3.1352347764771987e-35	7.263293898838844e-33
RBM3	86.52538170961917	0.6464147855520007	0.05287362216054967	12.225657315271032	2.267401669213074e-34	4.502411886008819e-32
GABARAPL1	22.829706986899744	1.2933093193061878	0.11267312940385257	11.47841837844584	1.6935003379761144e-30	2.9424568372334987e-28
TGFB1	47.155772820330355	1.4303579883612993	0.1272855093797304	11.237398470034146	2.671389638614775e-29	4.1258128863050416e-27
EPB41	50.61026534996571	-0.9959456289307798	0.08911310814062581	-11.17619674267357	5.332667686219532e-29	7.412408083845148e-27
RNF213	54.06548653015856	-1.2508659368018065	0.11809809970200129	-10.591753296269248	3.254383983979926e-26	4.112357943392815e-24
EIF5A	38.568654552722045	0.7633860605122894	0.07611792422788141	10.028992096879422	1.1367098159002026e-23	1.3166888700844013e-21
H3F3A	188.07824376332485	0.4072608778063707	0.04099815058844568	9.93364022427751	2.97203066734646e-23	3.177786636624292e-21
SRSF2	49.04559528979648	0.8047936987559217	0.08138365872523631	9.888885697226128	4.651767633465725e-23	4.618540721798113e-21
IK	59.01650453148344	0.5719898089012618	0.05909033261946998	9.6799219693814	3.6699598569067813e-22	3.400829467400284e-20
UBB	122.24431391354122	0.7327734847736952	0.0773954058337076	9.467919663708958	2.854722676210707e-21	2.4800403249580517e-19
FYB1	106.31284737113394	-0.953504223548432	0.10155281029994975	-9.389245070935312	6.043183395008645e-21	4.94119112886001e-19
GIMAP1	35.43828205887788	-1.083537880093962	0.11548702990399448	-9.382333938232872	6.452823981513365e-21	4.983014074613099e-19
SYAP1	21.967710282989376	1.0793288172016091	0.11765450114022477	9.17371461985315	4.569937789508091e-20	3.3432702775874986e-18
ARHGDIB	124.30951417320495	0.43889589463770223	0.0489549158108941	8.965307923990613	3.094151095232308e-19	2.150435011186454e-17
CDC42	120.67634084483106	0.5376809636881742	0.06032282268669147	8.913391975717316	4.949462555039068e-19	3.276072834049669e-17
IL2RG	69.8695601289078	-0.5363000894713039	0.060778433587951965	-8.8238550718032	1.1058532553676911e-18	6.986981931641321e-17
RESF1	66.89690358664943	-0.6368100672406769	0.07244092462550293	-8.790750125468264	1.4856466075216016e-18	8.978472975891417e-17
TRAC	90.07665645672294	-0.5376918158232579	0.06122622326905037	-8.782051008771909	1.60520257475514e-18	9.296798245456852e-17
IKZF3	32.37863315988616	-0.9829348120405527	0.11248925315177839	-8.738033052049053	2.3720411253152057e-18	1.3188548656752545e-16
RBM8A	53.37329740415894	0.589914483417611	0.06805995383100791	8.66757101955082	4.414362986692833e-18	2.359986365962707e-16
SAP18	60.60292290036637	0.504488217709725	0.0584857134483471	8.625836772176413	6.362571352151115e-18	3.275545992403722e-16
GLRX	19.449670921684927	-0.9623972698853744	0.11234244466485856	-8.566639908508405	1.0654842089764987e-17	5.289368037419048e-16
CAMK4	30.225675480199442	-0.7802224374049819	0.0914656995686073	-8.530218880791992	1.460710774139213e-17	7.001337848460365e-16
DEK	67.59275387844605	-0.5771607738447151	0.06784017389709289	-8.507654693223712	1.7748684840242368e-17	8.223557309312298e-16
NDUFS5	90.33785711169368	0.47113214636439277	0.05633173573790749	8.363529726057283	6.086918203910284e-17	2.7292955817533207e-15
MORF4L1	75.79747539591843	0.3877397351270749	0.04750100681265284	8.162768773646134	3.2743093752810456e-16	1.4222781348877042e-14
BZW1	46.40057956823419	0.625888861063264	0.07751614129302606	8.074303630482362	6.786281710270555e-16	2.8584641143260826e-14
GTF2I	22.861145764721616	-0.806931914511122	0.10016670318098586	-8.055889720690116	7.890274778308605e-16	3.2257299828967534e-14
CALM2	103.62485828121923	0.5334290426576712	0.06627069644764566	8.049244556816815	8.330663674295449e-16	3.3084635735059065e-14
LNPEP	20.942727376715116	-0.8633209601757457	0.10736381457038523	-8.041079423549844	8.905051298791237e-16	3.4383392514777276e-14
ENO1	53.29508846400934	-0.6257062298395111	0.0778532420980909	-8.036996443271494	9.20673407793865e-16	3.458746045495871e-14
LCK	27.895968457919597	-0.8821039954226976	0.11011180152286962	-8.01098504631667	1.137932863322935e-15	4.162438631628631e-14
PRKCQ-AS1	44.45370770687626	-1.0192216172536583	0.12772732637489825	-7.979667673165685	1.4672780096889182e-15	5.229529316583581e-14
GSTP1	29.388886235718658	-0.6019576904340231	0.07551237631099851	-7.971642793425731	1.565788350161905e-15	5.44111451681262e-14
HNRNPM	46.64314662618983	0.42071990594590114	0.05292820280633046	7.948879494082899	1.8820601482341175e-15	6.380642941574204e-14
POMP	39.80658664347205	0.547260864236766	0.06896001365096263	7.935915833872905	2.089476776398941e-15	6.915173140939353e-14
BOD1L1	39.86963796055753	-0.6075541052643775	0.07706737274283275	-7.883415298089034	3.1855212376147673e-15	1.0297382605312851e-13
SMDT1	50.46165306791347	0.47403495985933397	0.060596621504919526	7.822795200238177	5.166311887291252e-15	1.632084891667009e-13
CHCHD2	108.20517352778569	0.39355520136259114	0.051164166668058834	7.692008430741878	1.448430714088309e-14	4.474041539072777e-13
IFI16	55.31685633724154	-0.9157051006910656	0.11920617898846365	-7.6816915738879965	1.5700146936265063e-14	4.744174835088791e-13
SNRPB	50.29867666577351	0.45502049141745127	0.05930464625814725	7.672594309673346	1.685519436230326e-14	4.984834077362028e-13
ARL6IP5	70.82471199249908	-0.4957048640677471	0.06472942257243745	-7.658107308357545	1.8869319758396352e-14	5.464240513368943e-13
SAT1	63.07828670575321	1.1234293087273306	0.146881911404727	7.6485204882156514	2.033048271971747e-14	5.767218567430058e-13
HLA-B	631.9759727831297	0.33838116168379506	0.044272693894514846	7.643112083715302	2.1203325862821312e-14	5.894524589864325e-13
TMED10	29.46022309539932	0.48839559348793987	0.0639214523898288	7.6405584546081675	2.1628157534512114e-14	5.894733131955262e-13
PDCD5	27.162940532971383	-0.6164634283486764	0.08095850544926654	-7.614560384084529	2.645904643647649e-14	6.9392593484344e-13
MSL3	31.400457077371286	-0.8321009753386013	0.10925846871596405	-7.615894539962747	2.618714397327785e-14	6.9392593484344e-13
SET	92.22937616053487	-0.33135787733025585	0.043731309839932425	-7.577131317198338	3.532791621313534e-14	9.093667321529281e-13
IL7R	357.9014501312009	-0.6038426040171871	0.07997919355323665	-7.5499961576288035	4.3527108327378205e-14	1.1000487377282855e-12
