gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PPIA	146.50941789637702	0.4149992778941606	0.03358222006944567	12.357708246684444	4.4259546027944396e-35	3.251449506525174e-32
EIF4A1	84.86239976066102	0.5748239479775239	0.04651878588754669	12.356813210196165	4.475498288403543e-35	3.251449506525174e-32
SRSF2	53.73309263877706	0.8679169412380549	0.07052354241078199	12.306768939408288	8.329135308199707e-35	4.0340778676047246e-32
GIMAP1	34.90664682229591	-1.123686467045428	0.0982733048356623	-11.434300178716027	2.8179959002584272e-30	1.0236370107688737e-27
SNHG16	35.981056591935314	0.8512706695731385	0.08214870430538006	10.36255747149243	3.6701524203898423e-25	1.0665462933652883e-22
UBC	283.43057337689186	0.502687372205224	0.05254215436794639	9.56731558216979	1.097173912266202e-21	2.656989490871319e-19
SNHG5	107.339526250553	0.38376582080314187	0.04208460601533446	9.118912047395865	7.588223488092137e-20	1.5750983897425536e-17
CCNI	111.27692973176742	-0.3708202268990964	0.041825627744341565	-8.865861599632854	7.591472387124578e-19	1.3788011723115015e-16
EPB41	52.96665640389342	-0.5994298053858892	0.06956809985822697	-8.61644642598359	6.906408929518002e-18	1.1150013527321842e-15
HLA-C	348.93184545274886	0.30962402923063836	0.0368208181999791	8.408939408924219	4.137347634386853e-17	6.0115661127640975e-15
SFXN1	20.0514419160512	-0.8544589093992514	0.1024442697213792	-8.340719414791568	7.383991445438979e-17	9.753581427475306e-15
IL7R	362.15563100422656	-0.5626218724558296	0.06883569748213887	-8.173402653496986	2.9981128234633586e-16	3.3509676403786616e-14
IFITM2	43.02380358333966	0.9196342911924789	0.11239155453836348	8.182414550361726	2.782120238325547e-16	3.3509676403786616e-14
HLA-B	676.6132271756582	0.43193666139377823	0.054603617140061504	7.910403816029901	2.565553289741358e-15	2.6626778071387096e-13
SAT1	66.98285901807478	1.0321385258152078	0.13140082103461165	7.854886428322524	4.0013455755967514e-15	3.8759700808947194e-13
SESN3	57.13503242540595	-1.1241923235582245	0.14549315440183228	-7.726771257246636	1.1030860005561499e-14	1.0017399742550537e-12
ARHGDIB	127.21975301703878	0.32178381221853125	0.04180247893499916	7.697720815047585	1.3851459368287356e-14	1.1838923801247957e-12
LY6E	31.68934065715297	0.7228034841838602	0.09402875470444078	7.68704729160604	1.5056949100882724e-14	1.2154303913101444e-12
LINC00623	28.151062919218557	-0.7086634615992815	0.09267251812775469	-7.646964557738098	2.0577901343912196e-14	1.4949845326352211e-12
STK4	80.46022210643376	-0.3485626235738347	0.0455726253409712	-7.648508747650887	2.0332338660545708e-14	1.4949845326352211e-12
IKZF3	33.28886353877293	-0.754271215897444	0.09894144269245216	-7.623410326065361	2.470599506297758e-14	1.7094195631669725e-12
ISG20	60.697204354117886	0.5217939022549105	0.07195474191988761	7.251695834526947	4.1158537002910226e-13	2.7183342847831164e-11
PSME2	35.27627256517589	0.4430346998602105	0.06178397374672918	7.170705815659269	7.461208222925027e-13	4.713537194743506e-11
CXCR4	123.70459739023195	0.6810040674086802	0.0954121776112616	7.137496328647892	9.50461595370302e-13	5.7542529086377025e-11
THEM4	17.64186234571636	-0.6442010719739302	0.09091077962983514	-7.086080161197033	1.3796391613721533e-12	7.273650379609205e-11
GUK1	56.664263454760516	0.37324636027627645	0.05268948887822255	7.083886525051213	1.4016669692295784e-12	7.273650379609205e-11
PSMB3	25.60586814441083	0.47275251673036295	0.06661324737083238	7.096974481645896	1.2751759234766246e-12	7.273650379609205e-11
H3F3B	332.5109974070023	0.4999785505922663	0.07057903159646531	7.0839531130277775	1.4009932632388091e-12	7.273650379609205e-11
LIMS1	21.754884631389743	-0.6647257066491306	0.09416390148208627	-7.0592413460649555	1.6741408415450778e-12	8.108422142549993e-11
UBB	122.2316714000027	0.48089904844005255	0.06808223610996178	7.063502550993437	1.6235721924470382e-12	8.108422142549993e-11
MBP	86.26115197991494	-0.6864212742840876	0.09747320446255854	-7.042153564857469	1.8929103471974475e-12	8.872253982186745e-11
POLR2L	42.88218083680555	0.3477290475527596	0.04945406473122716	7.031354236352393	2.0453847507896293e-12	9.28732513405416e-11
NCOR1	25.310894645995546	-0.4617615098481954	0.06599857449883167	-6.996537627587239	2.6236533481668417e-12	1.1552025196625519e-10
B2M	2300.469428437071	0.26021763760826594	0.037521609234931724	6.935140653989049	4.0581718822697735e-12	1.7342716896876414e-10
RESF1	69.91881961530238	-0.39065155863668866	0.05679147175508468	-6.878701089511959	6.040074519212396e-12	2.503091291863424e-10
SNHG29	199.03157354950136	0.45892581313076136	0.06675346042921187	6.874936672645236	6.201740296426927e-12	2.503091291863424e-10
LDHA	77.54638501579264	0.7107366165253973	0.10382576322810354	6.845474518342045	7.622278682486639e-12	2.9932894393656993e-10
TLK1	27.9283798934801	-0.5449566727420312	0.07994761148883903	-6.816422186898093	9.333574353820667e-12	3.568864088447744e-10
CHCHD2	111.8019995044438	0.32651869652250487	0.04823358892969724	6.76952936258634	1.292019911835254e-11	4.813602389478523e-10
OSBPL8	49.497183100623026	-0.5491104343388635	0.08211684904281577	-6.6869399001483485	2.2788540906041473e-11	8.277937484119566e-10
KRAS	32.01594637422378	-0.6477413624999692	0.09704766334951725	-6.674466341009448	2.481334179482708e-11	8.793606250703353e-10
EIF5A	37.946537187101676	0.4439635734880212	0.06687828962128264	6.638381095002448	3.1714703032619784e-11	1.097177702533251e-9
