gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ANXA1	711.0324969259426	-0.9643128323544332	0.04574765261078493	-21.07895765841105	1.2408621370041934e-98	1.573413189721317e-95
SLC25A6	201.94294835980153	-0.8318274935864008	0.04719733341202218	-17.624459549965092	1.5988926921055912e-69	1.0136979667949449e-66
RACK1	514.1222419318415	-0.7631564627251792	0.04628194024612045	-16.48929277093456	4.3804671868382044e-61	1.8514774643036144e-58
EIF1	996.4290358550656	-0.4864610700944691	0.031089198199151975	-15.647269735883325	3.467811707704463e-55	1.099296311342315e-52
HNRNPH1	59.46582543864799	1.1845793597382832	0.07901892306621819	14.991084587999266	8.397070363091576e-51	2.129497044080024e-48
MS4A7	76.296447575219	-1.1953095470278967	0.08062999803154218	-14.82462577464402	1.0154422557869714e-49	2.1459679672297995e-47
BTF3	243.9760862602638	-0.7263626485239969	0.050608337332204996	-14.352628179740071	1.025751126108195e-46	1.8580748970074158e-44
EIF3H	94.07145625763317	-0.6909407451952289	0.04899264013270894	-14.102949817026422	3.642211086880508e-45	5.772904572705605e-43
CDC42SE2	24.836484162764176	1.6582006929166992	0.11831829990538784	14.014744077988482	1.2665402249971168e-44	1.784414450329271e-42
NPC2	142.38582031815258	-0.9617726333574423	0.07069337458342136	-13.604848248155243	3.7474544114295575e-42	4.7517721936926785e-40
PDCD4	29.07276134305675	1.7717965231589876	0.13327074554614868	13.294714574440901	2.4841937338392637e-40	2.8635978677347147e-38
FXYD5	114.8099997671663	-0.5204741622823287	0.039978551008860275	-13.0188350790147	9.561850256637036e-39	1.0103688437846468e-36
CCNI	129.1589225383196	-0.4533787212294178	0.03489509077427658	-12.992621918141921	1.3473096655964965e-38	1.3141451199818134e-36
STK4	35.90619120005208	1.5680999136451164	0.12175409537840454	12.879237521921167	5.891471004319258e-38	5.335989452483442e-36
MAFB	174.6851590025921	-1.0981128640072106	0.08534099693062368	-12.867354536529499	6.871560006452191e-38	5.8087587254542524e-36
SEC11A	82.27107036275919	-0.8980757244775316	0.07045785321063129	-12.746282828015858	3.2696773934177205e-37	2.5912193342835437e-35
EIF4A1	218.60505715230252	-0.5750272437285107	0.04600586389023162	-12.498998934146863	7.5597231889595e-36	5.638664119765086e-34
TAPBP	41.723441035180365	0.5793962960742717	0.04639332755617734	12.488785060150837	8.595621695668448e-36	6.055137950059773e-34
SEPTIN7	79.69187861104851	1.2111856310068347	0.09923701221847037	12.204978807104839	2.923846255967074e-34	1.9512826592453948e-32
EIF3L	47.86577525086818	-0.6737349127489641	0.05525338781290393	-12.193549380724477	3.3644188993993577e-34	2.1330415822191928e-32
KMT2E	35.38257949048067	0.8695474089467266	0.0714610369904792	12.168133091359657	4.594713489459877e-34	2.7743317641119636e-32
NACA	679.2917160247991	-0.5889623120077542	0.04855488584652908	-12.129825901956185	7.340532850818456e-34	4.230816206744455e-32
