gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LYSMD2	38.186326089572766	-1.6946754476481432	0.2327970385896165	-7.279626312753838	3.347461163924953e-13	3.3498043867397004e-9
EPSTI1	18.302991291612887	-1.4085992841086117	0.2026110004770546	-6.952234976343909	3.5954386549166706e-12	1.798977730987556e-8
RNASET2	49.15585011524189	1.2376088281967368	0.19682546723155075	6.287849055329718	3.2189465830360305e-10	9.846431299548676e-7
SNHG9	28.37963171615808	1.3049213553323653	0.2085687678077543	6.256552066966999	3.9358174476061457e-10	9.846431299548676e-7
CD22	25.643820699969528	2.0173956993265536	0.3334249237513109	6.050524587751734	1.4437492475561624e-9	2.4079331200490865e-6
SMDT1	62.179095157236475	0.6428910347069862	0.1059947082914401	6.06531255257867	1.316972873740422e-9	2.4079331200490865e-6
NSA2	101.70837331231884	0.521325037359833	0.08969577194443529	5.8121472847436255	6.167653804401156e-9	6.85774573562693e-6
GSTP1	69.98536000766077	-0.6846030960928543	0.11748300252245436	-5.827252295173569	5.634739506431922e-9	6.85774573562693e-6
TMOD2	7.382439312861752	-1.8268904712223184	0.3121705698508627	-5.8522187792882034	4.85057975696365e-9	6.85774573562693e-6
IRF7	14.197833463902295	-1.4103642755021306	0.2443259181662409	-5.772470993202243	7.811739525917491e-9	7.817207743585634e-6
MX1	19.50372938315353	-1.349067027424926	0.23562013748263977	-5.725601562915326	1.030678623570921e-8	9.376364532794734e-6
TOR3A	14.34254116792736	1.1939467143812896	0.21376302981992207	5.585375148298994	2.3319626983999346e-8	1.788013720374915e-5
HERC5	10.502014427628588	-1.6330808782334434	0.29365924691022205	-5.561142362844482	2.6801444794267737e-8	1.788013720374915e-5
MMP7	5.240053465061993	-2.8055716692510875	0.5039031013838969	-5.567680892508879	2.5815202760614253e-8	1.788013720374915e-5
SPIB	22.743444826900575	1.1587033338011392	0.20828491531469828	5.563068895558043	2.6507117773551163e-8	1.788013720374915e-5
HLA-DPA1	173.01607387897255	0.5875407684403401	0.10817189361389412	5.4315474085855655	5.5867468965946146e-8	3.494161012138894e-5
MX2	18.66831090713725	-1.1442909219349466	0.213933216179161	-5.348823069049017	8.85280338614934e-8	5.21117667559979e-5
IFIT3	6.134293260517617	-1.9450596549049384	0.36475750613786945	-5.332473279301764	9.688402940175385e-8	5.386213790129726e-5
AC092821.3	21.758535148127873	0.92721075112603	0.1748596716032611	5.302599179242297	1.1416540480071153e-7	6.012911609688002e-5
TOMM7	166.8437083017979	0.32459826630279087	0.06137341462283037	5.288906740770509	1.2304960554128886e-7	6.156787013258388e-5
ARL4A	43.68164001173016	1.563883888190004	0.300731153450504	5.200272303838308	1.9899676685348317e-7	9.482669742394312e-5
HLA-DMA	65.76965763199145	0.7655671496326818	0.1478348597850282	5.178529277505452	2.236419805237645e-7	1.0172660450460505e-4
JCHAIN	22.45258099005183	1.4631522940075088	0.291193693021817	5.024670276419364	5.042981943707341e-7	2.0877925738690937e-4
CYCS	57.7241554595061	0.8303853171642851	0.1650818328445059	5.030143552782352	4.901127446889539e-7	2.0877925738690937e-4
SRSF5	114.87515035344748	0.6130519621814958	0.12231316658043594	5.012150198714207	5.382516308935438e-7	2.0877925738690937e-4
PRKCB	27.18540480410917	1.4426516187917708	0.28791668118645625	5.010656599842864	5.42446356756235e-7	2.0877925738690937e-4
BORCS5	18.100595756066788	1.3293512153579077	0.26592926140077383	4.998890337812367	5.766118262503692e-7	2.1370942760323868e-4
TPM3	110.17959400683634	0.37776307237147727	0.07639276232147953	4.945011292846793	7.613945053129972e-7	2.7211695766668443e-4
STMN1	19.29177839435768	-0.9484246775494274	0.1932859703642384	-4.906846967538126	9.255218941215232e-7	3.177253625446593e-4
LY86	20.989589672899733	1.840749705002008	0.3760653944234026	4.894759614413109	9.842596421389466e-7	3.177253625446593e-4
SCAND1	38.78356457917115	0.6143719835894168	0.12547835797823437	4.8962386302185	9.76884299648969e-7	3.177253625446593e-4
EIF2AK2	22.916704453929928	-0.8802995147631756	0.1810882835959583	-4.86116217616424	1.166985973617769e-6	3.53879655696758e-4
EPHB6	9.367009663408709	-1.3290487718639608	0.2731567607422369	-4.865516666153877	1.1415819027018792e-6	3.53879655696758e-4
