gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PPIA	156.8255430776846	0.3595368535925838	0.06576366010226951	5.467105283274465	4.574443727928264e-8	1.7373737278671e-4
UQCRH	96.88314446427826	0.42755083496206153	0.08389920615260514	5.096005726018252	3.468946388092061e-7	4.829109374916761e-4
UBC	215.25260548120136	0.3252255651138406	0.06404610572747023	5.077991259886189	3.814462381450838e-7	4.829109374916761e-4
HINT1	152.28208446027654	0.3276049397687513	0.06751658877247364	4.852214036949614	1.2209075380374184e-6	0.00105881029675213
CHCHD2	125.4894867831464	0.36390953961847566	0.07540800439454376	4.8258741567335095	1.393905077346145e-6	0.00105881029675213
EEF1B2	257.59150176128026	0.29461703999230177	0.06275379190385566	4.694808569395791	2.668565081056041e-6	0.00149632528281964
SNHG29	140.93749719104514	0.31874288419915336	0.0679901102428673	4.688077178586307	2.7578401737065686e-6	0.00149632528281964
BTF3	172.00447160401245	0.28295943471137475	0.06303942102455028	4.488610937609629	7.168908850261745e-6	0.00314736553079737
TOMM7	177.0215832800507	0.3113861087448189	0.0695031243176807	4.480174262692912	7.458212158287612e-6	0.00314736553079737
SNHG8	119.57132114268656	0.34509848172132573	0.07877713730785849	4.380693352345264	1.1830226216190848e-5	0.00320937136922091
SUB1	99.03473501945216	0.36954313721522	0.0843435152994168	4.381405445378387	1.1791621441693013e-5	0.00320937136922091
EEF1G	207.6902005299416	0.28254582225578906	0.06386893990148836	4.423837669633919	9.696288803630413e-6	0.00320937136922091
UBA52	268.77614774728704	0.3098448241573822	0.07036024686459934	4.403691544085184	1.0642423274486064e-5	0.00320937136922091
SLC25A6	132.4750250525359	0.32074190937464736	0.07276123835201426	4.408142530820028	1.0426092685286498e-5	0.00320937136922091
HLA-DPA1	177.38110578125892	0.5291918503498889	0.1216012158227758	4.351863151772631	1.3498551030976638e-5	0.00341783312104328
HLA-B	269.4703761321496	0.25410901826241955	0.05882330977877729	4.3198694398202475	1.5612153964385633e-5	0.003632311943445
CFL1	128.24735498845118	0.2866753914437022	0.06649996426869001	4.310910458318498	1.6258373627847566e-5	0.003632311943445
UQCRB	134.1227442848361	0.353509039912398	0.0822533007040053	4.297809776467536	1.7249409579277792e-5	0.00363962542122761
KRT10	68.75580291117984	0.5312905230230355	0.12470836679887748	4.260263658811846	2.041858924918434e-5	0.00397929054276673
H3F3B	219.33005880119345	0.39229902966890606	0.09220871577081176	4.254467990249209	2.095466320572268e-5	0.00397929054276673
GAS5	126.57257702956782	0.30620295233619754	0.07242990084122367	4.227576577903049	2.362217908240533e-5	0.00427223981690359
TPT1	346.00945814124503	0.26327139592551896	0.06248350952601354	4.213454044477321	2.5149477646106223e-5	0.00434171436817779
SMDT1	60.977633809672575	0.4502197966417838	0.1071141145774816	4.203178996696226	2.6319229778991024e-5	0.00434610585654816
H3F3A	210.25339585882952	0.3206159305051309	0.07726331839856887	4.149652605537967	3.329802354128992e-5	0.00486407282345458
COX7C	169.84396502973934	0.2922887253118537	0.07039006885315784	4.152414254937059	3.2898603657721035e-5	0.00486407282345458
ATP5MG	132.91123538097773	0.2754862207234351	0.06618271054601298	4.1625103966073675	3.147678054414768e-5	0.00486407282345458
TMSB10	233.2444632595468	0.4503893576676872	0.11047424114990834	4.076872155713929	4.5645572837640774e-5	0.00593583915522524
EIF3H	83.85016439995803	0.3801573741979786	0.09332907200480912	4.073300698611785	4.635151722967756e-5	0.00593583915522524
RNF169	10.940650227490888	-1.2651186589405328	0.31089850748360165	-4.069233619615435	4.716803350886481e-5	0.00593583915522524
B2M	350.6297194605262	0.25199981899354096	0.06213673071817224	4.055569323988302	5.0012336220960424e-5	0.00593583915522524
CFDP1	25.43072707925441	-0.6206150664252532	0.1528989870750746	-4.05898742887372	4.9285966537848434e-5	0.00593583915522524
HLA-DPB1	212.151992243335	0.3751561424468	0.09329675631668922	4.021105955424206	5.7925541169171424e-5	0.00657057451043171
FTL	248.6521248494259	0.2853014922841714	0.07101478821592802	4.017494094563541	5.882030894014697e-5	0.00657057451043171
SNRPA1	32.05199962574307	0.540944618667383	0.13489848099769536	4.0100126752103655	6.071548847432629e-5	0.00658849786358546
RBM3	127.79292380713736	0.3903338737035519	0.09758427989351956	3.9999667377724166	6.335138724138442e-5	0.00668357135396605
LYZ	13.49852655404964	1.56969058803076	0.39817061345474786	3.9422562464147184	8.071866911034137e-5	0.00828566230489396
SRSF3	76.21833684248631	0.5279964382333037	0.13502958532446338	3.910227799075128	9.22091189829893e-5	0.0092160587867735
PDCD4	74.92590927434878	-0.3299669586571302	0.08592283622121759	-3.840270796084929	1.2289866958021156e-4	0.01196843966834983
RACK1	252.6642019674235	0.2692105976159683	0.070347951032741	3.826843478222608	1.297969897468932e-4	0.01231498529420653
EIF3E	99.60558206227226	0.3472973075940719	0.0908930790370074	3.820943368555803	1.3294217932134487e-4	0.01231498529420653
HNRNPA1	175.82172211535996	0.25021674946845296	0.06568688937722564	3.809234260302876	1.3939783793015217e-4	0.01260554734425518
ARPC4	34.20279929451387	0.46741576234939447	0.12302758212222868	3.799276180889372	1.4511930310430018e-4	0.01281774681837516
FAU	314.71282167119745	0.2734369564787392	0.07226249328937387	3.783940243851894	1.543649005469336e-4	0.01332449755175576
CD74	313.0996651754398	0.3241529355461934	0.08600612654918084	3.768951684631829	1.6393461330522488e-4	0.01383608136296098
PFDN5	210.14665360720232	0.2667314931058014	0.07106384631077102	3.7534063655849903	1.7444771259890457e-4	0.01440331331414433
RNASET2	43.55951009385006	0.931992089877814	0.24874815096779723	3.746729719403901	1.7915493881374083e-4	0.01447724377903378
UBE2D3	82.29174358447348	0.3591090649713237	0.0967735789388062	3.710817238643232	2.065912198284954e-4	0.01479844110239753
NSA2	101.60110880700364	0.3723430918981044	0.10046531958680945	3.706185312797144	2.10404375863472e-4	0.01479844110239753
SNHG32	45.724498382677325	0.4976088187630221	0.1334648037252105	3.728389844168538	1.9270711013923497e-4	0.01479844110239753
EEF1A1	366.89827336896275	0.23580754735810305	0.06357151782264762	3.709326997916913	2.078108957852864e-4	0.01479844110239753
GRHPR	13.823183383871717	-1.0402212109865652	0.2797154882183113	-3.7188545318402144	2.0012825663935605e-4	0.01479844110239753
NACA	266.2057625345325	0.2648432486227485	0.07111154518352214	3.724335449880192	1.9583039336938576e-4	0.01479844110239753
EIF1	267.701780465825	0.33823598396666293	0.09078303172495572	3.7257621555470024	1.9472595296626604e-4	0.01479844110239753
ACTB	177.87043936447105	0.29157534016274494	0.07889909391324178	3.6955473846551903	2.194135523513585e-4	0.01500306513079721
EEF1D	208.3480812548762	0.2487823873174616	0.06743954062721517	3.688969186380632	2.2516448458542417e-4	0.01500306513079721
