gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HLA-DRB5	14.180344463627469	-3.501965115508189	0.2961818760579685	-11.823698202326153	2.944316579759845e-32	3.107726149936516e-28
NEU4	8.495952865779145	-4.116532243839327	0.3569786053795354	-11.531593719636724	9.143520270271902e-31	4.825492822635997e-27
SAMD9	27.947878137689003	1.6038428482810088	0.16742243299957996	9.5796173759166	9.7405113923742e-22	3.4270365915503227e-18
SGPP2	22.417975464070356	-2.3626541429521364	0.260036701712224	-9.08584875671445	1.028927118784524e-19	2.528035113888415e-16
SLC7A11	93.89919554192792	-1.0313476224028917	0.11371821972728378	-9.06932613679887	1.1975533462285245e-19	2.528035113888415e-16
PF4	11.845364710454511	3.0067705807183005	0.3377720069503719	8.901775513801173	5.496033989912147e-19	9.668439793920452e-16
GNG11	6.347345044926968	3.6170435701212336	0.4160737518322247	8.693275060474736	3.521384640116275e-18	5.309744982346755e-15
GP1BB	9.660668789358429	3.0436383972786527	0.35518473410763046	8.569170082507963	1.042334907379362e-17	1.3752306184236462e-14
IGHA1	5.747223682105091	5.024036461427174	0.5894335488667158	8.523499334380816	1.5480367236737687e-17	1.8155030687085145e-14
NBPF19	65.01049497749466	-0.9550659599358324	0.11725074555931536	-8.145500102194909	3.7771752415754113e-16	3.986808467482846e-13
ALCAM	40.390042246672024	-1.1832784113252637	0.14642169720276754	-8.081305120283078	6.4077262616239865e-16	6.148504608312833e-13
HSPA13	29.01694166775313	-1.239968948074578	0.15396696848192137	-8.053473808703155	8.047662661931139e-16	7.078589949723598e-13
TNIP3	15.901191065998615	-2.180115647238121	0.2738673396203334	-7.960480611746	1.7137230812557885e-15	1.391411317127296e-12
WAC-AS1	8.335294467154274	2.046709967685838	0.26063378397393017	7.8528191413994115	4.067880776689911e-15	3.0668915427115724e-12
NDUFA12	22.540231017914348	1.4540287789584312	0.1871890816404496	7.767700798657216	7.992357743853891e-15	5.6239557324251865e-12
EZR	67.45217754043769	1.8527597489637488	0.24056519384196465	7.701694993253632	1.3427307962598984e-14	8.857827221577018e-12
HLA-C	177.07822203219743	0.42483721032767985	0.0563158760148422	7.54382672153964	4.5637745337448294e-14	2.8335670708045095e-11
SCN1B	13.330056005369029	-2.2594471552593527	0.3010729361602435	-7.5046504812932815	6.15927191445624e-14	3.611728614282534e-11
MMP2-AS1	5.60653340184858	-3.1216935432689032	0.4184627471138674	-7.459907876625069	8.658299576939495e-14	4.809913264978756e-11
SEC22B	47.75801232234664	-0.8178618684531311	0.11015663180189116	-7.424535909231477	1.1317603652007167e-13	5.972865327346781e-11
AC058791.1	19.44943825723586	1.9725473885807197	0.26595195530401233	7.416931326283655	1.198650567505255e-13	6.02464606667522e-11
PID1	13.175858684556845	-1.8169455533277603	0.25165110133080265	-7.220097761222722	5.195021354141788e-13	2.4924295633166627e-10
MMP14	18.60423815433123	-1.9113846929230016	0.2651825158259586	-7.207808127808317	5.685967084974585e-13	2.6093644600829017e-10
GP9	2.532528295695474	4.2604639723123645	0.5974954339519483	7.130538126681315	9.997727648070423e-13	4.2407135506645254e-10
MAST4	4.519553459955408	2.7214880475612953	0.3817008319643171	7.129898128741074	1.0044323900200204e-12	4.2407135506645254e-10
NDUFA3	9.644675980101496	1.7494404091941602	0.24781282979903707	7.059523151456132	1.6707494086692294e-12	6.78260000327066e-10
IGKC	28.46779025802014	2.9485386242574334	0.41918879798901015	7.033915596987721	2.0081662976862048e-12	7.850442693362182e-10
RIT1	37.17684498690943	-0.8538024314383525	0.12163268401555204	-7.019514847910326	2.2263995686279705e-12	8.10332670581663e-10
SRP14	104.86375624895972	0.46739247195692935	0.06657367041066871	7.020680534417819	2.2079016745788456e-12	8.10332670581663e-10
LRRFIP1	97.14992173359464	0.8019886072606695	0.11475701571911008	6.988580194728061	2.7768193796579424e-12	9.769776184096524e-10
D2HGDH	4.2323689333769074	-2.846593686261848	0.4090406387388383	-6.959195289344645	3.422218502005003e-12	1.1652102028600903e-9
TNFAIP6	121.82374535239624	-1.13633337510328	0.16361232645283047	-6.945279733742345	3.777111295254839e-12	1.2458565537942134e-9
DHRS9	8.173716104942203	2.210737976832614	0.3207492749383311	6.892417690601675	5.485203123795435e-12	1.754433908232146e-9
SNHG6	70.51190956586822	0.7925239654139022	0.11547453027131334	6.863192805823297	6.733824143629018e-12	2.0307289667429795e-9
AKAP13	60.72601089846446	0.7579562941919168	0.11043188955600604	6.863563570625275	6.716361523990457e-12	2.0307289667429795e-9
RBM47	34.161770948413384	-1.2086434756275186	0.17740864446224697	-6.812765405491395	9.574020019100346e-12	2.8070494806001153e-9
NBPF9	8.86034738283251	-1.7704745358130327	0.2607088253854217	-6.791003462179051	1.1135625287849174e-11	3.1766628354931903e-9
DNAJB6	74.55653405050245	-0.49489946442896304	0.07294272593720885	-6.7847678856283284	1.1627329761471015e-11	3.229643832429646e-9
GNAS	72.71945760713491	0.5435593089137459	0.0802419010356228	6.774008365933863	1.2526242405386923e-11	3.390115092022025e-9
SEC61G	80.84608989491382	-0.7399760732446474	0.1102219705974444	-6.713507926175695	1.900002918843416e-11	5.013632702098064e-9
NOP53	54.34939945154788	0.6966838296902382	0.10388387472398726	6.706371239437132	1.995237404222695e-11	5.136519707700133e-9
LDHA	60.33081995265793	1.1530311903223596	0.17219508931049382	6.696074754160206	2.1409223506889824e-11	5.380341764648145e-9
RESF1	36.61637277433198	1.084957354988565	0.16271473045515483	6.667849628325972	2.5957853501028478e-11	6.286501273366879e-9
C15orf48	196.841472909117	-0.5143484197138187	0.07715474924010712	-6.6664518358183775	2.620616352706231e-11	6.286501273366879e-9
RFC1	11.201149546855488	1.7208795987089809	0.25866121434807204	6.653025282689846	2.871288465869056e-11	6.734766612721752e-9
RNF19A	28.187389564969862	1.3263685592872594	0.20030763509938668	6.6216575250821315	3.551932292063274e-11	8.150140291897359e-9
TMX4	16.253235189581872	1.1056483201864475	0.16707724543734895	6.6175876750436755	3.6510768227662906e-11	8.199386354106002e-9
ACSL5	19.736916695639916	-1.3498042992724122	0.20423857086294275	-6.608958795438389	3.870324158088919e-11	8.500321857981751e-9
PLAAT4	20.04330728208728	1.6785321046964534	0.2540887592480385	6.606085643709606	3.9461465754723434e-11	8.500321857981751e-9
HLA-A	203.0327894235228	0.2459870916054872	0.03728540808033466	6.597409127868107	4.184049809904346e-11	8.659342302654975e-9
CRYBG1	8.707588985083955	2.0856048032970933	0.31607261041619567	6.598498998539692	4.15341285660419e-11	8.659342302654975e-9
TSC22D3	19.852674183720328	1.8012803582913588	0.2740677043055875	6.572391894387227	4.95133351133829e-11	1.0050254848495315e-8
SNHG32	19.640985305322907	0.8928373360774619	0.1362024687674574	6.55522138590476	5.5559389429864596e-11	1.1064704819475864e-8
ADA	67.28475209798611	-0.9653407277820302	0.14734435182293254	-6.551596419129148	5.6925214170878254e-11	1.112677102914111e-8
HMGB1	111.53311552707684	1.0513504110034269	0.16072651999106372	6.54123794294732	6.101166893114191e-11	1.154257569559964e-8
ACSL4	36.18654072101959	-1.4482318289789915	0.22150879900402276	-6.538032960725369	6.233318945041966e-11	1.154257569559964e-8
IDS	49.38896224049328	1.2167942146778703	0.1860609492223035	6.539761404872005	6.161705463118069e-11	1.154257569559964e-8
TOMM7	105.88384548299018	0.38847181468287384	0.05969596397358261	6.507505513350704	7.640894821396001e-11	1.3669431328785558e-8
GTF3A	17.777158485678342	1.7878010981398813	0.274642484102287	6.509557703658253	7.537239855883566e-11	1.3669431328785558e-8
INSIG1	90.05333037983435	-0.8749691589601831	0.13529016823966838	-6.467352139071653	9.973505018312235e-11	1.7545057578047607e-8
TFEC	16.6215330564096	-1.4495740299001214	0.2252436160577855	-6.435583193302303	1.2300013654504318e-10	2.1283056413654612e-8
EEF1G	111.04104155589287	0.4523837349933498	0.07034377181327016	6.431041772883848	1.267323230984804e-10	2.157515597265259e-8
ELOVL7	13.371293413597504	-1.7204884225329136	0.268010615773366	-6.41947863732303	1.3674184285033684e-10	2.290968494103659e-8
TNFAIP2	64.51368520501987	-1.1032943784268046	0.17195755742268928	-6.416085428073359	1.3982300488382978e-10	2.3059872133575374e-8
NIBAN1	71.78289055213017	-0.6014286542972197	0.0939212510072773	-6.40354177406154	1.5181329242042176e-10	2.4652143099962336e-8
GFPT1	16.830023289033537	-1.1644778429513043	0.18244336234660927	-6.382681331749455	1.7401378092708768e-10	2.7206235197933754e-8
SEC31A	27.234382776212268	-0.9247166626043678	0.1449041204473971	-6.381576036273291	1.7527465594121223e-10	2.7206235197933754e-8
CAST	82.87151713996266	0.5360418227850713	0.08394710981488153	6.385470851434193	1.7087089008190746e-10	2.7206235197933754e-8
ARL5B	31.653662953742884	-1.221663731816981	0.19154033925113037	-6.378101535130132	1.7929663426435402e-10	2.742718803855445e-8
MIR3142HG	13.669665872648842	-1.7942884966030783	0.281870612534621	-6.365645855978312	1.9446967081285664e-10	2.9156849835421313e-8
GRAMD1A	35.95905253373295	-1.8488124165750808	0.2904954467789045	-6.364342150884755	1.961285019720429e-10	2.9156849835421313e-8
TUBA1A	8.412151159615872	2.3061859028674183	0.36281834318952105	6.356310109885386	2.0665762417530735e-10	3.029543365514402e-8
CALM1	121.25524512205249	0.51195225410146	0.08059717341444195	6.351987698984551	2.125503242657399e-10	3.0732447570203906e-8
ERAP2	4.55683905010037	2.396375688565382	0.3796574584121332	6.311941555390231	2.7555629758398957e-10	3.9304009743229866e-8
PSME1	56.20701265725441	0.5989278321164363	0.09511019229622636	6.297199255480843	3.030715985353291e-10	4.265227630053864e-8
NFE2L2	60.11282105074632	-0.6586073006485639	0.10492729642898951	-6.276796630267532	3.4561967350213265e-10	4.8000205971250146e-8
SEC23B	6.186055877488571	-1.873723323862634	0.29930452672048036	-6.260257218269535	3.843429995543866e-10	5.2684939744111054e-8
CAVIN2	4.760332313555257	2.6384768004566146	0.4220829387481963	6.251086121324276	4.07608020895436e-10	5.5157726417324704e-8
SLC6A6	43.321747429070946	-0.6015787824225315	0.09628529805392053	-6.247877864859936	4.160668084343587e-10	5.5589685607907055e-8
