gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CXCL3	17.23780791346122	1.9661983357057868	0.12301370242955129	15.983571723091654	1.6633577616465357e-57	1.8694477883145414e-53
IFITM1	31.677277362489143	1.120627871124365	0.07673229464043396	14.604383674117985	2.6335305339245e-48	9.866083223592486e-45
CXCL2	11.305383148236851	1.7432523874386303	0.13530275589070234	12.88408632893502	5.532683799142666e-38	1.5545458304641102e-34
SAT1	93.64156829502171	0.7235854829577817	0.05660075728466503	12.784024766994138	2.0137290485918837e-37	4.526460155424835e-34
SRSF2	71.2548843212053	0.5483753803298559	0.04317048773594928	12.702552347427112	5.723221021211788e-37	1.072054684289988e-33
UBC	190.69840906283395	0.323448107942629	0.02592097502944939	12.47823847579624	9.81336968313326e-36	1.575606598124782e-32
LDHA	96.91204889924208	0.6005404384965624	0.04854435520120697	12.370963338732963	3.7529309457596236e-35	5.272398862424052e-32
EPB41	48.46024543506985	-0.8331083231515635	0.0694182533369591	-12.001286161834424	3.498176187718819e-33	4.3684446859746446e-30
FYB1	75.78656859511827	-0.79596413087416	0.0667540600686966	-11.923831000766596	8.892346666859367e-33	9.994108418883243e-30
IL1B	40.97004241042971	1.6164274185888157	0.14361601368862	11.255203212181204	2.1832230501427794e-29	2.2306585327776998e-26
HLA-B	242.52440810245164	0.21619511273073116	0.01953368490073217	11.067809982059638	1.7973946794762652e-28	1.683409900219479e-25
TGFB1	61.52803467025438	0.8703637028885339	0.07875113719983369	11.052077897998558	2.1419877693924483e-28	1.8518308107847478e-25
RIPOR2	47.04889055859142	-0.7503436182469773	0.06994234564884673	-10.728030512647663	7.518142790130306e-27	5.6330937878849664e-24
ARHGDIB	118.34843573965424	0.33779616780956245	0.03200424281978469	10.55473081215158	4.830220934857916e-26	3.392928317929257e-23
STAT4	24.042837673084016	0.8630995476371799	0.08596418024164779	10.04022309304855	1.0144446278295405e-23	6.706672454221298e-21
FTH1	326.299752438275	0.2144648396398348	0.02149778008949555	9.97613887327039	1.9386445969652422e-23	1.2015865878009046e-20
LYZ	8.584455555655746	2.1258733459124604	0.213194896438274	9.97150204544395	2.031332428883102e-23	1.2015865878009046e-20
IFITM2	46.27526797953139	0.6065701401621854	0.06110091954432982	9.92734879746135	3.165603539258788e-23	1.7789109088864763e-20
HLA-C	192.0866843399203	0.2188611039486495	0.02212964776359114	9.88994973109022	4.6025896414009334e-23	2.3512956808956855e-20
