gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CXCL3	23.026633376866915	2.1518685321773803	0.2384586157331222	9.024075416866909	1.8121914559493025e-19	1.6643166331438389e-15
STAT4	61.93788364575508	0.7422982467971616	0.09972129768046152	7.443728311435729	9.788270560476081e-14	2.247386920685308e-10
HOPX	43.68660243666563	-0.8676772793272105	0.1164379214057279	-7.451844457990531	9.204420673014344e-14	2.247386920685308e-10
FAM177A1	79.32727847983342	0.7719201647760707	0.10784038040288972	7.157988147780923	8.186963125031129e-13	1.500164348967489e-9
AC243829.4	7.471935786293966	2.4091996288058626	0.34458055338967575	6.991687734859986	2.7159887124152048e-12	3.563377190688749e-9
ZFP36L1	30.150312492818117	-0.883249336028512	0.13171767127317568	-6.7056252019267655	2.0054585656819804e-11	2.3022664334029136e-8
LDHA	183.13327543447264	0.3907406260190258	0.05904550248555755	6.617618778239723	3.6503089538627376e-11	3.724937492475042e-8
EIF4A1	103.66861564112152	0.48678915034671066	0.07519695663427989	6.4735219633183805	9.574448912142012e-11	8.793173880911226e-8
PDXK	21.57362797658117	0.9680540629639148	0.15153941512507213	6.388133820926638	1.6792236211495454e-10	1.4019990669670384e-7
IL1RN	6.37039127895633	2.055533513007267	0.3264919401447122	6.295817018013325	3.057849206107244e-10	2.340273925740745e-7
ARHGAP18	8.607236634623238	-1.697212013007895	0.2732629220761112	-6.2109121871103135	5.267790647827785e-10	3.455670664975028e-7
BIRC2	79.71819308218106	0.6219723062442394	0.10000052386926346	6.21969047939569	4.981365581996095e-10	3.455670664975028e-7
JUND	169.85481981635257	0.7134385588585437	0.115386974323727	6.1830077705039495	6.289161732783026e-10	3.850644090258622e-7
PLAC8	35.45551480071643	-0.7173901644389649	0.1164880533245588	-6.158487020468732	7.344320238635467e-10	4.215639816976759e-7
ATAD3B	5.22948548217527	2.6364968320792257	0.4333954202964725	6.083351850547196	1.1769567038996715e-9	6.358335510949754e-7
ZFP36L2	55.903328252896614	-0.6900815914398152	0.11390808631970696	-6.058231805448441	1.376259728613158e-9	7.02198297087958e-7
SLC4A7	14.630596636631935	-1.353872239894647	0.225391340842043	-6.006762437441894	1.8926451427110013e-9	8.69102649532892e-7
B4GALT1	36.73713630196129	0.7459624076775079	0.12402966150819517	6.014387192600852	1.805684556719223e-9	8.69102649532892e-7
SAMD3	43.57176608156222	-0.7270984101778902	0.12149081854450752	-5.984801311644152	2.166541679030121e-9	9.044326718278468e-7
STX11	19.908500577933346	1.0410001875367532	0.1738061308454276	5.989433068172689	2.105737672418328e-9	9.044326718278468e-7
NINJ1	48.811924578950254	1.1805543662369125	0.1977692635855801	5.969352086534188	2.3819759191536392e-9	9.511333409350878e-7
