gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XIST	13.852108227176153	-7.946392878741271	0.308807313109295	-25.7325281539846	5.057484401131722e-146	5.480795845506447e-142
SAMD9	31.239919381069026	1.7418184216160835	0.14802374374477015	11.767155576198727	5.763518860672058e-32	3.122962694655155e-28
HBB	19.965073488924027	6.258371540107917	0.581752350274195	10.757793306994262	5.4458598195005044e-27	1.9672260954642323e-23
KCNJ2-AS1	7.466279039617012	-2.3010682985457613	0.21484249785648835	-10.710489412028906	9.088008959558503e-27	2.4621688273683874e-23
KCNJ2	12.21660847345263	-2.1219893929281417	0.20824818316857402	-10.189713833951775	2.2041205349005045e-24	4.777210847343354e-21
F3	36.939791105294304	-2.1403707870974595	0.21342518386642323	-10.028670226832542	1.1404209279795186e-23	2.059790266085674e-20
HIST1H1C	24.299839091201477	2.441723335968	0.24581166868512516	9.93330930557145	2.981913737861911e-23	4.616428453887076e-20
CYB561A3	8.660720011417977	-1.8770103770705746	0.1955326557321793	-9.599472630502765	8.035450086502486e-22	1.0885021573428431e-18
HBA2	11.229692341792449	5.947548530376514	0.625944201175456	9.501723187478461	2.0644534320394574e-21	2.23724818430116e-18
ZFY	14.545355978030488	2.5037505783726615	0.2632106415889945	9.512345561933198	1.864111199094304e-21	2.23724818430116e-18
EMP1	38.07698735196907	1.416264729515278	0.150148660332521	9.432416688759002	4.0074730241604404e-21	3.948089560256972e-18
EIF1AY	12.441228129531403	2.073340222380997	0.22604066469820164	9.172421365638872	4.625111677085716e-20	4.1768612703814925e-17
SNHG6	75.36794200242988	0.9725728391757777	0.10667533502924326	9.117129455549994	7.714041758653252e-20	6.430543887578869e-17
DDX3Y	37.244511759175424	1.6255820096119964	0.1792628472209041	9.068147889053694	1.2105717363420709e-19	9.370689933385016e-17
EEF1G	111.62445966147148	0.5831635632639517	0.06735244313876387	8.658387670696374	4.784838322338566e-18	3.4568861932788695e-15
NOP53	56.02453306405652	0.821812051027666	0.09658414183253099	8.508767955433315	1.7579124530917952e-17	1.1906560783847365e-14
DTNA	8.879325447553779	4.049533710100963	0.47635175646862243	8.50114155161661	1.8773527724952566e-17	1.1967571762077115e-14
ADIRF	10.782508952797315	4.8846990228784914	0.5818483810377783	8.395140696561185	4.6533668716898756e-17	2.8015853771390655e-14
GAS5	68.10878754857086	0.9821268669165854	0.11798894749700606	8.323888701028599	8.512353890511809e-17	4.855177847972446e-14
HBA1	4.591958053156732	3.9480372362106295	0.48285384801021924	8.176464270669067	2.9229414448551814e-16	1.5837958218947802e-13
SLC39A8	51.95132804637629	-1.3026492136631713	0.16048845317705915	-8.116778421597855	4.787216661140372e-16	2.4704317598465814e-13
LMNA	88.12250989004302	1.3304850862421176	0.1649968260927655	8.063701088977822	7.401861512658413e-16	3.6460896914854193e-13
RASGRP3	12.386272002392015	2.3758251508848724	0.297653637294724	7.981844846506718	1.441621698601421e-15	6.792545368584174e-13
UBC	174.46728558129166	0.302484481259099	0.038014427697276754	7.957096807241113	1.7612291085487393e-15	7.952683270559453e-13
C1orf21	25.878717316380456	1.114568812868365	0.1402252573515564	7.948416953687939	1.889099104613657e-15	8.188866798679281e-13
SNHG32	22.747774144082417	1.1932740524251537	0.15032638275138344	7.937888417089396	2.0565221591607456e-15	8.571742553394231e-13
GPR183	56.790155737578566	1.280402530886291	0.16262738985013156	7.873228071029359	3.456057865645626e-15	1.3871592255556166e-12
SNHG8	62.56329859845681	0.838234203720883	0.10890471299658294	7.696950670511238	1.3935166203806485e-14	5.393407005380388e-12
PMP22	9.614672426696146	3.1699225451599835	0.4164382041479777	7.611987837776716	2.6991196537873044e-14	1.0086330926928627e-11
CALM1	118.33149933132033	0.5749390041746468	0.07576392202387908	7.5885591560774674	3.234822812232038e-14	1.1685258272052866e-11
NRG1	13.896566185784273	2.3174713043425483	0.30764579773689443	7.532920395436383	4.961786338147676e-14	1.7345444692421408e-11
CACNA2D4	1.5802925210288876	-2.779064545892977	0.36933370891340156	-7.524535342493176	5.2908140943128315e-14	1.7917672606271297e-11
MAP3K4	11.009532536234097	-1.931252458570735	0.25679867851498794	-7.520492199332008	5.457040956390357e-14	1.7920591771030998e-11
PLD1	17.32061124791545	-1.9399985664477433	0.2610800472705997	-7.430665754541585	1.0805243800964322e-13	3.4440125609132456e-11
FABP5	28.432973334745274	1.4155239404876407	0.1906803320516477	7.423544553636669	1.1402678675926368e-13	3.530595108886116e-11
LDHB	27.823636368403736	1.3653477518849684	0.1841814948253545	7.413056090024816	1.2342165423879957e-13	3.715334630516308e-11
LDHA	58.87479911019301	1.1148379220633113	0.15059073580664528	7.403097648016908	1.3304384120621325e-13	3.8967462355452244e-11
PPIA	97.62575566401101	0.5766561065131206	0.07873514011814532	7.323999241607043	2.406880468904041e-13	6.864043063556077e-11
BCAR3	7.588809909151623	1.849747364491595	0.25424670090248064	7.275403605732873	3.453862471685219e-13	9.35737690141318e-11
IRAK3	43.678402309225945	-0.9231736029924154	0.1268454992352411	-7.277937400682584	3.389625424322521e-13	9.35737690141318e-11
MFHAS1	20.953660210281473	1.3151024330361338	0.1812475951185663	7.255833834241146	3.991949082691705e-13	1.0551402977836587e-10
SLC25A37	42.9738747909941	-1.1498681947754121	0.15859698181187204	-7.2502526948425	4.1599478235841017e-13	1.0733655848614502e-10
NCOA4	33.936419618205306	-0.6716326810220028	0.09304699239776817	-7.218209462922013	5.267653606223002e-13	1.3275712123404344e-10
HCK	21.311535829751502	-0.9625637892724668	0.13345768817328468	-7.21250159842909	5.493318564284022e-13	1.352979392753317e-10
DHRS9	8.191720169668194	2.1255074428622773	0.29684297586271147	7.1603764134385814	8.04558348250207e-13	1.937555293330554e-10
AKAP13	56.881091824719825	0.7034809162451248	0.09840882196362218	7.148555405989654	8.769585409313619e-13	2.0659999365376453e-10
FPR1	9.177387058465348	-1.4422542211060845	0.20206972163680298	-7.137408857811811	9.510664090570282e-13	2.1929163138193647e-10
AC058791.1	16.884068831327813	1.6840424894772417	0.23626113890947842	7.127886106239711	1.0192205549098916e-12	2.3011027403246866e-10
S100P	4.673143764902059	-2.2860076584157	0.32250879043898845	-7.088202635667886	1.3586493947749326e-12	3.004833365546111e-10
HOTAIRM1	18.483096538539936	1.7862012905076585	0.25361229993398743	7.043038886412795	1.8809170708170522e-12	4.076699659288879e-10
NPM1	87.41524447264487	0.7373010777623329	0.10527664483768066	7.003462913347309	2.497120353276811e-12	5.306135934992314e-10
CTNNB1	58.298135656476944	0.545982877737085	0.07879020509828175	6.929578074533934	4.220976234345795e-12	8.796676817616419e-10
TOMM7	104.08476017946568	0.48793918860759594	0.07069984378940931	6.9015596422108105	5.143466792977823e-12	1.0516933893490692e-9
ITGA6	4.3480838655962675	2.324094897021385	0.33944165682558053	6.846816972189135	7.551122544188647e-12	1.5153984261365254e-9
FBL	15.699937638341494	0.9192116435424593	0.13435839223706567	6.841490347105203	7.837348668965195e-12	1.5442426822831965e-9
TM4SF1	3.2008695730361456	4.136693211127572	0.60534870350763	6.833570778557769	8.28266013150831e-12	1.5747225937746589e-9
TNNT1	8.20116603551344	4.127289810452611	0.6039562018814754	6.833756814807209	8.271920555061232e-12	1.5747225937746589e-9
AC093583.1	5.691815292692453	-1.6800511864838275	0.24608271336880774	-6.827180842914026	8.659950376654518e-12	1.6180669350311209e-9
ACTG1	113.48534485637008	0.5117537311385972	0.07502705548637802	6.820922503502909	9.045773250095892e-12	1.6615092323947318e-9
FXYD5	75.45515112823239	0.6367525893715247	0.09349507802718991	6.81054663846953	9.722858521359938e-12	1.7561102965996275e-9
SGPP2	19.402572478623668	-1.5575194950803697	0.23152686525092434	-6.727165304952236	1.730001683727143e-11	3.023875523637266e-9
SNHG5	93.99884542328326	0.4929982815403107	0.07327244545217072	6.728290266524815	1.7166821014753678e-11	3.023875523637266e-9
ACTR3	73.99090247340975	-0.39384982746256875	0.05890089528165672	-6.686652648983145	2.2833296184804388e-11	3.927689377059129e-9
LY6K	12.72784705058611	2.387196289307827	0.35828292497318615	6.662880430281416	2.6851211526279345e-11	4.54666530172327e-9
