gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SNHG5	107.33600179081692	0.46489461123568915	0.02724361234747839	17.06435274831382	2.7340267345722105e-65	3.293408604465685e-61
H3F3B	183.61209164225173	0.36223846571942	0.028831740157617997	12.563877994846191	3.335735632588454e-36	2.0091135715080257e-32
UBC	169.63868121983649	0.3353075055989885	0.027021081242592764	12.409107636686658	2.3323775327401095e-35	9.36527325312912e-32
CALM1	176.86494202286886	0.32206196748629645	0.026142776607579916	12.319348182507776	7.126798561146091e-35	2.1462353866891453e-31
HLA-B	224.60734312972247	0.20593926056694367	0.01692738254067989	12.166042805024958	4.713867286073542e-34	1.1356649065608376e-30
UBB	111.63294479853637	0.49063496829585246	0.041396037816786385	11.852220506400652	2.095630950968994e-32	4.207328405895417e-29
H1FX	35.14741567229183	0.9657244046824004	0.08630549041421436	11.189605667582736	4.5846800890421185e-29	7.889579478943051e-26
MX1	17.768116020233943	-1.3028101586652197	0.11695654804902464	-11.139266508781715	8.078190804863308e-29	1.2163735804422925e-25
EIF1	224.47720885145088	0.35860811019109584	0.03256870853407719	11.010817632387178	3.3891389230829023e-28	4.536174163050737e-25
TPT1	324.9938618248155	0.19489357043117456	0.017715982065758657	11.001002919723184	3.779052617059139e-28	4.552246782509439e-25
CDC42	113.09616024555963	0.3535867885801789	0.032609170160890814	10.843170397640062	2.1489235206163978e-27	2.353266611758648e-24
GIMAP1	39.483763920744074	-0.8713639604688918	0.08265037805558988	-10.542770413981899	5.485859429895736e-26	5.506888557710337e-23
LINC00623	32.58343927051803	-0.7589825528451032	0.07206508634928993	-10.531903745544898	6.157636265033666e-26	5.705760496045811e-23
HIST1H1C	14.474138601082498	1.0802651459034105	0.10289431121335711	10.498783977118233	8.750001263741319e-26	7.528751087359139e-23
B2M	309.89210512356823	0.21972044665413698	0.021011324534233173	10.457239204323008	1.357535837378785e-25	1.090191779804323e-22
YWHAZ	112.09731546616997	0.3946069859894052	0.037885642565547537	10.415739559034247	2.10157762009077e-25	1.4891531771537304e-22
SMDT1	63.08581280465922	0.4237795502521499	0.04066396442378183	10.421501106869638	1.9780621934609781e-25	1.4891531771537304e-22
IKZF3	33.88467159584905	-0.83400490217753	0.08107769478874244	-10.286490067960477	8.107815041743073e-25	5.425929999602059e-22
EEF1A1	324.5892527177371	0.17612469757285248	0.01719780878852899	10.24111267537341	1.2973565556592523e-24	8.22524056287966e-22
RBM3	89.71869330317038	0.38470041325602067	0.0376686211881485	10.212755368307908	1.738563573302583e-24	1.0471368402001458e-21
TUBA1B	32.536468200990356	0.7722619552117854	0.07602523285883242	10.15796895546195	3.0537141874576007e-24	1.751668623910203e-21
TMEM245	13.656092311598703	-0.9758841882205826	0.09640172752667515	-10.123098550807063	4.3637771700722254e-24	2.3893663541222738e-21
PKIA	24.951797353120654	-1.2346466108113185	0.12230308086435332	-10.094975548332004	5.814556352624842e-24	3.045310687987776e-21
PTMA	258.0927499583484	0.17670059337200297	0.01772109703193786	9.97119947221914	2.0375309839957097e-23	1.02267075971718e-20
HSP90AA1	113.86583183761154	0.39090634633762517	0.03935673062503058	9.932388695137488	3.00957979504253e-23	1.4501359284432926e-20
JUND	132.0281681537616	0.8911332475638782	0.0900247871307612	9.898754287188764	4.214922443946731e-23	1.9528059907608584e-20
ARHGDIB	115.33037201242968	0.3018685097205336	0.030588027275211982	9.868845316649848	5.681484359249095e-23	2.534783725611652e-20
SRSF3	59.640676554212064	0.7734234780762075	0.08029100878868557	9.632753277664591	5.8150112745029985e-22	2.415435372850452e-19
SAT1	68.93761962860627	0.8023726411949461	0.08328583303673645	9.63396308758812	5.746926431843834e-22	2.415435372850452e-19
DEK	67.01267526815185	-0.41816884375088603	0.04349813791296524	-9.613488388574098	7.013184990782927e-22	2.8160275466323714e-19
TMSB10	227.42847783870798	0.35129133098058535	0.03673321421130444	9.56331588517722	1.1404301732033332e-21	4.431490924647532e-19
RSBN1L	27.68110686875535	-0.7009144004565562	0.07355955541870238	-9.528529590301874	1.5952668199199177e-21	6.0051825352360405e-19
EIF5A	48.7783787746212	0.4610260773007813	0.04840381456714005	9.524581511262928	1.6570822309830434e-21	6.048852289218708e-19
MYB	4.663621767697662	-2.4981098051028026	0.2625925947399832	-9.51325305870262	1.8479153004634697e-21	6.547055208642047e-19
TPM3	102.26703297673455	0.3285514723418663	0.03474719646803516	9.45548147011254	3.2153875611657967e-21	1.1066445303372338e-18
SF3B5	51.09755870112702	0.37454319666385805	0.03963238491865982	9.45043295861599	3.374320577317705e-21	1.1290851576213632e-18
SFXN1	24.65470143883761	-0.704723590830244	0.07477521502069169	-9.424561208352713	4.3190763820842544e-21	1.4061511918537007e-18
EIF2AK2	19.97217007760263	-0.7825515867720579	0.08317525304757369	-9.408466558249755	5.034276027445612e-21	1.595865500700259e-18
CDK2AP2	18.66876984783678	-1.00499943402398	0.1076070304032519	-9.339533209473355	9.675975508280333e-21	2.9886359223780743e-18
EPB41	54.75199087136383	-0.5063453041361898	0.054455481897552956	-9.29833483227229	1.426623498404347e-20	4.296276665444691e-18
BZW1	56.78636566253126	0.4753867343464937	0.05121083519886637	9.282932654787421	1.6487672879365605e-20	4.844158719630197e-18
FAU	262.6848504273278	0.16867962941482978	0.0182300020189265	9.252858515303814	2.1856764672067517e-20	6.268728267612507e-18
IFI16	54.841597618933626	-0.6882130755411477	0.0747188277863069	-9.210704931150845	3.239901245097244e-20	9.076244278707303e-18
DNPH1	18.819493139532973	-0.8716526386688269	0.09499283218312986	-9.175983267752565	4.4747181908623634e-20	1.2250558028892734e-17
UBA52	232.19796196980613	0.19650444373763526	0.021445386044475774	9.163017318974951	5.046610769942066e-20	1.3509216296604915e-17
SLC5A3	22.007259173410674	-1.2256592183011332	0.13575389059436063	-9.028538430353086	1.7397985674347852e-19	4.556002944199875e-17
ECI2	10.984154676111817	-0.9784341454721605	0.10931866733263707	-8.950293388547824	3.545387821500614e-19	9.086753552722638e-17
TOP2B	17.721838621374495	-0.7575713673024224	0.08489757214846079	-8.923357266067088	4.523626036263771e-19	1.1352416506840288e-16
IFIT1	4.217511959610447	-2.154830718837504	0.24229408602490085	-8.8934515661932	5.923948885663147e-19	1.4563242505448627e-16
H3F3A	142.72628263676037	0.21293231589341247	0.024157938546851523	8.814175741049052	1.2056880137600776e-18	2.904743562750779e-16
IRF7	7.676000823944416	-1.1314526529420867	0.12856188058313942	-8.800840869859476	1.3579478951456993e-18	3.2074196754755086e-16
HTATIP2	15.241034384449993	-1.0281650589158133	0.11701316951397191	-8.786746510554487	1.5395363645586801e-18	3.566395201437281e-16
LINC01578	96.66972540044387	0.43230621409889813	0.04946570829956601	8.739513270098895	2.341168853486288e-18	5.321079246999213e-16
TMSB4X	292.35274194459356	0.13368644258671206	0.015326618284913447	8.722500952366286	2.7212339038209542e-18	6.070367334338374e-16
DOK2	11.189724946901615	1.03086883062346	0.11831030736843363	8.71326305841807	2.9525043056220086e-18	6.466521248276857e-16
NACA	237.5208375476109	0.18059819968506896	0.020758000212606965	8.700173322832233	3.3137765728943163e-18	7.128170106622309e-16
ADGRE5	24.26988135476004	0.8942981891663463	0.10296650145687349	8.685331408884611	3.7763974851985495e-18	7.980786685386269e-16
GIMAP5	46.429866171984024	-0.9231407866826732	0.10635919786272091	-8.679463602895746	3.976396932779748e-18	8.258565077976696e-16
ITGB2	15.094693271964601	1.3541284562649825	0.15708901528348188	8.620134602163814	6.687545432393074e-18	1.3653927504848639e-15
MRPS6	40.55071517664963	-0.9322981504394278	0.10834055987338068	-8.605255054330708	7.61472461175444e-18	1.5287828778865665e-15
SRSF5	111.70921058115613	0.4721309501861235	0.05517463227941826	8.557029393420027	1.158130136550767e-17	2.287022233588613e-15
HLA-C	181.86010622976906	0.1897398232380524	0.022200881754817978	8.54649942887406	1.2687805878277982e-17	2.465117896931235e-15
CYCS	42.616710636738496	0.838231121991574	0.09879555773538348	8.484502149749622	2.1664426479461517e-17	4.142375894787198e-15
HSP90AB1	134.66007419510612	0.3261589201620986	0.0385382390434947	8.463254374285027	2.600177151682808e-17	4.894020932682985e-15
SESN3	49.47930714995745	-0.921866154003672	0.10919430847205241	-8.442437768994322	3.1078689358184505e-17	5.7595983385952386e-15
CLEC2D	74.87665506357348	-0.4118428412014339	0.04880312017006805	-8.43886292036765	3.204396281614633e-17	5.8485087285348284e-15
NSA2	110.77456604332197	0.27834155952270434	0.033258176919694495	8.369116569281307	5.805180119423647e-17	1.0437193987847351e-14
RNASET2	36.782705907656386	0.8061066737838666	0.09640848489898965	8.361366477529971	6.199593543310874e-17	1.0833787048419076e-14
OAS2	8.129891636907534	-1.2556822455793986	0.15017874356113667	-8.361251504732556	6.20563926897656e-17	1.0833787048419076e-14
DDX3Y	19.555599317529158	1.4401078865652406	0.1723691518438858	8.354788958232746	6.554979872837841e-17	1.1280183935457804e-14
TRA2B	60.740357802757444	0.7027871312968951	0.08418405587464205	8.348221334731258	6.929862027442305e-17	1.1757340560925354e-14
GTF2I	27.98033233575025	-0.65221206457779	0.07838132745411652	-8.321013253565871	8.721449563341269e-17	1.4591469644445684e-14
NDUFA4	88.43179928768986	0.32754073709589754	0.039399535230259394	8.31331474297041	9.306525691325468e-17	1.5357042257220082e-14
SFPQ	45.76696456751642	0.5777193661741283	0.06985315331512115	8.270483704120327	1.334166110188205e-16	2.171806076125286e-14
UCP2	26.83678140207785	0.6677483334519297	0.08079253051409077	8.264976096218076	1.397227380904655e-16	2.2441334707169966e-14
BCAS2	34.74810434378782	0.626435605944249	0.07619705281870265	8.221257683479454	2.013800503860894e-16	3.191873798619517e-14
