gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
IFITM1	28.29197052070556	1.4264026421561888	0.13364161425395152	10.673341908648885	1.3565772513225046e-26	1.3229341354897064e-22
IFI6	24.34099814006146	1.493585228374087	0.1803760495090913	8.280396607193724	1.2276571851162598e-16	5.986056434626882e-13
TIGIT	19.202865393060407	-1.4018522610349555	0.17972660166081028	-7.799915249499941	6.194876532659523e-15	2.013747864883189e-11
ISG15	39.27924527030207	1.1326778513740186	0.15119245028913572	7.491629702461471	6.802361506917098e-14	1.6584157353863886e-10
MX2	22.914532518305084	1.2607839539261598	0.18161869620740992	6.941928227952562	3.867837249698945e-12	7.543829771812823e-9
IFI35	17.03916757877033	1.298600204085984	0.19692153922808084	6.59450565527981	4.266751505940054e-11	6.934893447654567e-8
SYTL3	30.820493056547125	0.6676297280648071	0.10324039098577607	6.466749318653682	1.0013355591255838e-10	1.3950034817989563e-7
RSAD2	6.129230840254353	2.390201845636504	0.37411904271194124	6.388880470532149	1.6710460968351626e-10	1.8106712818151676e-7
ISG20	66.92433997935626	0.7364180116870523	0.11520813852624391	6.392065882735355	1.6365934987617226e-10	1.8106712818151676e-7
PRMT2	44.832074326614325	0.5312650869664596	0.08350424438936072	6.362132737700074	1.9897137190960436e-10	1.9403688188624618e-7
OAS3	6.342678618060298	2.1896873952617644	0.3504516270864377	6.248187270426585	4.152436307443603e-10	3.6813235336536376e-7
STAT1	22.783255761191107	0.8477454496876534	0.13779798571739796	6.152088836960551	7.646902105757395e-10	6.214382444612176e-7
IFIT1	7.518018088134659	2.236627986949532	0.36921809370235925	6.057742090918661	1.380454921247746e-9	9.615854565720014e-7
ANKRD12	82.05084556209007	-0.2646745485958316	0.043646561821013334	-6.064041187968347	1.3274313726805488e-9	9.615854565720014e-7
LY6E	47.851978845169626	0.7058002183116266	0.1172487287508475	6.019683333296054	1.7475862026074164e-9	1.1361640431885016e-6
GSTM3	2.4294404267706713	2.266808221976661	0.3783138122093776	5.991872749076625	2.0743821860851097e-9	1.2643359424188744e-6
TRBV9	2.903237257311241	4.151299726301667	0.7010163074520552	5.9218304655282035	3.1837775282942327e-9	1.8263646150544327e-6
TYMP	14.095204767048319	1.0357379902127313	0.17534318583715836	5.906918967325161	3.485650932311367e-9	1.8884482162166918e-6
SLA	36.69417830183849	0.4824771514604023	0.08187886643251889	5.892572436356818	3.802293277158865e-9	1.9515770546764867e-6
PROK2	7.948535019113549	2.1024237400065435	0.35851959452943416	5.864180848374624	4.513553335616326e-9	2.2008086064465205e-6
PAX8-AS1	1.949869072807855	2.646692226300659	0.4621707044289514	5.726655110195392	1.0243010938556251e-8	4.756659174895265e-6
ELP5	8.11235535804191	-0.948190980760648	0.1677346620430914	-5.652922116461866	1.5774279504051257e-8	6.992307896523084e-6
NCAM1	3.5167579297143123	2.2656618104771353	0.406747823168139	5.570187918474906	2.54464728913383e-8	1.0789304505927439e-05
SNHG29	100.24766324210121	0.30088499045349965	0.054330658125229775	5.538033236409046	3.058872217991438e-8	1.2429217445771876e-5
LINC00665	1.34125415071087	2.9058741690344743	0.5382304964432956	5.398940023348562	6.703577798116166e-8	2.614931627489154e-5
PTGS2	6.643130276803595	1.3616975020402675	0.25327921268115716	5.376270273527946	7.604461567991508e-8	2.648525328966185e-5
PLSCR1	11.194022079156685	1.0764174309593164	0.20000365108318946	5.38198890435051	7.366730683046897e-8	2.648525328966185e-5
ABCB1	8.856660982398425	-1.1388029130210862	0.21156984319753552	-5.382633440616699	7.340392257802872e-8	2.648525328966185e-5
RTKN2	1.19160015216366	-3.119276197540669	0.5815233148894144	-5.36397444036074	8.141042887068079e-8	2.737636214989238e-5
