gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DRAP1	63.62961162849016	-0.8701887540822446	0.11718650042529385	-7.425674040304567	1.1220701818990793e-13	9.557793809416356e-10
DSTN	99.02269621910916	0.7080156655759867	0.10222171407226545	6.9262746374557596	4.320672956603631e-12	1.8401746122174864e-8
SAT1	114.23286909728468	0.6523451426387932	0.09555370112042687	6.827000262571085	8.67085369993174e-12	2.461944393867286e-8
ERCC1	18.687810022013995	1.3372860009177885	0.20435790942748167	6.5438426369904565	5.995788777441037e-11	1.276803220156069e-7
TUBA1B	34.83377545338809	1.094608931166482	0.17653473963880414	6.200529898002443	5.627336818769264e-10	9.285034376052311e-7
SYAP1	54.52847430288966	0.8629736483309438	0.1397114946332625	6.1768263992609755	6.540291882638397e-10	9.285034376052311e-7
PDXK	22.88695447579392	1.1754043708455757	0.19405922656832442	6.056936285025021	1.3873850891320548e-9	1.6882494556038347e-6
MAPRE2	36.59466130820307	0.9522493674087231	0.15988366435708587	5.955889059947734	2.586617594632149e-9	2.754101083884581e-6
ZFP36L2	65.46605863168374	-0.8075661692138809	0.1366319374033849	-5.910522712048395	3.410238257607884e-9	3.227601053144884e-6
SRSF2	87.7992622231739	0.6367651361889829	0.10856102440478796	5.865504122498858	4.477701409450921e-9	3.814106060570294e-6
MAP1LC3B	87.52559943308081	0.5352141607857225	0.0924394134921108	5.789891352257445	7.043196834382922e-9	4.999495886272811e-6
EIF4A1	107.27548583453834	0.48097854471747087	0.08295648240259075	5.79796214578223	6.7125598334151335e-9	4.999495886272811e-6
DYNLL1	38.35567716406976	-0.9001447208853588	0.1588311800969875	-5.667304872605625	1.4506110262287891e-8	8.23753648094455e-6
VPS13C	28.818441534571708	-1.019476896047601	0.17968604656561707	-5.673656444298875	1.3978132748011876e-8	8.23753648094455e-6
CHMP4B	45.7240379342021	0.8996781963865742	0.15813503217650507	5.689303527521867	1.2755855911844592e-8	8.23753648094455e-6
CRCP	23.090697742731347	0.9623099816526345	0.1718936620190137	5.598286582237048	2.1648068359388226e-8	1.1524890392829307e-5
FCGR3B	9.021798856122453	-5.687290086545732	1.0320630751249107	-5.510603202093437	3.5760606331155947e-8	1.7918167336987434e-5
AC245297.3	50.12614044003951	-0.6617455236917692	0.1217378248923459	-5.435825096078052	5.454343863275596e-8	2.581116723743418e-5
CD58	49.63495054496206	0.6496701112292135	0.11973634093242477	5.425839024059252	5.7682929014240564e-8	2.5860167860173745e-5
AKAP13	98.9446102835844	0.5325851173186119	0.09860211470405221	5.401355933563202	6.613904480535473e-8	2.760305471600072e-5
CKLF	39.64762665909893	-0.8929078164146768	0.16546849559940974	-5.3962406147473425	6.805167281474702e-8	2.760305471600072e-5
TGFB1	146.00447789197295	0.5189572429678883	0.09717288208461447	5.340556252267993	9.266181879641206e-8	3.5876971477629e-5
LINC00623	31.742364230515086	-0.8969692173197886	0.16984833674491767	-5.281000888851085	1.2848006725915285e-7	4.380165582905486e-5
STAT4	60.38621129509389	0.6586587385320908	0.12489493097824206	5.273702730552257	1.336984094336025e-7	4.380165582905486e-5
WDR1	38.70025470326849	0.7994812272426118	0.15148357379512553	5.277676035844474	1.3083249940141164e-7	4.380165582905486e-5
HOPX	55.140798529998484	-0.6553952518604214	0.1239886584240159	-5.285929053438932	1.2506836277443284e-7	4.380165582905486e-5
SMIM14	7.615187972982121	-2.1794797547731655	0.41486807703401946	-5.253428440083248	1.492936971604308e-7	4.709939675602035e-5
PELI1	12.001404154072477	1.2114799878891682	0.2312753275394511	5.238258662426986	1.6209876884650618e-7	4.928342159070281e-5
FAM50A	18.863453169449432	-1.0312047602126122	0.19709995998634974	-5.231887212377054	1.6778812234449183e-7	4.928342159070281e-5
LDHA	192.736749856682	0.3967512286595332	0.07601318227247052	5.219505575195784	1.7940141485387e-7	5.093804172417549e-5
LARS	13.00859011652836	-1.6510804569200335	0.31706626425785023	-5.207367175390544	1.9153884973151942e-7	5.177072663909127e-5
DDX58	15.216996161634741	-1.2905567727107345	0.24796804444732998	-5.204528573781035	1.9448969857371691e-7	5.177072663909127e-5
KRCC1	12.761437546505794	-1.3252746230085093	0.25508638870281447	-5.195395292347431	2.0428529263285175e-7	5.273036735292822e-5
ATP1B3	53.251469965448	0.8289597517352267	0.16009355615018842	5.177970754535276	2.2431238328814628e-7	5.619684943671853e-5
FAM107B	113.24194041604285	0.4785882681463218	0.09256657519000439	5.170206061572009	2.338360071266887e-7	5.690900310586098e-5
TRIM22	47.349703905012944	-0.8650058264305828	0.16779952143710147	-5.154995789155599	2.5363662872013633e-7	5.8849063176069836e-5
CALM1	178.97199696436098	0.3626100279100193	0.07036145606111015	5.153532178115902	2.5562518637175204e-7	5.8849063176069836e-5
EVL	46.24316407568185	-0.7760769084081294	0.15131041321368463	-5.129038325420027	2.912260546303685e-7	6.528061929845998e-5
AKAP5	13.11979050972534	-1.6900301892032963	0.33343141925147785	-5.0685990930226525	4.0075432827044117e-7	8.752885559506712e-5
TMCC3	7.631386091319362	1.541453267454647	0.3055340350706749	5.0451114786543645	4.532570221315033e-7	9.652108286290362e-5
BST2	26.755024254266807	-1.3991979408038806	0.27802821626199314	-5.032575324964069	4.839343617355671e-7	1.0054031446984293e-4
LRRFIP1	108.61506998751389	0.6135715976090224	0.12216206716400638	5.022603266734865	5.097577275054161e-7	1.0338372197359844e-4
PSMB9	85.1890466699011	-0.535255443172149	0.10710317993473811	-4.997568172096289	5.805781679980288e-7	1.150084845350514e-4
LY6E	57.33829450178554	-0.7195543487213276	0.14457570501214834	-4.977007365524279	6.457486539385147e-7	0.00012501106896018792
H1FX	27.999723174174544	1.3027156228326506	0.264556307762274	4.9241525702091735	8.472671444063473e-7	1.6037825635673925e-4
LITAF	81.40318056151716	0.654639703214139	0.13439036371331253	4.871180381732171	1.109335031857392e-6	2.0541990872524488e-4
FIS1	26.28632366022378	-0.7953385951408283	0.16407128421759762	-4.84751855837259	1.2501534084854584e-6	2.2657035603147095e-4
RASAL3	17.01115899953128	-1.162647947790828	0.24017206487196968	-4.840895831955351	1.2925511764469599e-6	2.2937397752031675e-4
FAM111A	10.68833625399578	-1.4636148122873522	0.30337480668885536	-4.824444152966374	1.4039424736432576e-6	2.4405677531618916e-4
HSP90AB1	132.40929988437836	0.42537608449606473	0.08875596952568657	4.792647601837734	1.6459459274318424e-6	2.804033481972887e-4
BZW1	111.60854760977321	0.5738609684274488	0.12013576625537922	4.776770368347766	1.7813299488079354e-6	2.857029459521519e-4
BHLHE40	51.10928129276444	0.7155542615917379	0.15000258999509922	4.770279377276859	1.8397058306776745e-6	2.857029459521519e-4
SLC4A7	19.17391448765892	-1.1855667279554507	0.24789341517067645	-4.782566439448096	1.7307115537333642e-6	2.857029459521519e-4
CYBC1	11.687058268073674	-1.3738127723096247	0.2880108461823962	-4.77000359715479	1.8422262945988726e-6	2.857029459521519e-4
RTCB	28.62992208315634	0.7583424485570737	0.15899075219720668	4.769726780186886	1.844759571186705e-6	2.857029459521519e-4
GLIPR2	19.783930389035074	-1.1336673182443935	0.23844865763827158	-4.754345566349027	1.9909025577444002e-6	3.028304997654786e-4
SRSF3	75.40484593590377	0.5077178107868556	0.10697535628499173	4.7461193719631165	2.0735636690092777e-6	3.0987044443194785e-4
SRM	17.390157010865508	-1.0964556015039204	0.23179662128448722	-4.730248419618788	2.2424526441368008e-6	3.293312348751253e-4
KLHL18	10.197093499085863	1.2533864341127248	0.2683481333335436	4.670747728119378	3.0010531749389438e-6	4.332706939683038e-4
MYCBP2	25.66077259812486	-0.9375321146863365	0.20117416902559188	-4.660300669948688	3.15747807773583e-6	4.4825663776923e-4
HNRNPA3	117.10675641800759	0.37369829654353975	0.08033104573747947	4.651978486185523	3.287653857349963e-6	4.5908582880175387e-4
FNBP1	82.83309079604481	0.5687483833959007	0.12271391279715586	4.6347506198097745	3.5736803625065476e-6	4.909775698037221e-4
H2AFJ	17.355829322023517	0.9881444910253604	0.21364708414248768	4.625125098203245	3.743723793262378e-6	5.061752265239514e-4
JMJD6	31.459577150131608	0.7709362729831513	0.16775906230294543	4.595497032470093	4.317189378072677e-6	5.745909237878604e-4
