gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
S100B	15.131234166631414	4.348341821932085	0.6007120299085121	7.23864614896148	4.5318568723972835e-13	2.7834664910264116e-9
STK17A	89.66921788318975	-0.48470313781696883	0.07693660556802899	-6.300032789832194	2.9758268497783625e-10	9.138764255669351e-7
FCGR3B	10.996174370710516	-3.854688795564451	0.6293972215620119	-6.1244134284515015	9.101828437477715e-10	1.8634476754329374e-6
DIP2A	21.050638817591416	1.2791879957062002	0.21874265848661928	5.847912814794877	4.977793207579855e-9	7.643401470238867e-6
HERC5	13.661809720520747	-1.4055506023045063	0.2579291448058149	-5.449367125078836	5.0549372497566454e-8	6.092985256262363e-5
MX1	11.993175105278775	-1.6536661097896137	0.3050912950449938	-5.420233669878181	5.9521184528775934e-8	6.092985256262363e-5
ANXA2	37.71270731326958	0.8488660439251953	0.15912144224223046	5.334705568046367	9.569971477169171e-8	8.396966401824722e-5
PPP1R2	43.47635487799288	-0.7138162599010299	0.13644988093963134	-5.231343955637742	1.6828205577140763e-7	1.291985483184982e-4
DDX3Y	26.857510753466826	2.044482310753865	0.3953831538403054	5.1708887718054575	2.3298322002812747e-7	1.589981041569732e-4
XAF1	28.089683649161824	-0.9224769254272135	0.18123639262844032	-5.089909990199478	3.5823351762934447e-7	2.200270265279434e-4
SLF1	9.42089318663151	-1.194676864789133	0.2388076679910398	-5.002673803732123	5.654056691944834e-7	2.698415496243496e-4
OAS2	9.395994572087753	-1.3590523174022624	0.271770844151721	-5.000728910580073	5.711397175376986e-7	2.698415496243496e-4
EPSTI1	15.735857633575026	-1.1987285792272908	0.23951977151791878	-5.004716611203064	5.594427175957313e-7	2.698415496243496e-4
PDCD4	56.807946882384584	-0.5229400413424109	0.10559365040574226	-4.9523815052611635	7.331069809650082e-7	3.2162450550622e-4
NF1	10.120105739557383	-1.0964839933335464	0.22222208497801332	-4.934181017345925	8.048776756423834e-7	3.2957057891970124e-4
USP33	19.869841482335403	-0.5768969185163318	0.11852394259518594	-4.86734499278936	1.1310748260477009e-6	4.307890514525928e-4
EIF2AK2	24.945336766047216	-0.9586329140900954	0.1975695226514464	-4.852129524963841	1.2214280573981871e-6	4.307890514525928e-4
IFIT3	14.249217122033269	-1.395351244615649	0.28796432769336977	-4.845569782176101	1.2624882654097476e-6	4.307890514525928e-4
