gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FCGR3B	9.387935915983903	-5.098822733782046	0.6273286131992056	-8.127833844178467	4.3702969901955735e-16	1.870050082104686e-12
PRMT2	66.67951316063785	0.5932211900229434	0.08176988502537716	7.254763655823144	4.0236378654180595e-13	8.608573213061938e-10
S100B	17.796267670774757	4.597857827769733	0.6751809599821559	6.809815590610328	9.772393101622808e-12	1.393869002728133e-8
DIP2A	22.923734781640707	1.4965421593957486	0.23217429213063395	6.44577031187291	1.150147351709688e-10	1.2303701294914386e-7
CALM2	98.83186948839538	0.32907308253977935	0.06133091579835081	5.365533487576394	8.071030335552945e-8	6.90718776116621e-5
TIGIT	20.057183803506224	-1.149025987215689	0.23815693634028842	-4.824658919754969	1.4024305724294341e-6	8.572857742036498e-4
MRPL54	37.97694825700188	0.4958858415394324	0.10249752006399851	4.83802770281472	1.311338676180459e-6	8.572857742036498e-4
GZMM	106.21537453286648	0.5874301778331564	0.12491746359097307	4.702546473058599	2.5693671288530974e-6	0.0013742902430453005
ANXA2	34.44500513251312	0.7422962663878736	0.1602773913719856	4.631322359527854	3.6333765761857094e-6	0.001554721836949865
HBA1	14.000747269651278	2.6377532645308657	0.5684775735276861	4.640030473255602	3.483578050634923e-6	0.001554721836949865
CALR	83.82555156130019	0.3359940121346455	0.07498017196764505	4.481104848354195	7.4257617400204514e-6	0.0028886213168679556
ZMYND11	15.454703056063574	-0.6319396915066018	0.14334793385015626	-4.408432507769367	1.041214566341837e-5	0.0037127976078139336
SPOCK2	36.37448457301665	0.7108692870954915	0.1641719090051217	4.330029975306642	1.4908904614713053e-5	0.004907323295873627
CAPZB	49.0680069316421	0.3815778235589273	0.09119405411652744	4.184240159685723	2.861215060277361e-5	0.008745099459233449
DOCK10	17.7534702615701	-0.6999320433143894	0.17038383677647959	-4.107972073857011	3.9914835155209553e-5	0.011351792176458082
SH3BP5	26.416049071180435	0.6102226168101417	0.14940791148562294	4.08427245078559	4.42151296004909e-5	0.011351792176458082
GTF2I	34.52052086937258	-0.47642215983675096	0.11677954621235838	-4.079671271974277	4.509943140915807e-5	0.011351792176458082
FBXO9	15.446559321408932	-0.6777720199287788	0.16803421896433607	-4.033535693540079	5.494383039264856e-5	0.013044497319062914
COX6C	112.25228390553998	0.21376854386531705	0.053321822304440325	4.0090254726255985	6.0969840238667514e-5	0.013044497319062914
HOXB2	11.080392722443676	-0.8572496232236773	0.2134099973860353	-4.0169140795827225	5.896521037217334e-5	0.013044497319062914
NDUFA12	47.84998545734849	0.2976977110434199	0.07594890494320908	3.9197103798405504	8.865544273776312e-5	0.01806460187975659
MYOM2	18.334254425758246	2.727310838196556	0.6995912193746574	3.898434918371922	9.681641345499015e-5	0.018830792416995583
ARHGDIB	136.36282680443114	0.2837691514941394	0.07340019693469028	3.8660543614975627	1.1061029330292531e-4	0.02057832369753119
CHCHD2	123.7201444307018	0.26138626444176216	0.06789719176136418	3.849736015009974	1.182451971480815e-4	0.02108213327486003
NF1	10.241206550171832	-0.7902053665498037	0.20826555543441688	-3.7942201479333937	1.481082229859479e-4	0.02535020344627484
MED13	18.16293691772241	-0.4647350579624474	0.12318962678310287	-3.772517784964928	1.6160844277675272e-4	0.02581393111011281
DDX3Y	16.534281907495135	1.2237400239200595	0.32455144000915326	3.770557985771213	1.6288294928091745e-4	0.02581393111011281
NCOR1	42.268358235687856	-0.3986260452506993	0.10703832166912837	-3.7241432697619516	1.9597961275200196e-4	0.029949884391636303
S100A6	156.54823120796718	0.26313376735549177	0.07188273103019924	3.660597804011432	2.5162747984621667e-4	0.030546640814982585
ZBTB38	32.32852515407833	-0.6793859655386658	0.18413157289732338	-3.6896766526700415	2.2453926534808367e-4	0.030546640814982585
RHOH	19.5396629437505	-0.8368633382118924	0.22719367374642505	-3.6834799332745973	2.3007140323255646e-4	0.030546640814982585
NEDD9	11.429953775364341	0.6918985616764833	0.18800598153076314	3.6801944068107693	2.3305620699188892e-4	0.030546640814982585
CD63	101.46042246378863	0.28232630579713863	0.07723990380213747	3.6551871752761786	2.569944074174744e-4	0.030546640814982585
MLEC	20.75382281753248	-0.5188424406340731	0.14125688984972545	-3.673041656134705	2.396803932028978e-4	0.030546640814982585
SAP18	84.59609633916224	0.2207819882290897	0.060330082771090095	3.659567136130094	2.5264164894133617e-4	0.030546640814982585
IRF3	19.80616470508287	-0.6429860800349623	0.17345465788068967	-3.7069404067386795	2.0977828076149926e-4	0.030546640814982585
TXN	37.46802288325681	0.40052195975476684	0.11007851817706028	3.6385115496425104	2.742183323692655e-4	0.03171297957319154
PTPN22	40.386008323056465	-0.40850264151838833	0.11418957240961136	-3.5774075767009754	3.4701885964435287e-4	0.03177313804335006
DCAF8	12.934780400669283	-0.5672289688122247	0.15886924521932183	-3.570413946570685	3.5641753355475646e-4	0.03177313804335006
PARP1	17.702121595890315	-0.5566504711208188	0.15466469397303875	-3.599079122853044	3.193460232752693e-4	0.03177313804335006
IL1B	35.816755700862984	1.0630837938720141	0.2941587343218325	3.6139800381005105	3.015322874347868e-4	0.03177313804335006
HLA-A	285.54625098744395	0.14609094570668898	0.04082041586441778	3.5788696075983175	3.450835766231625e-4	0.03177313804335006
HSPA5	107.70461835563668	0.31846377941250875	0.08873102810256288	3.5890915074758425	3.318323563926563e-4	0.03177313804335006
CCND2	37.33578929630688	0.5142030688292628	0.14340156093837883	3.5857564273670723	3.361025568257095e-4	0.03177313804335006
KRT86	8.900175653545121	1.087605204334361	0.3033398150527496	3.5854350479683346	3.36516752262968e-4	0.03177313804335006
EIF3G	84.0033529672366	-0.2606362652024502	0.07294348851897306	-3.573125860777238	3.527451087938198e-4	0.03177313804335006
NOP56	25.571873744536497	0.44322873696358905	0.12272526924057327	3.611552369828141	3.0436960277299e-4	0.03177313804335006
SMDT1	37.37988384666681	0.3915190588930319	0.10815336211408325	3.6200359493220975	2.945620880334866e-4	0.03177313804335006
TRIM44	20.208269950228733	-0.4277551290763303	0.12043616208795638	-3.5517167075112717	3.827266839986536e-4	0.0334221934863314
PAXX	64.12309290597321	0.3356260376588382	0.0946663112507368	3.5453587788995633	3.920790188392527e-4	0.033554122432263245
MYL6	164.2523069503863	0.18815930713460013	0.05327959521367911	3.5315453576548896	4.1313900125413273e-4	0.034663172281694785
MIR4435-2HG	8.605234698138428	1.0424071985077479	0.29673176784578864	3.512961237940275	4.431421204377511e-4	0.035945904291286794
SLF1	9.682273498132846	-0.8759524793299351	0.2494373777001575	-3.5117129894738386	4.452285411166628e-4	0.035945904291286794
COMMD3	13.181903315847833	-0.6702799256242354	0.19215385306868282	-3.4882460846863834	4.862003721463499e-4	0.037826388952986026
A1BG	8.4383027131999	1.1236433495030598	0.32186827451427225	3.4910037380935948	4.812095205277477e-4	0.037826388952986026
SP100	68.63514533572246	-0.28702232173669917	0.08325511749014064	-3.447503653702601	5.657927543204954e-4	0.04274210068950058
ATP5F1E	193.2972512589145	0.18194678269011963	0.05280240900836938	3.445804577993409	5.693619395423073e-4	0.04274210068950058
TMX4	32.10770226510416	0.38101513935766373	0.11072618487694502	3.441057233039348	5.794459538281729e-4	0.04274912476604745
UQCRH	80.37118906988968	0.2333346337316954	0.06807493646626818	3.427614417933612	6.089096448530703e-4	0.04416143000553031
SDF2L1	34.1972096849673	0.38811000014750463	0.11341563954589785	3.4220148270683737	6.215892382240777e-4	0.04432967250601381
NDUFS5	75.19338472335056	0.34671406242991104	0.1017637089268671	3.4070501761986534	6.566905355302759e-4	0.04517091972894306
PIM1	36.7807077655936	-0.48588062563865875	0.14325185595752646	-3.391792883875237	6.943690684873897e-4	0.04517091972894306
TRAC	11.147581977666851	-0.9469807660734614	0.2782997321771915	-3.4027368932950512	6.671449199836475e-4	0.04517091972894306
ICAM3	39.53360310440778	0.39875493935331874	0.11759681383329296	3.3908651633929456	6.967236976186591e-4	0.04517091972894306
YWHAB	87.50546944738414	0.21002214400385105	0.06168145778570922	3.404947800253035	6.617670222544488e-4	0.04517091972894306
CRELD2	10.050737836259087	0.6410437972980533	0.18895673212351885	3.392542780000081	6.924711793462058e-4	0.04517091972894306
SMIM14	9.808345798356187	-0.754687565106133	0.22370452063339852	-3.3735910341431876	7.419450884550002e-4	0.04673217339294405
CKLF	49.74475652444831	-0.3314273761368459	0.09824930206977253	-3.373330590190657	7.426472986025228e-4	0.04673217339294405
SLC4A7	13.721238597754963	-0.7940352320338243	0.23637857422761166	-3.3591675329644666	7.817765722807045e-4	0.04848147757665412
HLA-E	205.08449102664662	0.16603780537308724	0.049696111893510045	3.341062289317056	8.345849683465901e-4	0.04928329055600595
HLA-B	308.3977726159355	0.1416343280272848	0.0425608743807503	3.3278058801194192	8.753283669680888e-4	0.04928329055600595
MLLT3	9.943649872820057	-0.7159214189835006	0.21427095299251123	-3.341196783721413	8.341807669585606e-4	0.04928329055600595
TOMM5	45.337399933468774	0.30880145015661636	0.09272659470323087	3.3302360681412666	8.677238324699088e-4	0.04928329055600595
PSMB7	23.91558348294382	0.47015395694291834	0.1409456491479108	3.335711033190749	8.508155075567314e-4	0.04928329055600595
KLRC2	25.804022258434806	-1.3085330179207102	0.39178744305564583	-3.339905454128754	8.380691605844199e-4	0.04928329055600595
PPIB	111.87042532180887	0.2101185940705949	0.06312048919925768	3.3288492648923573	8.720558736193719e-4	0.04928329055600595
HBA2	15.210378859386184	1.7997640598077032	0.5456311254587897	3.2984996196732466	9.720301176231587e-4	0.05401710225077268
CCDC82	27.43607799876785	-0.3986380617881476	0.1216212237721269	-3.2777014522978947	0.0010465602171235544	0.057413220116303704
TSPAN2	12.38401213882363	0.7206391169467127	0.22044173856433902	3.2690683789739032	0.0010790222197375862	0.05753372992448194
THOC7	23.87103926305255	0.3490431615372731	0.1066374077340473	3.273177480155777	0.0010634567893480745	0.05753372992448194
CXCL3	15.612279413666927	1.7084841127802417	0.5230418373084504	3.266438726148607	0.0010890937424358582	0.05753372992448194
NIPBL	32.91671802720987	-0.3563763622884239	0.1093120387631097	-3.2601748747978956	0.0011134354025799198	0.05810231814194484
ARAP2	40.836296407117224	-0.34771236932130584	0.1071158185122001	-3.2461346433319056	0.0011698349750101	0.05919548000778341
TTC3	26.803503438776097	-0.38870939165642165	0.11960114992008468	-3.2500472772724196	0.00115385824380476	0.05919548000778341
SNAP29	12.899945498203516	-0.488870455123683	0.15066897602127083	-3.2446656772570504	0.0011758859080770248	0.05919548000778341
NEK7	8.940930513427663	-0.7351964490219388	0.22863941416732825	-3.215528047512797	0.001302047705243266	0.06190513478595484
SUCLG1	18.945744121325585	-0.4510562539102211	0.14021336650394867	-3.2169276379047536	0.001295712745003176	0.06190513478595484
CCS	8.957741204158031	-0.7582757181791043	0.2353480624437539	-3.2219331245198823	0.0012732885088122495	0.06190513478595484
HSP90B1	101.24467382435994	0.2337907074196212	0.07252040625070665	3.22379202636283	0.0012650523868778115	0.06190513478595484
TBCD	9.080784034388678	-0.9272181267185075	0.2881772678566168	-3.217526953513373	0.0012930087740849136	0.06190513478595484
PPIH	12.223382699619034	0.5779064344377869	0.18040474211524812	3.2033882683006327	0.001358207314474435	0.06317140324604464
MRFAP1L1	15.957814220109366	-0.5114406271749329	0.1596111846558164	-3.204290653426307	0.0013539571541155116	0.06317140324604464
ITGB1BP1	19.940670445541397	0.46960852507553263	0.14706600311552043	3.1931820755790508	0.001407141910295189	0.06405489610801185
XAF1	28.89534422214464	-0.60077871243121606	0.1880347459342408	-3.1950409454714257	0.001398110036996211	0.06405489610801185
SP140	9.774108446394656	-0.76698258741135	0.24071252464589687	-3.186301122218834	0.001441045249256757	0.06423158980801731
STT3B	16.118305883158495	-0.5105776134660646	0.16021337272309788	-3.18686015273215	0.0014382629859260659	0.06423158980801731
SNX3	36.64956027641507	-0.3179261364086176	0.09998042882778337	-3.1798837046022923	0.0014733416805169717	0.06432217031593658
PPIA	139.31247118186064	0.18233699384288155	0.05742795825220901	3.175056181557139	0.001498074934385807	0.06432217031593658
KLRC1	24.152578444215195	0.7805389693092631	0.24591154466441656	3.174063952037821	0.0015032056629104133	0.06432217031593658
FUNDC2	21.292282082898563	0.4392009560275738	0.13799329230522733	3.1827703266627285	0.001458732746155875	0.06432217031593658
APPL1	25.984798916998447	-0.3241286805739523	0.10284691159967514	-3.151564549022161	0.0016239826307641175	0.06880219482217484
UGGT1	8.654992549989357	-0.5975231817927708	0.19149758043988546	-3.1202649162470437	0.0018068845848179817	0.07092975969051557
SNRK	20.758235201571047	0.4646912709282306	0.14834300960102728	3.1325457948981277	0.001732973906600626	0.07092975969051557
RNF19A	61.38855529862476	-0.2947565816403987	0.09424163893880014	-3.127668246854361	0.001761989410651018	0.07092975969051557
AKAP5	11.539258039964295	-0.6992684646614602	0.22365625203740838	-3.126532159469889	0.0017688115751616836	0.07092975969051557
GABPB1-AS1	19.511250911495043	-0.5504526474582285	0.17671499813663663	-3.1149175410262386	0.0018399633852879712	0.07092975969051557
SEPTIN1	16.658281826104034	0.5973570914686629	0.1916887924944993	3.1162859533679033	0.0018314458358463983	0.07092975969051557
BPTF	51.65755793640077	-0.32383811791646483	0.10352927243616199	-3.1279860303871954	0.0017600854660946336	0.07092975969051557
MAPRE1	24.501303566100713	0.41302592098793567	0.13239696207639404	3.11960270470267	0.0018109511567784655	0.07092975969051557
ITGB2	74.27797852062047	0.6216173508987115	0.19904948513900042	3.1229287052142993	0.0017906111710285074	0.07092975969051557
P2RY8	22.344422863388264	0.47543332901151414	0.15143019988272402	3.139620296213808	0.0016916694306054188	0.07092975969051557
FAAP20	18.117076849537508	0.5267839990594103	0.169689625008353	3.1043972136391917	0.0019066716419220795	0.07220042438747414
DTHD1	18.05001499160855	-0.6809616090576552	0.21933262052828661	-3.104698277061956	0.0019047321592419086	0.07220042438747414
MBP	100.90728481425369	0.1852308829747261	0.059822337810487146	3.0963497876248867	0.0019591909846283923	0.073538405466885
