gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HLA-DRB5	47.3256108146492	-2.185630595270754	0.2576987016477863	-8.481341121609525	2.2261289392890745e-17	1.7964860540062831e-13
TGFB1	84.632884788237	0.8920631254909447	0.10843203169466069	8.226933605772055	1.92066848316609e-16	7.749897329575173e-13
GUK1	95.13204659193038	0.7244623263024645	0.09605155962539676	7.542431680733597	4.612877972889176e-14	8.230566907200602e-11
HSP90B1	132.3676875815717	0.6675805391947603	0.088921895882348	7.507493318383944	6.027025966497289e-14	8.230566907200602e-11
CALR	116.31983832711023	0.7711722084008998	0.10246011337286909	7.526560170731787	5.2094479058797057e-14	8.230566907200602e-11
SAT1	218.9411602013216	0.551075175168454	0.07342283058327015	7.50550163744327	6.119380600149146e-14	8.230566907200602e-11
HERC5	33.98324143780855	-1.9770852356738684	0.27746030104980224	-7.1256508703888235	1.0358999200362594e-12	1.1942446220989449e-9
RNASET2	57.90001992641162	1.0141055875477567	0.15098061004448987	6.71679354884662	1.8576686890608543e-11	1.7429912309490023e-8
DRAP1	58.48354011039844	-1.2121658204992218	0.18064582136796248	-6.710179130189387	1.9438563913929396e-11	1.7429912309490023e-8
LITAF	56.3737505056418	1.4052205966625928	0.21329171692374976	6.5882567636930265	4.450205644105384e-11	3.5913159547930446e-8
BAX	29.294978363284677	-1.4299881794661404	0.21924336164823943	-6.5223784597886985	6.920113373569172e-11	5.076846811336656e-8
GNG7	59.33268734715547	1.1611885633141177	0.1804217051938281	6.4359693423063815	1.226877972857085e-10	8.250754367463896e-8
SYAP1	44.524713574638064	1.0653221179539596	0.1662493937551268	6.407975956430261	1.4746415643303458e-10	9.154121095496838e-8
CALM1	180.01211068065095	0.45801683849855435	0.0725049417961855	6.317043047714725	2.666153351933546e-10	1.5368469678645513e-7
EIF1AY	24.436475167743886	-2.0880715449556893	0.33198102512623145	-6.289731601864074	3.180153235722046e-10	1.7109224408184606e-7
LY9	56.325408181817565	1.4028144371423266	0.22889740336267692	6.128572961221559	8.867076532143737e-10	4.472331725899997e-7
SNHG9	25.20542597481353	1.2592937313000947	0.211512518015429	5.953755092680775	2.6205887181841876e-9	1.2440088797497878e-6
PCMTD1	28.680909053038388	-1.2668567095514183	0.21497017353969722	-5.893174335264122	3.7884634057595e-9	1.698494426915509e-6
BST2	30.284057814375775	-1.8371651288923563	0.31452163595732285	-5.841140700227184	5.184459363533351e-9	2.2020308980902182e-6
ARL4A	34.52417588790093	1.0995331960641717	0.18903201952483825	5.8166505273975355	6.003847835209247e-9	2.307192953816125e-6
UBC	282.6258908742623	0.35156459599582324	0.06041508436300367	5.819152612341803	5.914671288442679e-9	2.307192953816125e-6
IL2RG	76.79055005230053	-0.6497323930390537	0.11331977683637673	-5.733618713150196	9.831020023770152e-9	3.6061968905375058e-6
WTAP	52.83974174999374	0.7565318829627866	0.13323294851537743	5.678264208612553	1.3606843255792105e-8	4.774227177140969e-6
SNU13	118.3265701097015	0.6293045194225565	0.11250811068381061	5.593414693373839	2.2264664343085726e-8	7.486493385362575e-6
UBE2D3	116.64945928046741	0.5077459449163457	0.09151434420727164	5.548266223340327	2.8851632784034555e-8	9.313307062686354e-6
LYSMD2	62.4809333775754	-1.107604330485472	0.2009984979076037	-5.5105104864744945	3.577944926151543e-8	1.0984416571575171e-5
IRF3	11.397322540555292	-2.120734010640634	0.3851822395891589	-5.505793862413387	3.675083611307678e-8	1.0984416571575171e-5
EPSTI1	39.59232963802338	-1.405054994668103	0.2560921497589808	-5.486521144792841	4.099263752564958e-8	1.1814663743999718e-5
TUBA1A	36.422122292657065	1.243488794747744	0.22711901974376564	5.475053547477621	4.373793319940026e-8	1.2171211066177933e-5
ELL2	25.99130490710961	1.6631907888070858	0.3048313587629501	5.456101352421731	4.867021932002757e-8	1.3087753016644394e-5
CCDC91	20.829543102426037	-1.3380554460776586	0.24549968754233106	-5.450334619456247	5.027513550383844e-8	1.3087753016644394e-5
RBM3	169.39812784802058	0.5776944185653263	0.10616093598810204	5.441685429658149	5.277881535964558e-8	1.331015749851062e-5
