gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CCL3	59.077921401309894	1.802689487304406	0.3012367216466117	5.9842952660306334	2.173287594975234e-9	1.3194028989094646e-5
IL1B	48.76810614386705	1.9837232980254615	0.38072124368162236	5.210435012353415	1.8839836584735574e-7	3.812554930197656e-4
TGFB1	73.67461483298484	1.1926849467993186	0.2265314700516864	5.264985684007571	1.4020028212683243e-7	3.812554930197656e-4
ZFP36	47.35396848227487	1.3084210054732028	0.27073971981893247	4.832763387464016	1.3465078905816037e-6	0.0020436623509302292
CLEC2D	125.12556235346	-1.1981182159785697	0.27368712961223723	-4.37769294331113	1.1994216689204773e-5	0.014563377904032436
LYSMD2	74.58132265578188	-1.6528976785914704	0.392057778199625	-4.2159543069946706	2.487241222360816e-5	0.02516673576825419
SOD2	90.56977092460745	0.8590439931885246	0.2125690810763351	4.041246209650009	5.316790061251447e-5	0.04034779057732192
CCL4L2	27.854801185544563	1.6526152051362673	0.4070542878366742	4.059938083244955	4.908573064523286e-5	0.04034779057732192
LINC01857	13.566052880522268	2.4818947102442084	0.6329453365427508	3.921183342309964	8.811518605382022e-5	0.05349472945327426
CXCL3	17.313728875371233	2.2455101833730478	0.5723426022425862	3.923367183527067	8.731991277933437e-5	0.05349472945327426
SAMD9L	51.812996192412385	-2.0372616123926313	0.5263469571830625	-3.87056785375141	1.0858212807471468e-4	0.05992746359469025
EBLN3P	44.831906265322516	-1.6491294274095734	0.43114329382622185	-3.82501467847086	1.307642952050467e-4	0.062088456222177575
RIC3	18.18391575122408	1.5803836938310702	0.4136127824517168	3.8209256601385544	1.3295172638581922e-4	0.062088456222177575
CXCL8	108.51884316438807	1.0780818062495943	0.2859831915276298	3.769738355918156	1.6341877476614303e-4	0.07086538440037532
DTX3L	43.44470353939104	-1.5925459831588848	0.427906938338762	-3.721711055542901	1.978773757265554e-4	0.0800875698690612
BHLHE40	18.433462579563056	1.5354117836694905	0.41855253104301404	3.6683848974543616	2.4408753720527856e-4	0.08716796696313213
EPSTI1	48.890307359013576	-1.8514277888864779	0.5036350128841137	-3.6761300178160785	2.3679886981479376e-4	0.08716796696313213
LYZ	10.418790648278728	2.6436972725199848	0.7290861753206995	3.6260422457703503	2.877982916344808e-4	0.0923292725343
ADGRE5	44.939917406388616	1.2520775242027702	0.34540029213506895	3.6250042420726865	2.8895670863971336e-4	0.0923292725343
CKAP4	9.536964350579877	1.9967992821721043	0.5549471503268358	3.598179179758091	3.2045282519100064e-4	0.09727345508672824
CD52	124.49240227295604	0.8186262094385256	0.22949171283729805	3.567127541633297	3.609158407130313e-4	0.09959636677130969
XIST	25.414153701463253	-7.389621651698433	2.071521737230729	-3.567243113546612	3.60756753698379e-4	0.09959636677130969
OIP5-AS1	37.72967934686877	-1.5768674775516798	0.4482432881890452	-3.5178830762249826	4.3500398562478675e-4	0.1148221389881774
HERC5	44.389106512217346	-1.9099182908891725	0.5503665498760272	-3.4702659369821642	5.199432901640818e-4	0.12626302858344562
CARD8	34.28902720381708	-1.895538224699678	0.5453669652337022	-3.4757114851784183	5.09500093490501e-4	0.12626302858344562
SLC12A6	25.854489056910378	-2.1364864622130773	0.6185842008776393	-3.4538328964462037	5.526797168947126e-4	0.12905071389491538
JUND	237.93601763944397	0.5615280994679372	0.16357509565261524	3.4328459184303677	5.972814255855656e-4	0.13429983461962847
SELENOM	6.5604230501128455	2.1353379377360557	0.6351625433757709	3.361876357486591	7.741477919074833e-4	0.16785183016679753
PHF11	47.30855144429575	-1.2655917823592402	0.3796093960027892	-3.3339316562910923	8.562769438226147e-4	0.17925714917058944
OAS2	31.423832104104157	-2.052145808499775	0.6215265103281032	-3.3017832295141347	9.607228571721487e-4	0.19441828219640384
SAT1	198.90033563253098	0.48828297233013734	0.1492228449772459	3.2721730536942433	0.0010672422944515451	0.20900735385855904
PKN2	35.78388431318405	-1.696320144882418	0.5246610256056543	-3.2331735389039666	0.0012242317015939465	0.2252215351629348
CHCHD2	157.46397447690157	0.5526325417767276	0.17062521600435654	3.238867939441128	0.001200051239840184	0.2252215351629348
ATRX	69.82042339116197	-0.9072392319919312	0.2822153800991656	-3.2147051364569257	0.0013057857761669639	0.23315957197381287
NDUFC1	45.33240745180729	0.8363706704194018	0.26130340701719806	3.2007645057775878	0.0013706350331063133	0.23774643674252652
SMDT1	79.36766251705332	0.7000323201231234	0.21928092019543172	3.1923995918077472	0.0014109599052760371	0.23794271069252282
EIF2AK2	68.38665844735347	-1.1096225894145222	0.3503121914822619	-3.1675249003450916	0.0015374254334948475	0.24329105740538834
SP140L	41.65897540830102	-1.6132875917763385	0.5101189917961083	-3.1625711210947434	0.0015638253134190713	0.24329105740538834
