gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HLA-DRB5	41.29676384407761	-3.762443241693728	0.3638839845801622	-10.339678032367145	4.661008502747217e-25	1.2552095897898256e-21
PKN2	27.701181075404904	-1.2460559411143133	0.25105106767623253	-4.9633564702512505	6.928524782937188e-7	9.329258620224924e-4
TGFB1	75.95428277498173	0.7323644651163624	0.15394675472155966	4.757258225033551	1.962400755765645e-6	0.0017615817450922938
GABARAPL1	29.97755467851594	1.359838210591107	0.3027693838851593	4.491333281924222	7.077869326610389e-6	0.003952114315579546
SNHG29	166.51110938324962	0.37053234358279125	0.0826408123196907	4.483648371574696	7.337754020756675e-6	0.003952114315579546
SNHG8	140.1567992639646	0.43505720198270176	0.1012832436951429	4.295450916759741	1.7433860868471287e-5	0.004438133590368967
HLA-B	329.69928733105576	0.26570412426508155	0.06191912840419638	4.29114768106255	1.7775204759821235e-5	0.004438133590368967
UBC	266.936706354386	0.3544995235008478	0.08267582851067512	4.287825473137832	1.8043076761013283e-5	0.004438133590368967
GABPB1-AS1	40.48008211844561	-1.182334612772957	0.26867238829121765	-4.400655461071826	1.0792437284980723e-5	0.004438133590368967
IL16	24.078019269567704	-1.0755220684434368	0.2508928450806851	-4.286778557186665	1.812828425327094e-5	0.004438133590368967
ATRX	58.78118658731749	-0.5806824038752032	0.13466855607773345	-4.311937550886203	1.61830146123904e-5	0.004438133590368967
POMP	91.38783585029664	0.4994778484253842	0.11729884899065152	4.258164958338096	2.06111838409885e-5	0.004625493173648502
EIF3F	112.55941901846295	0.381248928664515	0.09221504410749848	4.1343463244465735	3.55966347563349e-5	0.007067607337296654
SAP18	107.55559840702	0.41578240644156844	0.10092780006680602	4.119602390682787	3.795267462049696e-5	0.007067607337296654
LUC7L3	45.81138547820865	-0.6389760262570964	0.15542451325962486	-4.111166333136494	3.9366546624377946e-5	0.007067607337296654
DDX3Y	20.73929108173635	1.061004574398134	0.2614375978131122	4.058347319870149	4.942122834904387e-5	0.008318210496498446
GUK1	84.55810077281835	0.5150472363720848	0.1298912060916323	3.965220216746179	7.332821723212418e-5	0.011346666101210733
ZFC3H1	23.270543093017473	-0.9127838179600628	0.23066546129985943	-3.957175958707863	7.584106565978209e-5	0.011346666101210733
COX7C	198.9464254765704	0.3015902315556967	0.07655854055324603	3.939341442199286	8.170557949174675e-5	0.011580690819540735
ANKRD44	35.3478750692018	-0.8466205932937746	0.21617165491715903	-3.9164274040378477	8.987086154925727e-5	0.012101111507607492
EEF1G	248.35647911333672	0.2828529878669419	0.0737223485917707	3.836733273830014	1.2468176116915925e-4	0.01514811609621433
HNRNPA1	207.40211530870934	0.2765885727227474	0.0720224414584488	3.840310979770339	1.2287855373239453e-4	0.01514811609621433
PSMA6	56.09047374674297	0.5439647102327876	0.142114705932345	3.8276454689477877	0.00012937492395578523	0.01514811609621433
H3F3B	257.60496406675657	0.318383185877623	0.08380431282355925	3.7991265025696674	1.452069649699326e-4	0.01564169426656114
EIF1AY	41.57135975854794	0.9285977804386397	0.24421552870379895	3.8023699204029966	1.433185194829861e-4	0.01564169426656114
PDCD4	80.37628706862262	-0.514994629745284	0.13674597934100668	-3.7660678012406468	1.658387742308478e-4	0.017177069961679736
PRPF4B	78.54163180449538	-0.4315923209300198	0.11534926378210182	-3.7416131389040377	1.8284282935913026e-4	0.01823687923941251
PJA2	40.19039177469267	-0.6580568056693262	0.17678375581667344	-3.722382764351595	1.9735154860405123e-4	0.018980990013953928
RBM3	154.39343276119823	0.45662652480946825	0.12517261680365102	3.647974584774754	2.6431577675789004e-4	0.024544909889965445
ASH1L	41.563125713319714	-0.6206471717002038	0.17142203605051484	-3.6205798624239347	2.939435003784638e-4	0.02541457477516096
HLA-DPB1	251.02375070340892	0.3561837801484253	0.09878621333464885	3.605602119212877	3.114299916748279e-4	0.02541457477516096
UBB	206.65695466465738	0.37871376717023747	0.10483835973218728	3.6123587600728695	3.0342438008247895e-4	0.02541457477516096
TRABD	28.402618863208684	0.6561653006037929	0.1817512015466712	3.610239134706896	3.0591483525928856e-4	0.02541457477516096
RIPOR2	50.14695281779855	-0.7964261570567726	0.22553627725258513	-3.5312552231445675	4.135924646743207e-4	0.03190806394708404
UBA52	319.0967718516703	0.25925553637377907	0.07343207427404674	3.530548999695196	4.146981946334725e-4	0.03190806394708404
HINT1	178.8982339522945	0.2567192869197401	0.07311079335036383	3.511373289159672	4.457979280185263e-4	0.03246754435347657
EEF1D	251.6082481055235	0.30411958381766835	0.08661404840617203	3.5112038914462875	4.46082116999121e-4	0.03246754435347657
FUNDC2	35.55438124499494	0.5914686039364239	0.1697488682040776	3.48437435957064	4.932889985516833e-4	0.03495861244999166
EEF1B2	302.4070297415637	0.24880216870903712	0.07226393171420105	3.442964737831216	5.753743305684585e-4	0.03973033518515023
OSBPL8	76.67380841043665	-0.6156339382183855	0.18021669924167055	-3.4160759841285326	6.353051721351549e-4	0.04277192071399931
PARK7	89.80455627584642	0.4391754238942796	0.13065511808694863	3.3613334886890254	7.756710973545734e-4	0.044807758632853814
CAST	142.69595121812924	0.269596209527356	0.07947065820294208	3.392399353719903	6.928337992330041e-4	0.044807758632853814
TMPO	38.856346541293185	-0.6154232931011862	0.1828277949021945	-3.3661363876888237	7.622900789319876e-4	0.044807758632853814
B2M	421.1431680572917	0.22284842657271647	0.06616919445293608	3.3678576324700624	7.575470378498072e-4	0.044807758632853814
TMEM107	18.98227287703111	-0.8189955893064901	0.2427891354236573	-3.373279400980508	7.427853877401408e-4	0.044807758632853814
CD99	105.81591102636868	0.3761706409486232	0.11198609422818231	3.359083496403935	7.820143541567505e-4	0.044807758632853814
NDUFB11	93.05229109731052	0.3482876236116799	0.10307782681869204	3.3788801564889197	7.278172815829964e-4	0.044807758632853814
CDK11A	19.57649611647995	-0.8884861577078235	0.2658749709349828	-3.3417442589024082	8.325372913365219e-4	0.045755569909576604
EMP3	235.97004449575817	0.32898725407062746	0.09833025142296582	3.345737952560445	8.206391174617578e-4	0.045755569909576604
SF3B5	55.184916601740696	0.5085889208165139	0.15274731069790912	3.329609657235528	8.696781132362194e-4	0.04592241488127723
PSMA4	69.4564293012512	0.40912766921092275	0.12285369629817205	3.330202358893211	8.678288950469545e-4	0.04592241488127723
SNRPB	121.49923425801366	0.3505920792042352	0.10547722147269976	3.323865326647588	8.877905710964746e-4	0.04597730784543858
SOCS1	33.439195851546295	0.7941832810503282	0.24012194895803377	3.307416437758166	9.416079953055229e-4	0.04784434587467497
TES	65.25904910155188	0.5049335465406719	0.15319916067563571	3.295928935340276	9.809682600867818e-4	0.04892125045210562
CHCHD2	151.4856748905471	0.3126339583425483	0.09526867947342794	3.281602726841063	0.0010321891852545003	0.049064522673108936
UQCRB	152.40103120718868	0.25017313366214455	0.07627323900862709	3.279959484005236	0.001038219952992545	0.049064522673108936
EIF1	308.00270504607073	0.2654224579421908	0.08104567726561104	3.2749736555636604	0.001056718275172788	0.049064522673108936
MRPL54	51.67801217559666	0.5161901400140866	0.15750488299306983	3.277296107935897	0.001048063943937821	0.049064522673108936
H3F3A	259.1004575708196	0.30159160468284696	0.09336965679249466	3.230081538728434	0.0012375491834956326	0.04996409852543903
TMSB10	260.8815089893673	0.31189913578960815	0.09638832738614038	3.235860028363309	0.001212768378213193	0.04996409852543903
