gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
HLA-DPA1	187.36904996308667	0.5310064385074468	0.09992379348404193	5.314114086273654	1.0717745825169572e-7	3.0406244906006075e-4
HINT1	157.44434149799085	0.3341509731213778	0.0688979358042016	4.849941717716894	1.2349775646912212e-6	0.0010059634377633058
HLA-DRB5	24.997778448437657	-2.0001881774552115	0.40997154432577254	-4.878846361750945	1.0670814290921762e-6	0.0010059634377633058
PPIA	161.52244493672305	0.3388680739558411	0.07092672515269671	4.777720573257808	1.7729352093114306e-6	0.0010059634377633058
EEF1G	212.32859090785448	0.28602695338679535	0.059424908433439595	4.813250216568146	1.4849517250490268e-6	0.0010059634377633058
HLA-E	177.76308520433454	0.300459263447619	0.0645726569329291	4.653041669939378	3.270741186214066e-6	0.001325584677898472
UBA52	279.1057675095051	0.3285877310210715	0.07049185328377924	4.661357528766835	3.141304848604145e-6	0.001325584677898472
EEF1B2	264.55405505305384	0.29209148438690996	0.06359571835874911	4.592942605651467	4.370392903435699e-6	0.0013958323820591986
SNHG8	123.80335570062817	0.38444335200159047	0.08405495466225947	4.573714346124142	4.79153002290777e-6	0.0013958323820591986
HLA-DPB1	222.12174707963337	0.3650639112066774	0.07991476245249456	4.568166131053573	4.920100042506868e-6	0.0013958323820591986
HLA-DRA	302.3478078506042	0.34399962480432295	0.07871171872343953	4.370373692550096	1.2403408455731263e-5	0.0028748181210190684
B2M	361.32969940119557	0.26264481783383176	0.060278257393273506	4.357206548295812	1.3173294174567463e-5	0.0028748181210190684
SNHG29	144.13561129922104	0.3173963058065916	0.07239377182277752	4.38430403355124	1.1635717271032623e-5	0.0028748181210190684
KRT10	72.66683009557447	0.5211751622201034	0.12022443591372758	4.3350185697198524	1.4574781832950104e-5	0.0029534754328628173
UQCRB	135.77473364623427	0.32100867296039115	0.07473430722417715	4.295332155785908	1.7443196912038164e-5	0.0031719072938385592
TPT1	356.3962986225022	0.2743419672407151	0.06395315530858932	4.289733101001026	1.788879686338278e-5	0.0031719072938385592
TMSB10	251.7257103604561	0.5056342445538607	0.1193391830145902	4.236950779963382	2.265757797257974e-5	0.003571086039344929
RACK1	261.85246411073103	0.2855082559049718	0.06729895806942243	4.242387461785886	2.2115444679635065e-5	0.003571086039344929
CD74	326.82462059627494	0.35119474842781595	0.0845156089017381	4.1553832835320605	3.2474268966438424e-5	0.004416068859811395
HLA-B	273.28713257669045	0.2479791116969238	0.059660663463461897	4.1564926921872765	3.231705041407131e-5	0.004416068859811395
H3F3B	228.94474468179808	0.3865031275014882	0.09304630606087202	4.153879330240506	3.268856047093384e-5	0.004416068859811395
UBC	217.6328053372515	0.28123683266567434	0.06835995027100265	4.11405847357632	3.8876288897526424e-5	0.0050132741637401125
GAS5	128.4379365756779	0.3012746359396809	0.07421638492722059	4.059408663398551	4.919714675574963e-5	0.0057814759206360295
FAU	326.9369012630046	0.2898318897271832	0.0715415396301726	4.051239199288169	5.094709129922479e-5	0.0057814759206360295
NACA	276.5809766542106	0.28054256139023326	0.06920086861457378	4.054032369922459	5.03422457127173e-5	0.0057814759206360295
TMSB4X	305.27032802349555	0.2898476246921974	0.07173672090595243	4.04043593060506	5.335193907240805e-5	0.005821517351862371
BTF3	174.09798500067504	0.2681776841342277	0.06665269844679166	4.0235082807384295	5.733756716962536e-5	0.006024691780008413
FTL	257.11796281462284	0.2759750250453995	0.06924009361499907	3.985769091820186	6.72619000037223e-5	0.00681507179680572
PFDN5	217.86213439117893	0.28082405979749875	0.0712543425571206	3.9411501070601824	8.109185769229285e-5	0.007933020699070167
KANSL1	29.11020621860757	-0.6248667084830509	0.1592457858503455	-3.923913622871517	8.712198337745134e-5	0.008238835561394315
H3F3A	215.6987194180354	0.31382688862129626	0.08015382897709819	3.9153075108983737	9.028905505245178e-5	0.008262904812380829
COX7C	176.1391566389888	0.290088357687402	0.07478398742337596	3.879016988558252	1.0487943096250614e-4	0.009098317121917495
CHCHD2	127.02804104457543	0.3384202385793467	0.08756862411728825	3.864628935200251	1.1125820750366056e-4	0.009098317121917495
HNRNPA1	180.24226902471204	0.2557194574087626	0.06605069683293806	3.871563354669119	1.081395415005542e-4	0.009098317121917495
SOCS1	23.407499350267976	0.8461420422365054	0.2190675239387559	3.8624713833578497	1.1224571704868252e-4	0.009098317121917495
EIF3E	101.89332265641806	0.32384685418885695	0.08424683996197557	3.8440237560841894	1.2103328168350719e-4	0.00953809500378083
UQCRH	99.57936358689726	0.39590985677368346	0.10404946313999289	3.805015853287088	1.4179510868552443e-4	0.010872235765968455
NSA2	107.5224868026921	0.39765462603624074	0.10557714970351738	3.7664838192065018	1.6556280876654238e-4	0.012043633037709762
EEF1A1	378.51090856680923	0.24276379273822282	0.06444065042032301	3.76724615836064	1.650582320641514e-4	0.012043633037709762
KIF20B	26.641605646671586	-0.7633262894027846	0.2032561382075544	-3.7554894830448675	1.7300302625288653e-4	0.012270239636985977
EIF1	280.95399884684116	0.35594610346823696	0.09650704929626744	3.6882912291258267	2.257651583720901e-4	0.01562184766589316
TOMM7	182.8937487017537	0.2607807114029377	0.07102484482032718	3.671682945068578	2.4095849877293327e-4	0.016276172881400278
HLA-DMA	71.66405801013951	0.6202277490113249	0.1713410340012236	3.6198436213878322	2.9478111258397706e-4	0.019448698055831232
HMGN2	89.8650141282982	0.4958835139275516	0.13883293760154705	3.571800197376403	3.545358538300113e-4	0.022859504938994142
SNHG6	140.67500213552844	0.28824367885179575	0.08101407703411846	3.5579455991383337	3.737666960468362e-4	0.023051654710540746
PDLIM1	35.27401485871909	0.6009520937406675	0.16890186111819852	3.5579956891068103	3.736954451694425e-4	0.023051654710540746
SNHG32	45.96600373686663	0.4687348488811651	0.13330841909440957	3.5161683865533293	4.378232117858377e-4	0.02642775429439195
SMDT1	60.59023353264072	0.4142925010165292	0.1189905570844167	3.4817258710925554	4.981934204110804e-4	0.02944530695221323
PTMA	347.3490627019977	0.254379680825843	0.07444555538225286	3.416989496816687	6.331772237833376e-4	0.034233262382182605
EAF2	17.606824991150894	2.077368284522113	0.6119994634698821	3.3943955975777502	6.878025928038099e-4	0.034233262382182605
SUB1	98.90471812611388	0.33489386684742667	0.09754722641139832	3.4331459659861183	5.966208084986006e-4	0.034233262382182605
SRSF3	81.70576568654884	0.5442183277680981	0.15874541241137538	3.428246016696231	6.074946719771974e-4	0.034233262382182605
CFL1	128.78824801653144	0.2496596534694493	0.07347684613641163	3.3978003493229663	6.792997520026574e-4	0.034233262382182605
ARCN1	19.75013571806084	-0.7814886422350017	0.22934964681460765	-3.4074115791715593	6.558215326312088e-4	0.034233262382182605
BTG1	243.0948679453903	0.2895035293775382	0.08524712806377627	3.3960502359792204	6.83658108791854e-4	0.034233262382182605
CIITA	16.193690776068703	1.2004737327679633	0.35138675941188147	3.4163886390517524	6.345761220255822e-4	0.034233262382182605
CD22	21.670290496326956	1.416721475832909	0.4166374356356922	3.4003700931754253	6.729470331618278e-4	0.034233262382182605
IFITM2	42.81704990640174	0.6842400196289715	0.20191569791959676	3.3887410769886612	7.021427723342412e-4	0.03434446629503866
ACTB	185.72560358534705	0.275068591451785	0.08197011490484199	3.3557180171225633	7.915923583299571e-4	0.0380635172980015
ZFAS1	155.23806434522942	0.2734466787732648	0.08171143318245278	3.3464922609139407	8.184096405781309e-4	0.03869713583866929
