gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CYP1B1	102.13912963598465	-3.568052088193217	0.4149718978879867	-8.598298116939814	8.090690716866075e-18	8.439399486763004e-14
ANPEP	57.701382758754	-2.0027926079199374	0.26086574924399936	-7.677483969145509	1.6224354216733782e-14	8.461811941737504e-11
PDE4DIP	67.87981300380059	-3.6648699480134876	0.48364834890510877	-7.577550830701855	3.5213907256026567e-14	1.2243875552920436e-10
LHFPL2	56.24551016418809	-3.768819615789699	0.5064693868863287	-7.441357194281059	9.965607687631507e-14	2.5987813447421066e-10
ITGAV	31.55403285677459	-3.30602945447349	0.4658770940291104	-7.096355448346882	1.280897861285814e-12	2.672209118214465e-9
IL1R1	39.521611741958345	-4.366379551472601	0.6218121097189309	-7.022023989603991	2.1867697609007738e-12	3.6357400056909444e-9
ISG20	44.57094111986591	-3.157081751061656	0.45057972001722435	-7.006710712459428	2.439860036414209e-12	3.6357400056909444e-9
SLC7A11	95.85799492258406	-7.613790765976444	1.101857715695784	-6.909958207415742	4.847965061063054e-12	6.321140443993589e-9
GNA12	31.65865648612865	-2.660141925774721	0.39397943220398046	-6.751981723750109	1.4583925100322278e-11	1.690276919127352e-8
AQP9	104.22218056714571	-2.1698761540792213	0.32388048152735804	-6.69962000749938	2.0896220048792172e-11	2.1796847132895113e-8
C1orf122	43.31558591101626	-2.0804593527752937	0.3124188945913507	-6.659198239263251	2.753253671926843e-11	2.6108353683517182e-8
SEMA6B	45.29392885495139	-4.184890039576205	0.6305705244402241	-6.636672469413718	3.2084348151262295e-11	2.788931963048475e-8
SLC39A8	44.24501981866524	-4.143878779079684	0.6322435445317919	-6.554244507389055	5.592427231960443e-11	4.487277573583029e-8
GSTO1	115.2490166813145	-1.2177830368642995	0.18721435449309612	-6.504752480981407	7.782140876643947e-11	5.798250820305215e-8
STK17A	25.938991725125003	-1.99903525507459	0.31186487155783343	-6.409940449813955	1.4557648750626594e-10	9.008160881926377e-8
CLEC5A	24.68548971460281	-3.174416522391002	0.49600792474200367	-6.399931057638163	1.5544712479596854e-10	9.008160881926377e-8
CCL2	72.5486770167652	-4.478687703732973	0.6971140834073926	-6.4246122841785045	1.3220604491358394e-10	9.008160881926377e-8
ADA	63.801124602331306	-5.80137991032289	0.9054279445698101	-6.407334725105332	1.48085473769802e-10	9.008160881926377e-8
COPB2	24.134114584178686	-2.8754545467570676	0.4512129034245034	-6.372722333367815	1.8570192040768086e-10	1.0195035430381679e-7
XIST	47.57949480455768	-6.652899910537887	1.047070264599831	-6.353823745611275	2.100274744489119e-10	1.0953982929883e-7
SEC24D	25.10324497433476	-3.0880201113459593	0.4894801548757323	-6.308774892273082	2.812528356694117e-10	1.365002864231648e-7
RDX	42.40896680103626	-2.4787635782790467	0.39313241222770595	-6.305162080717282	2.878924648940299e-10	1.365002864231648e-7
BASP1	93.45606394000727	-1.9545424536661413	0.3112722098821853	-6.279206403957244	3.403055659172318e-10	1.4790530658677688e-7
RNF145	50.549933377020096	-1.6830723094660094	0.2679738435622484	-6.280733548813855	3.3697924570176887e-10	1.4790530658677688e-7
ALCAM	48.195135833134295	-2.8701018407788608	0.45982089559251516	-6.241782111881867	4.326133120537854e-10	1.8050357832132144e-7
SWAP70	27.956600594626767	-2.5288853625567644	0.407433546100393	-6.206865847844641	5.405170037441954e-10	2.1685126407906546e-7
SLC6A6	56.2022730495988	-1.7392415260356033	0.28070392956323736	-6.195999923270702	5.791615453954049e-10	2.237494103710914e-7
EPB41L3	47.962185902114435	-2.2121224960970793	0.35837192290554726	-6.172700355993312	6.713337186068086e-10	2.4147179375129726e-7
SERPINB2	84.67222589434121	-2.9952818886855077	0.4852021868578447	-6.1732654341128725	6.689376608775214e-10	2.4147179375129726e-7
MANF	50.06227134632018	-2.6456568242394036	0.4301095881522271	-6.151122637384768	7.693639733413514e-10	2.675078535307879e-7
MET	18.630615260712357	-6.909493158467358	1.1250483768414223	-6.141507601536022	8.17419131542669e-10	2.750483535845671e-7
ABCA1	54.700377027174056	-2.059933528739296	0.3363927843557943	-6.1235960595413825	9.148665686121145e-10	2.982179117872802e-7
TXNRD1	52.088209528394316	-2.4017869896139747	0.3947713538683865	-6.083995117879578	1.1722417521118573e-9	3.7053496109935704e-7
CTSL	66.7182154864304	-2.7309423934977177	0.4493214733368221	-6.0779253954118015	1.2174737056091945e-9	3.735137712708679e-7
SDF2L1	66.43665666897336	-2.2694902427329686	0.3761046991697187	-6.034198051082718	1.5975403930993522e-9	4.7611268115483834e-7
COPB1	31.86275532673226	-1.7804861519874837	0.2956603401153106	-6.022066237538236	1.7220438937750893e-9	4.989622182213321e-7
SLAMF7	37.59150834545122	-3.8875515936421947	0.6473403707077986	-6.0054212120148875	1.9083581884083252e-9	5.380022773861416e-7
RALA	53.164757860052624	-2.7196593057294938	0.4616651579271138	-5.890978036854288	3.839165832395301e-9	1.0011584699428845e-6
ASPH	45.74735572782366	-2.3904742969910564	0.40530770579717745	-5.897924620725786	3.6810205520160202e-9	1.0011584699428845e-6
MMP14	11.309036317558126	-6.196078993538991	1.051188693458029	-5.894354678755287	3.761484591498517e-9	1.0011584699428845e-6
KYNU	77.89953615497005	-1.9059765779901257	0.3240405521586736	-5.881907573891622	4.055648111319673e-9	1.0318162304676954e-6
BIN1	14.971650415652132	-3.3041537569786006	0.5636888966667607	-5.861661949555725	4.58257231093847e-9	1.1381145660809328e-6
GLMP	3.6235358029728744	1.9597256532312177	0.33516435929279287	5.847058611381888	5.003412482276648e-9	1.2137347814564586e-6
PDLIM7	32.05384559035644	-2.246871948055516	0.38718770511146644	-5.803056033012902	6.511701837621674e-9	1.5376628379654914e-6
NRBF2	21.6936155864671	-2.084584633601614	0.3594144083255788	-5.799947317953024	6.633575659902897e-9	1.5376628379654914e-6
HSPA13	21.045336666332645	-2.734503240333232	0.4721087845340078	-5.792104129204686	6.951002196680009e-9	1.5762153024688953e-6
CES1	15.886667541460147	-2.547644451014283	0.44096648848614295	-5.777410568681662	7.585901904253334e-9	1.6835860162397132e-6
NBPF19	62.90599574278095	-2.101087814906346	0.36476085260029945	-5.760179032174522	8.40247652343961e-9	1.8259631794999702e-6
AMPD3	20.225627538543506	-3.345639622549245	0.58688266018773	-5.700695981508558	1.1931926743696501e-8	2.5400393441530244e-6
STK40	27.936841581171347	-1.8538207928788337	0.3254331073138606	-5.696472642812384	1.2231150687609669e-8	2.551662656449129e-6
IL7R	19.31844385874408	-3.168565025889888	0.558573355125802	-5.6726032432683144	1.406437057766743e-8	2.853293925884187e-6
BCAT1	30.470197762482517	-3.2853619742048443	0.5793605281931609	-5.670669323039371	1.4224070956377886e-8	2.853293925884187e-6
HMGA1	73.94320611238942	-1.7664251054414517	0.31246694478848797	-5.653158309712289	1.575260930980032e-8	3.1002918435948513e-6
LPXN	32.09787145411104	-1.8998859198948856	0.33764331606277237	-5.626902205704175	1.8347467462106595e-8	3.5441191314302573e-6
HLA-DRB5	28.629515999001978	-4.361681383088954	0.7759584668753152	-5.621024280658839	1.898285881488335e-8	3.6001854599645136e-6
AL121933.2	2.9957950164773384	2.108229684263122	0.3772703839386845	5.58811339033111	2.2954974690903862e-8	4.275773946443182e-6
ITGB1	99.2601076320468	-1.3002289021407032	0.2330471667187019	-5.579252133582624	2.415548886419365e-8	4.4204544621474376e-6
ARFGAP3	73.88490307617803	-1.6146209909168996	0.29010630749182387	-5.565618358581896	2.6122440259773046e-8	4.697985764649873e-6
DOCK4	22.403710410090678	-5.563831918581727	1.0003141855331035	-5.562084392131818	2.6657131730105297e-8	4.712890526724209e-6
LIMS1	101.29068591987946	-1.4578285846230796	0.26311780948349756	-5.540592586586249	3.014498066939794e-8	5.2407048893748315e-6
DOCK10	23.39894319476029	-1.762603696926134	0.3186523063020364	-5.531432417298873	3.1762623917354225e-8	5.4314086898675725e-6
ENG	31.201848117773363	-2.4682358465548604	0.4466923554893036	-5.525583360053639	3.283926071311791e-8	5.524940782234402e-6
PLEC	52.37051257218141	-1.1919572875195479	0.21585391067501677	-5.522055559670278	3.3505649744694916e-8	5.547578293443058e-6
HSPA5	142.38824770749977	-1.403939806597402	0.2559449119095178	-5.485320243809832	4.1272104854626975e-8	6.623220395978676e-6
DNAJC3	68.43195419282281	-1.45385214743909	0.2649807429861264	-5.486633221174149	4.096664951655546e-8	6.623220395978676e-6
ITGB8	32.969322719216066	-3.79593805032215	0.6945379461406092	-5.465414915650502	4.6182527213865955e-8	7.2989385055732684e-6
OLR1	81.77032440394439	-1.3396552420319876	0.2467064184546001	-5.430159662743093	5.630365657315093e-8	8.765723010664737e-6
TIPARP	53.004947054919825	-0.9673171578092614	0.17852051543926478	-5.418520977429939	6.009408919539356e-8	9.218256535252209e-6
TFPI	15.044517396527693	-4.177647828024873	0.7715306575026883	-5.414752851879144	6.13734184432119e-8	9.27805982291512e-6
CD109	38.850223436006594	-1.9136935286165275	0.35387218755071653	-5.407866444271661	6.377995497913908e-8	9.50412443410571e-6
CD9	16.850860717686473	-3.475006943975531	0.6438489611351718	-5.3972393429799705	6.767408548587249e-8	9.942371629621632e-6
MTSS1	56.24851190028896	-2.101172388787592	0.3907393393518522	-5.377427295324192	7.555770830855067e-8	1.0946422991201278e-5
FNDC3B	59.43699858910708	-1.2941362027780445	0.24102176989577775	-5.369374738794976	7.901009190549239e-8	1.113721984684042e-5
HIPK2	33.14239686555929	-2.0458226292964268	0.3809179834847344	-5.370769346673324	7.840143596304974e-8	1.113721984684042e-5
ERLEC1	22.349399777682	-2.487862708006794	0.46409745430740335	-5.360647176398673	8.292433588847763e-8	1.148598351831938e-5
MAP1LC3A	20.393831740360213	-3.476245687995302	0.6486750342466936	-5.358994110251625	8.368658301143445e-8	1.148598351831938e-5
B4GALT5	40.88314969132835	-1.8198828576589738	0.33999987503743045	-5.3525986074513225	8.670002855777778e-8	1.1745038933586754e-5
ARHGAP10	15.29741310757394	-3.3050044287411304	0.6189707600219246	-5.339516245685116	9.319491888873017e-8	1.246302819138903e-5
OSBPL8	80.54166704349096	-1.0232899233592643	0.19189790148187447	-5.332470628689591	9.688544405049012e-8	1.2792557808742561e-5
TNS1	17.474305433981673	-4.578315305738195	0.8602623164314779	-5.321999137111883	1.0263305925478527e-7	1.3382068013583313e-5
CAPN2	68.94815034867672	-1.0513913632810101	0.19792039341351478	-5.312193175992429	1.0831369512776616e-7	1.3743591203531296e-5
ATP6V1F	133.90267623530374	-0.9276149893089354	0.17467748112207565	-5.3104440443623036	1.0935845747225555e-7	1.3743591203531296e-5
AP001269.4	0.9928321906272589	3.3087352514118233	0.6229524171700284	5.311377177799342	1.0879988596607056e-7	1.3743591203531296e-5
PSMD1	20.423634439008094	-1.553508117208473	0.29266811876412424	-5.308087959045933	1.1078118273722643e-7	1.3752321937489105e-5
TPRA1	14.821172429194956	-2.727961433772539	0.5143357180893237	-5.303853762881736	1.1338315469504966e-7	1.3752321937489105e-5
MSANTD3	16.746293601657054	-4.435476048768924	0.8361536597177179	-5.304618352404656	1.1290896904719726e-7	1.3752321937489105e-5
CCL7	28.57745092931497	-5.389559156660061	1.0219599615031103	-5.273747856748749	1.3366552192517897e-7	1.6026035163236115e-5
HLA-DQA2	15.911766958485698	-6.097887161804906	1.1581756816074402	-5.265079606352644	1.4012862424432113e-7	1.66100190851422e-5
VOPP1	33.210847665497035	-1.952610980683562	0.3710438882871988	-5.262479836811607	1.421252548264704e-7	1.6657399248257447e-5
MSC	24.039696310333873	-3.110915448660852	0.5914226790263573	-5.260054372250766	1.4401281116561417e-7	1.669108481409468e-5
ZNF217	25.24238148621615	-1.4122319352913886	0.26860224292065427	-5.257707158121406	1.4586254364191002e-7	1.6719694425590805e-5
SPHK1	38.91577046206769	-1.983999685856389	0.3776287204701754	-5.25383684637695	1.4896285086211603e-7	1.6889472797203613e-5
NIBAN1	40.66026657984486	-1.7628693469230332	0.33585710013166115	-5.248867289784736	1.5303726880710558e-7	1.7164857536848582e-5
BANP	18.81460030759113	-1.8023864540788923	0.3435561114502142	-5.246265148568262	1.5521348076370166e-7	1.7223742743044383e-5
ARF4	48.511488383252924	-1.179479416344677	0.2264209259155451	-5.209233252515813	1.89622607934988e-7	2.082056235126168e-5
NCS1	7.194584735895875	-5.522996447773005	1.0632072376000776	-5.194656556552209	2.0509811529565253e-7	2.2285192090093246e-5
ARL8B	73.89874736347512	-1.0951287588203347	0.21164474400189506	-5.174372574121326	2.2867811081009893e-7	2.4591148184125173e-5
MYOF	29.02036400770961	-2.286592285529476	0.4431022180075542	-5.1604171511741175	2.464001869263265e-7	2.5961619695237488e-5
LYPD3	11.932380517258387	-2.6866312722265344	0.5205536791493951	-5.161103224967297	2.454987572422117e-7	2.5961619695237488e-5
YBX3	55.063827191049604	0.7290680041251774	0.14134357034884698	5.158126417252518	2.494331934841773e-7	2.6018376412334533e-5
PTPN12	48.68317659990373	-1.135940987614461	0.22048660470405387	-5.151972788275131	2.577604440561155e-7	2.6359795999503337e-5
