gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XIST	26.39313174993089	-8.345493523611992	0.42685161344099226	-19.55127557404833	4.023344632037576e-85	4.49488062291238e-81
NRG1	19.646211222301993	2.871864985506046	0.19404964414804454	14.799640566797638	1.4726746439928863e-49	8.226360561344263e-46
GPRC5A	18.771510256230385	2.7769721456687178	0.18814950020556384	14.759391561682175	2.676847956150382e-49	9.968581788704022e-46
HBB	26.752813701049917	6.74989059500931	0.4666818743344759	14.463579937907747	2.0580883043069954e-47	5.748240633929439e-44
ZFY	18.295582050366022	2.8662925582467897	0.20350620546753576	14.08454622630185	4.726852174808918e-45	1.0561678499393048e-41
MIR4435-2HG	54.12166549283106	1.8122136122062602	0.1320120137184405	13.72764160746315	6.935452361954671e-43	1.1154707987401014e-39
PRDM8	41.33328841365476	1.7502264212911256	0.12750170450226475	13.727082536845908	6.9891654056397326e-43	1.1154707987401014e-39
LY6K	18.471429482490457	2.9137867471139955	0.21353674021912272	13.645364934034237	2.151338373662089e-42	2.670528034505873e-39
SMS	85.10475400805117	1.2869997286665096	0.09426869013640754	13.652462199317831	1.9517094667644614e-42	2.670528034505873e-39
PMP22	14.49026399503189	3.5868122642649665	0.26302902067067324	13.636564722475441	2.4272814848581935e-42	2.711758874883574e-39
MET	8.978906645038988	-5.248435632668684	0.391072899785176	-13.420606837118482	4.579478494140298e-41	4.6510848851395823e-38
CREB5	20.117580453553252	3.218589592259483	0.24120825616402852	13.343612873975383	1.2905038040587656e-40	1.2014590415787108e-37
EMP1	46.06635159891678	1.706952753215294	0.12931107726224592	13.200359855896595	8.731693290584881e-40	7.503882880185714e-37
DTNA	13.029953095424851	4.7538320233880365	0.36938239624101227	12.869676713793059	6.668065870621254e-38	5.321116564755761e-35
MFHAS1	27.194275794248604	1.6569100280800346	0.13131427728618306	12.617897020207531	1.6825456662542067e-36	1.253160012226133e-33
F3	53.203297717054014	-2.3543135919220184	0.18766151709151002	-12.54553212832643	4.205795574003181e-36	2.9366967595477212e-33
HIST1H1C	30.762958383601873	2.787073817835282	0.22299682429117978	12.498266855119153	7.629653314317692e-36	5.014028636915132e-33
RASGRP3	17.26876522699128	2.9346651983223753	0.2356073754769539	12.455744190442084	1.301319149753693e-35	8.076854189471255e-33
ADIRF	15.791731929737074	5.463033535851804	0.43962155682825615	12.426673467211273	1.8726617355205738e-35	1.1011251004860974e-32
HIST2H2AA4	17.504926994800957	2.3240595563782787	0.18820206212036697	12.348746502532462	4.947630103863576e-35	2.715465669230043e-32
KCNJ2	18.842342076972365	-2.517286046790471	0.20389092772663084	-12.346238623061993	5.104258776748201e-35	2.715465669230043e-32
HBA2	14.073917581569674	6.3566056400356015	0.5168168698590435	12.29953202140886	9.110041138030417e-35	4.626244527003446e-32
