gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XIST	19.057369436954158	-7.2021025215852195	0.33863312437593895	-21.26815719772792	2.239052981464291e-100	2.7777691288045995e-96
SLC25A37	41.115089350582615	-1.5109311889238992	0.08055628463068082	-18.756217418056583	1.7222852708981194e-78	1.0683335535381035e-74
NRG1	21.811921349340135	2.002645218790468	0.10816606027275706	18.514543413530046	1.576274228422781e-76	6.518419359271006e-73
CD81	12.310110523437016	-1.848585166817809	0.10409631873515038	-17.758410568976192	1.483770874447608e-70	4.6019153670992564e-67
MET	7.538504674499396	-5.948366564212456	0.3456370574035951	-17.209863458786018	2.2395919341090007e-66	5.556875506911252e-63
CD226	6.178457164313773	-4.3109325005405905	0.253111870577401	-17.031727870788732	4.77725683993539e-65	9.87777472603974e-62
GAS5	74.53436975660767	0.8172303863122231	0.04940455765876174	16.54159909611679	1.840705251361846e-61	3.262255621199294e-58
SNHG6	89.35072896056384	0.6700964723855508	0.043094198988986886	15.54957484084575	1.6016551913679957e-54	2.4837667880139195e-51
SMDT1	41.613797226124134	0.8188572254264236	0.05636654982701349	14.527361137757431	8.129219920265622e-48	1.1205678036757256e-44
CAMKK2	10.084105054039542	-1.4397567192997505	0.10017647483870615	-14.372203869400462	7.733070245328074e-47	9.593646946354008e-44
PRKAG2	37.52427532476925	-0.8721400371913816	0.06128235572004477	-14.231503129148058	5.841258901847048e-46	6.587877994210407e-43
CAVIN3	11.283035246544026	2.5944754675833446	0.1830244382804867	14.17556853040186	1.297877576186091e-45	1.3417891008470537e-42
CFD	104.00758688661729	0.8924737708129571	0.06500604331365051	13.729089255699217	6.798269384325739e-43	6.487640767841932e-40
EEF1G	121.49358093128642	0.37685127757194714	0.02786895636970114	13.522260129613471	1.1556981727619152e-41	1.0241136808060228e-38
SNHG32	27.948386439134378	1.0308134289082616	0.07667636038581259	13.443692732955968	3.352786377631361e-41	2.772977853392978e-38
TNNT1	17.218362790389147	2.9695617513147394	0.22330209160876668	13.29840544672335	2.3645736308218568e-40	1.8334312789984972e-37
TM4SF19	2.256612302474295	-4.907055953558024	0.37497787652596126	-13.086254578590555	3.945907201539069e-39	2.879583808370217e-36
NPM1	90.96072202450443	0.5477180212261806	0.04233542286997713	12.937582385992984	2.7618453531812145e-38	1.9035251917536746e-35
CYB561A3	12.424424429125272	-1.4510643464594497	0.11270828569791255	-12.874513506031656	6.263247623805559e-38	4.0895710537332506e-35
SLC25A6	129.04521388558064	0.3943441695555254	0.031068884572717923	12.692575706493347	6.5012018194246675e-37	4.032695488589121e-34
YBX3	68.95198211208913	0.7027258934526621	0.05556078930920906	12.647874556673857	1.1494240605674124e-36	6.790359473999676e-34
IL2RG	12.98388748473269	-1.3482633984343246	0.10674809719732772	-12.63032722674214	1.4367950149882371e-36	8.102217707247305e-34
EIF3F	69.23480248830056	0.5663563832035496	0.04506790952731062	12.566732940216461	3.2174707073141534e-36	1.735475721519104e-33
FN1	9.193505093823033	4.055401353143667	0.3250055636770065	12.477944399665606	9.849675319135052e-36	5.091461333716227e-33
HBB	19.13672707673268	3.14644970966049	0.25452334272412486	12.362126302383563	4.189269038524942e-35	2.0788828676776172e-32
TMEM18	18.265465427903898	0.9834407782297361	0.08022444758259709	12.258617015931584	1.5105590720071834e-34	7.207690710508121e-32
EIF3H	84.07855863635872	0.47294746322258036	0.03903509698876529	12.11595460768804	8.694588062575277e-34	3.9950022038632915e-31
DDX3Y	31.556729608845338	1.5224980407504405	0.1266775638778844	12.01868739927861	2.8343811992825294e-33	1.2558333270821093e-30
TFDP1	10.342496876171495	-1.2780022701819003	0.10679473965290365	-11.966902811276741	5.296919995463858e-33	2.265985843576711e-30
DSC2	6.666225870369121	2.222016772219677	0.18904047541112554	11.754185273747494	6.720584355813781e-32	2.779185650607526e-29
EEF2	113.49399199879495	0.3035842356713575	0.02664264286531951	11.394674214791594	4.44489486869544e-30	1.7788182497108268e-27
SNHG29	106.14139662992685	0.5616937048935972	0.04955248178723485	11.33532942518117	8.77014809020847e-30	3.400076787722697e-27
NOP53	62.119697037311475	0.45054868587873376	0.040763836303590595	11.052656637202915	2.1282207131979338e-28	8.000820050888959e-26
DTNA	6.220427099968595	3.6382828216344048	0.33023684881780185	11.017192159684509	3.157552539450426e-28	1.1521352001300584e-25
PIM1	22.644967203527823	-1.2853351195312148	0.11686355285989213	-10.998596979780384	3.8812352142334157e-28	1.3757315447937073e-25
AC093583.1	3.20671768266141	-2.4365873063301957	0.22219875182914905	-10.965801050960508	5.5804173805135595e-28	1.9230738339625336e-25
LDHB	34.49547235960837	0.912596650605978	0.08346786646960802	10.933508776557371	7.970559838645628e-28	2.6725071718442608e-25
SGK3	27.9698590383481	-1.0233293186333385	0.09421071859002005	-10.86213261026694	1.7462279140112474e-27	5.628132943304041e-25
TMEM138	7.263149888537986	-1.421653355938192	0.1308960373094394	-10.860935022634724	1.7692824825798617e-27	5.628132943304041e-25
SLC9A3R2	1.4861023600836403	-3.226560682304461	0.2975096356769333	-10.845230861054175	2.1010475340383775e-27	6.516398926820027e-25
PMP22	11.529934165326768	2.5855974892007243	0.23922487865507439	10.808229912110269	3.1468342058343143e-27	9.52185979453183e-25
ANXA1	200.53569488728937	0.2448903340879853	0.023182374019308193	10.563643476894146	4.3927354825495015e-26	1.2975303903930743e-23
RACK1	182.97633940288034	0.28639493922807785	0.027247169095157966	10.510997976629156	7.687568868266896e-26	2.217953008830677e-23
FXYD5	95.1542855831325	0.4020659334340832	0.03832599273437341	10.490685426485575	9.53342692775645e-26	2.687993056039693e-23
FSCN1	4.766214269736538	1.7477540931960263	0.16821346346959715	10.39009635225729	2.750750837556024e-25	7.583514420160008e-23
THBD	23.930161549240246	1.6207120866868499	0.15790119186495422	10.26409026774777	1.0228044078891307e-24	2.7584590183201207e-22
ADAM8	15.060221387496176	-1.3443851635767916	0.13100938534620077	-10.261746973502447	1.0479349312678439e-24	2.766102288789121e-22
AC127502.2	3.3286192850283824	-1.9877766317082417	0.19452537956939603	-10.218597882232183	1.6369136691357694e-24	4.230739787353824e-22
S100P	2.571979332025232	-3.0868852930749817	0.3023843179635172	-10.208483409008716	1.8168228847709943e-24	4.599898920095705e-22
LRIG1	1.8570438432006464	-3.606663578049853	0.35477236557505465	-10.166134479509896	2.808334113944432e-24	6.968038603518925e-22
PPIA	108.64745929408124	0.35596197012012365	0.03503752689788768	10.159449071777486	3.007711653885686e-24	7.316406034922709e-22
PGLS	48.62124241202657	0.698083928445068	0.06996851156491675	9.977115602886393	1.9196609340132936e-23	4.5798679898786385e-21
DENND6B	9.184319510587931	1.174247852758468	0.11805143772256636	9.946917000012126	2.6011683300242315e-23	6.088697038166154e-21
TOMM20	61.74413433691677	0.42137925550948346	0.0426795475461217	9.873095656745646	5.445749380518423e-23	1.2511104965687324e-20
EIF3E	91.74700972973649	0.4796188402564644	0.04866931172178476	9.85464604468165	6.544688332631212e-23	1.4762436991749603e-20
PCYT1A	7.116772642190412	-1.1611969491593928	0.11795463794455255	-9.844436551153178	7.244400372357272e-23	1.6048934110618626e-20
BTF3	137.84198025066746	0.3398028324708514	0.03492085597399717	9.730655878649596	2.231494498998655e-22	4.856828202557423e-20
AC253572.2	75.22683432485752	1.0076329811429272	0.10416744863003505	9.673204003696718	3.919122196902775e-22	8.382867237030314e-20
DNASE2	12.611707247966278	1.2201515603863642	0.12661852304770238	9.636438105716042	5.610087222110576e-22	1.1796396962288782e-19
EEF1B2	140.1778520166295	0.3593801905654575	0.03730643263587778	9.633196346408093	5.789984424826192e-22	1.197175779573229e-19
SNHG7	22.552323023367208	0.6763527244223801	0.07022765688874626	9.63085989745962	5.923170995306009e-22	1.2046370388158418e-19
TM4SF1	2.813299518199972	3.6741152640971486	0.3829274678758624	9.594807299872844	8.407405601783598e-22	1.6822947402536662e-19
IRAK3	36.78443380962147	-0.7505073119474054	0.07828888057773706	-9.586384508361798	9.122579709061014e-22	1.7964241884223957e-19
EIF3L	54.49105139215347	0.3751259083864513	0.039359545001261806	9.53074809107741	1.5615385133287037e-21	3.0269448119306093e-19
SLC9A9	8.016790322978666	1.818036166808233	0.19195317872122497	9.471248035171017	2.7651983380368196e-21	5.277700089489966e-19
MUC12	3.7122514685360346	2.5979623625414674	0.27506439749131917	9.44492412044513	3.5566191856147456e-21	6.685366305566142e-19
MMP9	9.55042739699104	1.6058087415146678	0.17112683458260572	9.383734266057015	6.3676628948474955e-21	1.1790630727384781e-18
FCGR1A	18.797096273466828	1.222951838430053	0.13171641346058385	9.284733817900541	1.6211186940484116e-20	2.957588017406558e-18
EIF3D	35.50299726440528	0.5102446303193909	0.055029745156958756	9.272160517262876	1.8241287617784773e-20	3.2797306403802595e-18
IVNS1ABP	23.120038577663053	-1.1023251670529892	0.11896184515240996	-9.266207712571429	1.928819566775593e-20	3.4184193636311437e-18
NME2	98.26921167384039	0.456466624827963	0.04933843195587968	9.251745682476349	2.2085567761538167e-20	3.8590641359104576e-18
MAP3K7CL	5.1434468329034075	-1.6112769489145424	0.17475499127267155	-9.220205598594061	2.965310907468627e-20	5.109395433063303e-18
ENC1	6.665630995707263	1.8801412681771215	0.20456423477843155	9.19095789258346	3.8935848954654815e-20	6.6169608511157215e-18
GALNT6	4.549809653806009	-1.288192185335024	0.14097582837641426	-9.137681261893142	6.380567325405898e-20	1.0696934897160213e-17
VDAC2	41.481399091243944	0.4405990719672791	0.04832994164184118	9.116482598560284	7.760206014999636e-20	1.283641544294473e-17
PHLDA2	25.649295304807925	0.8398077967491507	0.09223489015995352	9.105098897963211	8.61878767248225e-20	1.3902341282163485e-17
ADM	21.168200216636382	0.7957573680163836	0.08739809582013984	9.104973747414425	8.628730281529811e-20	1.3902341282163485e-17
EIF4A1	136.1479509313119	0.22727660740006392	0.024980720260846197	9.098080640864803	9.194222057048397e-20	1.462352805637723e-17
TKT	114.78847736109934	0.5069470061397472	0.05577760814065861	9.088718986682624	1.0021276654552038e-19	1.5737209895743364e-17
TOMM7	114.89564338439617	0.35648100063389165	0.03933296602680748	9.063160921831605	1.2672387683569778e-19	1.965170520029583e-17
CHP1	31.052027609429075	0.49859494072555566	0.05508688034936878	9.05106510957593	1.4158049539063534e-19	2.168453859032373e-17
SLC43A2	44.47105350559157	-0.8073862526515256	0.08974632962366283	-8.996315014075488	2.3342085949913947e-19	3.531486808471127e-17
SH3BP5	29.07727492846322	-1.0521273441710493	0.1177385455727903	-8.936133354225829	4.03025547397329e-19	6.024018001218389e-17
DUSP10	8.448133866588792	-1.1533712346911231	0.1291228053732867	-8.932358860673702	4.170202177939207e-19	6.158991454704024e-17
AC245014.3	34.18065572497718	1.0924795885590246	0.1229429711126355	8.886067895318211	6.330967754164004e-19	9.240233642136309e-17
CYFIP1	14.77172863244419	-0.7329362297099223	0.08268373172403218	-8.864334185546841	7.696259290852058e-19	1.1102301483989607e-16
ALKBH7	41.460238404275024	0.4515003746231727	0.05116664301077636	8.82411563580751	1.1032817922933205e-18	1.5732544730104523e-16
TOP1MT	2.852689587544045	2.023756116605974	0.22982582328055623	8.805608037072082	1.3014510601123396e-18	1.8347502104265551e-16
